Rating,Number Of Ratings,Address
4.9/5,33 ratings,"10590 Old Olive St, Creve Coeur, MO, 63141"
Thai Crunch,$44.99,Salads,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Served with Thai peanut dressing. Suggested with fresh avocado."
Waldorf Chicken,$46.99,Salads,"Gluten-free. Grapes, green apples, candied walnuts, crisp celery, baby greens and Gorgonzola served with house-made Dijon balsamic vinaigrette."
Classic Caesar,$33.99,Salads,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
The Original BBQ Chicken Pizza,$14.99,Original Hand-tossed Pizzas,Favorites.
Thai Chicken,$13.99,Original Hand-tossed Pizzas,Favorites.
Wild Mushroom,$13.99,Original Hand-tossed Pizzas,Vegetarian.
The Works,$15.69,Original Hand-tossed Pizzas, 
Mushroom Pepperoni Sausage,$14.99,Original Hand-tossed Pizzas, 
Pepperoni,$13.99,Original Hand-tossed Pizzas, 
Hawaiian,$13.99,Original Hand-tossed Pizzas, 
Carne Asada,$15.99,Original Hand-tossed Pizzas, 
Five Cheese + Fresh Tomato,$12.79,Original Hand-tossed Pizzas,Vegetarian.
California Veggie,$14.49,Original Hand-tossed Pizzas,Vegetarian. Suggested on wheat whole grain crust.
Roasted Garlic Chicken,$13.99,Original Hand-tossed Pizzas,Favorites.
Banh MI Bowl,$44.99,Power Bowls,"Gluten-free. Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radish, fresh avocado, cucumber, carrot, bean sprouts, scallions and sesame seeds. Served with house-made chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$44.99,Power Bowls,"Favorites. Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with house-made poblano ranch."
Chicken Tequila Fettuccine,$55.99,Pastas + Specialties,"Favorites. Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Jambalaya Linguini Fini,$67.99,Pastas + Specialties,"Blackened chicken and shrimp, crawfish, andouille sausage and tasso ham in our spicy Cajun sauce."
Pesto Cream Penne,$39.99,Pastas + Specialties,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and parmesan.
Bolognese Fusilli,$55.99,Pastas + Specialties,Our slowly simmered traditional meat sauce sprinkled with parmesan and fresh Italian parsley.
Wild Mushroom Strozzapreti,$61.99,Pastas + Specialties,"New. Rolled pasta noodles with pan-sautéed cremini, Portobello and seasonal mushrooms, parmesan, fresh thyme & Italian parsley."
Kung Pao Spaghetti,$48.99,Pastas + Specialties,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Garlic Cream Fettuccine,$39.99,Pastas + Specialties,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Chicken Piccata,$48.99,Pastas + Specialties,"Pan-roasted chicken breast with linguini fini, lemon, capers and cream."
Oven-roasted Turkey + Brie,$56.99,Sandwich Platters,"Favorites. Roasted turkey breast, warm brie, shaved Granny Smith apple and baby greens with house-made honey-mustard."
Grilled Veggie,$56.99,Sandwich Platters,"Favorites, vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with baby greens, tomatoes and house-made sun-dried tomato aioli."
California Club,$56.99,Sandwich Platters,"Oven-roasted turkey or grilled chicken breast with fresh avocado, nueske’s applewood smoked bacon, crisp romaine and tomatoes."
Sandwich Lunch Box,$13.45,Lunch Boxes,"Sandwich, chips, brownie."
Salad Lunch Box,$11.99,Lunch Boxes,"Salad, sourdough baguette, brownie."
Sandwich Combo - Small (Serves 8-10),$116.99,Combos,"Assorted sandwiches, 1 salad, small sweets platter, chips."
Sandwich Combo - Large (Serves 15-20),$216.99,Combos,"Assorted sandwiches, 2 salads, large sweets platter, chips."
Pasta - Small (Serves 8-10),$151.99,Combos,"2 garlic cream fettuccines, 1 salad, small sweets platter."
Pasta - Large (Serves 15-20),$196.99,Combos,"2 garlic cream fettuccines, 2 salads, large sweets platter."
Pizza - Small (Serves 8-10),$116.99,Combos,"5 pizzas, 1 salad, small sweets platter."
Pizza - Large (Serves 15-20),$216.99,Combos,"10 pizzas, 2 salads, large sweets platter."
Trio - Small (Serves 8-10),$134.99,Combos,"1 salad, 1 garlic cream fettuccine, 3 pizzas, small sweets platter."
Trio - Large (Serves 15-20),$256.99,Combos,"2 salads, 2 garlic cream fettuccines, 6 pizzas, large sweets platter."
Sweets Platter,$22.99,Desserts + Beverages,"Vegetarian. Brownie, white chocolate macadamia nut cookie, rocky road cookie, snickerdoodle, chocolate chunk cookie."
Red Velvet Cake (12 Slices),$54.99,Desserts + Beverages,"Favorites, vegetarian."
Key Lime Pie (6 Slices),$36.99,Desserts + Beverages,Vegetarian.
Coca-cola (12 oz Cans),$1.99,Desserts + Beverages, 
Dasani Bottled Water (1/2 liter),$1.99,Desserts + Beverages, 
4.9/5,33 ratings,"10590 Old Olive St, Creve Coeur, MO, 63141"
The Original BBQ Chicken Pizza,$14.99,Most Loved,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni,$13.99,Most Loved,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Avocado Club Egg Rolls,$9.99,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Pepperoni,$9.95,Most Popular,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Curly Mac ‘n' Cheese,$5.79,Most Popular, 
The Original BBQ Chicken Pizza,$9.95,Most Popular,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Original BBQ Chicken Chopped Salad (Half),$10.99,Most Popular,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
The Original BBQ Chicken Chopped Salad (Full),$13.99,Most Popular,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
California Club,$9.95,Most Popular,"Oven-roasted turkey or grilled chicken breast with fresh avocado, nueske’s applewood smoked bacon, crisp romaine and tomatoes."
Margherita,$11.99,Most Popular,"Vegetarian. Italian tomatoes with fresh mozzarella, fresh basil and parmesan."
Garlic Cream Fettuccine,$11.99,Most Popular,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
California Cobb (Half),$11.99,Most Popular,"Gluten-free ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
The Mediterranean,$8.95,Lunch Duo Soup + Salad,"Vegetarian. Crisp romaine, roma tomatoes, garbanzos, feta, black olives and red onions with our house-made mustard herb vinaigrette."
Super Spinach + Quinoa,$8.95,Lunch Duo Soup + Salad,"Vegetarian, gluten-free ingredients. Crisp granny smith apples, marinated cranberries and spiced pecans with our house-made champagne vinaigrette."
Classic Caesar,$8.95,Lunch Duo Soup + Salad,Crisp Romaine with shaved Parmesan and housemade garlic butter croutons.
Tomato Basil Bisque,$8.95,Lunch Duo Soup + Salad,New.
Sedona Tortilla Soup,$8.95,Lunch Duo Soup + Salad,Vegetarian.
Dakota Smashed Pea + Barley Soup,$8.95,Lunch Duo Soup + Salad,Vegetarian.
Baked Potato Soup,$8.95,Lunch Duo Soup + Salad, 
Classic Crispy Chicken,$9.95,Lunch Duo Half Sandwich + Soup or Salad,"Hand-breaded chicken breast with fresh romaine, roma tomatoes, pickles and mayo."
Oven-Roasted Turkey + Brie,$9.95,Lunch Duo Half Sandwich + Soup or Salad,"Favorites. Roasted turkey breast, warm brie, shaved granny smith apple and baby greens with house-made honey-mustard."
California Club,$9.95,Lunch Duo Half Sandwich + Soup or Salad,"Oven-roasted turkey or grilled chicken breast with fresh avocado, nueske’s applewood smoked bacon, crisp romaine and tomatoes."
Grilled Veggie,$9.95,Lunch Duo Half Sandwich + Soup or Salad,"Favorites, vegetarian. Grilled bell peppers, cremini mushrooms and melted cheese with baby greens, tomatoes and house-made sun-dried tomato aioli."
The Original BBQ Chicken Pizza,$9.95,Lunch Duo 7” Pizza + Soup or Salad,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni,$9.95,Lunch Duo 7” Pizza + Soup or Salad,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
California Veggie,$9.95,Lunch Duo 7” Pizza + Soup or Salad,"Vegetarian. Broccolini, eggplant, cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and mozzarella."
Mushroom Pepperoni Sausage,$9.95,Lunch Duo 7” Pizza + Soup or Salad,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, mozzarella and wild Greek oregano."
Shaved Mushroom + Spinach,$9.95,Lunch Duo 7” Pizza + Soup or Salad,"Vegetarian. Cremini mushrooms, sautéed spinach and California olive ranch extra virgin olive oil with romano and parmesan."
Smashed Chicken Meatball,$10.95,Lunch Duo New Half Piadina + Soup or Salad,"Favorites. House-made chicken meatballs, crushed tomato sauce with wilted baby kale, fresh herb gremolata and parmesan mustard aioli."
Ancho Chile Short Rib,$10.95,Lunch Duo New Half Piadina + Soup or Salad,"Tender short rib, crushed tomato sauce, wild arugula, mozzarella and parmesan."
Spinach Artichoke Dip,$9.99,Appetizers,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Avocado Club Egg Rolls,$9.99,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Lettuce Wraps,$10.99,Appetizers,"Fresh shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy sauce."
Szechwan Chicken Dumplings,$8.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Choose Two),$9.49,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Choose Three),$11.49,Appetizers,"Baked in our hearth oven and sprinkled with herbs. Mediterranean veggie (vegetarian): cremini mushrooms, eggplant, sun-dried tomatoes, caramelized onions, mozzarella and parmesan. Served with marinara. Baja chicken: Monterey jack and cheddar, corn, black beans, poblanos, red onions and fresh cilantro. Served with house-made guacamole. Thai chicken: peanut sauce, bean sprouts, scallions, carrots, fresh cilantro and mozzarella. Served with Thai peanut sauce."
Charred Shishito Peppers,$6.79,Small Plates + California Flatbreads,"New, vegetarian, gluten-free ingredients. East Asian shishito peppers pan-sautéed with soy sauce, garlic and red chili."
Petite Wedge,$5.39,Small Plates + California Flatbreads,"Gluten-free ingredients. Nueske’s applewood smoked bacon, chopped egg and roma tomatoes served with bleu cheese dressing."
Crispy Mac ‘n' Cheese,$4.99,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$3.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with house-made blue & white corn tortilla chips."
Bianco Flatbread,$6.99,Small Plates + California Flatbreads,"Favorites, vegetarian. Whipped truffle cream, Gorgonzola, mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.49,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California olive ranch extra virgin olive oil with romano and parmesan."
Spicy Buffalo Cauliflower,$7.79,Small Plates + California Flatbreads,"New, vegetarian. Fresh cauliflower florets buttermilk-battered and fried to a golden brown, then tossed in house-made sriracha buffalo sauce and topped with a salad of celery, cilantro, scallions and Gorgonzola."
Asparagus + Arugula Salad,$4.99,Small Plates + California Flatbreads,"Favorites, vegetarian. Sun-dried tomatoes, toasted almonds and shaved parmesan served with house-made lemon vinaigrette."
Mexican Street Corn,$4.99,Small Plates + California Flatbreads,"Vegetarian. Creamy sweet corn removed from the cod and roasted with smoked paprika, Feta and Parmesan. Served with fresh cilantro, lime and housemade ranchito sauce."
Tomato Basil Bisque,$4.99,Soups,"New. Our velvety tomato bisque with a touch of cream, topped with house-made garlic butter croutons."
Sedona Tortilla,$4.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$4.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$4.99,Soups,Purée of potato with nueske’s applewood smoked bacon and scallions.
Two in a Bowl,$4.99,Soups,Favorites. Two of our signature soups served side by side.
The Original BBQ Chicken Chopped Salad (Half),$10.99,Salads,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
Roasted Veggie (Half),$10.99,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served with cool romaine, avocado and house-made Dijon balsamic vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
Classic Caesar (Half),$7.99,Salads,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
Waldorf Chicken (Half),$11.59,Salads,"Gluten-free ingredients. Grapes, green apples, candied walnuts, crisp celery, baby greens and Gorgonzola served with house-made Dijon balsamic vinaigrette."
Thai Crunch (Half),$10.99,Salads,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Served with Thai peanut dressing. Suggested with fresh avocado."
California Cobb (Half),$11.99,Salads,"Gluten-free ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped (Half),$10.99,Salads,"Gluten-free ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Quinoa + Arugula (Half),$11.59,Salads,"Favorites, vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and feta. Served with our house-made champagne vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
The Original BBQ Chicken Chopped Salad (Full),$13.99,Salads,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
Roasted Veggie (Full),$14.99,Salads,"Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served with cool romaine, avocado and house-made Dijon balsamic vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
Classic Caesar (Full),$11.99,Salads,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
Waldorf Chicken (Full),$15.59,Salads,"Gluten-free ingredients. Grapes, green apples, candied walnuts, crisp celery, baby greens and Gorgonzola served with house-made Dijon balsamic vinaigrette."
Thai Crunch (Full),$14.99,Salads,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Served with Thai peanut dressing. Suggested with fresh avocado."
California Cobb (Full),$15.99,Salads,"Gluten-free ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped (Full),$14.99,Salads,"Gluten-free ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Quinoa + Arugula (Full),$15.59,Salads,"Favorites, vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and feta. Served with our house-made champagne vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
Banh MI Bowl,$14.99,Power Bowls,"Gluten-free ingredients. Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radish, fresh avocado, cucumber, carrot, bean sprouts, scallions and sesame seeds. Served with house-made chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$14.99,Power Bowls,"Favorites. Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with house-made poblano ranch."
The Original BBQ Chicken Pizza,$14.99,Original Hand-Tossed Pizzas,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Works,$15.69,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, cremini mushrooms, mozzarella, red onions, green peppers, olives and wild Greek oregano."
Thai Chicken,$13.99,Original Hand-Tossed Pizzas,"Favorites. Grilled chicken breast with peanut sauce and mozzarella, hearth-baked then topped with crisp bean sprouts, julienned carrots, slivered scallions and fresh cilantro."
Wild Mushroom,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Shaved cremini, shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, romano and mozzarella. Finished with parmesan."
Hawaiian,$13.99,Original Hand-Tossed Pizzas,"Fresh pineapple, applewood smoked ham and slivered scallions."
Five Cheese + Fresh Tomato,$12.79,Original Hand-Tossed Pizzas,"Vegetarian. Fresh and traditional mozzarella, Monterey jack, smoked Gouda and romano with tomato and fresh basil."
Spicy Chipotle Chicken,$13.99,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey jack with house-made roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
Carne Asada,$15.99,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, mozzarella, Monterey jack and fresh cilantro. Served with house-made salsa verde."
California Club,$14.99,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, grilled chicken and mozzarella, hearth-baked then topped with avocado, wild arugula, fresh tomatoes, torn basil and romaine tossed in lemon-pepper mayo."
California Veggie,$14.49,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and mozzarella."
Pepperoni,$13.99,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$14.99,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, mozzarella and wild Greek oregano."
Roasted Garlic Chicken,$13.99,Original Hand-Tossed Pizzas,"Favorites. Sweet caramelized onions, fresh mozzarella, parmesan, slivered scallions and cracked black pepper."
Shrimp Scampi Pizza,$13.99,Original Hand-Tossed Pizzas,"Housemade lemon-garlic shrimp with caramelized onions, Mozzarella, Parmesan and red chili, topped with fresh arugula and wild Greek oregano."
Citrus Adobo Pizza,$14.99,Original Hand-Tossed Pizzas,"Slow-cooked pork carnitas tossed in our housemade ancho chili adobo sauce with sweet white corn, roasted peppers, quesadilla & Monterey Jack cheeses, fresh cilantro & lime, served with a side of spicy chili de arbol sauce."
Sicilian,$15.29,Crispy Thin Crust Pizzas,"Favorites. Spicy marinara, Italian sausage, spicy capicola ham, salami, mozzarella, shaved parmesan, fresh basil & oregano."
Tostada,$13.99,Crispy Thin Crust Pizzas,"Crisp lettuce, tortilla strips and house-made herb ranch top this hearth-baked crust with layers of black beans, melted cheddar & Monterey jack. Served with flame-roasted salsa."
Margherita,$11.99,Crispy Thin Crust Pizzas,"Vegetarian. Italian tomatoes with fresh mozzarella, fresh basil and parmesan."
Jamaican Jerk Chicken,$14.79,Crispy Thin Crust Pizzas,"Spicy sweet caribbean sauce, authentic Jamaican spices, nueske’s applewood smoked bacon, red onions, bell peppers and scallions."
Roasted Artichoke + Spinach,$13.99,Crispy Thin Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, mozzarella and parmesan over a layer of our legendary spinach artichoke dip."
The Original BBQ Chicken Pizza,$17.49,Gluten-free Pizzas,"Favorites. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni,$16.49,Gluten-free Pizzas,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$17.49,Gluten-free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, mozzarella and wild Greek oregano."
Margherita,$14.49,Gluten-free Pizzas,"Vegetarian. Italian tomatoes with fresh mozzarella, fresh basil and parmesan."
Wild Mushroom Strozzapreti,$15.49,Pastas,"New. Rolled pasta noodles with pan-sautéed cremini, Portobello and seasonal mushrooms, parmesan, fresh thyme & Italian parsley."
Chicken Tequila Fettuccine,$13.99,Pastas,"Favorites. Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$11.99,Pastas,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$12.49,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Bolognese Spaghetti,$13.99,Pastas,Our slowly simmered traditional meat sauce sprinkled with parmesan and fresh Italian parsley.
Jambalaya Linguini Fini,$16.99,Pastas,"Blackened chicken and shrimp, crawfish, andouille sausage and tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$15.29,Pastas,"Favorites. Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, parmesan and a touch of fettuccine."
Pesto Cream Penne,$11.99,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and parmesan.
Chile-Braised Short Ribs + Chipotle Mac ‘n' Cheese,$21.99,Pastas,"Tender, boneless beef short ribs braised in Pinot Noir and smokey ancho chile, served over spicy chipotle mac 'n' cheese with grilled shishito peppers, fresh cilantro & scallions"
Hearth-Roasted Halibut,$23.99,Main Plates,Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale.
Cedar Plank Salmon,$20.49,Main Plates,"Favorites, gluten-free ingredients. North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with feta."
Roasted Garlic Chicken + Seasonal Vegetables,$19.99,Main Plates,"New, gluten-free ingredients. Pan-roasted chicken breast in lemon-garlic sauce with hearth-roasted fingerling potatoes, cauliflower, Mediterranean herbs and seasonal vegetables."
Chicken Piccata,$16.99,Main Plates,"Pan-roasted chicken breast with linguini fini, lemon, capers and cream."
Chicken Milanese,$15.99,Main Plates,"Panko-crusted chicken breast topped with wild arugula and house-made checca, finished with California olive ranch extra virgin olive oil and shaved parmesan."
Crispy Fish Tacos,$15.99,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our house-made blue & white corn tortilla chips."
Fire-Grilled Ribeye,$25.99,Main Plates,Favorites. 12 oz USDA choice ribeye grilled with house-made pinot noir sea salt and topped with bleu cheese compound butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad.
Original BBQ Chicken,$5.99,Pizzas - Cpkids 10 & under,"BBQ sauce, chicken and Mozzarella."
Mushroom Pepperoni Sausage,$5.79,Pizzas - Cpkids 10 & under,"Mushrooms, pepperoni, Italian sausage, mozzarella and tomato sauce."
Hawaiian,$5.59,Pizzas - Cpkids 10 & under,"Pineapple, applewood smoked ham, tomato sauce and mozzarella."
Traditional Cheese,$5.49,Pizzas - Cpkids 10 & under,Vegetarian. Tomato sauce and mozzarella.
Pepperoni,$5.69,Pizzas - Cpkids 10 & under,"Pepperoni, tomato sauce and mozzarella."
Curly Mac ‘n' Cheese,$5.79,Pasta or Salad - Cpkids 10 & under, 
Fusilli with Meat Sauce,$5.69,Pasta or Salad - Cpkids 10 & under,With parmesan.
Buttered Fusilli,$5.69,Pasta or Salad - Cpkids 10 & under,Vegetarian. With butter or olive oil.
Fusilli with Tomato Sauce,$5.69,Pasta or Salad - Cpkids 10 & under,Vegetarian.
Fusilli Alfredo,$5.69,Pasta or Salad - Cpkids 10 & under,Vegetarian. With parmesan cream sauce.
CPK Salad,$5.59,Pasta or Salad - Cpkids 10 & under,Crisp romaine tossed with your choice of dressing and topped with cheddar goldfish®.
Grilled Chicken Breast,$5.99,Chicken - Cpkids 10 & under,Served with your choice of baby broccoli or fresh fruit.
Crispy Chicken,$6.29,Chicken - Cpkids 10 & under,"Served with herb ranch, ketchup and your choice of baby broccoli or fresh fruit."
