Rating,Number Of Ratings,Address
4.7/5,28 ratings,"575 E. University Pkwy, B-28, Orem, UT, 84097"
Santa Fe Bowl,$14.99,Seasonal Offerings,"Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, lack beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with housemade poblano ranch."
Spinach Artichoke Dip,$10.99,Appetizers,CPK Favorite! Vegetarian. Served hot with housemade blue & white corn tortilla chips.
Avocado Club Egg Rolls,$10.99,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Lettuce Wraps,$10.49,Appetizers,"Fresh Shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy."
Szechuan Chicken Dumplings,$8.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Any Two),$8.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Any Three),$10.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
New! Charred Shishito Peppers,$6.79,Small Plates + California Flatbreads,"East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Petite Wedge,$5.39,Small Plates + California Flatbreads,"Gluten-Free Ingredients. Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and Roma tomatoes."
Crispy Mac 'n' Cheese,$4.99,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
Bianco Flatbread,$7.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.49,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
New! Spicy Buffalo Cauliflower,$7.49,Small Plates + California Flatbreads,"Vegetarian. Fresh cauliflower florets fried to a golden brown with buttermilk batter, then tossed in housemade Sriracha buffalo sauce and topped with a salad of celery, Gorgonzola and cilantro."
Asparagus + Arugula Salad,$5.99,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
Sedona Tortilla,$5.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, Southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$5.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$5.99,Soups,Purée of potato with Nueske’s applewood smoked bacon and scallions.
Two in a Bowl,$8.99,Soups,"CPK Favorite! Two of our signature soups, served side-by-side in the same bowl."
Chinese Chicken,$9.99,Salads,"Napa & red cabbage, Romaine and wontons tossed with scallions, fresh cilantro, sesame seeds and hoisin ginger vinaigrette."
The Original BBQ Chicken,$14.99,Original Hand-Tossed Pizzas,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Works,$15.69,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, Cremini mushrooms, Mozzarella, red onions, green peppers, olives and wild Greek oregano."
Thai Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Grilled chicken breast with peanut sauce topped with crisp bean sprouts, julienned carrots and slivered scallions."
Wild Mushroom,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Shaved Cremini, Shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, Romano and Mozzarella. Finished with Parmesan."
Hawaiian,$13.99,Original Hand-Tossed Pizzas,"Fresh pineapple, applewood smoked ham and slivered scallions."
Five Cheese + Fresh Tomato,$12.79,Original Hand-Tossed Pizzas,"Vegetarian. Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Romano with tomato and fresh basil."
Spicy Chipotle Chicken,$13.99,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey Jack with housemade roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
New! Carne Asada,$15.79,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, Mozzarella, Monterey Jack and fresh cilantro. Served with housemade salsa verde."
California Club,$14.89,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, roasted chicken and Mozzarella, hearth-baked then topped with avocado, wild arugula, fresh torn basil and Romaine tossed in lemon-pepper mayo."
California Veggie,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, Cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and Mozzarella."
Pepperoni,$13.99,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$14.99,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh-torn basil, Mozzarella and wild Greek oregano."
Roasted Garlic Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Sweet caramelized onions, fresh Mozzarella, Parmesan, slivered scallions and cracked black pepper."
Sicilian,$15.29,Crispy Thin-Crust Pizzas,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Tostada,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Crisp lettuce, tortilla strips and housemade herb ranch top this hearth-baked crust with layers of black beans, melted Cheddar and Monterey Jack. Served with flame-roasted salsa."
Margherita,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Jamaican Jerk Chicken,$14.79,Crispy Thin-Crust Pizzas,"Spicy sweet Caribbean sauce, authentic Jamaican spices, Nueske’s applewood smoked bacon, red onions and bell peppers."
Roasted Artichoke + Spinach,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan over a layer of our legendary Spinach Artichoke Dip."
The Original BBQ Chicken (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"CPK Favorite! Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, Mozzarella and wild Greek oregano."
Margherita (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
New! Wild Mushroom Strozzapreti,$14.99,Pastas,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Chicken Tequila Fettuccine,$13.99,Pastas,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$11.99,Pastas,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$11.99,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Bolognese Spaghetti,$13.59,Pastas,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley.
Jambalaya Fettuccine,$16.99,Pastas,"Blackened chicken and shrimp, crawfish, Andouille sausage and Tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$14.79,Pastas,"CPK Favorite! Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, Parmesan and a touch of fettuccine."
Pesto Cream Penne,$11.99,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Hearth-Roasted Halibut,$23.99,Main Plates,"Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Cedar Plank Salmon,$19.99,Main Plates,"CPK Favorite! North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with Feta. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Chicken Piccata,$17.49,Main Plates,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Chicken Milanese,$17.49,Main Plates,"Panko-crusted chicken breast topped with wild arugula and housemade checca, finished with California Olive Ranch extra virgin olive oil and shaved Parmesan."
Crispy Fish Tacos,$15.79,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, Sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our housemade chips."
Fire-Grilled Ribeye,$25.99,Main Plates,"CPK Favorite! 12oz USDA choice ribeye grilled with housemade Pinot Noir sea salt and topped with creamy bleu cheese butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Curly Mac 'n' Cheese,$5.79,CPKids, 
Fusilli with Meat Sauce,$5.69,CPKids,With Parmesan.
Buttered Fusilli,$5.69,CPKids,With butter or olive oil.
Fusilli with Tomato Sauce,$5.69,CPKids, 
Fusilli Alfredo,$5.69,CPKids,With Parmesan-cream sauce.
CPK Salad,$5.59,CPKids,"Crisp romaine tossed with your choice of dressing, topped with Cheddar Goldfish®."
Grilled Chicken Breast,$5.99,CPKids,Served with baby broccoli.
Crispy Chicken,$6.29,CPKids,"Served with baby broccoli, herb-ranch and ketchup."
Original BBQ Chicken Pizza,$5.99,CPKids,"BBQ sauce, chicken and Mozzarella."
Mushroom Pepperoni Sausage Pizza,$5.79,CPKids,"Mushrooms, pepperoni, Italian sausage, Mozzarella and tomato sauce."
Hawaiian Pizza,$5.59,CPKids,"Pineapple, Applewood-smoked ham, tomato sauce and Mozzarella."
Traditional Cheese Pizza,$5.49,CPKids,Vegetarian. Tomato sauce and Mozzarella.
Pepperoni Pizza,$5.69,CPKids,"Pepperoni, tomato sauce and Mozzarella."
Butter Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Red Velvet Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls.
Salted Caramel Pudding,$5.99,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural flaked Maldon sea salt."
Key Lime Pie,$6.99,Desserts,Vegetarian. On a graham cracker crust with housemade whipped cream.
Belgian Chocolate Soufflé Cake,$6.99,Desserts,Vegetarian. Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce.
Soda (Can),$1.99,Beverages,12oz. can.
Dasani Water,$1.99,Beverages,½L. bottle.
Cucumber Reviver,$3.29,Beverages, 
Fresh Strawberry Mango Cooler,$3.29,Beverages, 
Sparkling Cranberry Cooler,$3.29,Beverages, 
Fresh Lemonade,$2.99,Beverages, 
Passion Fruit Mango Iced Tea,$2.99,Beverages, 
Freshly Brewed Iced Tea,$2.99,Beverages, 
Frozen Lemonade,$3.99,Beverages, 
Include Bread Only,$0.00,Additions and Extras, 
Include Napkins + Utensils Only,$0.00,Additions and Extras, 
Include Bread + Napkins + Utensils,$0.00,Additions and Extras, 
4.7/5,28 ratings,"575 E. University Pkwy, B-28, Orem, UT, 84097"
The Original BBQ Chicken,$14.99,Most Loved,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Garlic Cream Fettuccine,$11.99,Most Loved,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Pepperoni,$13.99,Most Loved,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Curly Mac 'n' Cheese,$5.79,Most Popular, 
Traditional Cheese Pizza,$5.49,Most Popular,Vegetarian. Tomato sauce and Mozzarella.
Avocado Club Egg Rolls,$10.99,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Margherita,$13.99,Most Popular,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Crispy Mac 'n' Cheese,$4.99,Most Popular,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
Sicilian,$15.29,Most Popular,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Butter Cake,$7.69,Most Popular,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Soda (Can),$1.99,Most Popular,12oz. can.
Lemongrass Chicken,$19.99,Seasonal Offerings,"Pan roasted chicken in a lemongrass ginger glaze, over a stir-fry of baby bok choy, roasted farro, Shiitake mushrooms and red chili."
California Fields Salad,$10.19,Seasonal Offerings,"Fresh watermelon, strawberries and field greens with our housemade Champagne vinaigrette, Feta, basil and California pistachios."
Strawberry Shortcake,$6.99,Seasonal Offerings,"Our fresh shortcake biscuit piled high with seasonal strawberries, whipped cream and housemade candied lemon zest."
Bahn Mi Bowl,$14.99,Seasonal Offerings,"Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radishes, fresh avocado, cucumbers, carrots, bean sprouts, scallions and sesame seeds. Served with hoursemade chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$14.99,Seasonal Offerings,"Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, lack beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with housemade poblano ranch."
Spinach Artichoke Dip,$10.99,Appetizers,CPK Favorite! Vegetarian. Served hot with housemade blue & white corn tortilla chips.
Avocado Club Egg Rolls,$10.99,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Lettuce Wraps,$10.49,Appetizers,"Fresh Shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy."
Szechuan Chicken Dumplings,$8.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Any Two),$8.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Any Three),$10.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
New! Charred Shishito Peppers,$6.79,Small Plates + California Flatbreads,"East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Petite Wedge,$5.39,Small Plates + California Flatbreads,"Gluten-Free Ingredients. Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and Roma tomatoes."
Crispy Mac 'n' Cheese,$4.99,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
Bianco Flatbread,$7.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.49,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
New! Spicy Buffalo Cauliflower,$7.49,Small Plates + California Flatbreads,"Vegetarian. Fresh cauliflower florets fried to a golden brown with buttermilk batter, then tossed in housemade Sriracha buffalo sauce and topped with a salad of celery, Gorgonzola and cilantro."
Asparagus + Arugula Salad,$5.99,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
Sedona Tortilla,$5.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, Southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$5.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$5.99,Soups,Purée of potato with Nueske’s applewood smoked bacon and scallions.
Two in a Bowl,$8.99,Soups,"CPK Favorite! Two of our signature soups, served side-by-side in the same bowl."
Chinese Chicken,$9.99,Salads,"Napa & red cabbage, Romaine and wontons tossed with scallions, fresh cilantro, sesame seeds and hoisin ginger vinaigrette."
The Original BBQ Chicken,$14.99,Original Hand-Tossed Pizzas,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Works,$15.69,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, Cremini mushrooms, Mozzarella, red onions, green peppers, olives and wild Greek oregano."
Thai Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Grilled chicken breast with peanut sauce topped with crisp bean sprouts, julienned carrots and slivered scallions."
Wild Mushroom,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Shaved Cremini, Shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, Romano and Mozzarella. Finished with Parmesan."
Hawaiian,$13.99,Original Hand-Tossed Pizzas,"Fresh pineapple, applewood smoked ham and slivered scallions."
Five Cheese + Fresh Tomato,$12.79,Original Hand-Tossed Pizzas,"Vegetarian. Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Romano with tomato and fresh basil."
Spicy Chipotle Chicken,$13.99,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey Jack with housemade roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
New! Carne Asada,$15.79,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, Mozzarella, Monterey Jack and fresh cilantro. Served with housemade salsa verde."
California Club,$14.89,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, roasted chicken and Mozzarella, hearth-baked then topped with avocado, wild arugula, fresh torn basil and Romaine tossed in lemon-pepper mayo."
California Veggie,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, Cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and Mozzarella."
Pepperoni,$13.99,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$14.99,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh-torn basil, Mozzarella and wild Greek oregano."
Roasted Garlic Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Sweet caramelized onions, fresh Mozzarella, Parmesan, slivered scallions and cracked black pepper."
Sicilian,$15.29,Crispy Thin-Crust Pizzas,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Tostada,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Crisp lettuce, tortilla strips and housemade herb ranch top this hearth-baked crust with layers of black beans, melted Cheddar and Monterey Jack. Served with flame-roasted salsa."
Margherita,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Jamaican Jerk Chicken,$14.79,Crispy Thin-Crust Pizzas,"Spicy sweet Caribbean sauce, authentic Jamaican spices, Nueske’s applewood smoked bacon, red onions and bell peppers."
Roasted Artichoke + Spinach,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan over a layer of our legendary Spinach Artichoke Dip."
The Original BBQ Chicken (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"CPK Favorite! Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, Mozzarella and wild Greek oregano."
Margherita (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
New! Wild Mushroom Strozzapreti,$14.99,Pastas,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Chicken Tequila Fettuccine,$13.99,Pastas,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$11.99,Pastas,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$11.99,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Bolognese Spaghetti,$13.59,Pastas,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley.
Jambalaya Fettuccine,$16.99,Pastas,"Blackened chicken and shrimp, crawfish, Andouille sausage and Tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$14.79,Pastas,"CPK Favorite! Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, Parmesan and a touch of fettuccine."
Pesto Cream Penne,$11.99,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Hearth-Roasted Halibut,$23.99,Main Plates,"Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Cedar Plank Salmon,$19.99,Main Plates,"CPK Favorite! North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with Feta. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Chicken Piccata,$17.49,Main Plates,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Chicken Milanese,$17.49,Main Plates,"Panko-crusted chicken breast topped with wild arugula and housemade checca, finished with California Olive Ranch extra virgin olive oil and shaved Parmesan."
Crispy Fish Tacos,$15.79,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, Sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our housemade chips."
Fire-Grilled Ribeye,$25.99,Main Plates,"CPK Favorite! 12oz USDA choice ribeye grilled with housemade Pinot Noir sea salt and topped with creamy bleu cheese butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Curly Mac 'n' Cheese,$5.79,CPKids, 
Fusilli with Meat Sauce,$5.69,CPKids,With Parmesan.
Buttered Fusilli,$5.69,CPKids,With butter or olive oil.
Fusilli with Tomato Sauce,$5.69,CPKids, 
Fusilli Alfredo,$5.69,CPKids,With Parmesan-cream sauce.
CPK Salad,$5.59,CPKids,"Crisp romaine tossed with your choice of dressing, topped with Cheddar Goldfish®."
Grilled Chicken Breast,$5.99,CPKids,Served with baby broccoli.
Crispy Chicken,$6.29,CPKids,"Served with baby broccoli, herb-ranch and ketchup."
Original BBQ Chicken Pizza,$5.99,CPKids,"BBQ sauce, chicken and Mozzarella."
Mushroom Pepperoni Sausage Pizza,$5.79,CPKids,"Mushrooms, pepperoni, Italian sausage, Mozzarella and tomato sauce."
Hawaiian Pizza,$5.59,CPKids,"Pineapple, Applewood-smoked ham, tomato sauce and Mozzarella."
Traditional Cheese Pizza,$5.49,CPKids,Vegetarian. Tomato sauce and Mozzarella.
Pepperoni Pizza,$5.69,CPKids,"Pepperoni, tomato sauce and Mozzarella."
Butter Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Red Velvet Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls.
Salted Caramel Pudding,$5.99,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural flaked Maldon sea salt."
Key Lime Pie,$6.99,Desserts,Vegetarian. On a graham cracker crust with housemade whipped cream.
Belgian Chocolate Soufflé Cake,$6.99,Desserts,Vegetarian. Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce.
Soda (Can),$1.99,Beverages,12oz. can.
Dasani Water,$1.99,Beverages,½L. bottle.
Cucumber Reviver,$3.29,Beverages, 
Fresh Strawberry Mango Cooler,$3.29,Beverages, 
Sparkling Cranberry Cooler,$3.29,Beverages, 
