Rating,Number Of Ratings,Address
4.7/5,426 ratings,"10945 Oval Park Dr. Las Vegas, NV 89135"
Mexican Street Corn,$4.99,Small Plates + California Flatbreads,"Vegetarian. Creamy sweet corn removed from the cod and roasted with smoked paprika, Feta and Parmesan. Served with fresh cilantro, lime and housemade ranchito sauce."
Avocado Club Egg Rolls,$11.00,Shareables,"Favorites. Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Crispy Ahi Tuna Roll,$13.50,Shareables,"Wild-caught ahi tuna, avocado, nori and shaved cabbage hand-rolled in a crispy wonton with our house-made tamari-ginger dipping sauce."
Dynamite Shrimp,$11.00,Shareables,Crispy shrimp tossed in a sweet & spicy sriracha sauce with slivered scallions and sesame seeds.
Chorizo Queso Fundido,$9.00,Shareables,Monterey jack and quesadilla cheese baked in our hearth oven with fire-roasted poblanos and spicy chorizo. Served with salsa verde and choice of house-made blue & white corn tortilla chips or warm tortillas.
Spinach Artichoke Dip,$11.00,Shareables,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Szechwan Chicken Dumplings,$9.00,Shareables,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Dakota Smashed Pea + Barley,$5.00,Soups,"Favorites, vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Sedona Tortilla,$5.00,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, southwestern spices and crispy tortillas."
Baked Potato,$5.00,Soups,Purée of potato with nueske’s applewood smoked bacon and scallions.
Tomato Basil Bisque,$5.00,Soups,"Our velvety tomato bisque with a touch of cream, topped with house-made garlic butter croutons."
The Original BBQ Chicken Chopped Salad (Half),$11.50,Salads,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
Classic Caesar (Half),$8.00,Salads,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Thai Crunch (Half),$12.00,Salads,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing. Suggested with fresh avocado."
Poke Chop Chop (Half),$16.00,Salads,"Gluten-free ingredients. Marinated fresh ahi tuna served over baby bok choy greens, spicy kimchi pears, fresh arugula, cucumber and cilantro, tossed in our house-made black sesame vinaigrette."
Roasted Veggie (Half),$11.00,Salads,"Vegetarian, gluten-free ingredients. Warm artichoke hearts, roasted butternut squash & cauliflower, grilled Japanese eggplant & zucchini, charred red onion petals and sun-dried tomatoes served over cool romaine & baby kale with fresh avocado and house-made Dijon balsamic vinaigrette. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Quinoa + Arugula (Half),$10.50,Salads,"Favorites, vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and feta tossed in our house-made champagne vinaigrette. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Italian Chopped (Half),$11.50,Salads,"Gluten-free ingredients. Roasted turkey breast, torn pepperoni, garbanzo beans, pepperoncini, tomatoes, mozzarella, fresh basil and scallions tossed in house-made mustard herb vinaigrette."
CPK Cobb (Half),$12.00,Salads,"Gluten-free ingredients. Chicken breast, avocado, nueske’s applewood smoked bacon, tomatoes, beets, crumbled Gorgonzola, fresh basil and chopped egg with house-made herb ranch or bleu cheese dressing."
Waldorf Chicken (Half),$11.50,Salads,"Gluten-free ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with house-made Dijon balsamic vinaigrette."
Grilled Steak (Half),$15.00,Salads,"Gluten-free ingredients. Warm steak served over chopped lettuce & arugula, nueske’s applewood smoked bacon, jicama, red cabbage, charred red onion petals, tomatoes and Gorgonzola tossed in bleu cheese. Suggested with fresh avocado."
The Original BBQ Chicken Chopped Salad (Full),$15.50,Salads,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
Classic Caesar (Full),$12.00,Salads,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Thai Crunch (Full),$16.00,Salads,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing. Suggested with fresh avocado."
Poke Chop Chop (Full),$19.50,Salads,"Gluten-free ingredients. Marinated fresh ahi tuna served over baby bok choy greens, spicy kimchi pears, fresh arugula, cucumber and cilantro, tossed in our house-made black sesame vinaigrette."
Roasted Veggie (Full),$15.00,Salads,"Vegetarian, gluten-free ingredients. Warm artichoke hearts, roasted butternut squash & cauliflower, grilled Japanese eggplant & zucchini, charred red onion petals and sun-dried tomatoes served over cool romaine & baby kale with fresh avocado and house-made Dijon balsamic vinaigrette. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Quinoa + Arugula (Full),$14.50,Salads,"Favorites, vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and feta tossed in our house-made champagne vinaigrette. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Italian Chopped (Full),$15.50,Salads,"Gluten-free ingredients. Roasted turkey breast, torn pepperoni, garbanzo beans, pepperoncini, tomatoes, mozzarella, fresh basil and scallions tossed in house-made mustard herb vinaigrette."
CPK Cobb (Full),$16.00,Salads,"Gluten-free ingredients. Chicken breast, avocado, nueske’s applewood smoked bacon, tomatoes, beets, crumbled Gorgonzola, fresh basil and chopped egg with house-made herb ranch or bleu cheese dressing."
Waldorf Chicken (Full),$15.50,Salads,"Gluten-free ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with house-made Dijon balsamic vinaigrette."
Grilled Steak (Full),$18.00,Salads,"Gluten-free ingredients. Warm steak served over chopped lettuce & arugula, nueske’s applewood smoked bacon, jicama, red cabbage, charred red onion petals, tomatoes and Gorgonzola tossed in bleu cheese. Suggested with fresh avocado."
West Coast Burger “tThe WCB”,$14.00,Hand-Crafted Burgers,"Our signature beef blend of wagyu, chuck and brisket topped with melted American cheese, nueske’s applewood smoked bacon, caramelized onions, tomato, pickles, lettuce and our house-made burger sauce."
Seared Ahi Tuna Burger,$16.00,Hand-Crafted Burgers,"House-made wild-caught ahi patty topped with crispy nori, fresh avocado & arugula, tomato and wasabi aioli."
Santa Fe Bowl,$14.50,Power Bowls,"Favorites. Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with house-made poblano ranch."
Banh MI Bowl,$14.50,Power Bowls,"Gluten-free ingredients. Quinoa, baby kale, fresh cilantro & mint topped with warm grilled chicken, watermelon radish, fresh avocado, cucumber, carrot, bean sprouts, scallions and sesame seeds. Served with house-made chili-lime vinaigrette and serrano peppers."
The Original BBQ Chicken Pizza,$14.50,Original Hand-Tossed Pizzas,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Mushroom Pepperoni Sausage,$15.00,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, mozzarella and wild Greek oregano."
Thai Chicken,$14.00,Original Hand-Tossed Pizzas,"Favorites. Grilled chicken breast with peanut sauce and mozzarella, hearth-baked then topped with crisp bean sprouts, julienned carrots, slivered scallions and fresh cilantro."
California Club,$14.50,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, grilled chicken and mozzarella, hearth-baked then topped with avocado, wild arugula, fresh tomatoes, torn basil and romaine tossed in lemon-pepper mayo."
Wild Mushroom,$14.00,Original Hand-Tossed Pizzas,"Vegetarian. Shaved cremini, shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, romano and mozzarella. Finished with parmesan."
Spicy Chipotle Chicken,$14.00,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey jack with house-made roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
Carne Asada,$15.00,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, mozzarella, Monterey jack and fresh cilantro. Served with house-made salsa verde."
California Veggie,$14.00,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and mozzarella."
Pepperoni,$14.00,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
The Works,$15.50,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, cremini mushrooms, mozzarella, red onions, green peppers, olives and wild Greek oregano."
Roasted Garlic Chicken,$14.00,Original Hand-Tossed Pizzas,"Sweet caramelized onions, fresh mozzarella, parmesan, slivered scallions and cracked black pepper."
Shrimp Scampi,$14.00,Original Hand-Tossed Pizzas,"House-made lemon-garlic shrimp with caramelized onions, mozzarella, parmesan and red chili, topped with fresh arugula and wild Greek oregano."
Citrus Adobo Pizza,$15.49,Original Hand-Tossed Pizzas,"Slow-cooked pork carnitas tossed in our housemade ancho chili adobo sauce with sweet white corn, roasted peppers, quesadilla & Monterey Jack cheeses, fresh cilantro & lime, served with a side of spicy chili de arbol sauce."
Sicilian,$16.00,Crispy Thin Crust Pizzas,"Favorites. Spicy marinara, Italian sausage, spicy capicola ham, salami, mozzarella, shaved parmesan, fresh basil & oregano."
Roasted Artichoke + Spinach,$15.00,Crispy Thin Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, mozzarella and parmesan over a layer of our legendary spinach artichoke dip."
Margherita,$14.00,Crispy Thin Crust Pizzas,"Vegetarian. Italian tomatoes with fresh mozzarella, fresh basil and parmesan."
Jamaican Jerk Chicken,$15.00,Crispy Thin Crust Pizzas,"Spicy sweet caribbean sauce, authentic Jamaican spices, nueske’s applewood smoked bacon, red onions, bell peppers and scallions."
The Original BBQ Chicken Pizza,$16.50,Gluten-Free Pizzas,"Favorites. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni,$16.00,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$17.00,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, mozzarella and wild Greek oregano."
Margherita,$16.00,Gluten-Free Pizzas,"Vegetarian. Italian tomatoes with fresh mozzarella, fresh basil and parmesan."
Chicken Tequila Fettuccine,$15.00,Pastas,"Favorites. Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$13.00,Pastas,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$12.00,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Bolognese,$14.00,Pastas,"Our slowly simmered rustic meat sauce over casarecce noodles with cremini mushrooms, sprinkled with scallions."
Jambalaya Linguini Fini,$17.00,Pastas,"Blackened chicken and shrimp, crawfish, andouille sausage and tasso ham in our spicy Cajun sauce."
Wild Mushroom Strozzapreti,$14.50,Pastas,"Rolled pasta noodles with pan-sautéed cremini, Portobello and seasonal mushrooms, parmesan, fresh thyme & Italian parsley."
Chile-Braised Short Ribs + Chipotle Mac ‘n' Cheese,$22.00,Pastas,"Tender, boneless beef short ribs braised in Pinot Noir and smokey ancho chile, served over spicy chipotle mac 'n' cheese with grilled shishito peppers, fresh cilantro & scallions"
Fire-Grilled Ribeye,$27.00,Main Plates,Favorites. 12oz USDA choice ribeye grilled with house-made pinot noir sea salt and topped with bleu cheese compound butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad.
Cedar Plank Salmon,$20.00,Main Plates,"Favorites, gluten-free ingredients. North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash topped with feta."
Roasted Garlic Chicken + Seasonal Vegetables,$19.00,Main Plates,"New, gluten-free ingredients. Pan-roasted chicken breast in lemon-garlic sauce with hearth-roasted fingerling potatoes, cauliflower, Mediterranean herbs and seasonal vegetables."
Chicken Piccata,$15.00,Main Plates,"Pan-roasted chicken breast with linguini fini, lemon, capers and cream."
Chicken Milanese,$17.00,Main Plates,"Panko-crusted chicken breast topped with wild arugula and house-made checca, finished with California olive ranch extra virgin olive oil and shaved parmesan."
Crispy Fish Tacos,$15.50,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our house-made chips."
Wild-Caught Sesame Seared Ahi,$25.00,Main Plates,"Sesame-crusted ahi tuna steak and seared baby bok choy, over a stir-fry of roasted farro, shiitake mushrooms and sweet chili. Topped with pickled ginger."
Original BBQ Chicken,$5.99,Pizzas - Cpkids 10 & under,"BBQ sauce, chicken and Mozzarella."
Mushroom Pepperoni Sausage,$5.79,Pizzas - Cpkids 10 & under,"Mushrooms, pepperoni, Italian sausage, mozzarella and tomato sauce."
Hawaiian,$5.59,Pizzas - Cpkids 10 & under,"Pineapple, applewood smoked ham, tomato sauce and mozzarella."
Traditional Cheese,$5.49,Pizzas - Cpkids 10 & under,Vegetarian. Tomato sauce and mozzarella.
Pepperoni,$5.69,Pizzas - Cpkids 10 & under,"Pepperoni, tomato sauce and mozzarella."
Curly Mac ‘n' Cheese,$5.79,Pasta or Salad - Cpkids 10 & under, 
Fusilli with Meat Sauce,$5.69,Pasta or Salad - Cpkids 10 & under,With parmesan.
Buttered Fusilli,$5.69,Pasta or Salad - Cpkids 10 & under,Vegetarian. With butter or olive oil.
Fusilli with Tomato Sauce,$5.69,Pasta or Salad - Cpkids 10 & under,Vegetarian.
Fusilli Alfredo,$5.69,Pasta or Salad - Cpkids 10 & under,Vegetarian. With parmesan cream sauce.
CPK Salad,$5.59,Pasta or Salad - Cpkids 10 & under,Crisp romaine tossed with your choice of dressing and topped with cheddar goldfish®.
Grilled Chicken Breast,$5.99,Chicken - Cpkids 10 & under,Served with your choice of baby broccoli or fresh fruit.
Crispy Chicken,$6.29,Chicken - Cpkids 10 & under,"Served with herb ranch, ketchup and your choice of baby broccoli or fresh fruit."
Fresh Fruit,$1.29,Sweets - Cpkids 10 & under,Vegetarian. Fresh sliced pineapple and red seedless grapes.
Kids Sundae,$0.99,Sweets - Cpkids 10 & under,"Vegetarian. Häagen‑dazs vanilla ice cream with triple thick hot fudge, house-made whipped cream, rainbow chocolate chips and a cherry."
Brownie,$1.29,Sweets - Cpkids 10 & under,"Topped with house-made whipped cream, hershey’s® chocolate syrup and a cherry."
Avocado - Half Avocado,$3.00,"Fruits, Vegetables and Nuts - Side Order", 
Avocado - Sliced,$3.00,"Fruits, Vegetables and Nuts - Side Order", 
Avocado - Diced,$3.00,"Fruits, Vegetables and Nuts - Side Order", 
Pineapple,$1.00,"Fruits, Vegetables and Nuts - Side Order", 
"All Other Fruits, Vegetables, Nuts",$1.50,"Fruits, Vegetables and Nuts - Side Order", 
Ice Cream,$1.50,Miscellaneous - Side Order, 
Truffle Oil,$1.75,Sauces and Dressings - Side Order, 
All Other Sauces (Monkey Dish),$1.00,Sauces and Dressings - Side Order, 
Goat Cheese,$1.50,Side Order, 
All Other Cheeses - Recipe Portion,$1.00,Side Order, 
Bacon (1.5 oz),$2.25,Side Order, 
Fennel Sausage (2.5 oz),$2.25,Side Order, 
Chicken (3 oz),$2.25,Side Order,"Reg, BBQ, Thai, chipotle, jerk."
Pepperoni (1.5 oz),$2.25,Side Order, 
Salami (1 oz),$2.25,Side Order, 
Capicola Ham (2.75 oz),$2.25,Side Order, 
Applewood Smoked Ham (3.5 oz),$3.00,Side Order, 
Turkey (3.5 oz),$3.00,Side Order, 
Carne Asada (3.5 oz),$5.00,Side Order, 
Grilled Chicken Breast (6 oz),$4.50,Side Order, 
Crispy Chicken Pieces (6 oz),$4.50,Side Order, 
Salmon Pieces (3.75 oz),$6.00,Side Order,Regular or blackened.
Shrimp - Grilled,$5.00,Side Order, 
Butter Cake,$8.00,Desserts,Vegetarian. Trust us.just try it! Served warm with house-made whipped cream and vanilla häagen-dazs.
Belgian Chocolate Soufflé Cake,$7.00,Desserts,"Vegetarian. Warm chocolate cake served with triple-thick hot fudge, house-made whipped cream and cacao nibs."
Red Velvet Cake,$8.00,Desserts,"Favorites, vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls."
Salted Caramel Pudding,$6.00,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, house-made whipped cream, caramel sauce and natural flaked maldon sea salt."
Key Lime Pie,$7.00,Desserts,Vegetarian. On a graham cracker crust with house-made whipped cream.
12 oz Cans,$2.00,Beverages,"Coca-cola, Diet Coke, Sprite."
Dasani Bottled Water (1/2 liter),$2.00,Beverages, 
CPK Lemonade,$3.00,Beverages, 
Freshly Brewed Iced Tea,$3.00,Beverages, 
Passion Fruit Mango Iced Tea,$3.00,Beverages,Freshly brewed unsweetened iced tea with a blend of authentic tropical flavors.
Frozen Lemonades,$4.00,Beverages,"Original, peach, strawberry."
Double Berry Sparkler,$3.00,Beverages,"Blackberries and monin black raspberry with CPK lemonade, then topped with sparkling water and lemon."
Cucumber Reviver,$3.00,Beverages,"Freshly puréed pineapple & cucumber with monin cucumber, torn mint and agave sour, then topped with sparkling water."
Melon Hydrate,$3.00,Beverages,"Cucumber slices with monin rock melon and agave sour, then topped with sparkling water and chia seeds."
Fresh Strawberry Mango Cooler,$3.00,Beverages,"Favorites. Fresh strawberries with fresca and monin South seas, featuring natural flavors of mango, guava and ginger."
Sparkling Cranberry Cooler,$3.00,Beverages,Cranberry juice and sparkling water with fresh lime.
Sparkling Berry-Lemon,$2.99,Beverages,"Perfectly refreshing Perrier Lemon Sparkling Water with a light berry flavor, fresh lemon, blueberries & thyme. Non-alcoholic."
Perrier Lemon Sparkling Water,$2.50,Beverages, 
4.7/5,426 ratings,"10945 Oval Park Dr. Las Vegas, NV 89135"
The Original BBQ Chicken Pizza,$14.50,Most Loved,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni,$14.00,Most Loved,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Traditional Cheese,$5.49,Most Popular,Vegetarian. Tomato sauce and mozzarella.
Pepperoni,$5.69,Most Popular,"Pepperoni, tomato sauce and mozzarella."
Margherita,$16.00,Most Popular,"Vegetarian. Italian tomatoes with fresh mozzarella, fresh basil and parmesan."
Garlic Cream Fettuccine,$13.00,Most Popular,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Mexican Street Corn,$6.00,Most Popular,"Vegetarian. Creamy sweet corn removed from the cob and roasted with smoked paprika, feta and parmesan. Served with fresh cilantro, lime and house-made ranchito sauce."
Crispy Chicken,$6.29,Most Popular,"Served with herb ranch, ketchup and your choice of baby broccoli or fresh fruit."
Sedona Tortilla,$5.00,Most Popular,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, southwestern spices and crispy tortillas."
Bolognese,$14.00,Most Popular,"Our slowly simmered rustic meat sauce over casarecce noodles with cremini mushrooms, sprinkled with scallions."
Curly Mac ‘n' Cheese,$5.79,Most Popular, 
Classic Caesar (Half),$8.00,Most Popular,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
White Corn Guacamole + Chips,$5.00,Small Plates + California Flatbreads,"Favorites, vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with house-made blue & white corn tortilla chips."
Mexican Street Corn,$6.00,Small Plates + California Flatbreads,"Vegetarian. Creamy sweet corn removed from the cob and roasted with smoked paprika, feta and parmesan. Served with fresh cilantro, lime and house-made ranchito sauce."
Charred Shishito Peppers,$6.00,Small Plates + California Flatbreads,"Vegetarian, gluten-free ingredients. East Asian shishito peppers pan-sautéed with soy sauce, garlic and red chili."
Spicy Buffalo Cauliflower,$7.00,Small Plates + California Flatbreads,"Favorites, vegetarian. Fresh cauliflower florets buttermilk-battered and fried to a golden brown, then tossed in house-made sriracha buffalo sauce and topped with a salad of celery, cilantro, scallions and Gorgonzola."
Crispy Potatoes,$6.00,Small Plates + California Flatbreads,"Vegetarian. Smashed fingerling potatoes cooked to a golden brown, topped with parmesan and cilantro. Served with chimichurri rojo."
Bianco Flatbread,$7.50,Small Plates + California Flatbreads,"Favorites, vegetarian. Whipped truffle cream, Gorgonzola, mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.50,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California olive ranch extra virgin olive oil with romano and parmesan."
Mexican Street Corn,$4.99,Small Plates + California Flatbreads,"Vegetarian. Creamy sweet corn removed from the cod and roasted with smoked paprika, Feta and Parmesan. Served with fresh cilantro, lime and housemade ranchito sauce."
Avocado Club Egg Rolls,$11.00,Shareables,"Favorites. Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Crispy Ahi Tuna Roll,$13.50,Shareables,"Wild-caught ahi tuna, avocado, nori and shaved cabbage hand-rolled in a crispy wonton with our house-made tamari-ginger dipping sauce."
Dynamite Shrimp,$11.00,Shareables,Crispy shrimp tossed in a sweet & spicy sriracha sauce with slivered scallions and sesame seeds.
Chorizo Queso Fundido,$9.00,Shareables,Monterey jack and quesadilla cheese baked in our hearth oven with fire-roasted poblanos and spicy chorizo. Served with salsa verde and choice of house-made blue & white corn tortilla chips or warm tortillas.
Spinach Artichoke Dip,$11.00,Shareables,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Szechwan Chicken Dumplings,$9.00,Shareables,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Dakota Smashed Pea + Barley,$5.00,Soups,"Favorites, vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Sedona Tortilla,$5.00,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, southwestern spices and crispy tortillas."
Baked Potato,$5.00,Soups,Purée of potato with nueske’s applewood smoked bacon and scallions.
Tomato Basil Bisque,$5.00,Soups,"Our velvety tomato bisque with a touch of cream, topped with house-made garlic butter croutons."
The Original BBQ Chicken Chopped Salad (Half),$11.50,Salads,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
Classic Caesar (Half),$8.00,Salads,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Thai Crunch (Half),$12.00,Salads,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing. Suggested with fresh avocado."
Poke Chop Chop (Half),$16.00,Salads,"Gluten-free ingredients. Marinated fresh ahi tuna served over baby bok choy greens, spicy kimchi pears, fresh arugula, cucumber and cilantro, tossed in our house-made black sesame vinaigrette."
Roasted Veggie (Half),$11.00,Salads,"Vegetarian, gluten-free ingredients. Warm artichoke hearts, roasted butternut squash & cauliflower, grilled Japanese eggplant & zucchini, charred red onion petals and sun-dried tomatoes served over cool romaine & baby kale with fresh avocado and house-made Dijon balsamic vinaigrette. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Quinoa + Arugula (Half),$10.50,Salads,"Favorites, vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and feta tossed in our house-made champagne vinaigrette. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
Italian Chopped (Half),$11.50,Salads,"Gluten-free ingredients. Roasted turkey breast, torn pepperoni, garbanzo beans, pepperoncini, tomatoes, mozzarella, fresh basil and scallions tossed in house-made mustard herb vinaigrette."
CPK Cobb (Half),$12.00,Salads,"Gluten-free ingredients. Chicken breast, avocado, nueske’s applewood smoked bacon, tomatoes, beets, crumbled Gorgonzola, fresh basil and chopped egg with house-made herb ranch or bleu cheese dressing."
Waldorf Chicken (Half),$11.50,Salads,"Gluten-free ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with house-made Dijon balsamic vinaigrette."
Grilled Steak (Half),$15.00,Salads,"Gluten-free ingredients. Warm steak served over chopped lettuce & arugula, nueske’s applewood smoked bacon, jicama, red cabbage, charred red onion petals, tomatoes and Gorgonzola tossed in bleu cheese. Suggested with fresh avocado."
