Rating,Number Of Ratings,Address
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
New! Spicy Buffalo Cauliflower,$7.49,Small Plates + California Flatbreads,"Vegetarian. Fresh cauliflower florets fried to a golden brown with buttermilk batter, then tossed in housemade Sriracha buffalo sauce and topped with a salad of celery, Gorgonzola and cilantro."
Asparagus + Arugula Salad,$5.99,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
Tomato Bisque,$5.99,Soups,"New! Our velvety tomato bisque with a touch of cream,
topped with housemade garlic butter croutons"
Sedona Tortilla,$5.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, Southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$5.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$5.99,Soups,Purée of potato with Nueske's applewood smoked bacon and scallions.
Two in a Bowl,$8.99,Soups,"CPK Favorite! Two of our signature soups, served side-by-side in the same bowl."
The Original BBQ Chicken Chopped,$10.99,Salads,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Roasted Veggie,$10.99,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served over cool Romaine with avocado and housemade Dijon balsamic vinaigrette."
Classic Caesar,$7.99,Salads,Crisp Romaine with shaved Parmesan and housemade garlic butter croutons.
Waldorf Chicken,$10.99,Salads,"Gluten-Free Ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with housemade Dijon balsamic vinaigrette."
Thai Crunch,$10.99,Salads,"CPK Favorite! Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing."
California Cobb,$11.49,Salads,"Gluten-Free Ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with housemade herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$10.99,Salads,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil tossed in mustard herb vinaigrette."
Quinoa + Arugula,$10.99,Salads,"CPK Favorite! Vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and Feta tossed in our housemade Champagne vinaigrette."
Banh Mi Bowl,$14.99,Power Bowls,"Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radishes, fresh avocado, cucumbers, carrots, bean sprouts, scallions and sesame seeds. Served with housemade chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$14.99,Power Bowls,"Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with housemade poblano ranch."
The Original BBQ Chicken,$14.99,Original Hand-Tossed Pizzas,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Works,$15.69,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, Cremini mushrooms, Mozzarella, red onions, green peppers, olives and wild Greek oregano."
Thai Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Grilled chicken breast with peanut sauce topped with crisp bean sprouts, julienned carrots and slivered scallions."
Wild Mushroom,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Shaved Cremini, Shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, Romano and Mozzarella. Finished with Parmesan."
Hawaiian,$13.99,Original Hand-Tossed Pizzas,"Fresh pineapple, applewood smoked ham and slivered scallions."
Five Cheese + Fresh Tomato,$12.79,Original Hand-Tossed Pizzas,"Vegetarian. Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Romano with tomato and fresh basil."
Spicy Chipotle Chicken,$13.99,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey Jack with housemade roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
New! Carne Asada,$15.79,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, Mozzarella, Monterey Jack and fresh cilantro. Served with housemade salsa verde."
California Club,$14.89,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, roasted chicken and Mozzarella, hearth-baked then topped with avocado, wild arugula, fresh torn basil and Romaine tossed in lemon-pepper mayo."
California Veggie,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, Cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and Mozzarella."
Pepperoni,$13.99,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$14.99,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh-torn basil, Mozzarella and wild Greek oregano."
Roasted Garlic Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Sweet caramelized onions, fresh Mozzarella, Parmesan, slivered scallions and cracked black pepper."
Sicilian,$15.29,Crispy Thin-Crust Pizzas,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Tostada,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Crisp lettuce, tortilla strips and housemade herb ranch top this hearth-baked crust with layers of black beans, melted Cheddar and Monterey Jack. Served with flame-roasted salsa."
Margherita,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Jamaican Jerk Chicken,$14.79,Crispy Thin-Crust Pizzas,"Spicy sweet Caribbean sauce, authentic Jamaican spices, Nueske’s applewood smoked bacon, red onions and bell peppers."
Roasted Artichoke + Spinach,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan over a layer of our legendary Spinach Artichoke Dip."
The Original BBQ Chicken (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"CPK Favorite! Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, Mozzarella and wild Greek oregano."
Margherita (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
New! Wild Mushroom Strozzapreti,$14.99,Pastas,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Chicken Tequila Fettuccine,$13.99,Pastas,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$11.99,Pastas,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$11.99,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Bolognese Spaghetti,$13.59,Pastas,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley.
Jambalaya Fettuccine,$16.99,Pastas,"Blackened chicken and shrimp, crawfish, Andouille sausage and Tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$14.79,Pastas,"CPK Favorite! Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, Parmesan and a touch of fettuccine."
Pesto Cream Penne,$11.99,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Hearth-Roasted Halibut,$23.99,Main Plates,"Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Cedar Plank Salmon,$19.99,Main Plates,"CPK Favorite! North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with Feta. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Chicken Piccata,$17.49,Main Plates,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Chicken Milanese,$17.49,Main Plates,"Panko-crusted chicken breast topped with wild arugula and housemade checca, finished with California Olive Ranch extra virgin olive oil and shaved Parmesan."
Crispy Fish Tacos,$15.79,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, Sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our housemade chips."
Fire-Grilled Ribeye,$25.99,Main Plates,"CPK Favorite! 12oz USDA choice ribeye grilled with housemade Pinot Noir sea salt and topped with creamy bleu cheese butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Roasted Garlic Chicken + Seasonal Vegetables,$19.99,Main Plates,"Pan-roasted chicken breast in lemon-garlic sauce with hearth-roasted fingerling potatoes, cauliflower, Mediterranean herbs and seasonal vegetables."
CPKid's Curly Mac 'n' Cheese,$5.79,CPKids, 
CPKid's Fusilli with Meat Sauce,$5.69,CPKids,With Parmesan.
CPKid's Buttered Fusilli,$5.69,CPKids,With butter or olive oil.
CPKid's Fusilli with Tomato Sauce,$5.69,CPKids, 
CPKid's Fusilli Alfredo,$5.69,CPKids,With Parmesan-cream sauce.
CPKid's CPK Salad,$5.59,CPKids,"Crisp romaine tossed with your choice of dressing, topped with Cheddar Goldfish®."
CPKid's Grilled Chicken Breast,$5.99,CPKids,Served with baby broccoli.
CPKid's Crispy Chicken,$6.29,CPKids,"Served with baby broccoli, herb-ranch and ketchup."
CPKid's Original BBQ Chicken Pizza,$5.99,CPKids,"BBQ sauce, chicken and Mozzarella."
CPKid's Mushroom Pepperoni Sausage Pizza,$5.79,CPKids,"Mushrooms, pepperoni, Italian sausage, Mozzarella and tomato sauce."
CPKid's Hawaiian Pizza,$5.59,CPKids,"Pineapple, Applewood-smoked ham, tomato sauce and Mozzarella."
CPKid's Traditional Cheese Pizza,$5.49,CPKids,Vegetarian. Tomato sauce and Mozzarella.
CPKid's Pepperoni Pizza,$5.69,CPKids,"Pepperoni, tomato sauce and Mozzarella."
CPKid's Brownie,$1.99,CPKids, 
CPKid's M&M's Sundae,$2.69,CPKids, 
Butter Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Red Velvet Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls.
Salted Caramel Pudding,$5.99,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural flaked Maldon sea salt."
Key Lime Pie,$6.99,Desserts,Vegetarian. On a graham cracker crust with housemade whipped cream.
Belgian Chocolate Soufflé Cake,$6.99,Desserts,Vegetarian. Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce.
Include Bread Only,$0.00,Additions and Extras, 
Include Napkins + Utensils Only,$0.00,Additions and Extras, 
Include Bread + Napkins + Utensils,$0.00,Additions and Extras, 
Soda (Can),$1.99,Beverages,12oz. can.
Dasani Water,$1.99,Beverages,½L. bottle.
Cucumber Reviver,$3.29,Beverages, 
Fresh Strawberry Mango Cooler,$3.29,Beverages, 
Sparkling Cranberry Cooler,$3.29,Beverages, 
Sparkling Berry-Lemon,$2.99,Beverages,"Perfectly refreshing Perrier Lemon Sparkling Water with a light berry flavor, fresh lemon, blueberries & thyme (non-alcoholic & non-refillable)."
Perrier Lemon Sparkling Water,$2.50,Beverages, 
Fresh Lemonade,$2.99,Beverages, 
Passion Fruit Mango Iced Tea,$2.99,Beverages, 
Freshly Brewed Iced Tea,$2.99,Beverages, 
Frozen Lemonade,$3.99,Beverages, 
Bottle Water - Acqua Panna (1/2 liter),$3.79,Beverages, 
Bottle Water - Acqua Panna (1 Liter),$4.79,Beverages, 
San Pellegrino Sparkling Mineral Water (500ml),$3.79,Beverages, 
San Pellegrino Sparkling Mineral Water (1 Liter),$4.79,Beverages, 
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Mexican Street Corn,$4.99,Seasonal Offerings,"Creamy sweet corn removed from the cob and roasted with smoked paprika, feta and parmesan.  Served with fresh cilantro, lime and housemade ranchito sauce. Vegetarian."
Citrus Adobo Pizza,$14.99,Seasonal Offerings,"Slow-cooked pork carnitas tossed in our house-made ancho chili adobo sauce with sweet white corn, roasted peppers, quesadilla & Monterey Jack cheeses, fresh cilantro & lime, served with a side of spicy chili de arbol salsa."
Chile-Braised Short Ribs + Chipotle Mac 'n' Cheese,$21.99,Seasonal Offerings,"Tender, boneless beef short ribs braised in Pinot Noir and smokey ancho chile, served over spicy chipotle mac 'n' cheese with grilled shishito peppers, fresh cilantro & scallions."
Shrimp Scampi Pizza,$13.99,Seasonal Offerings,"Housemade lemon-garlic shrimp with caramelized onions, Mozzarella, Parmesan and red chili, topped with fresh arugula and wild Greek oregano"
Spinach Artichoke Dip,$10.99,Appetizers,CPK Favorite! Vegetarian. Served hot with housemade blue & white corn tortilla chips.
Avocado Club Egg Rolls,$10.99,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Lettuce Wraps,$10.49,Appetizers,"Fresh Shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy."
Szechuan Chicken Dumplings,$8.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Any Two),$8.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Any Three),$10.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
New! Charred Shishito Peppers,$6.79,Small Plates + California Flatbreads,"East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Petite Wedge,$5.39,Small Plates + California Flatbreads,"Gluten-Free Ingredients. Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and Roma tomatoes."
Crispy Mac 'n' Cheese,$4.99,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
Bianco Flatbread,$7.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.49,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
New! Spicy Buffalo Cauliflower,$7.49,Small Plates + California Flatbreads,"Vegetarian. Fresh cauliflower florets fried to a golden brown with buttermilk batter, then tossed in housemade Sriracha buffalo sauce and topped with a salad of celery, Gorgonzola and cilantro."
Asparagus + Arugula Salad,$5.99,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
Tomato Bisque,$5.99,Soups,"New! Our velvety tomato bisque with a touch of cream,
topped with housemade garlic butter croutons"
Sedona Tortilla,$5.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, Southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$5.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$5.99,Soups,Purée of potato with Nueske's applewood smoked bacon and scallions.
Two in a Bowl,$8.99,Soups,"CPK Favorite! Two of our signature soups, served side-by-side in the same bowl."
The Original BBQ Chicken Chopped,$10.99,Salads,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Roasted Veggie,$10.99,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served over cool Romaine with avocado and housemade Dijon balsamic vinaigrette."
Classic Caesar,$7.99,Salads,Crisp Romaine with shaved Parmesan and housemade garlic butter croutons.
Waldorf Chicken,$10.99,Salads,"Gluten-Free Ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with housemade Dijon balsamic vinaigrette."
Thai Crunch,$10.99,Salads,"CPK Favorite! Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing."
California Cobb,$11.49,Salads,"Gluten-Free Ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with housemade herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$10.99,Salads,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil tossed in mustard herb vinaigrette."
Quinoa + Arugula,$10.99,Salads,"CPK Favorite! Vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and Feta tossed in our housemade Champagne vinaigrette."
Banh Mi Bowl,$14.99,Power Bowls,"Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radishes, fresh avocado, cucumbers, carrots, bean sprouts, scallions and sesame seeds. Served with housemade chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$14.99,Power Bowls,"Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with housemade poblano ranch."
The Original BBQ Chicken,$14.99,Original Hand-Tossed Pizzas,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Works,$15.69,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, Cremini mushrooms, Mozzarella, red onions, green peppers, olives and wild Greek oregano."
Thai Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Grilled chicken breast with peanut sauce topped with crisp bean sprouts, julienned carrots and slivered scallions."
Wild Mushroom,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Shaved Cremini, Shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, Romano and Mozzarella. Finished with Parmesan."
Hawaiian,$13.99,Original Hand-Tossed Pizzas,"Fresh pineapple, applewood smoked ham and slivered scallions."
Five Cheese + Fresh Tomato,$12.79,Original Hand-Tossed Pizzas,"Vegetarian. Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Romano with tomato and fresh basil."
Spicy Chipotle Chicken,$13.99,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey Jack with housemade roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
New! Carne Asada,$15.79,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, Mozzarella, Monterey Jack and fresh cilantro. Served with housemade salsa verde."
California Club,$14.89,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, roasted chicken and Mozzarella, hearth-baked then topped with avocado, wild arugula, fresh torn basil and Romaine tossed in lemon-pepper mayo."
California Veggie,$13.99,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, Cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and Mozzarella."
Pepperoni,$13.99,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$14.99,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh-torn basil, Mozzarella and wild Greek oregano."
Roasted Garlic Chicken,$13.99,Original Hand-Tossed Pizzas,"CPK Favorite! Sweet caramelized onions, fresh Mozzarella, Parmesan, slivered scallions and cracked black pepper."
Sicilian,$15.29,Crispy Thin-Crust Pizzas,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Tostada,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Crisp lettuce, tortilla strips and housemade herb ranch top this hearth-baked crust with layers of black beans, melted Cheddar and Monterey Jack. Served with flame-roasted salsa."
Margherita,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Jamaican Jerk Chicken,$14.79,Crispy Thin-Crust Pizzas,"Spicy sweet Caribbean sauce, authentic Jamaican spices, Nueske’s applewood smoked bacon, red onions and bell peppers."
Roasted Artichoke + Spinach,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan over a layer of our legendary Spinach Artichoke Dip."
The Original BBQ Chicken (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"CPK Favorite! Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, Mozzarella and wild Greek oregano."
Margherita (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
New! Wild Mushroom Strozzapreti,$14.99,Pastas,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Chicken Tequila Fettuccine,$13.99,Pastas,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$11.99,Pastas,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$11.99,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Bolognese Spaghetti,$13.59,Pastas,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley.
Jambalaya Fettuccine,$16.99,Pastas,"Blackened chicken and shrimp, crawfish, Andouille sausage and Tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$14.79,Pastas,"CPK Favorite! Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, Parmesan and a touch of fettuccine."
Pesto Cream Penne,$11.99,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Hearth-Roasted Halibut,$23.99,Main Plates,"Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Cedar Plank Salmon,$19.99,Main Plates,"CPK Favorite! North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with Feta. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Chicken Piccata,$17.49,Main Plates,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Chicken Milanese,$17.49,Main Plates,"Panko-crusted chicken breast topped with wild arugula and housemade checca, finished with California Olive Ranch extra virgin olive oil and shaved Parmesan."
Crispy Fish Tacos,$15.79,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, Sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our housemade chips."
Fire-Grilled Ribeye,$25.99,Main Plates,"CPK Favorite! 12oz USDA choice ribeye grilled with housemade Pinot Noir sea salt and topped with creamy bleu cheese butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
