Rating,Number Of Ratings,Address
4.6/5,138 ratings,"20502 N Rand Rd, Deer Park, IL 60010, USA"
Crispy Mac 'n' Cheese,$5.49,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
Bianco Flatbread,$7.99,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.99,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
New! Spicy Buffalo Cauliflower,$7.99,Small Plates + California Flatbreads,"Vegetarian.Fresh cauliflower florets fried to a golden brown with buttermilk batter, then tossed in housemade Sriracha buffalo sauce and topped with a salad of celery, Gorgonzola and cilantro."
Asparagus + Arugula Salad,$6.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
Sedona Tortilla,$5.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, Southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$5.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$5.99,Soups,Purée of potato with Nueske's Applewood-smoked bacon and scallions.
Two in a Bowl,$8.99,Soups,"CPK Favorite! Two of our signature soups, served side-by-side in the same bowl."
The Original BBQ Chicken Chopped,$11.99,Salads,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Roasted Veggie,$11.49,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served over cool Romaine with avocado and housemade Dijon balsamic vinaigrette."
Classic Caesar,$8.49,Salads,Crisp Romaine with shaved Parmesan and housemade garlic butter croutons.
Waldorf Chicken,$11.99,Salads,"Gluten-Free Ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with housemade Dijon balsamic vinaigrette."
Thai Crunch,$11.99,Salads,"CPK Favorite! Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing."
Italian Chopped,$11.79,Salads,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil tossed in mustard herb vinaigrette."
Chinese Chicken,$11.69,Salads,"Napa & red cabbage, Romaine and wontons tossed with scallions, fresh cilantro, sesame seeds and hoisin ginger vinaigrette."
Quinoa + Arugula,$10.99,Salads,"CPK Favorite! Vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and Feta tossed in our housemade Champagne vinaigrette."
The Original BBQ Chicken,$14.99,Original Hand-Tossed Pizzas,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Works,$15.79,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, Cremini mushrooms, Mozzarella, red onions, green peppers, olives and wild Greek oregano."
Thai Chicken,$14.49,Original Hand-Tossed Pizzas,"CPK Favorite! Grilled chicken breast with peanut sauce topped with crisp bean sprouts, julienned carrots and slivered scallions."
Wild Mushroom,$14.49,Original Hand-Tossed Pizzas,"Vegetarian. Shaved Cremini, Shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, Romano and Mozzarella. Finished with Parmesan."
Hawaiian,$14.49,Original Hand-Tossed Pizzas,"Fresh pineapple, applewood smoked ham and slivered scallions."
Five Cheese + Fresh Tomato,$12.99,Original Hand-Tossed Pizzas,"Vegetarian. Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Romano with tomato and fresh basil."
Spicy Chipotle Chicken,$13.99,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey Jack with housemade roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
New! Carne Asada,$16.59,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, Mozzarella, Monterey Jack and fresh cilantro. Served with housemade salsa verde."
California Club,$15.49,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, roasted chicken and Mozzarella, hearth-baked then topped with avocado, wild arugula, fresh torn basil and Romaine tossed in lemon-pepper mayo."
California Veggie,$14.49,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, Cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and Mozzarella."
Pepperoni,$13.99,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$15.49,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh-torn basil, Mozzarella and wild Greek oregano."
Roasted Garlic Chicken,$14.49,Original Hand-Tossed Pizzas,"CPK Favorite! Sweet caramelized onions, fresh Mozzarella, Parmesan, slivered scallions and cracked black pepper."
Sicilian,$16.49,Crispy Thin-Crust Pizzas,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Tostada,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Crisp lettuce, tortilla strips and housemade herb ranch top this hearth-baked crust with layers of black beans, melted Cheddar and Monterey Jack. Served with flame-roasted salsa."
Margherita,$14.49,Crispy Thin-Crust Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Jamaican Jerk Chicken,$14.99,Crispy Thin-Crust Pizzas,"Spicy sweet Caribbean sauce, authentic Jamaican spices, Nueske’s applewood smoked bacon, red onions and bell peppers."
Roasted Artichoke + Spinach,$14.79,Crispy Thin-Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan over a layer of our legendary Spinach Artichoke Dip."
The Original BBQ Chicken (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"CPK Favorite! Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage (GIG-Certified Gluten-Free),$17.49,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, Mozzarella and wild Greek oregano."
Margherita (GIG-Certified Gluten-Free),$16.49,Gluten-Free Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
New! Wild Mushroom Strozzapreti,$15.49,Pastas,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Chicken Tequila Fettuccine,$14.99,Pastas,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$12.99,Pastas,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$11.99,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Bolognese Spaghetti,$13.99,Pastas,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley..
Jambalaya Fettuccine,$17.69,Pastas,"Blackened chicken and shrimp, crawfish, Andouille sausage and Tasso ham in our spicy Cajun sauce."
Shrimp Scampi Zucchini,$15.79,Pastas,"CPK Favorite! Our lighter spin on a traditional recipe. Zucchini ribbons sautéed with lemon, garlic and white wine, tossed with fresh Italian parsley, Parmesan and a touch of fettuccine."
Pesto Cream Penne,$12.69,Pastas,Vegetarian. Freshly made basil pesto cream sauce with sun-dried tomatoes and Parmesan.
Hearth-Roasted Halibut,$24.99,Main Plates,"Wild-caught North Pacific halibut roasted on a cedar plank with grilled asparagus and creamy farro with butternut squash & baby kale. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Cedar Plank Salmon,$20.69,Main Plates,"CPK Favorite! Gluten-Free Ingredients. North Atlantic salmon roasted on a cedar plank in our hearth oven with smoked paprika and lime. Served with white corn & spinach succotash and topped with Feta. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Chicken Piccata,$17.79,Main Plates,"Pan-roasted chicken breast with spaghettini, lemon, capers and cream."
Chicken Milanese,$17.79,Main Plates,"Panko-crusted chicken breast topped with wild arugula and housemade checca, finished with California Olive Ranch extra virgin olive oil and shaved Parmesan"
Crispy Fish Tacos,$15.99,Main Plates,"Panko-crusted filleted white fish, fresh avocado, shaved cabbage, Sriracha ranch and fresh cilantro. Served with flame-roasted salsa and our housemade chips."
Fire-Grilled Ribeye,$26.99,Main Plates,"12oz. USDA choice ribeye grilled with housemade Pinot Noir sea salt and topped with creamy bleu cheese butter. Served with roasted fingerling potatoes and lemon-garlic wild arugula salad. *This item may contain raw or undercooked ingredients. Consuming raw or undercooked meats, poultry, seafood, shellfish or eggs may increase your risk of foodborne illness, especially if you have certain medical conditions."
Curly Mac 'n' Cheese,$5.79,CPKids, 
Buttered Fusilli,$5.69,CPKids,With butter or olive oil.
Fusilli with Tomato Sauce,$5.69,CPKids, 
Fusilli Alfredo,$5.69,CPKids,With Parmesan-cream sauce.
CPK Salad,$5.59,CPKids,"Crisp romaine tossed with your choice of dressing, topped with Cheddar Goldfish®."
Grilled Chicken Breast,$5.99,CPKids,Served with baby broccoli.
Crispy Chicken,$6.29,CPKids,"Served with baby broccoli, herb-ranch and ketchup."
Original BBQ Chicken Pizza,$5.99,CPKids,"BBQ sauce, chicken and Mozzarella."
Mushroom Pepperoni Sausage Pizza,$5.79,CPKids,"Mushrooms, pepperoni, Italian sausage, Mozzarella and tomato sauce."
Hawaiian Pizza,$5.59,CPKids,"Pineapple, Applewood-smoked ham, tomato sauce and Mozzarella."
Traditional Cheese Pizza,$5.49,CPKids,Tomato sauce and Mozzarella.
Pepperoni Pizza,$5.69,CPKids,"Pepperoni, tomato sauce and Mozzarella."
Butter Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Red Velvet Cake,$7.69,Desserts,CPK Favorite! Vegetarian. Frosted with hand-whipped vanilla bean cream cheese and white chocolate curls.
Salted Caramel Pudding,$5.99,Desserts,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, housemade whipped cream, caramel sauce and natural-flaked Maldon sea salt."
Key Lime Pie,$6.99,Desserts,Vegetarian. On a graham cracker crust with housemade whipped cream.
Belgian Chocolate Soufflé Cake,$6.99,Desserts,Vegetarian. Warm chocolate cake served with triple-thick hot fudge and vanilla bean sauce.
New! Cucumber Reviver,$3.29,Beverages, 
Fresh Strawberry Mango Cooler,$3.29,Beverages,CPK Favorite!
Sparkling Cranberry Cooler,$3.29,Beverages, 
CPK Lemonade,$2.99,Beverages, 
Freshly Brewed Iced Tea,$2.99,Beverages, 
New! Passion Fruit Mango Iced Tea,$2.99,Beverages,Freshly brewed unsweetened iced tea with a blend of authentic tropical flavors.
Frozen Lemonade,$3.99,Beverages, 
Soda Can,$1.99,Beverages,12oz. can.
Dasani Bottled Water,$1.99,Beverages,½L. bottle.
Include Bread Only,$0.00,Additions and Extras, 
Include Napkins + Utensils Only,$0.00,Additions and Extras, 
Include Bread + Napkins + Utensils,$0.00,Additions and Extras, 
4.6/5,138 ratings,"20502 N Rand Rd, Deer Park, IL 60010, USA"
The Original BBQ Chicken,$14.99,Most Loved,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Original BBQ Chicken Chopped,$11.99,Most Loved,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Classic Caesar,$8.49,Most Loved,Crisp Romaine with shaved Parmesan and housemade garlic butter croutons.
Garlic Cream Fettuccine,$12.99,Most Loved,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Thai Crunch,$11.99,Most Loved,"CPK Favorite! Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing."
California Cobb,$11.99,Most Loved,"Calories. Gluten-Free Ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with housemade herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$11.79,Most Loved,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil tossed in mustard herb vinaigrette."
Pepperoni,$13.99,Most Loved,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
"7"" Lunch-Size Pizza + Salad",$11.95,Most Popular, 
Curly Mac 'n' Cheese,$5.79,Most Popular, 
Soda Can,$1.99,Most Popular,12oz. can.
"7"" Lunch-Size Pizza + Soup",$11.95,Most Popular, 
Avocado Club Egg Rolls,$11.69,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Traditional Cheese Pizza,$5.49,Most Popular,Tomato sauce and Mozzarella.
Waldorf Chicken,$11.99,Most Popular,"Gluten-Free Ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with housemade Dijon balsamic vinaigrette."
Lemongrass Chicken,$19.99,Seasonal Offerings,"Pan-roasted chicken in a lemongrass ginger glaze, over a stir-fry of baby bok choy, roasted farro, Shiitake mushrooms and red chili."
Banh Mi Bowl,$14.99,Seasonal Offerings,"Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radishes, fresh avocado, cucumbers, carrots, bean sprouts, scallions and sesame seeds. Served with housemade chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$14.99,Seasonal Offerings,"Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with housemade poblano ranch."
"7"" Lunch-Size Pizza + Soup",$11.95,Lunch Duos, 
"7"" Lunch-Size Pizza + Salad",$11.95,Lunch Duos, 
Half Sandwich + Soup,$10.95,Lunch Duos, 
Half Sandwich + Salad,$10.95,Lunch Duos, 
Full-Size Sandwich + Soup,$14.45,Lunch Duos, 
Full-Size Sandwich + Salad,$14.45,Lunch Duos, 
Soup + Salad,$8.95,Lunch Duos, 
Half Piadina + Soup,$9.95,Lunch Duos, 
Half Piadina + Salad,$9.95,Lunch Duos, 
Full-Size Piadina + Soup,$13.45,Lunch Duos, 
Full-Size Piadina + Salad,$13.45,Lunch Duos, 
Spinach Artichoke Dip,$11.69,Appetizers,CPK Favorite! Vegetarian. Served hot with housemade blue and white corn tortilla chips.
Avocado Club Egg Rolls,$11.69,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Lettuce Wraps,$10.69,Appetizers,"Fresh Shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy."
Szechwan Chicken Dumplings,$9.49,Appetizers,Chinese dumplings topped with sesame seeds and scallions. Served with our soy-ginger-chili sauce.
Tortilla Spring Rolls (Any Two),$8.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Any Three),$10.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
New! Charred Shishito Peppers,$7.49,Small Plates + California Flatbreads,"East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Petite Wedge,$5.49,Small Plates + California Flatbreads,"Gluten-Free Ingredients. Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and Roma tomatoes."
Crispy Mac 'n' Cheese,$5.49,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
Bianco Flatbread,$7.99,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.99,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
New! Spicy Buffalo Cauliflower,$7.99,Small Plates + California Flatbreads,"Vegetarian.Fresh cauliflower florets fried to a golden brown with buttermilk batter, then tossed in housemade Sriracha buffalo sauce and topped with a salad of celery, Gorgonzola and cilantro."
Asparagus + Arugula Salad,$6.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Tossed in housemade lemon vinaigrette with sun-dried tomatoes, toasted almonds and shaved Parmesan."
Sedona Tortilla,$5.99,Soups,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, Southwestern spices and crispy tortillas."
Dakota Smashed Pea + Barley,$5.99,Soups,"Vegetarian. A hearty split pea soup with barley, carrots, onions, savory herbs and scallions."
Baked Potato,$5.99,Soups,Purée of potato with Nueske's Applewood-smoked bacon and scallions.
Two in a Bowl,$8.99,Soups,"CPK Favorite! Two of our signature soups, served side-by-side in the same bowl."
The Original BBQ Chicken Chopped,$11.99,Salads,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Roasted Veggie,$11.49,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served over cool Romaine with avocado and housemade Dijon balsamic vinaigrette."
Classic Caesar,$8.49,Salads,Crisp Romaine with shaved Parmesan and housemade garlic butter croutons.
Waldorf Chicken,$11.99,Salads,"Gluten-Free Ingredients. Grapes, green apples, candied walnuts, crisp celery, field greens and Gorgonzola tossed with housemade Dijon balsamic vinaigrette."
Thai Crunch,$11.99,Salads,"CPK Favorite! Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing."
California Cobb,$11.99,Salads,"Calories. Gluten-Free Ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with housemade herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$11.79,Salads,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil tossed in mustard herb vinaigrette."
Quinoa + Arugula,$10.99,Salads,"CPK Favorite! Vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and Feta tossed in our housemade Champagne vinaigrette."
The Original BBQ Chicken,$14.99,Original Hand-Tossed Pizzas,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Works,$15.79,Original Hand-Tossed Pizzas,"Spicy Italian sausage, rustic pepperoni, Cremini mushrooms, Mozzarella, red onions, green peppers, olives and wild Greek oregano."
Thai Chicken,$14.49,Original Hand-Tossed Pizzas,"CPK Favorite! Grilled chicken breast with peanut sauce topped with crisp bean sprouts, julienned carrots and slivered scallions."
Wild Mushroom,$14.49,Original Hand-Tossed Pizzas,"Vegetarian. Shaved Cremini, Shiitake, Portobello and white mushrooms with slivered scallions, cracked black pepper, Romano and Mozzarella. Finished with Parmesan."
Hawaiian,$14.49,Original Hand-Tossed Pizzas,"Fresh pineapple, applewood smoked ham and slivered scallions."
Five Cheese + Fresh Tomato,$12.99,Original Hand-Tossed Pizzas,"Vegetarian. Fresh and traditional Mozzarella, Monterey Jack, smoked Gouda and Romano with tomato and fresh basil."
Spicy Chipotle Chicken,$13.99,Original Hand-Tossed Pizzas,"Chipotle adobo sauce, shaved poblanos and Monterey Jack with housemade roasted corn & black bean salsa, fresh cilantro and tangy lime crema."
New! Carne Asada,$16.59,Original Hand-Tossed Pizzas,"Tender marinated steak, fire-roasted poblanos, cilantro pesto, yellow onions, Mozzarella, Monterey Jack and fresh cilantro. Served with housemade salsa verde."
California Club,$15.49,Original Hand-Tossed Pizzas,"Nueske’s applewood smoked bacon, roasted chicken and Mozzarella, hearth-baked then topped with avocado, wild arugula, fresh torn basil and Romaine tossed in lemon-pepper mayo."
California Veggie,$14.49,Original Hand-Tossed Pizzas,"Vegetarian. Broccolini, eggplant, Cremini mushrooms, sun-dried tomatoes, roasted corn, red onions and Mozzarella."
Pepperoni,$13.99,Original Hand-Tossed Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage,$15.49,Original Hand-Tossed Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh-torn basil, Mozzarella and wild Greek oregano."
Roasted Garlic Chicken,$14.49,Original Hand-Tossed Pizzas,"CPK Favorite! Sweet caramelized onions, fresh Mozzarella, Parmesan, slivered scallions and cracked black pepper."
Sicilian,$16.49,Crispy Thin-Crust Pizzas,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Tostada,$13.99,Crispy Thin-Crust Pizzas,"Vegetarian. Crisp lettuce, tortilla strips and housemade herb ranch top this hearth-baked crust with layers of black beans, melted Cheddar and Monterey Jack. Served with flame-roasted salsa."
Margherita,$14.49,Crispy Thin-Crust Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Jamaican Jerk Chicken,$14.99,Crispy Thin-Crust Pizzas,"Spicy sweet Caribbean sauce, authentic Jamaican spices, Nueske’s applewood smoked bacon, red onions and bell peppers."
Roasted Artichoke + Spinach,$14.79,Crispy Thin-Crust Pizzas,"Vegetarian. Oven-roasted artichoke hearts, roasted garlic, sautéed spinach, Mozzarella and Parmesan over a layer of our legendary Spinach Artichoke Dip."
The Original BBQ Chicken (GIG-Certified Gluten-Free),$16.99,Gluten-Free Pizzas,"CPK Favorite! Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni (GIG-Certified Gluten-Free),$15.99,Gluten-Free Pizzas,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Mushroom Pepperoni Sausage (GIG-Certified Gluten-Free),$17.49,Gluten-Free Pizzas,"Cremini mushrooms, rustic pepperoni, spicy Italian sausage, fresh torn basil, Mozzarella and wild Greek oregano."
Margherita (GIG-Certified Gluten-Free),$16.49,Gluten-Free Pizzas,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
New! Wild Mushroom Strozzapreti,$15.49,Pastas,"Rolled pasta noodles with pan-sautéed Cremini, Portobello and seasonal mushrooms, Parmesan, fresh thyme and Italian parsley."
Chicken Tequila Fettuccine,$14.99,Pastas,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Garlic Cream Fettuccine,$12.99,Pastas,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Kung Pao Spaghetti,$11.99,Pastas,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
