,Username,location,friend_count,review_count,photo_count,rating,date,review,Url
10,Natalie T.,"Missouri City, TX",40,127,181,4,9/21/2017,"Came here on a Wednesday night for mid week date night but I was actually craving a burger. Long and behold the food gods must've heard my prayer because Wednesday night's is $10 loaded burger night with unlimited fries at BJs. It is a pretty good deal, considering the portions are pretty big....I was only able to finish half of my burger! Now I have visited this restuarant many many times in the past but this visit was very different. I was åÊtruly impressed by both the quality of food AND enjoyed the great service. åÊ(S/O to Raven for being so efficient yet friendly and nice). I'll definitely return again.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
11,Natalie R.,"Pearland, TX",3,17,12,1,6/22/2017,"My experience last night at this location was terrible. My server was Alexsandra B (that's the name on the receipt, she never actually introduced herself).  Let me start by saying my friends and I attend this restaurant often. The location is convenient for all of us and the pizookie is usually what gets us in, and the food is usually good too.  We went to the restaurant to catch up with each other. Our server was friendly but every time we wanted another drink or an appetizer we had to flag her down. She would constantly go to the tables on both sides of our booth and we would try to catch her when she dashed by. We finally caught her again when we were ready to order our meal.  We must have waited close to 40 minutes for our food. Please keep in mind that it was after 10 on a Wednesday night, so the place wasn't packed at all but somehow we continued to wait. Not once did the server come over to check on us, ask if anyone wanted another drink, or to give us an update on our food.  Finally one of the guys from the kitchen brings out our food. It was cold. Not cool, but actually cold. My friend ordered a pizza, she had to wait another 5 minutes for Alexsandra to bring her a plate. When my friend got the plate and grabbed a slice there was no gooey cheese coming up, her pizza was also cold. When the guy brought the pizza he brought it out with the pan carrier (that's used when the pizza is sizzling hot so they don't get burned) he could have just used his hands. This pan wasn't even warm. It seemed like the food was just sitting there in the back. If it's late night, and I assume you want to go home, wouldn't you get this food to the table asap? That's clearly not there logic.  Once again the server never came to check on how we were. We were annoyed by that point and my friend flagged her down for boxes and a pizookie. She paced around for a while, I believe at one point sitting at a booth on her phone. We got the check and soon left.  Fast forward to this morning, I woke up with diarrhea and vomiting everywhere. Haha! Guess who got food poisoning!  I'm beyond disappointed with my experience last night. Next time we good out I'll be sure to suggest a different restaurant. There are way to many awesome restaurants in this area, to settle for poor customer service and food that will get you sick. Please do better.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
12,Alexa B.,"Missouri City, TX",323,7,,3,12/10/17,So I haven't been to BJ in a while but I usually like the food. I think it's over priced for the quality though. Their pizzas are the best thing here. When I arrived I was given a dirty plate. Lol wat.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
13,John L.,"Houston, TX",622,68,122,4,3/07/17,"Visited here on a Thursday which has a full rack of ribs, 2 sides, a salad, and dessert for $18!  Be prepared for a wait, this place is always busy that you should probably order your food with your drinks to make sure you're not extremely hungry by the time your food is out.  Overall, the dish was good for the value. The meat on the ribs had a definite nice seasoning with the BBQ sauce.  If you're extremely hungry, get the full rack, if not, I'd suggest the half rack which was $12 or $13, it'll be a better value and you will be stuffed at the end of the course.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
14,Lori L.,"Houston, TX",0,9,2,4,9/14/2017,"It took a couple of minutes for us to be acknowledged at the host stand walking in and sometimes the service is a hit or a miss past a certain time. HOWEVER, our server Brandon V. definitely made our visit an enjoyable experience! He was super friendly, attentive, and even made some really good suggestions so that should be commended.  Food/pizookies are always great too!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
15,Ocie C.,"Westside, Houston, TX",133,45,137,4,8/10/17,"Ok, my 13 year old niece recommended this place and she suggested the hickory brisket and bacon burger. Now, we were skeptical, but oh my my...what a good tasting burger! My twin sister and I loved it. Two of my nieces ordered chicken strips and another ordered the grilled chicken alfredo. Everyone enjoyed their entrees. The atmosphere is very nice and clean, sort of has that upscale brewery feel. Prices are reasonable. Service was friendly and professional.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
16,Paul M.,"Austin, TX",3,77,86,4,2/08/17,Solid choice for lunch HH or dinner. My wife and I love their salads as well as their pizza. If you love beer you will love their house made brews.  HH 3pm - 7pm,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
17,Tammy H.,"Houston, TX",602,156,329,2,1/13/2017,Ehh lunch special spaghetti and grilled chicken Alfredo was okay nothing special for $10.81 but the pazooki which is melty chocolate chip and ice cream was not so bad it was actually tasty. Fun fact get a free one on your bday!,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
18,Jessica A.,"Houston, TX",1,13,11,5,5/26/2017,"Food: pizza, Root Beer glazed wings, clam chowder in the bread bowl, Root Beer glazed ribs, prime rib special and monkey bread pizookie are a must. Staff: Brandon is the best server! Cherry is the best bartender ever! Manager Erick is always checking on all the tables to make sure everyone is satisfied. I have no complaints but that the staff should be more like them. At least a fake smile to make this place more welcoming.  Great atmosphere and great music. You will have a great time. Drinks are awesome!!! Try the Strawberry pina colada drink( can't recall the name)",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
19,Caroline K.,"Sugar Land Town Square, Sugar Land, TX",154,1,,1,12/28/2017,If you're looking for a place with even close to OK service DO NOT COME HERE. Multiple times have had to get up and leave because it took longer than 15 minutes for anyone to even come to the table. This location SUCKS with service,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
20,Haley R.,"Richmond, TX",0,4,,5,9/05/17,"Decided to come here for lunch with my mom, aunt, cousin and grandparents, and our server was Stefan. He was very patient, kind, and was on top of things! Soup and salads came out quick, and we always had full drinks. All the food came out hot and correct despite all the modifications.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
21,Tracy H.,"Houston, TX",58,10,9,5,2/28/2017,"I love this place! Food, drinks, and desserts Great! The most wonderful monkey bread I have had next to mines lol. Great for lunch. I celebrated my birthday lunch here the past two years with my coworkers!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
22,Barbie H.,"San Antonio, TX",0,10,1,1,8/22/2017,"Visiting from out of town and there were so many restaurants to choose from in Sugarland. åÊI reviewed the menu before choosing BJ's. åÊThe restaurant was clean, well lit with a fun atmosphere. åÊWe were seated promptly. åÊOur server was friendly. åÊThe major problem with this restaurant was the most important thing - THE FOOD. åÊI had the bison burger and my guest had the chicken sandwich. åÊOur server recommend the chicken sandwich tossed in buffalo sauce so my guest took that option. åÊWhen the food came to the table our server asked him if the sandwich hand been tossed in buffalo sauce and she lifted up the bun herself! åÊSo after putting her hands on his food and showing that it had been tossed in buffalo sauce, she said ""I don't think that's buffalo sauce"" even though it obviously was, and she took the sandwich away, returning moments later saying it was buffalo sauce. åÊWeird. åÊMy burger was burned. åÊI was so hungry by that point I just ate the I burned parts. åÊThe fries were also burned and drowned in a sea of salt, I guess to mask the burn taste. åÊOur server didn't even ask how our food was, which most servers do. åÊThe food was horrible and I wouldn't recommend this restaurant and I will never ever go back. åÊIt makes the list for one of the worst places I've ever eaten.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
23,Tyler C.,"Houston, TX",0,2,1,5,8/05/17,"A ground of friends and I frequent BJs quite often after theater performances (Sorry for the extra-ness we often provide). We generally have a positive experience, but last night was better than ever! Brandon V was out waiter and he was perfectly accommodating. He was very professional and gave off a very kind hearted energy. Ask for Brandon V when you dine here.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
24,Misbah V.,"Spring, TX",0,5,,5,11/01/17,"This is a great place to eat out especially on a game day. The staff is very friendly and service is quick. They also have a great bar. Their pizza is great and very fresh. The best part is the dessert which is the main reason for me going there. If you go there, getting a pazooki is a must!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
25,Nicole G.,"Houston, TX",113,296,153,4,10/14/2015,"After being put off by what I thought was mediocrity from another BJ's chain, I decided to give BJ's another try. There are a few things I really enjoy about this restaurant: 1) the deep dish pizza, 2) the Pizookies (OMG salted caramel), and 3) the fairly interesting selection of house beers. All three of those things happen to be their signature items. As an added bonus, 4) the menu is about 500 pages long, so it's group friendly as far as selection goes. They offer a selection of perhaps 10 different beer types, so you can generally find something that pairs well with your meal. Get a flight to sample your favs. My husband loves to start with the avocado egg rolls, which are basically avocado bites fried in egg roll wrapping and served up with a dipping sauce. (Personally, I prefer the potato skins.) The deep dish pizzas are unlike others I've tried - they're less pie-like and more pillowy, which I adore. My favorite is the Pepperoni Extreme, which has sliced, diced, & julienned pepperonis. A small (6 slice) can definitely feed two people; order a medium (8 slice) and you'll be taking home leftovers. And fiiiiinally...the Pizookies. Usually I don't order dessert, much less a cookie, but this....this is different. The warm, gooey, caramelized-on-the-outside Pizookie is to die for. The salted caramel flavor is my absolute favorite, but the triple chocolate and white chocolate Macadamia come in close behind. You can get a free mini on your birthday, too! I've had other items, like the burger and the deep dish ravioli (which is more like a lasagna baked in a pie-like pan), and they're solid. But they'll not why I keep returning. Besides that, I've gotten great service and I've had unbelievably slow service, and I've always been seated quickly. The next time I would like to spend all my calories in one sitting, I will definitely be back.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
26,Matthew S.,"Bedford, TX",96,199,50,4,5/29/2016,"This was one of my favorite places a few years ago when I was living up north, so I was pleasantly surprised to see it here in this area when I moved into town. Now as I sit here, I have to acknowledge that I did enjoy my meal each time I came here. The server I had, when I came with my family, was knowledgable and helpful in aiding both my cousin and myself in deciding what to have. She was friendly, and appeared eager to wait on us. I've already become friendly with some of the servers since I've become more of a regular here. The only reason I don't rate it a five star is because of one of the bartenders letting their stress of being busy show everywhere. However, that same bartender was still friendly and helpful. I've never had an issue with the food or its taste, and I do enjoy the service, so I recommend giving this place a try. I honestly believe you will have a good time here.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
27,Salman D.,"Sugar Land, TX",162,1,,5,8/06/17,"So the minute I walked in to a Bj's I was greeted at the door by a worker in the front. I asked a table for 2 and requested for a booth and they said no problem. The workers in the front started a conversation with me and asked how my day was going and in no time I was seated to my table. By the time I was seated the waiter ""Brandon v"" approached us, which was quite surprising because it was so busy. He kept checking up with us and seeing if we wanted anything. By far this was considered the best experience and bjs in sugarland.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
28,Earl A.,"Katy, TX",336,358,689,3,5/15/2015,"This wasn't my regular BJ's but I was on this side of town so I decided to drop in.  I was seated immediately and the waitress took my drink order and I ordered a salad and appetizer. My salad came out and I finished it before my appetizer? They were both prepared well and were delicious.  Now this is where the problem came in. I am a BJ's Reward customer and introduced a coupon for free Pizookie and I showed it to my waitress and she took my info and said every thing was fine. When I checked out she added my total to my reward points, which she did but in the process of giving me my free dessert they deducted 100 points from my reward account without acknowledging be of it. The coupon state that the dessert was free if I had a purchase of $9.95 or greater. My bill was over $20? åÊ I had to call customer service to get my points reinstated. I don't know if it was an honest mistake but I did say it was after coupon.  In the future I will definitely have to watch my transactions and ask more questions.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
29,Alessandra S.,"Houston, TX",16,10,,3,7/08/17,"We were seated within 10-15 minutes on a busy Friday night. Since it was my first time at BJ's I decided to go with something on their pizza list and ordered the Spicy Hawaiian Pizza. After waiting for about 30 minutes, we were told the kitchen was backed up, but fortunately we were not ""hangry"" or in a rush. When my pizza finally arrived I noticed that the cheese was just barely melted on the top as I could still see shreds of it in certain spots. The crust also could have used a longer bake time since it looked pretty white and doughy. I guess they were rushing it, at least it still tasted good. Overall, the food was good and we had a great server. åÊHighly recommend their chips and salsa as an appetizer.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
30,Laura O.,"Houston, TX",7,47,82,2,4/30/2017,"We had a 9pm reservation and we were seated at 1045pm. åÊThe food was unremarkable. åÊI ordered a salad with salmon. åÊThe salmon was well prepared but lacked flavoring. åÊSome of the ingredients listed on the description of the salad were missing. åÊThe servers were kind. åÊThese desert was the highlight of my evening. åÊThe two stars were for the servers and the monkey bread desert. åÊDo I see myself returning to have dinner here, nope!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
31,Daniel F.,"Sugar Land, TX",2,15,1,1,6/17/2017,This place is a disgrace. I'm disgusted. It sucks butt. Don't come here. Highly advise against it.. people are so rude. From the management all the way down to the waiter. Turn around and go somewhere else man. Good luck.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
32,Donna A.,"Manvel, TX",43,93,262,3,11/02/16,"I like BJ's because it has a plethora of menu items that works out for everyone. For this lunch visit, I ordered the Chicken and Spinach Quinoa (those rare moments I actually order something ""healthy"") and wow it was amazing. And I don't even like quinoa! The texture and appearance just looks like little flour bugs, but because I wanted to be healthy, I shrugged it off and went ahead and ordered it. Whatever they cooked the quinoa in, chicken broth or whatever, made me forget about my thoughts of eating tiny little bugs! It was so flavorful! I loved the flavor of the chicken and the mushroom, tomatoes and spinach as well. I think they should add more of the veggies though especially if it's considered an ""enLIGHTened"" favorite, but perhaps it's because I ordered the lunch portion. Seating was quick, even exactly at 12pm. Waitress was nice, checked up on us a few times - average service. I originally placed an order for the new Soba Noodle Bowl with Shrimp and the waitress mentioned it was a cold dish. I appreciated she told me that before it was actually placed in front of me. Anyway, I'll be back again.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
33,Aisha M.,"Richmond, TX",106,124,129,2,11/01/16,My first experience at BJs was not a good one. It wasn't very busy but it took forever for us to get our food. When I received my food the shrimp was drowning in a very strong vinegar/lemon sauce. The manager was very apologetic and did not charge me for the salad I ordered to replace the shrimp.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
34,Rahamat S.,"Houston, TX",52,3,1,5,7/15/2017,"This was my first time eating at BJ's and I really enjoyed it. There was a lot of variety. A friend recommended the BJ's Brewhouse Burger, so I ordered without cheese. It was definitely worth it! The price was reasonable, too, only $7.95 (plus tax) I've always heard about the infamous pizookies and had to get one. I ordered the mini Cookies 'N' Cream Pizookie and it was so good! For only 3.95 plus tax, that was a deal. Overall I spent about $15 and I would do it again. Love this place!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
35,Lourdes P.,"Houston, TX",45,5,1,3,2/05/17,Their customer service isn't the greatest!  The deep dish pizza is fabulous and not to mention the pizokies cookies Delish!,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
36,Bisi O.,"Houston, TX",62,8,3,4,6/15/2017,"Awesome place. åÊI have had multiple dinners here and it truly is one of the best places to have a dinner party or a small celebration. åÊThe waiters take their time sometimes they do make mistakes with drink orders but they have no issue in fixing that up for you. åÊThe food is always freshly cooked so it is always delicious and filling. åÊI went in also to redeem my mini pizooki which might I add is TO DIE FOR (so mouth watering good) , but instead got a meal. åÊTheir food is fairly priced for what they actually provide and the service is really kind and intuitive and mature.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
37,John I.,"Houston, TX",0,1,,3,7/18/2017,"Happy hour on a Tuesday night, and only 1 bartender, serving the entire restaurant. Not acceptable for the Sugar Land area.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
38,Meow M.,"Fulshear, TX",0,1,,2,6/23/2017,"So slow to get the food. One cup of hot tea took them 15 mins. Baby back ribs, taste like rubber, need more baking hours for the ribs. Disappointed.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
39,Karishma D.,"Sugar Land, TX",0,18,3,3,3/29/2017,"This has always been one of my favorite restaurants but recently it's been going downhill. First off, I went there last night, a Tuesday night, for dessert with my family to celebrate my birthday and when we called we were told it would be a 30-40 minute wait. We were literally 5 minutes away so we put our name down and decided to go wait there. When we arrived we were told it would be 20-30 minutes. We decided to leave and go somewhere else because it would be too long. As soon as we pulled out of the parking lot, we got a text message saying our table was ready. From calling the restaurant to arriving and then deciding to leave, it was a total of 15 minutes max. Basically, the ""wait time"" was very off and they lost customers. Also, the last time we went, my cousin found a hair in her pizookie. It was actually baked into the cookie!! Pretty disappointed in their service lately.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=40
40,Sarah M.,"Houston, TX",297,148,258,4,2/23/2016,"Went for lunch. We had åÊtomato soup with half a California åÊclub. My son had grilled chicken with fruit. åÊMy club had fresh avocado which I love. It was missing the åÊbacon,but once I showed the waitress she quickly åÊwent and got some. åÊMy son's grilled chicken was a whole breast! The fruit was fresh and plentiful. We are full and satisfied. åÊThe staff was friendly.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=60
41,Arcadian B.,"Alhambra, CA",95,632,1227,3,2/22/2016,"Nice restaurant with a lot of variety in alcoholic beverages like beer, got the bacon guacamole burger which was good, fries were cold tho, good service",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=60
42,Ria D.,"Sugar Land, TX",0,1,,5,8/20/2017,"I love the pizookies here. Especially the chocolate chunk one. I recommend that to anyone new to BJs. åÊIf u get the server Brandon V, your all set.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=60
43,Kat W.,"Sugar Land, TX",490,18,21,5,11/02/16,Ordered some food online and I got there 5 minutes before and it was already ready. Super satisfied with my to go order.  Also you have to get the clam chowder no matter what!,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=60
44,Michael H.,"Sugar Land, TX",0,31,2,5,3/23/2017,"Great food, great service, impossibly great beer. No complaints at all. They keep the place very clean and has a very comfortable atmosphere. Rule 1. Always get a beer. Rule 2. Always get a dessert!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=60
45,Anthony M.,"Houston, TX",386,193,1050,5,7/09/16,"Yes'n deed y'all it's Friday!!! åÊWhat's there not to love about that! åÊMy family and I haven't been here in a long time, but I don't know why not!!!! åÊ This is a great place to dine with.......anybody!!! åÊNow the Long Island wasn't worth squat but the ""Hickory Bacon Brisket Burger"" cooked medium is DA TRUTH!!!!!!! åÊWHAT.....that burger is yes yes y'all!!! åÊOhhhh it is so good. Did you read that? åÊ""Hickory Bacon Brisket""....all that sounds so good and we all know bacon makes everything better. This burger is a work of art and tastes so good and one of the most overlooked ingredients is also perfect. The bread is so soft yet firm enough to handle the tender moist meat patty and all that luscious stuff that comes with it. Sweet and tangy BJ's Peppered BBQ sauce, smoked brisket, Applewood smoked bacon, jack and cheddar cheese, red onions, and mayonnaise. åÊYes..... I'm in love with this burger! I'm going to have to go back just to make sure my love is true......consistent is what I mean. My son had the ""Bacon Cheeseburger"".......With Applewood smoked bacon, cheddar cheese, tomatoes, lettuce, pickles, mayonnaise and BJ's signature burger sauce. åÊHe had the same google eyed look I had with every bite of his burger. We'd take a bite and while chewing we'd stare at the burger in our hand in disbelief that we were actually eating this scrumptious morsel! åÊDude I'm tryna told ya sum'n but ya ain't tryna heard me!!!! åÊSorry..... I resort to my New Orleans roots when overly excited. Oh..... And my wife said her Asian chopped salad was really good as well! We will definitely be back!!!!",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=60
46,Nicole H.,"Dallas, TX",326,534,237,4,1/30/2016,"I like BJ;s Brewhouse. åÊMy experience with them in California and Texas is that they are consistently good, with a good variety of options, and Hubby loves the brews. åÊThis one was no exception. åÊWe decided to come here when having dinner with another couple since we knew everyone could find something they like, and we all did. åÊI had the salmon and it was cooked well, and I easily substituted mashed potatoes for the side. åÊThe waitress was efficient and friendly, but not pushy. åÊThe boys had some beers and the girls some wine, and all was good. åÊWe ended up sitting at the end of our meal and talking for a LONG time. åÊAfter checking on us a couple times, the waitress just left us alone and let us chat, which I appreciated. åÊ It was yet another good experience, which I have come to expect at this chain.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land?start=60
