Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Fast passed,hardworking and fun.""",4.0," Nov 8, 2017",Current,Service Manager,"Cedar Park, TX",Yes,Yes,Yes,Full-time,More than 3 years,"Team orientated, hard work pays off, fast passed, great benefits. Learned cooking skills and how show great customer service. Great hours as well.","Some cons would be that you do t get paid enough for what you do, they expect a lot for you.",
"""Lots of fun if you like being on the go!""",3.0," Nov 23, 2017",Past,Crew Member,"Wayne, NJ",Yes,Neutral,Yes,Part-time,,Good food<br>High energy work environment,Lots of politics when it comes to work responsibilities and promotion,"Allow not only your friends, but also dedicated and efficient workers to climb the ladder."
"""Good People""",4.0," Nov 7, 2017",Past,Crew Member,,Yes,Yes,Yes,Part-time,,The people that worked at the restaurant were really nice. They welcome you in as family and were willling to help with any issues. Definitely a faster paced work environment.,There isn’t something outstanding that is concerning.,
"""Fun""",4.0," Nov 6, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Free food, good co-workers,","Fast paced, lots of knowledge, stressful,",Give higher pay with the amount of work your employees do.
"""chipotle review""",4.0," Nov 7, 2017",Past,Cashier,,Yes,Yes,Yes,Part-time,More than a year,this a great first job,there always busy and some managers are rude,
"""First Job""",4.0," Nov 7, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Benefits, tips, great people, base pay","late nights, pressure from management",
"""Great company, good for first job""",4.0," Nov 7, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Learned a lot of customer service skills, really teaches someone how to work under pressure and multitask. 50% off discount when not working, free meal before/after a shift. Starting pay is not too bad. Managers really work around your schedule",Was not always guaranteed a lunch break even with 8 hour shifts. Can be really tiring job at times,
"""Fun, interesting, uplifting!""",5.0," Nov 5, 2017",Current,Crew Member,"Moline, IL",Yes,Yes,Yes,Part-time,Less than a year,"High energy, great starting pay, taught me how to cook and how to work with customers! It’s a work-up-the-chain job. Easy to get up to manager!","Terrible benefits, gets you by.",
"""Just eat there! Dont work there!""",1.0," Dec 12, 2017",Past,Grill,"Atlanta, GA",No,No,Neutral,Full-time,More than a year,50% off of your food when you come in as a visitor and free lunch!,"EVERYTHING ELSE! Chipotle has created a culture of ""free labor"". They attempt to shun you if its time for you to clock out and you don't feel obligated to continue working UNPAID. Google the civil lawsuit that was happening. Chipotle workers are miserable people that serve amazing food. Sorry.",DO BETTER
"""Line Crew Member""",4.0," Nov 6, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Good experience with food service,Over-worked and under-paid for 2 years,More management needed
"""Kitchen Manager""",3.0," Nov 20, 2017",Current,Kitchen Manager,"Teterboro, NJ",No,No,Neutral,Full-time,More than 3 years,Great service and Fun work place,requires too much of my time,
"""Slave Work, Good Team""",2.0," Nov 19, 2017",Past,Kitchen Manager,"Orlando, FL",No,No,Neutral,,Less than a year,Crew is like family,"EXTREMLY stressful, impossible needs.","Workers are real people with feeling, be kind and considerate of life outside of work."
"""Chipotle Crew Member""",2.0," Nov 19, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 3 years,"Meet some good people. You do get tips, I just don't know how much annually. Customers are generally not mean. Like to stay active. Free meals and 50% discount every time you go in.",Bad management. Discriminatory. Too much gossip. Men made women lift heavy things and didn't offer any help. Vulgar language in front of customers. Unprofessional,Don't allow managers to harass employees.
"""Service manager""",3.0," Nov 18, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than a year,Employee meals if you’re not tired of eating the same thing everyday,"Low pay for the amount of work that needs to be done and stress experience, extreme favoritism, lack of professionalism, money is always valued over employee satisfaction",Promote people who exude the 13 characteristics you speak so highly of but don’t display and be professional.
"""It was okay""",4.0," Nov 2, 2017",Past,Cashier,"Newark, NJ",Yes,Yes,Yes,Part-time,More than a year,"Free food, good people, and pay raises",Cross traiing to then be under paid(doing everything a manager does but getting cashier pay),
"""Crew Member""",4.0," Nov 2, 2017",Past,Crew Member,"Plainfield, IL",Yes,Yes,Neutral,Full-time,More than 3 years,Good scheduling Benefits Free Food Good coworkers Fun,-Not paid enough for the amount work done,
"""service manager""",3.0," Nov 16, 2017",Current,Service Manager,,Yes,Neutral,Neutral,Part-time,,People around your individual store are great.,Upper leadership needs to look harder at the details.,
"""Chipotle""",3.0," Nov 17, 2017",Current,Anonymous Employee,,Neutral,Neutral,Neutral,Full-time,More than a year,Free food and having the opportunities to make customers happy,"Not enough pay for the amount of work done, as well as the attitudes of coworkers and managers.",Mangers are lazy. Crew members tend to do more work. The amount CEOS make a year we should definitely get a higher pay!
"""General mgr point of view""",3.0," Nov 17, 2017",Past,General Manager,"Chicopee, MA",Yes,Neutral,Neutral,Full-time,More than a year,"If you work hard you will be rewarded by raise or promotion. It was for the most part a fun place to work . You learn a lot of great culinary skills . I worked very hard , became asst mgr inside of 3 mo. , a salaried mgr in a yr and general mgr of my own store in 15 months . If you go there with experience they are not afraid to start you at a higher pay if you ask.",As it is a fast growing company they tend to promote people that are to young or just not ready to be a mgr. A person who is a great worker isn't always a great mgr. In the past 2 years the company has come under fire in the press with ecoli and other issues and it seemed that every month they were changing how we did things . They also went on a hiring and firing spree of Area and General mgrs. some with little to no reason . Also if you have a family salaried position is not for you here. They told me in my interview salaried mgrs. work 55 hrs or more almost never ? I worked my share of 70 hr weeks and if I left 1 hr early I would get a phone call.,"my time at chipotle I would not take away . As a kitchen , service or even apprentice manager it was in the top 2 or 3 jobs I've experienced. Once you reach General mgr you seem to lose your voice upper mgt . I was asked my opinion and saw more action taken as a lesser mgr explaining issues . Once I became gm everything was very negative no matter how much good we did."
"""Chipotle Service Manager""",5.0," Nov 1, 2017",Current,Service Manager,"Minneapolis, MN",Yes,Yes,Neutral,Part-time,,Best environment and committed team I have ever worked with!,Fast paced environment with many just starting workers.,"Always communicate, critique, and know your boundaries."
"""Crew""",2.0," Nov 16, 2017",Past,Crew Member,"Arlington, VA",Neutral,Neutral,Yes,Full-time,Less than a year,"They offer health benefits to full-time and part-time workers, their spouses/and or dependents . (Dental, health, vision)<br>The pay is good.<br>Food discount<br>Free meal (While working)","Management is irresponsible and they don’t follow all sanitation procedures. They improperly train new hires, and are unfair to workers by understaffing during certain times and expecting them to do multiple things at once.",Train your new hires properly<br>Follow all company safety and sanitation procedures
"""Crew""",2.0," Nov 16, 2017",Current,Anonymous Employee,"Canton, MI",No,No,Neutral,Full-time,More than a year,Free food (dine in only),"Favoritism, inconsistent management,<br>Can't take food home, no recognition, uneven work load,",
"""This job wasn’t one of my favorites.. I’m not sure if it’s the people or what...""",2.0," Nov 17, 2017",Current,LIne,"Philadelphia, PA",No,No,Neutral,Full-time,Less than a year,My coworkers are fun sometimes and some of the customers engagements can be interesting.. oh and the food is good for a while until you get tired of I️t.,"Lack of transparency with the management team, ball busting gms, extremely entitled Customers, lack of empathy from managers, undercooked food at times because they rush most things for the most part.",We have lives outside of chipotle and we only have 2 arms!!
"""Great place to work""",4.0," Nov 1, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Flexible schedule on the job,Sometimes short staffed<br>Being sick leads to protocol and you have to take off for 3 days,
"""Ok ig""",3.0," Nov 16, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,They are understanding and flexible if you need time off,They won’t pay you for your hours and change your clock in/out time,
"""Chipotle Line Worker""",4.0," Nov 1, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Paid above minimum wage, supportive managers, and a free meal every shift.","Other coworkers were usually unmotivated, turnover was very high.",
"""tortilla line and cashier""",4.0," Nov 1, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,good pay rate<br>great people to work with<br>nice people to learn from<br>the work is fast paced and you learn everything there not just one job<br>chipotle is everywhere do transferring is always easy,isnt always enough people there so hours are a little scattered,
"""Crew Member job""",4.0," Nov 1, 2017",Past,Crew Member/Grill Cook,"Woodland Hills, CA",Yes,Neutral,Neutral,Part-time,More than a year,"The people were great, learn culinary skills","Managers can be confrontational, have to learn to deal with rude customers, its also a pretty physical job",Work around people's schedules better
"""Chipotle is LITTERLY my life part 2""",4.0," Oct 30, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,Free meals<br>Awesome people<br>Hope<br>Our message,Stress<br>Uneven pay<br>Feel tied down<br>Emotionally draining,"Stay humble, not everyone can do something you have done in the past."
"""Cashier""",4.0," Oct 29, 2017",Current,Cashier,"Lenexa, KS",Yes,Yes,Neutral,Part-time,Less than a year,Definitely incorporates a lot of team work and the customer service part can be a bit hard at times but that's just the food industry for ya!,There's a constant shift within your schedule if you're not a competent worker for sure,Communicate more as it will keep your employees calm and always plan who's going to be on what station ahead of time. Mise en place?
"""Good work environment, crew was great. Customers are customers no way around it.""",4.0," Oct 30, 2017",Past,Cashier,"Boulder, CO",Yes,Yes,Neutral,Part-time,More than a year,"Great food, great coworkers.My managers were friendly and cared but its different for every chipotle",Customers can be extremely rude pin occasion. Raises can be hard to come by if not extremely persistent/assertive,"Listen to employee feedback and respond, don't just turn a blind eye"
"""Crew Member at Chipotle Mexican Grill""",3.0," Nov 12, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Free food and flexible hours<br>Nice co-workers,"Managment is obsessed with the ""13 Characteristics"" and are constantly reminding you of them.",
"""Terrible""",3.0," Nov 13, 2017",Current,Kitchen Manager,"Concord, NC",No,No,Neutral,Full-time,Less than a year,"They have good benefits, if","Management Sucks, No organization, they talk bad behind your back, lots of favoritism, very lazy never willing to help",
"""chipotle""",1.0," Dec 3, 2017",Past,Senior Design Engineer,,No,No,Neutral,Part-time,More than a year,nothing is good about this company,chipotle is awful. don't work here,delete your company
"""Conflicted""",3.0," Nov 12, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Co-workers and free food were the pros,"Customers, as they were rude or too demanding. Also, compensation could be a little higher for the work",
"""Potle""",5.0," Oct 27, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,Benefits are good. Everyone worked including to GM it was a great experience.,They promote people really fast who usually don’t know what they are doing and accept the promotion for the extra cash. Also when the team achieves resturantuer only the GM gets a raise which is some bs. The GM didn’t and couldn’t do it on their own so everyone should benefit from it. That’s my only real issue with the company.,
