Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Great!""",5.0,,,,,," Dec 7, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,Less than a year,"Friendly Enviroment, Great Pay, food is great,",None so far will see,
"""Cook""",3.0,3.0,3.0,3.0,3.0,3.0," Dec 19, 2017",Current,Cook,,Yes,Neutral,Neutral,Part-time,More than 3 years,"Great environment, Good Food, Location","Management, Pay scale, Upward mobility,",
"""Flexible Schedule, Terrible Company""",3.0,5.0,1.0,2.0,2.0,2.0," Dec 19, 2017",Current,Server,"Chandler, AZ",Yes,Yes,Yes,Part-time,More than a year,Great money for servers<br>Flexible schedules<br>Can pick up or trade shifts<br>Take time off whenever you want to,Will cut your hours if you do not achieve their arbitrary standards<br>Company generally doesn't care about their employees<br>No benefits for PT employees<br>No free shift meals for front of house employees<br>Company could care less about employees<br>Very much driven to maximize sales and scores without training or help in achieving them.<br>Very few opportunities to move up,Care about your employees! Don't cut hours because they missed sales by 20 cents. Develop your employees!
"""Only care about money""",1.0,1.0,1.0,2.0,2.0,1.0," Jan 5, 2018",Current,Anonymous Employee,,No,No,Neutral,Full-time,,1 free meal per shift worked.,Hours are all over the place getting 40 one week and 15 the next.,Staff more people so the food can go out faster without burning out good line cooks and taking hours away from people who need them.
"""ZZ Cool""",3.0,3.0,3.0,3.0,3.0,3.0," Dec 15, 2017",Past,Host,"Nazareth, MI",Yes,Yes,Yes,Part-time,More than a year,"Good wages, good people, good vibes",Not enough hours to go around,
"""It has its ups and downs""",4.0,5.0,5.0,5.0,5.0,5.0," Nov 30, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,More than 5 years,I like that o have good benefits and an understanding management team who is more like a family in times of need,I dont like that sometimes they expect one person to do a 2 man job alone or at least handle the pressure all day long with an upbeat attitude,"None really, I love that majority are sincere and really do care"
"""Good job for students""",4.0,3.0,,,,," Nov 30, 2017",Current,FOH,"Saint Peters, MO",No,No,Yes,Part-time,More than a year,Flexible scheduling and you get to work with some great people.,"Not a lot of cons. There are going to be days when you don't feel like running around, and speaking with customers. But overall it's a solid job.",
"""Going downhill""",3.0,3.0,2.0,5.0,3.0,2.0," Dec 11, 2017",Current,Server,"Liberty, MO",No,Neutral,Neutral,Part-time,More than a year,Have a lot of freedom in your service techniques,"Managers are allowed a lot of freedom as to how they want to run their restaurant, which has essentially ruined it.",
"""Great company to work for to get you through college.""",3.0,5.0,3.0,3.0,2.0,4.0," Dec 12, 2017",Past,Bartender,"Portland, OR",Yes,Neutral,Neutral,Part-time,More than 3 years,"Flexible schedule, awesome co-workers, cash tips after every shift.","The clientele (bottomless refills are a terrible concept and guests will want to start off with bottomless fries as an appetizer), management can play favourites, and there's a lot of seniority (especially in the bar).",
"""Red robin feedback for working in industry for over 3 years.""",3.0,3.0,3.0,3.0,3.0,2.0," Dec 8, 2017",Current,Server,"Cypress, CA",Yes,Yes,Neutral,Part-time,More than 3 years,the tips can be great when it’s a busy or steady flow day. most of time you can make over 100$ after tipout . which is only if you work hard and if you get nice guests that come to spend money on food and service,when it’s slow they send you home pretty fast and it’s a possibility that you walk with less than 10 percent after tipping out,praise your team more. acknowledge who is doing well and check in with those who need help. always give help to every team member and not help only one or two people. check in with every guest if possible which is also helping out sever if busy or behind
"""Good Money""",4.0,4.0,4.0,3.0,2.0,," Nov 22, 2017",Current,Server,,Yes,Neutral,Yes,Full-time,,"Usually busy, so easy to make money<br>Decent food",Slower during summer<br>Open on holidays,
"""Floor food""",1.0,,,,,," Dec 27, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,There is food to eat,Some food has gotten dropped on the floor and re used,Dont do that
"""Host""",2.0,3.0,1.0,1.0,1.0,1.0," Dec 5, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Clean restaurant...some nice co workers,"Manager....favoritism..no full time, means no benefits",
"""Waitress""",3.0,2.0,1.0,1.0,1.0,1.0," Dec 5, 2017",Current,Anonymous Employee,,No,Yes,Yes,Part-time,,great team and fun place to work,"not flexible, poor management",
"""It was very demanding, being vocal and on your toes.""",3.0,3.0,4.0,3.0,3.0,2.0," Dec 5, 2017",Past,Line Cook,"Rancho Mirage, CA",No,No,Neutral,Part-time,Less than a year,"Friendly environment, free employee meals. This company was a family environment and meals were often free for line cooks which was really good.",They'd let you off early on a short notice and there was clear favoritism. This company should've been more aware of their employees time.,Be more scheduled to not frustrate employees.
"""Being a Server""",2.0,3.0,2.0,2.0,2.0,2.0," Dec 3, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"Flexible schedule, plenty of coworkers to trade shifts with and cover, decent volume to make tips","Red Robin is corporately under-going changes that aren't beneficial to hourly staff, but rather beneficial to stockholders.",N/A
"""Server""",2.0,3.0,1.0,2.0,1.0,1.0," Dec 2, 2017",Past,Food Server,"Cypress, CA",Yes,Neutral,Yes,Part-time,More than 3 years,"It is quick table turnover. Short shifts, or long shifts depending on what you want","Terribly managed. Bottemless everything, meaning tables are always asking for more. Low class of clientele. Honestly just a pathetic place in every aspect.",
"""Schedule based on 7 question surveys""",3.0,5.0,4.0,3.0,5.0,4.0," Dec 1, 2017",Current,Server/Bartender,"Fayetteville, NY",No,No,Neutral,Part-time,More than 3 years,"Flexible schedule, quick money, great coworkers","Schedule based on customer surveys that you sometimes have no control over (undercooked burger, dry bun, wait at the door, etc...)","If you're going to base servers schedules on surveys at least base it on their service and friendliness, not on the overall NPS because their are a lot of things we cannot control."
"""Great Job""",5.0,5.0,5.0,4.0,4.0,5.0," Nov 15, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"Friendly team, good hours, duties were reasonable and never too hard.","As always, you have to deal with rude and disrespectful customers sometimes, but it was tolerable.",
"""Kitchen Manager""",1.0,2.0,1.0,5.0,5.0,2.0," Dec 21, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Salary and benefits are above industry standard,No work life balance. Corporate is trying to put so much to the bottom line in different cost saving schemes it's hurting the guest experience. Not competitive in pay enough to keep hourly employees.,
"""Manager""",4.0,4.0,5.0,5.0,5.0,4.0," Nov 15, 2017",Past,Manager,"Phoenix, AZ",Yes,Neutral,Yes,Full-time,More than 10 years,The people i worked with. Room for advancement with corporate.,"I managed franchise so there was an advancement cap. Very robotic, been nice for more individual expressions.",
"""Server""",4.0,5.0,5.0,5.0,3.0,4.0," Nov 13, 2017",Past,Server,"Fenton, MO",Yes,Yes,Yes,Part-time,More than a year,"Great money, great people! My experience was wonderful and I met some awesome people.",Too many children. A lot of drug users,
"""New management every month""",3.0,4.0,4.0,1.0,1.0,2.0," Nov 26, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,,More than 3 years,"discounts on food, busy so time goes by fast on weekends","management changing every month, working mainly on weekends only",hard to be happy with your job when you get new managers all the time who feel very entitled
"""Hostess/ Server""",3.0,3.0,2.0,3.0,3.0,2.0," Nov 23, 2017",Past,Hostess,"Greensboro, NC",Yes,Neutral,Neutral,Part-time,More than a year,Great team of people to working with,Average pay and long hours,Have managers who want to be there.
"""No support""",2.0,,,,,," Nov 24, 2017",Current,Food Server,"Mason, OH",No,No,Neutral,Full-time,More than 3 years,Fast turn on tables,"No support from management.. they give people free meals every time someone complains, kitchen runs poor/long ticket times.. management doesn't order enough product because they are only concerned about their bonuses. They make you push guest surveys and if you get one bad one you lose shifts.. neutral surveys don't count to help your score..",Treat your staff better and don't only care about your money... care about making everything better as a whole not just your bonuses.
"""Kitchen Manager""",4.0,4.0,2.0,4.0,4.0,1.0," Nov 8, 2017",Current,Kitchen Manager,"Knoxville, TN",Yes,Yes,Yes,Part-time,,Great pay with annual increases,Not enough managers. Alot if time in position and not managing,Keep 4 managers on payroll
"""Host, Expo, Server""",4.0,3.0,5.0,4.0,3.0,5.0," Nov 7, 2017",Past,Anonymous Employee,,No,Yes,Yes,Full-time,More than a year,"The managers tried to hire people that fit into the team well, they were super friendly and they were very helpful when we were busy.","The expo position was canceled so on busy nights managers were in the back sorting food when they were needed elsewhere. If they weren't sorting food, servers who had never been trained on the line would take out the wrong food.",
"""Hostess""",4.0,3.0,,,,," Nov 3, 2017",Past,Anonymous Employee,"Carmel, IN",Yes,No,Neutral,Part-time,,"Easy, straightforward job and good upfront training",Can be slow at times and managers and staff change frequently,
"""Cool short term job""",5.0,5.0,5.0,3.0,1.0,1.0," Nov 2, 2017",Current,Server/Bartender,,No,Neutral,Neutral,Part-time,More than a year,"Fast past money, flexible, and great culture",Pay is inconsistent. This is not a career job,
"""Some good, some bad""",3.0,3.0,3.0,4.0,4.0,2.0," Nov 16, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,Less than a year,"Thorough training, Good at keeping your availability in mind","Unorganized, Hectic, Management wasn't good at keeping stress level down during peak hours, inconsistent requires tasks that varied by opening/closing manager made it confusing to know what you needed to get done each day or night.",More consistency and morale boosting.
"""Fun Place to Work""",4.0,,,,,," Oct 31, 2017",Past,Hostess,,Yes,Neutral,Neutral,Part-time,More than 3 years,Flexible Hours and Fun coworkers,Not enough hours and negative environment,
"""It's fine for what it is""",3.0,,,,,," Nov 12, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Overall pretty easy job and tips are decent,corporate business that doesn't pay employees fairly,
"""It was okay""",3.0,,,,,," Nov 12, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,"Overall, the place was great and gave me experience for future jobs",Scheduling was very hard due to lack of employees.,
"""Server/host/trainer""",3.0,3.0,4.0,2.0,1.0,2.0," Nov 12, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Good to work here while going to college,Cannot rely on the money,
"""Manager""",5.0,1.0,3.0,5.0,3.0,4.0," Oct 27, 2017",Current,Anonymous Employee,,Neutral,Neutral,Yes,Full-time,More than a year,"Decent Pay, Benefits, Growth opportunities if you are driven to get them","Long Hours, Low appreciation",
"""Busser""",5.0,5.0,5.0,4.0,3.0,4.0," Oct 27, 2017",Current,Busser,"Fresno, CA",Yes,Yes,Yes,Part-time,,Fun and engaging atmosphere,Can get overwhelming and demanding but that's life in the resturant buisness.,Keep up the great work
"""Good Place to Work""",4.0,,,,,," Oct 27, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,Great job when in college or looking for quick easy money.,Eat too many french fries,Keep working hard and maintain a steady working environment
"""Eh""",5.0,,,,,," Oct 26, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,"Extremely flexible, easy to pick up or give away shifts",Not very busy at the moment,Do not hire if you will not have enough hours
"""Burger love""",3.0,3.0,5.0,3.0,4.0,4.0," Nov 8, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,Solid vibrant culture and lots of great people to work with!,Some leaders are not transparent in their decision making specifically in middle management...and some not so great people. Good with the bad like many companies.,
"""Fired During Training""",1.0,1.0,1.0,1.0,1.0,1.0," Nov 28, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,,More than a year,"Busy restaurant, plenty of tables and opportunity to earn tips","Management was elusive and unfriendly, I followed the same server around for all of training, long training time but no time to show what you've learned or take criticism and improve.",Offer criticism early on in the training process so things can be worked on before certification
"""Hard to move up or keep hours""",3.0,4.0,3.0,1.0,3.0,2.0," Nov 6, 2017",Past,Busser,"San Diego, CA",No,Neutral,Yes,Part-time,More than a year,Always got paid on time. Food comes out quickly. Generally easy to get a shift covered.,Management doesn't act unless you consistently pester them. It's near impossible to move up. I worked as a busser for a year and a half and never even got moved up to an expo position. Its very hard to get and keep a consistent schedule with a good amount of shifts.,Advance support staff quicker.
"""General manager""",3.0,3.0,2.0,3.0,5.0,3.0," Nov 6, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,The company offers great pay,No structure the core values are something that they just have on paper,
"""Line cook""",3.0,3.0,1.0,1.0,1.0,1.0," Nov 1, 2017",Current,Line Cook,"Saint Louis, MO",No,No,Neutral,Part-time,More than 8 years,Can get a lot of hours.,Too busy and not good management.,Eh
"""Server""",4.0,,,,,," Oct 18, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Coworkers, Management, potential to make decent money","Hours, Sections at times, certain times of the year the restaurant is slow",
"""Corporate Restaurant""",3.0,,,,,," Nov 1, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"fast paced, good table turnover",management not on same page,
"""Behind The Dirty Bird""",4.0,4.0,3.0,4.0,3.0,5.0," Oct 17, 2017",Current,Food Server,"Ann Arbor, MI",Yes,Neutral,Yes,Part-time,,Good money if you close.,"The usual restaurant drama, please dont play along.","Great job, its a hard business to handle."
"""Red Robin""",2.0,5.0,2.0,2.0,3.0,3.0," Oct 30, 2017",Current,Server/Waiter,,Yes,Neutral,Neutral,Part-time,More than a year,"Caring managers, take-home cash tips daily","Team is competitive and non-inclusive, huge clique problem. All the managers want to leave. Red robin is too corporate at the expense of the floor workers. Also, all they have to account for tip-out is a form you have to get from corporate that they don't want to send you. You have to claim all of your tip-out.",Good guest perception will improve numbers! Get out there
"""You don't always have to be buddies""",3.0,5.0,3.0,4.0,2.0,3.0," Oct 26, 2017",Past,Server,"Austin, TX",Neutral,Neutral,Neutral,Full-time,Less than a year,"*Awesome people for the most part<br>*Good food, when cooked properly<br>*Free fries","*Management needs to learn to get their point across with staff<br>*Management gets too friendly with staff, ignores when they mess up<br>*HOH isn't always up to scratch, affects servers livelihood","*Make sure the staff is actually reprimanded when they mess up. It affects servers livelihood when the HOH can't put out any orders correct or in a timely manner.<br>*At least make an attempt to put down REAL out times for schedules. We have lives too, if you have our out time at 1 but force us to stay till 5 or 6 that bugs us. All of us.<br>*Make sure closers actually do their job"
"""Great Money, Great people""",4.0,4.0,4.0,3.0,3.0,3.0," Oct 12, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,"family atmosphere, great people that work there, great money",stressful and fast paced.,communication improvements
"""Typical restaurant""",3.0,,,,,," Oct 23, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,Good money for servers,Cooks underpaid as always,
"""Regional Operations Director""",3.0,3.0,2.0,2.0,5.0,2.0," Oct 17, 2017",Current,Regional Operations Manager,"Baltimore, MD",Yes,Yes,Yes,Full-time,More than 10 years,Salaries and on-going training are a key positive at Red Robin. Company is finally investing in technology. This has been need for a long time.,Company has lost focus on people. Only cares about a scorecard that many have found lacks integrity. People used to be a priority. Now they are managed from an HR perspective based on the scorecard. Morale has really suffered in Operations.,Company needs to find its way back to its roots. Performance measurement is not the concern but an inflexible scorecard manipulated by some without repercussions will continue to damage the Brand and the people that work for it.
"""Great job""",5.0,5.0,1.0,3.0,5.0,3.0," Oct 2, 2017",Current,Hostess,,Yes,Yes,Neutral,,More than a year,Fantastic coworkers and nice management,Some undisciplined kids cause huge messes and loud environment,
"""DMO""",5.0,5.0,4.0,4.0,4.0,5.0," Oct 2, 2017",Current,DMO,"Florence, KY",No,No,Neutral,Full-time,Less than a year,"Greet place to work, free food, good MGRs",Its not 40.00 an hr? Can't thank of much else.,Hummm I'll need to thank about that.
"""FYI Red Robin""",2.0,3.0,3.0,2.0,2.0,1.0," Oct 18, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Teamwork, easy side work, uniform, scheduling set up through hot schedule, quick table turnover","Lack of communication by management, age discrimination of employees, slow ticket time, small sections, short shifts, birthday songs and singers","Communication! Get Seasoned as well as new servers, birthday songs are too excessive, stronger expos to communicate and to double check orders before they go out. Servers should run their own orders out, and desserts should be accessible for servers to make."
"""Fast money and good co-workers""",3.0,2.0,2.0,2.0,4.0,1.0," Oct 17, 2017",Current,Server,"West Hartford, CT",Yes,Yes,Yes,Full-time,More than 3 years,"I make good money and have lots of regulars. I love my coworkers and for the most part am in a good mood while at work. Living in the here and now lets you escape the worries of the outside world. Also, you are given an employee meal for every day you work and are offered benefits if you work an average of 30hours/week. HOWEVER, you have to fight for these benefits and often have to ask 5 different people in order to receive them, and even then they will 'forget' to give them to you.","Very bad management team who blame you for things out of your control and do not put an effort into changing their own maladaptive behaviors. All the managers hate their jobs because they get walked all over and lose passion for the food industry. Everyone slowly dies on the inside while working here. Huge discrepancy between what they say and what they do. No raises offered (or they will be offered but never implemented) promotion to mid management if you suck up to the higher ups, but you will forever being doing their busy work with no guarantee of ever making salary and no consistency in how you are moved up. Also no job security. You will get fired if you rub the GM wrong or breathe the wrong way (no, seriously).","Take a look at your own behaviors rather than blaming the staff. Consider innovative ideas and be more open to change. Just because that is 'the way we have always done it' does not mean it is the most efficient way to do things. Learn how to lead people by example, rather than just demanding things. Take responsibility for your own failures and learn from them rather than pointing fingers. Also stop talking badly about the other managers, we all know you hate each other but learn to at least pretend. You are creating a hostile work environment and setting people up for failure, which is why the turn over is so high."
"""line cook""",5.0,5.0,5.0,5.0,5.0,5.0," Oct 2, 2017",Current,Line Cook,"Northlakes, NC",Yes,Neutral,Neutral,Full-time,Less than a year,they treat peaple with respect.,not alot of hour in the morning.,none.
"""Server""",4.0,2.0,4.0,1.0,2.0,2.0," Oct 2, 2017",Past,Server,"Katy, TX",Yes,Neutral,Neutral,Full-time,Less than a year,You can get a discount on food and sometime are allowed to extend that discount to your friends and family.,"I could not help but feel like the management did not pull their own weight in the resteraunts. If a customer complained, feel your managers wrath.",Be more involved.
"""My Favorite Job""",5.0,4.0,5.0,4.0,3.0,," Sep 27, 2017",Current,Server/Bartender,"Rockford, IL",Yes,Yes,Yes,Part-time,More than a year,The environment is so encouraging and the focus of the business is on teamwork to deliver a successful shift.,Being a corporate store is very by the books. Managers come in and out often.,Eliminating critical positions isn't your best idea.
"""Hostess""",2.0,,,,,," Oct 11, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Decent work experience for restaurant field.,Didn't stick to scheduled hours.,
"""We're in the people business that happens to sell burgers""",4.0,5.0,5.0,4.0,2.0,4.0," Sep 26, 2017",Current,CLC Server,"Baltimore, MD",Yes,Yes,Neutral,Part-time,More than 3 years,"-Family environment<br>-Good money / time ratio<br>-Managers are will to work with you, especially as a college student.<br>-Help you move up the ladder, most managers either started as hosts or in the kitchen",-no paid time off<br>-no benefits,
"""Great Company""",4.0,5.0,5.0,4.0,4.0,3.0," Sep 27, 2017",Current,Server/Bartender/CLC,"Fort Collins, CO",Yes,Yes,Neutral,Part-time,More than a year,Red Robin is a great company to work for with awesome employees and good opportunity for growth if you're willing to work for it.,Corporate makes decisions without thinking of how they will affect how the restaurant runs.,Corporate needs to test the plausibility and effect of their decisions in restaurants before implementing them.
"""Good money and people!!""",5.0,4.0,5.0,4.0,1.0,5.0," Sep 25, 2017",Past,Anonymous Employee,"Knoxville, TN",Yes,Yes,Neutral,Full-time,More than 3 years,"I worked at Red Robin about 4 years in total. The staff is amazing, but the money will keep you there. I definitely recommend this company if you are a server.","I guess a downside would be working all day (mid-shift), if you don't like the money. 99% of the time I was okay with working those hours. After being there all day on a Saturday, which are extremely busy, you are ready to go.",None
"""Bartender""",4.0,4.0,5.0,5.0,3.0,4.0," Sep 24, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Upbeat environment, good money, incentives to do well","Immature management, lack of communication among staff",
"""Won't be here long""",4.0,,,,,," Sep 24, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,Less than a year,"Music playing at all times, fun atmosphere","Employees- Always a shortage, if you're good at your job your responsibilities only go up.","Host a job fair, tell your friends, get less useless people on the line so the good ones left don't have to pick up everyone's slack and let the anger of that fester."
"""manager""",2.0,,,,,," Oct 6, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,would rather not say anything,didnt take care of people it was a franchise,
"""Over all good""",4.0,2.0,3.0,3.0,3.0,3.0," Sep 21, 2017",Past,Line Cook,,No,No,Neutral,Full-time,Less than a year,"Great Food, good people, Fun","Weekends, benefits and that's it.",N/A
"""My first store in NC was amazing - solid management and amazing team members.""",3.0,3.0,3.0,2.0,1.0,3.0," Oct 5, 2017",Past,Server,"Boise, ID",No,Neutral,Neutral,Part-time,More than 5 years,"The co-workers I had were by far the best part of every location. Management was amazing at times, but I definitely had a few that didn’t fulfill the role properly.","Inconsistency amongst management. I felt that the food quality dropped during my time there, as well. I wish corporate had gotten involved on a number of occasions.",
"""Micromanagement""",2.0,5.0,3.0,1.0,1.0,1.0," Sep 30, 2017",Current,Server,"Broken Arrow, OK",No,Neutral,Neutral,Full-time,More than 5 years,- Easy Menu<br>- Great management team (at this location),"- No server assistance (busser, expo)<br>- Low wage caps<br>- Micromanagement (beverage, appetizer, rewards)","I have no advice to management, my management team is the best I have ever worked for. My advice would be to corporate, micromanaging every step of the service experience creates a lack of custom options for our guests and makes servers treat every table the same."
"""Okay""",3.0,4.0,4.0,1.0,4.0,4.0," Sep 28, 2017",Past,Host,"Hamburg, PA",Yes,Yes,Yes,Part-time,More than a year,I worked with good people and mostly great managers. Good uniforms,No idea when your shift ends. No electronic seating app anymore. Nothing else,Be nice
"""Server""",5.0,3.0,5.0,3.0,5.0,3.0," Sep 13, 2017",Current,Server,"Durham, NC",Yes,Yes,Yes,Part-time,More than a year,"Great management team, decent work hours, questionable clients.","Questionable clients, sometimes the work outweighs the compensation",
"""It was nice to serve those that came in but it was not an easy job to work with people who were only out for themselves""",3.0,3.0,4.0,2.0,1.0,3.0," Sep 27, 2017",Past,Hostess/Busser,"Anchorage, AK",Yes,Neutral,Neutral,Full-time,More than 3 years,They care about the customer and want them to have the best experience dining with them. They are kind to everyone.,There are no benefits for those who work full time and there is no paid time off. The spot I worked for only cross-trained the kids who were the nastiest.,
"""All in all, okay job.""",2.0,2.0,4.0,4.0,1.0,2.0," Sep 26, 2017",Past,Line Cook,"Gilbert, AZ",No,No,Neutral,Full-time,More than a year,They offer a flexible school schedule to a busy student like myself. Pay is somewhat better than what other places are offering but still is not great. Management looks to satisfy employees.,"Work hours are very poor. Typically either very short shifts (2 1/2 even) to save on labor or end up getting sent home early. Most days you are expected to work two shifts which is one during the lunch rush and then to come back at night and work the dinner rush as well. Corporate is also very money hungry and trying to getting rid of positions such as Expo, Sauté, and Dishwasher and making the entire team have to pick up extra positions even on hectic Saturday nights. The pay also is not incredible and does not allow for much room of growth.",
"""Great People, Stressful Environment""",4.0,4.0,4.0,3.0,3.0,3.0," Sep 11, 2017",Past,Server/Bartender,"Waldorf, MD",Yes,Yes,Neutral,Part-time,More than 3 years,"Most of the managers were great, compassionate people.",Sometimes the same issues happened again and again.,Lower the stress level.
"""Good for corporate""",3.0,4.0,4.0,5.0,4.0,2.0," Sep 22, 2017",Past,Server/Hostess,"Fort Collins, CO",Yes,No,Neutral,Part-time,More than a year,"Flexible hours, opportunities to move up, short shifts, tasty food, engaging management, and comprehensive benefits/discounts for full time employees.","It's a corporate restaurant so the promotions and ""focuses"" they push on servers can really detract from guest experience and make an already difficult job even harder. There's more focus on numbers than people.",Care more about people and less about percentages. Guests shouldn't have to order their own food and surveys shouldn't determine shifts.
"""Line Cook""",5.0,5.0,5.0,5.0,5.0,," Sep 8, 2017",Past,Line Cook,,Yes,Yes,Neutral,Part-time,More than a year,Easy to learn and move up. They will pay you and give you raises if you work hard and show up on time.,It's a kitchen so the normal cons that come with restaurant jobs.,
"""Publically traded company""",2.0,2.0,1.0,2.0,2.0,2.0," Sep 24, 2017",Past,Server/Bartender Mid Manager,"North Olmsted, OH",No,No,Neutral,Full-time,Less than a year,"Good food, high cleanliness standards, good training","Red Robin used to be the leaders in training and promoting and making careers for people. They USED to care a great deal about the team members. Now they are just like every other chain that becomes a publically traded company. It's ONLY about the bottom line! Food standards have gone down, cleanliness standards have gone down and team member appreciation is at rock bottom. They now push their team members to be salesman it's not about the guest experience anymore it's about selling selling selling and oh yes did I mention selling? Such a shame that such a wonderful company has taken such a turn. All the bartenders were fired in 2011 and rehired at $4.65 an hour. Even the ones that have put 10, 15 or 20 years in as a bartender. That's very shady! Also if you don't sell enough drinks, appetizers and desserts you lose your shifts and eventually get fired. No longer does excellent customer service play a part. you can be amazing at your job but if you're not a top notch salesman you can't work at Red Robin.",No advice to management since all decisions to take away customer service and push sales have come from the top! Managers are simply messengers now.
