Rating,Review Date,Employee,Description
4.0,"Mar 08, 2016","Current  Hostess  in Hershey, Pennsylvania","[' They respect and give you time off as long as you request of in advance. As well as, goes through an application in which you can switch and pick up shifts. Last but not least you get a great discount on meals not just after your shift, but anytime!']"
2.0,"Apr 25, 2016","Current  Line Cook  in Fairfax, Virginia","[' After 6 months of employment you qualify for health insurance, however you need to maintain 30 hr avg work week which management actively tries to prevent']"
1.0,"Feb 22, 2016","Former  Employee  in Overland Park, Kansas","[' I got nothing. Absolutely nothing, just discounted food. was a terrible experience but that is no different from any other food serive job']"
1.0,"Feb 10, 2016","Former  Line Cook  in Baton Rouge, Louisiana","[' there are absolutely no benefits other than available vacation time every year, which are not guaranteed and are unpaid.']"
1.0,"Feb 06, 2016","Former  Server/Waiter  in Lynnwood, Washington State",[' No official benefits but the flexibility is great!']
2.0,"Jan 08, 2016","Current  Line Cook  in Auburn, Washington State",[' The benefits include health insurance and accrued vacation time after one year and only if you work 35+ hours a week. They have a pregnancy program available to hourly team members but full benefits are only available to salary managers including disability and up to 30 vacation days a year.']
3.0,"Jan 04, 2016","Former  Employee  in Greenwood Village, Colorado","[' Health insurance was mediocre, dental plan was near useless (max benefit used within about a month and a half).']"
5.0,"Dec 06, 2015","Former  Expo  in Braintree, Massachusetts",[' They have lots of discounts for working there. Like 20% off of your cell phone bill.']
3.0,"Nov 23, 2015","Current  Assistant Manager  in Olympia, Washington State","[' employee stock option, pretty standard benefits']"
1.0,"Dec 01, 2015","Former  Server  in Everett, Washington State","["" There weren't any benefits that I was told about. I never heard of anyone having any health insurance or anything through them.""]"
5.0,"Nov 01, 2015","Current  server  in Trussville, Alabama","[' Study 1: Because of the gloomy economic situation, you have decided to monitor more carefully your spending in grocery. You have long suspected that shopping Publix is cheaper than shopping Piggly Wiggly. Now you want to test it. Study 2: In the campaign wave of “buying local,” you are worried that local grocery products may cost you more than non-locals, but your spouse argues that the opposite may be true because local products save you transportation cost. You set out a plan to test who is right.']"
3.0,"Nov 12, 2015","Former  Employee  in Seattle, Washington State",[' There are no benefits in my case as I was just a part time worker while being a student. Tips are a big plus on top of the good wage offered here.']
1.0,"Nov 16, 2015","Former  Employee  in Albuquerque, New Mexico","[' Poor 401(k) match, decent medical/dental, high budgets for bonus.']"
2.0,"Oct 20, 2015","Former  Employee  in Greenwood Village, Colorado",[' Employee discount is pretty nice however the food becomes trash after a couple of weeks. Part time employees do not get benefits neither do contractors.']
2.0,"Oct 14, 2015","Former  Employee  in Allentown, Pennsylvania","["" Wasn't really offered any type of bonuses for good work and they just cared about you getting done what corporate wanted to have achieved.""]"
1.0,"Oct 27, 2015","Former  Server  in Seattle, Washington State",[' Company stock purchase plan was a great benefit']
1.0,"Oct 26, 2015","Former  Line Cook  in Robinson, Pennsylvania","["" The benefits do not exist for regular employees. They say it is because you aren't full time. Even if you're working 45 hours""]"
3.0,"Sep 30, 2015","Former  Assistant General Manager  in Orange, California","[' Training is very good and Standards are high. Good health benefits, at the time, 401K was good until the company changed it. vacation was standard with the industry but the good part is after some years you can increase you vacation time.']"
1.0,"Oct 09, 2015","Former  Manager  in Santa Ana, California","["" It's the bottom of the barrel when it comes to coverage. You have to pay for nearly everything at every visit. It's essentially like not having insurance at all.""]"
1.0,"Oct 06, 2015","Former  Employee  in Vancouver, Washington State","["" there isn't one. there are no benefits, no 401k health, dental vision, unless you get to a corporate level position.""]"
4.0,"Sep 29, 2015","Current  Employee  in Cleveland, Ohio",[' Good bonus program. Medical benefits have gotten cheap']
4.0,"Sep 15, 2015","Former  Server/Bartender  in Irvine, California","[' Well, Red Robin does give you paid days off and i think you can take up to 48 hours worth of time off in a year. But you can only request paid time off after you have earned it, obviously. I believe you have earn up to 3 minutes of time off per hour worked. Management is always great about granting requests regarding time off, but make sure you request about 2 weeks in advance.']"
4.0,"Sep 02, 2015","Current  Food Server  in Sterling, Virginia",[' There are no benefits for this.']
3.0,"Aug 31, 2015","Former  General Manager  in Richmond, Virginia",[' Limited options for selection on benefits. Stock options are also limited and based of time in rade']
1.0,"Sep 15, 2015","Current  Employee  in Seattle, Washington State",[' I had no benefits as a part time employee. They were offered but they were really poor. The tips made up for it unless you had to miss a bunch of work do to illness or injury.']
1.0,"Sep 10, 2015","Former  Server  in Broomfield, Colorado","[' You do not get benefits unless you are full time, and they do not allow anyone to hit overtime.']"
1.0,"Sep 05, 2015","Former  Employee  in Naples, Florida",[' There is not a benefits package.']
1.0,"Sep 04, 2015","Former  Line cook  in Wilkes-Barre, Pennsylvania",[' There is no benefit package it is part time work. Sorry not a career']
1.0,"Aug 30, 2015","Former  Line Cook  in Victorville, California",[' you get nothing but a hat and a badge.nothing.takes a whole year to get a raise if you get one.']
1.0,"Aug 27, 2015","Current  Employee  in Rancho Cucamonga, California",[' They dont give you any.']
5.0,"Jul 31, 2015","Current  Expeditor  in Denver, Colorado",[' The option to donate a dollar of each paycheck to a fund that the company uses to assist down on their luck Red Robin employees is super awesome']
3.0,"Aug 26, 2015","Current  Food Server  in Carmel, Indiana",[' I do not know about the benefits package as I am part time. I do know they offer full time positions for all positions.']
2.0,"Aug 14, 2015","Former  Server  in Folsom, California",[' No benefits at the server position so difficult to make this a career unless you go into management']
3.0,"Aug 09, 2015","Former  Assistant Manager  in Rockaway, New Jersey","[' This is a standard benefits package. Nothing is better or worse, then any other restaurant company. Keep it moving']"
1.0,"Aug 24, 2015","Former  Employee  in Apple Valley, Minnesota",[' The benefits are slim to none']
3.0,"Jul 06, 2015","Current  Server  in Seattle, Washington State",[' Discounts on food and drinks.']
3.0,"Jun 27, 2015","Current  Food Server  in Scottsdale, Arizona","["" There are lots of perks to working with red robin, company's give discounts for things like cell phone plans but its kind of hard to find where to apply for them.""]"
1.0,"Jul 09, 2015","Current  Server   in Saint Louis, Missouri",[' They took all the benefits away and remodeled all the restaurants. They knocked everyone down to minimum wage and no longer give raises ever.']
3.0,"Jun 08, 2015","Current  Mid Manager  in Cincinnati, Ohio",[' It deducts an awful lot of my income.']
3.0,"Jun 03, 2015","Current  Employee  in Towson, Maryland",[' Health insurance is pretty good .']
4.0,"Jun 02, 2015","Current  Employee  in Los Angeles, California",[' Great benefits for salaried team members. Good coverage ppo. Must be full time.']
1.0,"May 16, 2015","Former  Line cook/trainer  in Fort Wayne, Indiana","["" Unless you are a manager don't ask for benefits. Even the managers say the benefits are horrible and not worth it.""]"
5.0,"Apr 07, 2015","Current  Employee  in Lakewood, California","[' Flexible schedule, 401k, Paid Leave']"
4.0,"Mar 18, 2015","Former  Employee  in Woodbridge, Virginia","["" They did give me time off and was very flexible and didn't had a fit when I took the day off""]"
4.0,"Mar 15, 2015","Current  Employee  in Kennewick, Washington State",[' Good vacation and overall decent Healthcare coverage. Nice long term incentives.']
2.0,"Mar 15, 2015","Former  Line Cook  in Foothill Ranch, California","[' No benefits to speak of besides one free meal. No vacation, no sick days, no financial benefits for hourly employees.']"
1.0,"Mar 19, 2015","Current  Employee  in Simi Valley, California",[' you have to be a full time employee and it isnt easy to get that many hours']
4.0,"Jan 21, 2015","Former  line cook  in Wesley Chapel, Florida","[' the coast, plans are always changing and you can only apply once a year . but they also have some smaller benefits that are cool. like cell phone deals movie ticket discounts pc and laptop as well fun stuff like that']"
3.0,"Jan 09, 2015","Current  Employee  in Collegeville, Pennsylvania","["" There really isn't one. They offer health care to team members who have been with the company for 6 months to a year however, it isn't a whole lot""]"
1.0,"Dec 04, 2014","Current  Employee  in Waldorf, Maryland",[' cant use all your leave at one time']
4.0,"Nov 15, 2014","Current  Hostess  in Wesley Chapel, Florida","[' discounts at Fitness places, eye doctors, cell phone providers, attractions and parks']"
4.0,"Oct 19, 2014","Current  General Manager  in Orlando, Florida","[' BEST- car allowance (after 5 years) Worst- 401K after a year, insurance premiums increase every year']"
1.0,"Nov 13, 2014","Former  Employee  in Fresno, California","[' There are no benefits as far as 401k, medical & dental. Food is discounted. Tips are based on opinion.']"
1.0,"Nov 05, 2014","Current  Line Cook  in Chandler, Arizona",[' You have to work at least 35 hours a week for 6 months and most employees are scheduled for 30 hours a week.']
1.0,"Oct 16, 2014","Current  Line Cook  in South Plainfield, New Jersey","[' the best part is the free hamburger you get per shift and beverage, no other benefits']"
1.0,"Sep 12, 2014","Current  Busboy  in Apex, North Carolina",[' There is no benefits for part-time workers.']
