Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""It WAS a Great company.""",4.0,2.0,3.0,3.0,4.0,2.0," Nov 26, 2017",Past,Assistant Manager,,No,No,Neutral,Full-time,More than 8 years,Developed great friendships. Awesome training program.,Changed in a lot of ways. Went from Quality of service to Quantity of Guest.,Brink Back the Brinker that was about taking care of people.
"""Server""",3.0,3.0,4.0,2.0,2.0,2.0," Dec 11, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Flexible schedule and daily tips,Have to tip out other employees but not able ro claim that which means having to pay taxes for money you give to others,
"""Fast paced, long days""",4.0,4.0,4.0,3.0,3.0,4.0," Nov 26, 2017",Past,Line Cook,"Vero Beach, FL",Yes,Neutral,Yes,Part-time,More than a year,Free lunch/ dinner meal on shift for cooks,"Had to work non stop at a fast pace, constantly remaking food for incorrect orders.",don't keep your chefs late all week cleaning and then cut their hours at the end of the week and end up short staffed
"""Server""",3.0,3.0,4.0,1.0,3.0,3.0," Dec 10, 2017",Past,Anonymous Employee,,Neutral,Neutral,Neutral,Part-time,,Tips. Semi flexible hours. Nice staff.,Hiring process is a little disappointing.,Don’t make postings that you are hiring for a bartender when you are really only hiring servers. It wastes people’s time who think they are being interviewed for a bartending position only to be given the idea that they will start as a server to be trained as a bartender and that never happens. Wastes everyone’s time and I’m sure would help you on your horrible turn over.
"""It was... eh""",3.0,,,,,," Dec 9, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,It was really easy to make money on busy nights. The guests were generally happy and relaxed.,The food wasn't that great and people would complain. Management did very little and servers got away with a lot. It was an okay experience (pretty much just like eating there.),Take more ownership over the restaurant.
"""Quick""",3.0,5.0,5.0,3.0,5.0,5.0," Dec 9, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,It was some very nice employees,You was always busy never just sitting,
"""Host""",1.0,1.0,1.0,1.0,1.0,1.0," Dec 29, 2017",Past,Host,"South Houston, TX",Yes,Yes,Yes,Part-time,,Benefits were good even for part time.,Carrying others dead weight was a problem.,You need to not hire drug addicts and fire lazy people they hold back hard working people. Embarrassing employees in front of customers is not constructive criticism its humiliating. Putting a person with manager experience and 6 yrs server experience is wrong. Promoting lazy people that miss alot of shifts is wrong too. I left because I was working 7 days a week making 20 hrs. In all my years of working this was my worst experience ever.
"""Has Ups and Downs.""",3.0,3.0,5.0,2.0,1.0,3.0," Dec 5, 2017",Current,Expo,"Baltimore, MD",Yes,Yes,Neutral,Part-time,More than a year,"great coworkers, discounted food, fast paced environment","poor management, unstable hours, don’t schedule enough staff to meet needs of the restaraunt, etc,",
"""Fine place to work if you're new to hospitality""",2.0,,,,,," Dec 5, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Good people that you work with,"VERY Corporate, be prepared to sale a ton of margaritas.",
"""Good for part time""",5.0,5.0,4.0,3.0,3.0,4.0," Nov 17, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,Most host jobs are the same. Your experience really depends on the coworkers/manager.,Potential late hours on weekends.,
"""My Honest Opinion""",4.0,4.0,4.0,4.0,5.0,4.0," Nov 17, 2017",Past,Prep Cook,"Alafaya, FL",No,Yes,Neutral,Full-time,More than a year,"Good benefits, closed on Thanksgiving, good employee discounts.",Understaffed at times and not the best pay. No dishwasher during the day so that honestly sucks on busy days,"I honestly had the most amazing Manager at the Alafaya branch. Jeff Suppa is the most caring manager in the world. Mark, Jenn and Chris were great, too. Love them all... the only advice is to just hire a diswasher for day time who can take out trash and do dishes so the Prep guy can focus on prep!"
"""Great place to work!""",5.0,5.0,5.0,5.0,5.0,5.0," Nov 16, 2017",Current,Server,,Yes,Neutral,Neutral,Full-time,More than 5 years,"Flexible with schedule and time off, decent health benefits, many opportunities for growth/to move up in the company, fun atmosphere","Occasional lack of communication between management and staff or management and corporate, corporate initiatives that sometimes do not go over well with guests",Listen to what the staff employees in the restaurants have to say. They’re the one’s putting all your suggestions and ideas to the test day in and day out!
"""Used and Abused.""",4.0,1.0,3.0,1.0,4.0,2.0," Nov 16, 2017",Past,Line Cook/Trainer,"Clarksville, IN",No,Neutral,Neutral,Full-time,More than a year,Cooks get all you can eat Free food. Fat checks yeah once you get those raises the checks are fat.,No off time to spend with family. Will try to work you overtime all the time and they don't care if you speak English.,Watch who you hire. Lots of drug use in facilities.
"""Server""",4.0,5.0,4.0,3.0,3.0,2.0," Nov 15, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,More than 5 years,"flexible shifts, ability to make decent money in a night",Your experience will depend entirely on the management- which is not always good.,
"""Server/ bartender review""",3.0,1.0,2.0,3.0,2.0,1.0," Nov 30, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,You make good money<br>Well known,Changing management all the time<br>You are just a number,Value your employees
"""Bartender/ Server""",3.0,4.0,4.0,1.0,2.0,4.0," Nov 26, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Flexible schedule, good money, easy",Lack of real career opportunities,Reward hard working employees
"""Overworked and Underappreciated""",2.0,2.0,2.0,2.0,4.0,1.0," Nov 25, 2017",Past,Server,"Bristol, CT",No,Neutral,Neutral,,Less than a year,Busy restaurant with high guest turnover provides ample opportunity to make great money.,Managers expect you to perform at optimum levels to receive positive GEM scores (surveys on the ziosks) but don't provide their staff with the tools and support needed to recognize these goals. Improper ordering causes shortages of certain menu and promotional items and inadequate support when the staff is in need; hiding in the office while both front and back of house employees fall behind.,"Provide adequate training to employees instead of giving them 3 days of shadowing and then throwing them to the wolves and then Reprimanding them for their poor performance/survey results. Step out of the office and behind the line to cook or up front running food, etc. as needed. Stop attempting to cut corners on ordering product to ensure all menu items are consistently available to ensure guest satisfaction."
"""Bartender / Management Training""",3.0,2.0,3.0,3.0,2.0,3.0," Nov 24, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Fun Job with Food<br>Great Atmosphere<br>Flexible Scheduling,Management had high turnover rate,
"""Good money""",4.0,3.0,5.0,4.0,5.0,3.0," Nov 9, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,The money is good if you're willing to work for it.,Sometimes management could be a little more consistent with accountability.,"Pay attention. Appreciate the people that work hard for you. If you take care of team members, they take care of guests, and the bottom line takes care of itself. Accountability should be across the board. It's never an option."
"""I started as a hostess and moved up to server""",3.0,3.0,3.0,2.0,3.0,1.0," Nov 24, 2017",Past,Server/Hostess,"Pasadena, TX",No,No,Neutral,Part-time,More than a year,"Flexible schedule, fast paced, 50% off food after 3 months of being an employee","Rude customers, If you are a server you are given shifts based on ITR (Intent to return) surveys that customers take at the end when paying out.",
"""Not recommended""",2.0,1.0,2.0,2.0,3.0,1.0," Nov 23, 2017",Past,Manager,"Baton Rouge, LA",No,Yes,Yes,Full-time,More than 3 years,They are one of the higher paying chains in the area,"Area management and above is horrible, turnover for management in general is extremely high. Quality of life is some of the worst in the field.",
"""manager""",4.0,3.0,4.0,3.0,4.0,3.0," Nov 8, 2017",Past,Manager,"Augusta, GA",Yes,Neutral,Neutral,Full-time,More than 10 years,"continuous work, keeps you busy",don't do background checks so you get a lot of not honest people upper management too,"go back and look at work history, do a little research before giving somebody a job"
"""Unethical Theives""",1.0,2.0,1.0,1.0,2.0,1.0," Dec 12, 2017",Past,Server,"Johnson City, TN",No,No,Neutral,Full-time,Less than a year,Good money when busy.,No way to give good service. Employees are encouraged to rip off customers all in the name of AvT. Greedy managers. I watched managers swap top shelf liquor for cheap well in order to have lower liquor cost. Watched Managers drink and do drugs on duty. Managers regularly used B.o.g’s to take take cash from cash checks. Watched back of house guys smoke pot on the back dock with door open. Drug use in the open and managers just laughed about it. Servers caught serving under age and allowed to keep working. Servers were allowed to confront guests about poor tips. Its like the wild west.,Treat others how you want to be treated.
"""Nonsense""",1.0,,,,,," Dec 12, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,None really if your at the wrong store,To many to name off hand,
"""It's restaurant work...""",3.0,2.0,2.0,2.0,2.0,4.0," Nov 20, 2017",Current,Server/Bartender,"Terre Haute, IN",Yes,Yes,Neutral,Part-time,More than a year,Cash tips are nice of course,Terrible schedules...never get rewarded for hard work,Reward employees for their hard work and the amount of work they put in
"""Alot of work but usually decent pay""",3.0,3.0,3.0,3.0,3.0,3.0," Nov 17, 2017",Current,Line Cook,"Maspeth, NY",Yes,Yes,Yes,Full-time,More than 3 years,"Pay, co-workers, feel like you're actually cooking, usually flexible with scheduling","Co-workers, short staffing, at times too much expectations, management could be better at times",
"""total review""",5.0,5.0,5.0,5.0,5.0,5.0," Nov 3, 2017",Current,Line Cook,"Lafayette, LA",Yes,Yes,Yes,Full-time,Less than a year,"Great Management, Great work atmosphere",lack of interest in work from fellow coworkers,work on kitchen staff
"""Line cook""",5.0,3.0,5.0,5.0,3.0,5.0," Oct 31, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,More than 10 years,Fun environment to work in,The health insurance could be better.,
"""artender""",1.0,2.0,1.0,1.0,3.0,1.0," Dec 6, 2017",Current,Server/Bartender,"Waco, TX",Neutral,No,Neutral,Part-time,More than a year,I get 50% off food,management is terrible they don't care about anything,get better management
"""Food Server Review""",5.0,5.0,4.0,5.0,5.0,4.0," Oct 29, 2017",Current,Food Server,"Tomball, TX",Yes,Yes,Neutral,Part-time,More than 5 years,"Management is great working with your availability.<br>Family-like atmosphere.<br>Easy, quick money.",Scheduling manager often under-staffed shifts.<br>We often run out of rolled silverware and certain produce items.,"Never let a shift go under-staffed. Maybe a way to resolve this is to not let everyone who requested off, be off, or maybe initiate a request off cutoff line."
"""culinary manager""",4.0,4.0,1.0,3.0,3.0,1.0," Oct 30, 2017",Past,Anonymous Employee,"Baltimore, MD",No,Neutral,Neutral,Full-time,More than a year,"Welcoming crew, fun fast paced atmosphere",Their policies change depending on who you are.,
"""Good people, disappointing structure""",3.0,4.0,2.0,4.0,4.0,4.0," Nov 13, 2017",Past,Server,"Amarillo, TX",Yes,Yes,Neutral,Part-time,Less than a year,Their training program is good. They pay someone to roll silverware instead of slapping it on as side work that you get paid $2 an hour to do.,Their system is quite robotic which means you get treated more often as a robot. I wasn't too crazy about their team system. Sections are shared and servers take turns getting tables in that section.,Management was great. No complaints.
"""Food and Beverage Director""",4.0,3.0,3.0,3.0,4.0,," Oct 29, 2017",Current,Managing Partner,"Los Banos, CA",Yes,Yes,Yes,Full-time,More than 10 years,"Growing proffesionally, learning new strategies",new policies have created a challenging environment to continue growing within the company,
"""Grill Cook""",5.0,3.0,5.0,5.0,3.0,4.0," Oct 27, 2017",Current,Anonymous Employee,"Mandeville, LA",Yes,Neutral,Neutral,Full-time,More than 5 years,It's a very good place to get experience for a fast paced environment. F.O.H. and B.O.H. is very team oriented and respectful of each other.,Getting days off that I request off are sometimes hard to get even for a seasoned veteran like myself.,Management needs to have leeway on days requested off so people can feel like they have somewhat of a life.
"""Fun, Upbeat, Fast paced""",4.0,5.0,4.0,2.0,1.0,2.0," Oct 27, 2017",Current,Server/Waiter,"Midvale, UT",No,Neutral,Neutral,Part-time,More than 5 years,"Great team enviroment, flexible work schedule, good job to do while in school.","Low hourly pay, disgruntled customers, drama",
"""Ok""",3.0,2.0,3.0,3.0,3.0,3.0," Nov 10, 2017",Past,"Server, Hostess, to Go Specialist","Houston, TX",Yes,Yes,Neutral,Part-time,More than a year,"Some coworkers are hardworking and make it enjoyable. When I was asked to stay longer, pick up extra shifts, or work elsewhere (ex go to host or to go even though I was a server at the time) the managers would give me free meals",The location I worked at had a high turnover rate among employees leading those of us there to pick up the slack. I started as a hostess while in high school but then became a server. Since hosts and to go specialists would quit I would fill in. Also short staffed on servers would make it to where the most experienced servers would work all day Saturday. I would go in at 1 and be a closer with no break. I was a swing and should have been first cut but this was consistently done every Saturday for months. They would not trust other servers to close.,
"""Shift Supervisor""",4.0,,,,,," Oct 23, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,Offer great working hours. Set own schedule,Not much of a friendly environment,
"""Worst Job Ever!""",1.0,1.0,1.0,1.0,1.0,1.0," Nov 27, 2017",Past,Waitress,"Harvey, LA",Yes,Neutral,Neutral,Part-time,Less than a year,"Discounts on certain food items, free fries, free drinks, and free chips and salsa. Cash on hand every night. Some Co-workers were decent","Training isn’t detailed. Stressful. Manager don’t know how to talk to their workers.<br><br>Barely learned anything during the training process besides how to wait on a table. My second day of working on my own, I was given a table of 15 on an already busy day (Veterans Day) the managers were very unhelpful and rude that made me want to walk out and quit that day. I wasn’t making a lot of money on my shifts because I’d always be sent home within the first 2 hours of working with only 3-4 tables each shift. Where others where making $100+ a shift, I only made $20. Some days they’d put me back as a trainee to help me with the issues I was having (something that I should’ve learned within the first 5 days but hadn’t) last week when the schedules were being made, I didn’t receive one. Tried to pick up a shift, it got denied because “no”. Was contacted by the manager saying I was going to be retraining and asked what position I’d like to work in the restaurant. I replied, no response. Another schedule has been put out and I’m still not scheduled. Despite my mistakes from a lack of knowledge, I was better than some who had been there for months so I assume they’re trying to force me to quit",Y’all are trash
"""Bartender""",5.0,5.0,4.0,5.0,3.0,4.0," Oct 19, 2017",Current,Server/Bartender,"Fort Collins, CO",Yes,Neutral,Neutral,Part-time,More than 10 years,"Flexible schedule, fast-paced environment, interacting with new people every day, the effort you put into the shift can determine the amount of money you make.",Inconsistent income- it is hard to predict how much you will make on a weekly or monthly basis. A lot of time spent on your feet. Corporate standards can make you feel like a robot and less like a human interacting with other humans.,
"""Experience depends on management""",3.0,5.0,2.0,2.0,3.0,," Nov 5, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,"Flexible hours, easy work, lenient bosses","Undesirable clientele, whiny servers, lazy management","Care about your job (I had a GM who obviously felt that his position was ""beneath him"")"
"""Manager""",3.0,3.0,3.0,3.0,2.0,2.0," Nov 3, 2017",Current,Manager,"Pocatello, ID",Yes,Yes,Neutral,Full-time,More than a year,Fast paced and a very hands on experience in this field.The staff is the main reason I truly enjoy my job...,Turnover is very challenging and a constant problem especially when needing to do a schedule... availability is a constant problem,Establish yourself and your expectations from the get...do not play favorites with staff and you should be fine
"""It was okay""",3.0,3.0,3.0,5.0,2.0,1.0," Nov 2, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,More than a year,I liked the flexibility and choosing when to work.,They expect too much from servers.,
"""Good Job for College Student - Server""",3.0,3.0,3.0,2.0,3.0,3.0," Nov 2, 2017",Past,Former Server,,Yes,No,Neutral,Full-time,More than 3 years,"Great schedule flexibility, fun work environment.","Needy guests, double shift fatigue.","Senior Corporate Leaders - please reconsider guest surveys. Surveys are a good IDEA, but the server will be in trouble if any part of the survey is less that a ""5""(perfect score)."
"""First Lady Cook""",5.0,5.0,5.0,5.0,5.0,3.0," Oct 18, 2017",Current,Anonymous Employee,"Mercedes, TX",No,Neutral,Neutral,Part-time,More than a year,I love to cook as well as being in a high and fast pace inviorment the atmosphere as well as my coworks were and are still amazing. I would multitask to cooking to prepping to even washing dishes and throwing out trash. Shutting down our line and making it look brand new for morning shifts.,the getting out at 4 in the morning I'm a mother of five that is my me time being at work I always make the best of it im a very bubbly person,I'm a very hard worker and give excellent customer service I love makeup as well I do my own beautifully as well as doing others make-up I ask to give me a chance to meet me and show you why I'm good for you company
"""Opinions based on a few of the Puerto Rico's Chili's establishments""",3.0,4.0,3.0,3.0,4.0,3.0," Oct 31, 2017",Past,"Busser, Dishwasher, Preparation Work","Carolina, PR",Yes,Yes,Neutral,Part-time,More than 5 years,"Teamworked is promoted, you learn to multi-task and work in a fast-paced environment under a lot of pressure, flexible change of position you work in (i.e going from Busser to Waiter, Cook to Expo, etc. Though this also depends on how short staffed they are in certain positions), end of the year bonus depend on the hours you made thoughout the year.","Most managers are lazy, employees are overworked for very mediocre wage, if you're really good at whatever position (really good dishwasher, cook, etc.), chance of position transfer is slim, good employees often times are treated wrongly (yelled at unfairly or overworked while mediocre employees stand around not doing much).",Treat your good workers right and crack the whip on the mediocre ones so there's more efficient workers and teamwork.
"""Availability and raises""",3.0,3.0,2.0,2.0,,," Oct 30, 2017",Current,Anonymous Employee,,Yes,No,Neutral,Part-time,,they are flexible with availability,They dont pay very well for raises,
"""Different""",3.0,4.0,5.0,4.0,5.0,1.0," Oct 30, 2017",Current,Everything But Server,"Baton Rouge, LA",Yes,Neutral,Neutral,Full-time,More than 3 years,"( Might vary )<br>Great team members<br>Lots of fun moments<br>personal management<br>MANY company programs ranging from reimbursement for child care and smoking cessation, to huge discounts of just about anything you can buy (and many more)<br>Great starting wage comparatively to the restaurant industry. Also, consumer wise VERY clean and well maintained restaurant, probably the best in those terms in the industry.","Part of chilis business model is doing more with less, you'll earn around $10-12 starting wage but must do a wide degree of tasks and in large amounts.<br>Lack of order and organazation","Managers are people too (surprise), but please exercise more patience and do not take frustration out on everyone. Hold equal standards to all, instead of delegating the most demanding tasks to the select few ""good"" employees (happens 100% of the time) and enforce more organization."
"""Stressful But Good First Job""",3.0,3.0,4.0,3.0,3.0,4.0," Oct 31, 2017",Past,Server/Waitress,"Overland Park, KS",Yes,Yes,Yes,Full-time,More than a year,"tips, returning customers, discounted food","stressful, too much side work",Don't laugh at your employees when they say they are being sexually harassed
"""Greatly Depends on what store you work at""",4.0,3.0,5.0,4.0,2.0,4.0," Oct 15, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,team oriented and employee discount,poor management and highly unorganized,
"""Almost the worst.""",2.0,1.0,3.0,2.0,1.0,1.0," Oct 30, 2017",Past,Manager,,Yes,Yes,Yes,Full-time,More than a year,Some people were great. Regular guests made everything worth it. Organizational flow is not horrible. I worked for a franchise.,"The franchise I worked for is constantly hemorrhaging both staff and management. It’s tough. I was sent to a store with a GM who was allowed to run the store into the ground. No amount of effort will make that store what it was in its heyday. As a management team, we never bonused.",
"""Wonderful company to work for""",5.0,5.0,5.0,5.0,5.0,5.0," Oct 13, 2017",Current,Server/Bartender,"Orlando, FL",Yes,Neutral,Neutral,Part-time,More than 10 years,Like a family<br>Flexible schedules<br>Great financial opportunity,Weekends and Holidays are a must,Keep up the great work
"""Great company to work for!""",5.0,3.0,5.0,2.0,5.0,5.0," Oct 13, 2017",Current,Restaurant Manager,"Lake Villa, IL",Yes,Neutral,Neutral,Full-time,More than a year,Great with quality of life! Very good with giving you the tools you need to do your job! Awesome food fun upbeat place to work.,Long hours! Dealing with hard guests. Working a lot of holidays and nights! Working for a declining business. Finding hourly without paying compatibly.,Give the good managers more help!
"""As a server my experience was great""",5.0,5.0,5.0,5.0,4.0,5.0," Oct 13, 2017",Past,Restaurant Server,"Jacksonville, FL",Yes,Yes,Yes,Part-time,More than 5 years,"Flexible hours, able to take off shifts when needed and work when needed",Typically depends obviously on good of a server you are which makes sense and how long you've been there.,Not sure if all stores did this but hiring someone to roll the silverware saved time and money. Even allowed others to pick up an extra shift. We also bused our own tables so we didn't have to tip out
"""OH Boy""",5.0,,,,,," Oct 10, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,Great benefits<br>Great managers<br> Great lunch discount,salary<br>lack of hours<br>boring uniform<br>cooks,none
"""fun but boring""",4.0,4.0,4.0,3.0,3.0,3.0," Oct 10, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,some Cool crew there.some management is cool and understanding.busy and fun sometimes,"lazy dirty workers,poor management skills people are unprofessional and rude sloppy",step it up
"""Bartender""",4.0,4.0,3.0,3.0,2.0,4.0," Oct 11, 2017",Past,Bartender,"Statesboro, GA",Yes,Yes,Neutral,Full-time,More than a year,- Flexible hours but must work hard to play hard<br>- excellent pay<br>- amazing general manager,"- Time off is a requested, not given",
"""Server""",5.0,,,,,," Oct 9, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Great working environment. Easy to learn menu. Other staff and employees are always willing to help when needed.,Sometimes too many servers are on when it isn't busy so it's hard to make decent money in tips. In the winter time it isn't all that busy except for on the weekends.,"Continue helping the staff- whether it be expo-ing, running food, cooking, etc. It helps the shift run more smoothly!"
"""Great""",5.0,5.0,5.0,5.0,5.0,5.0," Oct 10, 2017",Current,Server,"Little Rock, AR",Yes,Yes,Neutral,Full-time,More than 3 years,Love the company and their staff,There are no cons for the company,Take care of your employees
