Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Server""",2.0,1.0,2.0,2.0,2.0,1.0," Dec 20, 2017",Past,Anonymous Employee,"Ladera Heights, CA",Yes,Yes,Yes,Full-time,More than 3 years,It's a small restaurant so you can get the hang up having 4 tables in the beginning.,Management doesn't care about their employees unless it's beneficial to them.,"Actually manage the Restuarant instead of eating , being on social medias and hanging out with your friends and family in the bar and or Restuarant."
"""Host And whatever they NEEDED""",1.0,2.0,3.0,2.0,1.0,1.0," Jan 9, 2018",Past,Host,"Taunton, MA",Yes,Yes,Yes,Full-time,More than 3 years,"good first job, employees can be fun and relatable","I worked there for 4 years, Management always changed. Upper management had no respect for employees, allowed cutting hours more than half and expect employees to stay. Employees asked to have hours in other departments and denied. Trained as a bartender and host. Was allowed to be a bartender when the senior bartender left to get a new job but when they rehired him/her they cut the hours back. awful location to work at.","organization, ability to give steady schedules &amp; hours, respect employees"
"""Operation Manager""",5.0,5.0,5.0,5.0,5.0,5.0," Nov 20, 2017",Current,MGT,"Arlington, VA",Yes,Neutral,Neutral,Full-time,More than 10 years,Great Company Great company great,None Great Great Company Great company great,None
"""It was cool""",3.0,1.0,4.0,2.0,2.0,3.0," Dec 4, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,"Great team atmosphere, free food, get to meet new people everyday.",Low pay for sure much work especially now that it's unlimited endless apps.,Everyone turns to drugs because of the work load every shift. Drugs were a big problem with the restaurant as everyone was drugged out trying to keep energy for all the work
"""It depends on YOU""",2.0,1.0,1.0,2.0,3.0,1.0," Dec 4, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,Make as much as you want based on your hustle abilities,hours<br>management<br>food quality<br>promotions,be proactive<br>listen to your servers
"""So So""",3.0,3.0,3.0,3.0,4.0,3.0," Dec 1, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Money can be good. Coworkers are nice and fun.,Hours can vary. Promotions suck. Guests.,
"""server at fridays""",3.0,1.0,5.0,2.0,1.0,1.0," Nov 30, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,work well with school hours<br>grant request off if submitted in advanced,very few hours<br>too many servers,don't hire new people if you don't have enough hours to give current employees
"""Dishwasher""",2.0,5.0,1.0,5.0,5.0,1.0," Nov 30, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 10 years,Leaving early<br>Getting some food<br>Getting help when needed,Washing dishes and cleaning etc,
"""Line cook""",1.0,5.0,3.0,1.0,1.0,2.0," Dec 15, 2017",Current,Line Cook,"Moline, IL",No,Yes,Yes,Full-time,,Stays busy so time goes fast..,"NO VACATION, SICK/PERSONAL, OR PAID HOLIDAYS.",Offer any kind of incentive or anything
"""Server Review""",4.0,3.0,4.0,5.0,5.0,4.0," Nov 9, 2017",Past,Anonymous Employee,,No,Neutral,Yes,Part-time,,"Fast money, fast pace, good team",Near the mall but not the best location,
"""If you’re black dont do it""",1.0,1.0,1.0,1.0,1.0,2.0," Dec 10, 2017",Current,Hostess,"Massapequa, NY",No,No,Neutral,Part-time,,training you get free food,"Completely unorganized, one waitress didn’t want black people sat in her section because “they dont tip well”, very cliquey, not enough pay for being a host, you only get 3% of what is made for your shift and have to split that 3% with the other host for tips, the wait staff rarely pick up there plates even though the host do buss they are only supposed to pick up glasses, took 3 weeks to even get hired","You need to be on one accord, push to make new comers feel welcomed"
"""Corporate was amazing franchised not so much""",2.0,3.0,4.0,1.0,2.0,1.0," Nov 20, 2017",Current,Anonymous Employee,,No,No,Yes,Full-time,,the best staff training and amazing guests,after franchise took over very difficult to bonus,
"""Co-workers were nice. But management sucked.""",3.0,3.0,3.0,3.0,3.0,3.0," Nov 19, 2017",Past,Prep Cook/Dishwasher,"North Las Vegas, NV",Yes,Neutral,Neutral,Part-time,Less than a year,"This place makes great food. Nice co-workers, discount on food and drinks. Human resources department was awesome.",The manager sucked and wouldn't let me work there after being in jail for only a couple days. Before I went to jail I had told him I was turning myself in.,When you say you're going to give someone their job back. I suggest you do.
"""Sever""",2.0,2.0,3.0,3.0,1.0,," Nov 15, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,The money was ok with regular customers.,Management comped a lot of food that you still had to tip out on and then you didn't receive a tip from the customer.,
"""server""",3.0,,,,,," Nov 14, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,there are plenty of hours for work,there is no income security,
"""Server""",3.0,,,,,," Nov 14, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Money was decent in the cities,"scheduling, management, tip outs, etc.",
"""Love my job""",5.0,5.0,5.0,4.0,5.0,5.0," Oct 30, 2017",Current,Server,"Erie, PA",Yes,Yes,Yes,Part-time,Less than a year,Fun workplace with awesome managers who are good at what they do,"A tad stressful at times, wouldn’t recommend working here if you can’t handle pressure of time and dealing with picky people. Sometimes the coworkers blow up under stress and get very negative. You must be positive to survive this job.",Be a little stricter on type of behavior some employees get away with.
"""Good money""",4.0,3.0,4.0,4.0,4.0,3.0," Oct 30, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,Good place to learn to serve. The menu is small and rarely changes,Long hours and double shifts at some locations,Help your staff as much as possible
"""Difficult at times""",3.0,3.0,4.0,5.0,5.0,4.0," Nov 13, 2017",Past,Assistant General Manager,"Nashville, TN",Yes,Yes,Yes,Part-time,,Always changing the menu means always bringing in guests. Late night venue will generate more profits which means higher bonus.,"Long 12-14 hour shitfs, with a low quality of life for your family. A rough clientele with a value menu.",
"""Hostess review""",3.0,,,,,," Nov 12, 2017",Past,Hostess,"Manhasset, NY",Yes,Neutral,Neutral,Full-time,More than a year,Tips<br>Food<br>Great co workers,Hourly pay<br>Bi weekly pay,Give hostess a higher wage
"""server""",5.0,1.0,4.0,4.0,4.0,4.0," Oct 28, 2017",Past,Food Server,"Ladera Heights, CA",Yes,Yes,Yes,Full-time,,"Great Management, great money, very flexible schedule","Long Hours, you could not stop. customers were rude.",they were great
"""It's always Friday at Friday's""",1.0,1.0,1.0,1.0,1.0,1.0," Nov 30, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than a year,You can eat whenever wherever in the back of the restaurant,"Male managers fondling on female employees, Racism, lack of leadership",Don't hire people just because their your friends/family members friends.
"""Lied to me about moving up""",3.0,3.0,2.0,1.0,1.0,1.0," Nov 7, 2017",Past,Hostess,"Grapevine, TX",Yes,Neutral,Neutral,Full-time,More than 8 years,Great people and relaxed environment. Food was greasy yet really really really good. So on and so forth till the end of time,I️ didn’t get moved up like they said I️ would. Managers are full of empty promises and don’t stay with there word.,
"""Kitchen mgr., general manager""",3.0,3.0,3.0,3.0,4.0,3.0," Nov 6, 2017",Past,Restaurant General Manager,"Saint Petersburg, FL",Yes,Neutral,Yes,Full-time,,"Training program, quality products and focus on guest",Coupons and endless apps cheapened the immage and attracted the wrong clientele.,"Too much change, cutting back of foh staff"
"""Waitress""",5.0,5.0,5.0,5.0,5.0,5.0," Oct 18, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Full-time,More than a year,"Caring/Loving staff, there was always so much positive energy it made going to work a great experience every day.","Tgi Fridays was located around a busy lakefront area, unfortunately it was not right on the lake so business was not great.",
"""Bar manager""",4.0,5.0,5.0,3.0,3.0,5.0," Oct 19, 2017",Current,Bar Manager,"Tampa, FL",Yes,Yes,Yes,Part-time,,Great people<br>Great store<br>Amazing location<br>Great enviorment,Hours are terrible but people are amazing,More incentives more pay more benefits more hours
"""Server""",3.0,3.0,3.0,3.0,3.0,3.0," Nov 1, 2017",Past,Anonymous Employee,,No,No,Neutral,,More than 3 years,Customer service training is beneficial,Rude consumers<br>Skipped tabs<br>Chaotic work environment,
"""Hostess/ Server""",4.0,4.0,3.0,2.0,2.0,3.0," Oct 17, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,I learned lots of people and problem solving skills from working in the service industry. These things are transferrable and will help me in the long run.,Working for a corporate restaurant does not have all the benefits working for a local restaurant has. And of course sometimes you deal with difficult customers but this helps you grow.,Be patient with new employees but enforce good work ethic because it you wait too long then the restaurant will run in chaos.
"""Neutral Review of Fridays Corporation""",3.0,3.0,3.0,3.0,3.0,3.0," Oct 27, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,"They paid OK, coworkers were nice",You have to be working at Fridays,
"""Great place to learn...""",3.0,2.0,3.0,4.0,4.0,3.0," Oct 27, 2017",Current,Anonymous Employee,,Yes,No,Neutral,Full-time,,Working here gave me the knowledge base and developed skills to efficiently open a restaurant from the ground up and profitably operate it. Great learning environment from experienced managers.,Long hours. Change of business model towards discount dining results in discount clientele. Large company with revolving door at middle management results in inconsistent values and miscommunication.,
"""Server""",5.0,5.0,4.0,5.0,5.0,5.0," Oct 10, 2017",Past,Server/Busboy/Cashier/Food Prep,"Indianapolis, IN",Yes,Yes,Yes,Full-time,More than a year,Great company to work for and great boss!!!,Extremely Busy and really good food,
"""Hostess""",4.0,5.0,4.0,3.0,3.0,4.0," Oct 9, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Flexible schedule<br>hourly + tip out<br>good for high school or college students,corporate so a lot of rules and regulations on uniform,
"""Fridays""",4.0,,,,,," Oct 6, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,"Employees are very close knit, kind of like one big family.",Servers make tips based off of the business that comes into the store.,Great teamwork
"""Server""",3.0,3.0,3.0,2.0,1.0,3.0," Oct 19, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 8 years,"TGIF is a widely known brand and stores are usually busy. For that reason, there is a constant in-flow of customers.. individual table sales won't be too high, but you'll make up for that in turnover.","Servers are put under a lot of stress. The constant deals bring in a certain type of customer base that expect to spend less for more. Too much side work without the appropriate support. Most stores do not have a food runner, adequate kitchen supplies, or bussers.","Set your staff up for success. A lot of managerial staff are people from within who are not adequately trained to take on tasks. Bartenders need more than one blender. Kitchens need more fryers to keep up with endless all demands, every single store needs a busser or two. Staff should not have to tip out on original price of endless apps. Don't expect your staff to upsell when the idea you're painting for customers is ""eat for cheap"" Let managers know that they need to show more respect to their subordinates. A lot of managers (I've worked at multiple stores) talk down to their staff. Alot of managers and employees steal with couponing and deals. Pay more attention to that to cut losses."
"""Chill Summer Host Job -- Possibly too chill""",4.0,,,,,," Oct 5, 2017",Past,Host/Hostess,"Parsippany, NJ",Yes,Yes,Yes,Part-time,Less than a year,"The culture is friendly and upbeat, and it's contagious. 50% discount on food. Events like the bar-tending competitions also make it a fun place to work.","You don't get official breaks, at least not in NJ locations. Often I'd be the only host on duty, and so I'd have to sneak my lunch at a table where I could see the door and run to the front if guests arrived.","Hard to think of anything, other than that it's best when managers pick up the phone in the back office more often. A lot of my job involved running to the back to say that someone was on the phone and needed to talk to the manager."
"""Great for hourly servers , etc. Not worth it for hourly management""",3.0,2.0,4.0,2.0,1.0,3.0," Oct 15, 2017",Current,Associate Manager,"Orlando, FL",No,No,Neutral,Full-time,More than 5 years,The people (from coworkers to guests) at a high volume location is the best part.,"Since the shift to franchise, quality, benefits, and incentives have plummeted or have been removed. No long term stability. Management has been restructured to remove more salaried positions and replace them with hourly associate managers, without any indication as to what criteria has to e met in order to obtain salary. Overall trying to get more money to the bottom line at the expense of employees.",
"""Bartender""",3.0,3.0,3.0,4.0,3.0,3.0," Oct 16, 2017",Current,Lead Bartender,,Yes,No,Yes,Full-time,More than 3 years,-Brand is well established<br>-Focus on mixology and bar knowledge<br>-Encourage bar flair<br>-50% off food while on shift and 25% while off,-Menus constantly change<br>-Endless Apps add a lot more work and lower personal sales<br>-Turnover is high as in most restaurants,Treat your valuable employees with more respect
"""Working at TGI Fridays""",2.0,2.0,4.0,2.0,2.0,2.0," Oct 15, 2017",Past,Host,"Aurora, IL",No,Neutral,Neutral,Part-time,More than a year,Great coworkers and flexible work hours,"Bad management, bad atmosphere most of the time.",Needs to be more organized.
"""Manager""",1.0,1.0,1.0,1.0,1.0,1.0," Nov 5, 2017",Past,Anonymous Employee,"Dallas, TX",No,No,Neutral,Full-time,More than 5 years,Good salary and meal discount,"Down sizing, lay-offs, back stabbing, no work life balance",
"""General Manager""",2.0,4.0,,,,," Oct 14, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,More than 8 years,Great team member with positive attitudes,Senior Leadership did not place value of the team members,
"""Bartender""",5.0,5.0,5.0,5.0,5.0,5.0," Sep 27, 2017",Current,Asdf,"Trenton, MO",No,No,Neutral,,Less than a year,Fun time to have while chilling,Unorganized managers make things hard to work with,"Take a breath, organize things."
"""Good for college students with few financial obligations""",2.0,2.0,1.0,4.0,3.0,2.0," Oct 13, 2017",Past,Bartender,"Alexandria, VA",No,Neutral,Neutral,,More than 5 years,"Fast paced income, life -time friends, networking with guests.",Sanitation and Food handling standards are generally only met for department visits. Employees overworked to cut labor for manager bonuses.,"A fully staffed store provides better service, higher return guest rate, higher volume and sales will justify labor exceedingly; you will still get your bonus. Also, provide more incentives as continual training to encourage yet hard-working staff."
"""Manager""",3.0,2.0,3.0,2.0,3.0,2.0," Oct 9, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Fast pace and challenging. Great people to work with.,Hours are long and it can be stressful.,Spend more time with your staff and get to know them.
"""FOH Manager""",5.0,3.0,2.0,5.0,3.0,3.0," Sep 25, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,More than 10 years,ability to move up in the company is high.,they push a lot extras for a must sell.,
"""bartender""",5.0,3.0,4.0,4.0,1.0,4.0," Sep 25, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,great money and flexible hours.,"location isnt the best, hours can be long",
"""management""",5.0,5.0,5.0,5.0,5.0,5.0," Sep 24, 2017",Current,Anonymous Employee,"Paducah, KY",No,Neutral,Neutral,Part-time,Less than a year,"My managers are the best,very professional yet not over authoritative",There are none so far,None
"""ehhh""",1.0,2.0,1.0,1.0,1.0,2.0," Oct 30, 2017",Past,Server/Waiter,"Plano, TX",Neutral,Neutral,Neutral,Part-time,Less than a year,lots of hours<br>excellent to learn to manage your time because they won't schedule enough people or the people they do schedule don't show up,"if you are competent, then they work you like crazy<br>they kept hiring idiots that would no-call no show","stop hiring idiots<br>if they miss multiple shifts, fire them"
"""Long training, and no backup from management.""",2.0,1.0,2.0,3.0,3.0,3.0," Oct 8, 2017",Past,Server/Bartender,"Annapolis, MD",No,Neutral,Neutral,Full-time,More than 10 years,"Usually staffed with good people, it was easy to work side by side for long hours in a demanding and dynamic environment. Flexible hours make for a great side job while going to school.","Standard corporate problems. Management has a series of worries about their job, a director of operations has the same fears for his, and so on, and this stress is directly transferred to the boots on the ground. Everyone is looking for an excuse to terminate someone, and managers frequently develop groups of favorites around them, which means you could be targeted by a rival manager for the smallest of infractions.","Commit to consistency regularly. Develop a group of problem solving thinkers that can operate independently, and don’t crush your staff under the weight of your own career goals. Take it from a guy who has done everything from washing dishes to managing- it’s going to be a long road either way. But it will always be better for you and those around you to develop talent rather than remove &amp; replace."
"""Good place to start""",3.0,3.0,3.0,4.0,3.0,4.0," Oct 5, 2017",Past,Food Server,,No,No,Neutral,Part-time,More than a year,"I came here with no serving experience and learned the basics of serving which helped me move on to bigger and better things. Large staff, so if you're looking to meet new people this is a great job for that. Because it's a chain restaurant, there's always going to be people who come in. So, on any weekend night you'll at least make 100 bucks.",Most locations are open to one AM which can be really rough on your sleeping schedule. The promotions will kill your check averages. Endless apps will have you running all night for pennies. One of my least favorite things was working here as a grown adult trying to pay their bills and having to serve tables of 13 year olds with no parental supervision.,Consider how your promotions affect the staff who have to deliver them to the guests.
"""T.G.I. Friday's""",3.0,3.0,2.0,2.0,,," Oct 5, 2017",Past,Hostess,,No,No,Neutral,Part-time,More than a year,Flexible hours usually busy,Not the best working environment,
"""Brand is falling apart.""",1.0,1.0,3.0,2.0,1.0,1.0," Oct 24, 2017",Past,Bar Manager,"Boston, MA",No,Neutral,Neutral,Full-time,More than 5 years,The staff at the restaurant. I thought my employees were amazing. I had a hard time leaving them.<br>Regulars are great and freedom with local beer choices is nice.,Franchise is intentionally understaffing management in order to save money on their bottom line. Management in every restaurant is understaffed except the slowest ones. The pay is terrible. My last promotion I got $77 extra per week to run 85% of the building operations.<br>When it was corporate it was great. I was a 5 year employee and after it went franchise the management staff gets treated like dirt. Fridays is a dying brand. They Reimaged their ribs in order to fire up the brand again but it is another failed attempt at the same old bad choices they have made over the past 3 years. Allan Stillman would be disappointed at the remnants of his vision in 1969.<br>The training is subpar and often times MITs are pulled prior to their training completion in order to cover other restaurants.<br>Don’t recommend,Restructure the whole company and add better choices to your menu and actually staff the restaurants with managers.
"""Manager""",1.0,1.0,2.0,1.0,3.0,1.0," Oct 24, 2017",Past,Management,"Orlando, FL",Yes,Yes,Yes,Full-time,More than 3 years,"Free food, that is it.","No direction, continually contradict themselves, nepetisim, not one but MANY locations are but a ship without a captain!! NOT good for a career move!!",SEE ABOVE!! ⬆️⬆️⬆️
"""Steady money... You just have to work for it.""",3.0,4.0,2.0,3.0,4.0,3.0," Oct 2, 2017",Past,Bartender,"Aurora, IL",Yes,Yes,Yes,Full-time,More than a year,"Always busy, offered solid benefits.",Offered a lot of promotions that tend to bring in the worst clientele.,"Stop trying to squeeze every penny you can, from the cheapest people around."
"""Busboy""",3.0,,,,,," Sep 28, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,"Tips, Salary, Environment, Co-workers, Other","Salary, Work, Things to add here",Keep it up
"""Manager""",1.0,,,,,," Oct 19, 2017",Current,Manager,"New York, NY",Yes,Neutral,Neutral,Full-time,More than 5 years,Fridays helped me develop and learn the restaurant business,The only thing that I didn't like was that there was no room to grow,The turn over rate is high
"""Dont work there""",1.0,1.0,1.0,1.0,3.0,1.0," Oct 16, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,There is no reason you want to work for them,Don't care about employees at all,Run far away far far away
"""Controlled chaos""",4.0,2.0,4.0,3.0,4.0,3.0," Sep 8, 2017",Past,Kitchen Manager,"Dothan, AL",No,Neutral,Neutral,Part-time,More than a year,"Good insurance, good people. A lot of fun with the right group.","Long hours, ours was open from 11am to 2am. Meaning you got there at 7am to set up. 11 hour days at the minimum.",
"""I was a waitress.""",3.0,2.0,4.0,2.0,3.0,3.0," Sep 12, 2017",Past,Server,"Hanover, MD",Yes,Yes,Yes,Full-time,Less than a year,"The restaurant did not require experience with waiting tables and training went pretty well. You would shadow someone, and then they would shadow you.","I did not like that we were open until two every night. Also, I ended up working shift lead every night instead of rotating between servers. That meant even if I came in at 10 to open, I could be there until 2 the next morning.",Continue to build rapport with the servers.
"""Server review""",3.0,2.0,1.0,2.0,1.0,1.0," Sep 12, 2017",Current,Server,"Southfield, MI",Yes,No,Neutral,Full-time,Less than a year,I work with some of the nicest people and one of the best managers I've ever had.,The environment is a little juvenile.,
"""Awful Place to Work For""",1.0,1.0,1.0,1.0,1.0,1.0," Oct 3, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,"The money on occasion is decent, other then that there is nothing positive to say about this place.","Horrible management, horrible clientele, no consistency, sexual harassment runs rampant throughout the staff, employees are never set up for success, the general manager is lazy and incompetent.","Work harder and invest more in your staff. Attitude reflects leadership, treat your employees with more respect and loyalty."
"""Fun place to work""",4.0,,,,,," Aug 28, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Very Friendly enviornment, good management, great experience for serving","Tipped out mon.-thursday, fast paced",
"""Manager""",2.0,4.0,2.0,3.0,3.0,3.0," Sep 11, 2017",Past,Project Manager,"Houston, TX",No,No,Neutral,Full-time,More than a year,"Flexible Schedule, multiple locations, operations director","Company lacks direction, marketing priorities are muddled.",
"""Went from great to good""",4.0,,,,,," Aug 21, 2017",Past,Lead Bartender,"Lake Buena Vista, FL",No,No,Neutral,Full-time,More than 10 years,Best training program for bar industry,Unfortunately fridays decided to try and change their identity too many times and lost its momentum.,Management has always been great. Upper management needs to use their voice and remember from whence you came.
"""Server""",5.0,5.0,3.0,,,," Aug 23, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,Great meeting new people and having regulars come to visit you. Great tips,"As the season change, so did the money flow, irregular flow of customers",
"""Server""",2.0,2.0,2.0,1.0,3.0,2.0," Sep 6, 2017",Past,Anonymous Employee,"New York, NY",No,No,Neutral,Part-time,More than a year,The amount of tips you may get depending on the shift.,"Lazy co workers that only care about their tables &amp; nothing else around them. Leaves side stations a mess because they're ""too busy"" like others aren't as well. 2-3 days a week since seasonal ended.",WORK TOGETHER! Not only when you're ready to let someone go. Put lazy employees in their place instead of having the hard working ones pick up their slack
"""Assistant General Manager""",5.0,2.0,5.0,5.0,5.0,5.0," Aug 15, 2017",Past,Assistant General Manager,"Binghamton, NY",Yes,Yes,Neutral,Full-time,More than 5 years,"Environment, salary, benefits, advancement opportunities were fantastic. I worked for incredible knowledgeable people who improved my abilities and capabilities",The hours were not consistent meaning I'd work 7am to 6 pm somedays and 3 pm to 2 am on others. My sleep schedule was unhealthy.,Continue to be involved and engaged in your restaurants
"""Grill Cook Certified trainer""",5.0,5.0,5.0,5.0,5.0,5.0," Aug 13, 2017",Past,Grill Cook,"Hamden, CT",Yes,Yes,Yes,Full-time,More than 8 years,Because you can grow much as you want long as you work hard for it,Same. Co- worker don't want to come to work and you have to stay and pick up the Slack Because you are a team player,Hire people who want to work
"""everything""",5.0,3.0,5.0,5.0,1.0,1.0," Aug 10, 2017",Current,Anonymous Employee,,Yes,No,Neutral,Full-time,,work with good people pay is good,the customers that come in there are a bunch of pigs,treat your employees better
"""Hang in There!""",5.0,,,,,," Aug 7, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,"The best experience and starting out as a line cook is within a restaurant, it will truly show your worth and efffort you put forth by your performance.","The only downside I see fro here is the business of your shift, our location gets very busy so you really have to be prepared for your shift of a none stopping screen!",keep up the great work of bringing in more revenue for the location at store 1502 I surely can see the difference as others hopefully can.
"""server""",1.0,1.0,1.0,1.0,1.0,1.0," Sep 14, 2017",Past,Server,"Dedham, MA",No,Neutral,Neutral,Full-time,More than a year,none what so ever because they are horrible to employees.,endless apps are the death of that place,get rid of endless apps
"""I was a Host""",2.0,,,,,," Aug 23, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,They have a lot of openings during the baseball season and they will work with your schedule,when it isn't baseball season it is really slow and there isn't much to do.,
"""unfair termination""",1.0,1.0,1.0,1.0,1.0,1.0," Sep 9, 2017",Past,Anonymous Employee,"Mobile, AL",Yes,Yes,Neutral,Full-time,Less than a year,most coworkers are friendly and you do contests for prizes,"bad clientele , endless apps , can get fired for telling another employee that you wish to leave this job once you find another one.some managers will take party gratuity off for no good reason",dont listen to word of mouth when considering firing an employee who had a panic attack!!!!!!!!!! also we deserve our party gratuity we work for tips! and no other days are NOT always going to make up for that gratuity you took off just because the customer didnt want to pay even tho we did our job perfectly!!!!
"""Server""",3.0,3.0,4.0,2.0,2.0,2.0," Aug 16, 2017",Past,Server/Bartender,,No,Neutral,Neutral,,Less than a year,Good money when it's busy,"Kitchen meltdowns, bad customer base, management,","Show more support for servers and kitchen staff, endless apps make the restaurant struggle with customer satisfaction, i.e.) high wait times, high window times for meal over 30 mins."
"""Beginner Job""",3.0,3.0,5.0,4.0,4.0,5.0," Aug 13, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Fun environment, Quick way to make money, Teaches you how to interact with rude customers while keeping your composure.",Unorganized sometimes and there can be slow days where no money is made,Be managers instead of friends with co workers
"""Hope you enjoy their food""",4.0,3.0,4.0,3.0,3.0,3.0," Jul 28, 2017",Current,Server,"Key West, FL",Yes,Yes,Yes,Full-time,More than 3 years,"50% off discount for food, usually busy restaurant so you'll be making money the whole time you're their (dinner shift) Upbeat atmosphere, easy to learn, chance at good coworkers and customers","Difficult to call out sick/ get shifts covered, coworkers and customers can make your life a living nightmare if you're unlucky, closing procedures are annoying and can take an hour or two to finish and you're only getting paid your low wage of less than $ 5 an hour","Just treat your employees with respect and don't belittle them, without them running around smiling, your sales fall."
"""Worker Review""",5.0,4.0,5.0,4.0,3.0,5.0," Jul 26, 2017",Current,Server,"Charlotte, NC",Yes,Yes,Neutral,Part-time,Less than a year,Take Home Money Daily. Half off Discount,No Real Pay Check,Never Do Endless Apps
"""Great""",4.0,4.0,4.0,2.0,2.0,3.0," Jul 25, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,More than 3 years,"Great colleagues, easy workload, fun atmosphere","long hours, hectic schedule on weekends, late nights",
