Rating,Review Date,Employee,Description
2.0,"May 26, 2016","Former  Server  in Folsom, California",[' There is no benefits package because no is full time.']
3.0,"Apr 26, 2016","Former  Service Assistant  in Tampa, Florida",[' there was no benefits package for working here. I was part-time so nothing was available to me']
4.0,"Feb 14, 2016","Former  Server  in Escondido, California","[' Employee discount meal program, adequate health insurance although its costly']"
3.0,"Mar 04, 2016","Current  Food Server  in Moreno Valley, California","["" The best part is the offer everything. 401k, health insurance, life insurance, and vacation. The worst part is they keep making it harder to get these benefits. I worked there 10 years and now you only get 3.4 hours if you work 35 hours a pay period. It use to be 30 hours and it use to 4.9 hours. To get health you must have 34+ hours it use to be 30. They keep changing it so pretty much unless you're a cook you'll never see any of these benefits.""]"
2.0,"Jan 30, 2016","Current  Host/Hostess  in Anaheim, California",[' You can only get one free meal a shift and you cant get 2 if you work a double']
2.0,"Jan 23, 2016","Former  Supervisor/Bartender/Server  in Austin, Texas","[' Well, to be eligible for benefits you have to be considered a full time employee. As a server you are not allowed to work full time hours. They track your hours and when you are approaching the threshold for full time eligibility, you are either not allowed to work or they will call you off for your shift saying something like, its a slow day or we are overstaffed so take the night off. Luckily I was a supervisor and a cook as well so I was able to get the hours I needed.']"
1.0,"Feb 03, 2016","Former  Server  in College Station, Texas","[' I did not receive benefits because I was not there full time. But, they do offer insurance to full time employees and benefits to managers.']"
5.0,"Dec 29, 2015","Current  Employee  in Lancaster, Pennsylvania","[' Vacation, 401k match, health plans.']"
4.0,"Dec 10, 2015","Current  Employee  in Fort Worth, Texas","["" If you're a non tipped worker you get free food after your shift. If you're a tipped worker you get 50% off food unless you work a double""]"
4.0,"Nov 23, 2015","Former  Director of Operations  in Jacksonville, Florida",[' Health insurance offered to employees that work over 30 hours.']
3.0,"Dec 06, 2015","Current  Food Server  in Irvine, California","[' flexible schedule, most employees are part time']"
2.0,"Nov 24, 2015","Former  Service Assistant  in Roseville, California",[' You got an employee discount and that was pretty much it unless you were management or had worked there for 4+ years. Not a great deal.']
4.0,"Oct 29, 2015","Former  Server  in Irvine, California","[' Half off food, Free food when we roll out something new, and 25% of when you come into the restaurant on a day you didnt work']"
3.0,"Nov 05, 2015","Former  Server/Bartender  in Cupertino, California","[' Could request time off ahead of time using hot schedules, able to go to company training meetings, % off of food.']"
4.0,"Oct 11, 2015","Former  Server  in Laguna Hills, California",[' The Give A Slice program is awesome! Employee contribute to a fund to help coworkers when faced with financial situations due to illness or medical emergencies.']
5.0,"Sep 30, 2015","Former  Host  in Allen, Texas","["" I was a part time employee, so I personally don't know about the benefits packages and things like that.""]"
5.0,"Sep 08, 2015","Former  AGM  in San Antonio, Texas","["" Great vacation, 401k and ESPP for GM's. Great all together plan and executed well by the team in California.""]"
3.0,"Sep 15, 2015","Current  Employee  in Los Angeles, California",[' They work around your schedule.']
3.0,"Sep 07, 2015","Current  Server/Bartender  in Redmond, Washington State",[' It is fairly easy to get time off and most of the time the company is willing to work around your schedule.']
3.0,"Sep 07, 2015","Current  Hostess  in Temple, Texas",[' They genuinely try to give you the time off you need.']
2.0,"Aug 17, 2015","Former  Hostess  in Webster, Texas","[' No health insurance, no paid time off, no sick leave, no 401k, no stock options']"
3.0,"Aug 11, 2015","Current  Server  in Katy, Texas","["" Only full-time (30 hours) gets access to health care and they won't allow most servers enough hours to qualify because of the new health plan. Servers who qualify can test to get a 'green apron' which offers a $150 one-time bonus and $50 quarterly.""]"
3.0,"Aug 02, 2015","Current  Employee  in Tampa, Florida","["" BJ's has partial matching for up to 6% of your salaryt on 401K. Medical is pretty good at the manager level""]"
2.0,"Aug 10, 2015","Former  Employee  in Oxnard, California","[' Good discount on meals when you worked, very tempting to spend all your money on their food. Also included a drink.']"
2.0,"Aug 01, 2015","Former  Employee  in Columbus, Ohio",[' Not available at the time of employment']
3.0,"Jul 17, 2015","Current  Employee  in Denver, Colorado","["" It's great to have a 401k offered to even low level employees. They matched 3% for a limited time. The health care they offered before the mandate of the new legislation was much better. I guess having it available means they personally want to spend less money so the coverage is not so great now. For instance, I went to the hospital a few months ago...$6000 in med bills yet only about $500 was covered and I've basically met my deductible for the year with that since the deductible is $5500 I believe. Same thing with glasses...it covered my eye exam and abut $50 of the rest so I still ended up footing about $400 even with basic cheap frames. The health care isn't worth the price. Free meal for hourly non tipped team members and 50% off for tipped, when at work. When coming in off the clock 25% for you and your guests.""]"
3.0,"Jul 01, 2015","Former  Restaurant Manager  in Waco, Texas","[' 401K, matching savings plan and paid vacation with time accrued. Pretty good set up for Benefits package for self, spouse can be expensive to add in. Family is a little more than what it cost to add just a spouse.']"
2.0,"Jun 19, 2015","Current  Server  in Houston, Texas","["" There is non lol, so there is no possibility oIf getting a benefits package at BJ's unless maybe your a cook who works full time. If you are a server. Forget About It""]"
1.0,"Jun 08, 2015","Former  Server  in Laurel, Maryland","[' You had to work 40 hours a week, which the management had individual favorites whom they would always schedule more and give them better hours and sections so it was like a cut throat war with fellow employees trying to fight for shifts.']"
3.0,"Apr 22, 2015","Former  Senior Manager  in San Mateo, California",[' the worst thing is that a lot of the time we are short managers and its really hard to plan your vacations when you plan on taking one because there wont be enough coverage. Plus the vacation hours maxed out if you reach a certain amount and you start to lose them if you do not use them.']
1.0,"May 04, 2015","Former  Server  in Houston, Texas","["" It's essentially non-existent, because you have to consistently work 35-40 hours a week for three months straight, and they don't let you do that for scheduling purposes.""]"
2.0,"Apr 03, 2015","Former  Employee  in Los Angeles, California","["" benefits package at BJ's Restaurants was very basic. Did not have flex account cards available through the insurbnace carrier.""]"
4.0,"Mar 11, 2015","Current  Operations  in Huntington Beach, California","[' Great health insurance, 401k, dental and vision.']"
2.0,"Mar 17, 2015","Current  Server Assistant  in Katy, Texas","[' Double pay during your yearly anniversary, two checks.']"
4.0,"Jan 27, 2015","Current  Senior Manager  in Dallas, Texas","[' Great Benefits package, helped me immensely']"
3.0,"Dec 10, 2014","Current  Bj's Brewhouse Server  in Round Rock, Texas","[' Health insurance really sucks... covers $10,000 a year...']"
5.0,"Nov 05, 2014","Former  Employee  in Dallas, Texas",[' Company paid a very high percentage. My spouse and I were covered for $100 a paycheck(medical/dental/vision).']
3.0,"Sep 22, 2014","Former  Food Server  in Norman, Oklahoma","[' Servers got half-off of even the higher quality, most expensive food items.']"
4.0,"Sep 02, 2014","Current  Employee  in Fort Collins, Colorado",[' Good discounts. Free meals for kitchen staff.']
