Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Excellent Establishment for Part-Time College Students""",5.0,5.0,4.0,4.0,5.0,5.0," Dec 6, 2017",Current,Server,"Katy, TX",No,No,Neutral,Part-time,More than a year,"Not every restaurant is the same, so I am personally speaking from the Katy, Texas location, yet I'm sure this is common to many of the BJ's locations. The management is communicative and willing to work with your schedule. You're able to pick up shifts when you want, allowing flexibility in your weekly schedule as well. The amount of money that you make depends on your people skills, your ability to act under stress, and any other characteristics typical of a good server, which is my current position. Something that really struck me is how caring corporate is to it's employees. When hurricane Harvey hit, I was pelasantly surprised to find a nice compensation check in the mail from BJ's that was calculated by looking at how much I had worked the previous two weeks, and finding out roughly how much money I lost out on due to the days that our establishment was closed. Even though I lost next-to-nothing compared to many other unfortunate Houstonian's, this compensation was much needed and left a positive lasting impression on me from the company.","Everywhere you go you'll find some sort of issues with management, and BJ's is no different. I will say that in my time here, the cons are minimal and the biggest con for me is a personal problem, which is the commute to work. Anything else falls on minor communication issues, yet I listed their communication is still good otherwise. The only other thing that I can think of is the high-turnover rate of employees, meaning you may work with some people who aren't good at what they do, slowing you down or messing up your orders, and people who are shady, rude, or unprofessional. I feel as though this is common in many places. Lastly, shifts can be short if that's what you're looking for, but unless you're able to fill your section and stay busy for the entirety of that time, the real money is made staying on longer which isn't always an option.",Better screening process for applicants
"""senior manager""",1.0,1.0,1.0,1.0,1.0,1.0," Jan 5, 2018",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,they pay enough and competitive,They do not promote the right people,get off of the over technology
"""Server""",4.0,5.0,4.0,2.0,2.0,3.0," Nov 29, 2017",Current,Server,"Cerritos, CA",No,No,Neutral,Part-time,More than 5 years,"cash at the end of the day, very flexible with work schedule. they use the hot schedules app which is great fro students who need shifts covered","late hours, they close at 1 am three days out of the week which can be very exhausting and the kitchen can be a little slow sometimes and cause you to lose tip.","very laid back, its like every other job with good managers and bad managers, but at the end of the day they offset each other and its a good workplace"
"""Working at the Easton location sucks""",1.0,1.0,4.0,1.0,4.0,1.0," Jan 3, 2018",Current,Cocktail Server,"Columbus, OH",Yes,Neutral,Neutral,Full-time,,Company as a whole is good,Definitely the worst company ive ever worked for ... half the crew is sleeping together or with managers<br>Only way to work up the ladder...<br>Very dysfunctional ... never have supplies we need and always under staffed.<br>The appreciate employees who suck and dont acknowledge the top crew .<br>Its sad,What management the young punks that serve as crew runs the Easton store and even have a mean girls club
"""server""",4.0,3.0,4.0,3.0,4.0,3.0," Nov 28, 2017",Past,Server,,Yes,Yes,Yes,,More than a year,"great work environment, the people you work with become like family.","customers can be rude, but remember we are in the business of hospitality.",
"""Typical serving job""",4.0,4.0,4.0,4.0,3.0,4.0," Nov 23, 2017",Current,Server,"Leander, TX",Yes,Yes,Yes,Part-time,Less than a year,"Good food, good people, flexible schedule (especially for college students), good training program. Gives you opportunities to succeed, cool beers","Menu is enormous, management laid back, breaks are very uncommon and food isn’t completely comp, requires a decent amount of prior serving experience",Keep doing what you’re doing
"""Above average pay, below average everything else.""",1.0,2.0,3.0,3.0,5.0,2.0," Dec 28, 2017",Past,Server Assistant (Busser),"Allen, TX",No,Neutral,Neutral,Part-time,Less than a year,Great pay for the job (~$8-15 an hour of hourly plus tips)<br>Co-workers are great<br>Discounted food<br>Friendly guests<br>Located in a very busy area,"Long hours (if you're closing expect to get off an hour after close)<br>You do everyone else's job (sort and roll silverware, take out trash, open/close/and stock the bar, cleaning the kitchen floor and server break area)<br>Managers can be very rude<br>The busier it is, the less money you make (I would regularly leave with $80 in tips after working a Wednesday night alone, but since our tips are shared I'd only make about $30-40 on a Friday or Saturday night since I'd be working with 2-3 other guys)<br>High rate of turnover (managers generally had an attitude that bussers didn't matter, if you left they could just hire a new one, most bussers last less than a month)",Something needs to be changed.
"""Food Server""",3.0,2.0,4.0,3.0,1.0,3.0," Dec 7, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Friendly atmosphere and great food.,Not enough computers to get orders in.,Get more computers for the servers.
"""Server overview""",3.0,4.0,3.0,4.0,2.0,5.0," Dec 5, 2017",Past,Server/Waiter,"Clearwater, FL",Yes,Yes,Yes,Full-time,More than a year,Good Managers<br>Had a busy atmosphere,Gratuity not included on large parties,include gratuity on large parties
"""server""",2.0,3.0,2.0,4.0,2.0,2.0," Dec 6, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Easy place to serve with hosts, bussers, food runners, bartenders, and bev-tenders (people make your non-alcoholic drinks)",have to pay out 6% of total sales,treat your servers with respect and they will be happy to work for you
"""Waitress""",5.0,5.0,5.0,4.0,3.0,5.0," Nov 15, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,I loved working there it was a easy and pleasant experience,When I was there management was a bit inconsistent,
"""Would not go back, knowing how they treated me""",3.0,4.0,4.0,4.0,3.0,2.0," Dec 1, 2017",Past,Food Runner,"Colorado Springs, CO",Yes,Neutral,Neutral,Full-time,More than a year,-servers often make a lot of tips<br>-you make great friends and repeat customers you love<br>-pick up shifts whenever you need extra cash<br>-you can train in multiple parts of the restaurant and move up from there<br>-free food for takeout/hosts/kitchen staff<br>-50% off food for servers,-management is often in and out<br>-scheduling conflicts<br>-angry customers,"My advice to management, from while I was working there, is to not pick favorite employees but to treat everyone equally. Management behaved like children and often made fun of employees behind their back, causing drama. I would also say not to hire so many servers at once, because there are other parts of the restaurant that need workers. Hiring that many servers causes problems with scheduling, and not enough hours for most unless you're an experienced server who has been there for a long time."
"""Decent company, mamangemt could be better""",3.0,,,,,," Nov 23, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,More than a year,Tips<br>Will usually work around schedule<br>You can move up quickly if you apply yourself,Management needs better communication<br>Some managers aren’t willing to help employees when they’re busy,Communicate with fellow managers<br>Listen to employees concerns and don’t blow them off<br>Help your employees when they ask
"""Pretty ok place""",3.0,3.0,3.0,3.0,3.0,5.0," Nov 20, 2017",Current,Host,"Orlando, FL",Yes,Neutral,Neutral,Part-time,More than a year,"GM is great personable but firm and respectful, feels like being a part of a family",GM's attitude isn't shared amongst all managers. Staff can sometimes have harsh attitudes,
"""Manager""",4.0,2.0,2.0,1.0,1.0,2.0," Nov 3, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,Very dynamic environment with a lot of different people and backgrounds,little pay and no motivation,
"""good company""",4.0,5.0,5.0,3.0,4.0,4.0," Nov 4, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,good relationship with managers<br>flexible with hours<br>room for growth,very corporate<br>higher up positions above management don't make connection with you,
"""Server""",3.0,3.0,3.0,3.0,3.0,2.0," Nov 14, 2017",Past,ASD Specialist,"Shaker Heights, Cuyahoga, OH",Yes,Yes,Neutral,Part-time,Less than a year,You make good money in tips,Hard position to work at in general,They love to hire people up.
"""Food runner""",4.0,5.0,4.0,3.0,3.0,4.0," Oct 21, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,Good team support. Always helpful.,Can be chaotic when systems break down.,
"""Awesome company""",5.0,5.0,5.0,2.0,3.0,5.0," Oct 20, 2017",Past,Cocktail Server,"Hurst, TX",Yes,Yes,Yes,Full-time,Less than a year,"This restaurant runs like a well-oiled machine. The management is top of the line and always in sync with each other - which reflects on the atmosphere of the store and the amazing team work amongst the staff. If I still waited tables, I would want to do it here.",I don't think there were any.,
"""Lot's of opportunities for advancement""",4.0,4.0,4.0,4.0,3.0,4.0," Oct 21, 2017",Current,Anonymous Employee,,Neutral,Neutral,Neutral,Full-time,,"Team oriented environment, supportive management",The hourly rate for some jobs is too low.,
"""Bartender""",3.0,5.0,4.0,3.0,1.0,2.0," Nov 1, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,More than 8 years,Flexible hours and great tips. I easily made over 3k a month in tips working four-five days a week.,"Really annoying specialty cocktails that take time to make in a very high volume restaurant. The company doesn't really care about its team members either, and the tip out percentage guidelines for servers is only .05%!","Acknowledge good, hardworking people while you have them. Pay attention to people that make an effort rather than reward lazy and entitled people."
"""Fast Paced enviornment""",4.0,4.0,3.0,2.0,2.0,3.0," Oct 4, 2017",Current,Server,"Orlando, FL",Yes,Yes,Neutral,Part-time,More than a year,As a server you make decent money if you're good at what you do.,Working 8-9hrs without a break,
"""Great People, Terrible Management""",3.0,3.0,3.0,3.0,2.0,2.0," Oct 17, 2017",Past,Cocktail Server,"Dublin, CA",Neutral,Neutral,Neutral,Part-time,More than 3 years,"Great first job, wonderful people to work with",Not good money<br>Terrible managment,Care about your employees more and give positive feedback rather than what they're doing wrong.
"""Good pay IF you work hard every single shift.""",4.0,3.0,4.0,1.0,4.0,3.0," Sep 30, 2017",Current,Server,"Lutz, FL",Yes,Yes,Yes,Full-time,Less than a year,"Large sections, repeat customers, open late, large menu with varying selections, high priced items for food and drinks.",Management does not praise you at all and it is well known you are easily replaceable.,Praise your employees who do work hard every single shift and care about the business.
"""Hostess""",4.0,5.0,4.0,5.0,1.0,5.0," Sep 29, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,,More than a year,"Nice atmosphere, free food, easy going people, easy moving up",No tips as a hostess,
"""Quality is slipping""",3.0,4.0,1.0,2.0,1.0,1.0," Oct 14, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,- Flexible hours<br>-Great balance between work life and personal life,"-Management is awful, they don't do anything but walk around the restaurant<br>-Favoritism<br>-Quality and guest satisfaction are not prioritized",Just because you have a salary does not mean you don't have to work hard
"""Busser/ Host""",4.0,3.0,2.0,3.0,3.0,4.0," Sep 28, 2017",Past,Anonymous Employee,,No,Yes,Neutral,Full-time,,Great learning experience of how restaurant operations works.<br>Great pay and benefits.,Long hours<br>Sometimes not enough staff which causes stress on employees.,My advice would be to do a better job scheduling.
"""Server""",5.0,5.0,5.0,5.0,5.0,3.0," Sep 27, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 3 years,Hours were mostly pick and choose,"Hours, Sometimes you get stuck with a crappy shift",
"""I love working here in Denton""",5.0,3.0,5.0,5.0,5.0,5.0," Sep 26, 2017",Current,Server/Bartender,"Denton, TX",Yes,Yes,Yes,Part-time,,Great management<br>Lots of people<br>Tight group of employees<br>Good tips,Some guests are low tippers,keep doing what youre doing
"""Server's Assistant""",5.0,5.0,5.0,4.0,4.0,5.0," Sep 26, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,,More than a year,"Great work environment, management, and food",Guests can be hard to work with,none
"""Unfullfilling""",2.0,2.0,3.0,3.0,2.0,2.0," Oct 6, 2017",Past,Corporate Trainer,"Tampa, FL",No,No,Neutral,Full-time,More than 3 years,"Corporate company with a good product, takes care of those they move into key positions",Consistently passed on good talent for advancement. Appreciation for good employees not always up to par.,"Do not overlook talent, saw many dedicated employees leave due to lack of appreciation"
"""Line cook""",3.0,1.0,5.0,5.0,2.0,2.0," Oct 3, 2017",Current,Prep/Line Cook,"Tallahassee, FL",No,Yes,Yes,Full-time,More than 3 years,Great opportunity to move up,Hard to get 40 hours. Way to much work for the pay,Give employees evaluations and pay them accordingly
"""Takeout and Hostess""",2.0,1.0,2.0,2.0,3.0,4.0," Oct 4, 2017",Current,Anonymous Employee,"Addison, TX",No,Neutral,Neutral,Part-time,,"2 years ago I worked here and really enjoyed it with good management and colleagues, but I can't say the same anymore",Don't acknowledge how many hours you requested when hired or stick to scheduling for the position they hired you for.<br>Additionally they have management that acts like they are in high school causing drama and giving dirty looks when you ask them to speak with a customer or do something they don't want to do but is a part of their job,Schedule people for the position they are hired for and don't require someone that was hired as host and takeout to work mostly foodrunner shifts where they make less than they were promised at hire
"""Line cook""",2.0,2.0,2.0,1.0,1.0,1.0," Oct 2, 2017",Past,Anonymous Employee,"Corona, CA",No,Yes,Neutral,Full-time,,free food. Time goes by fast.,"Abuse workers with time frames in regards to breaks/lunches. Scheduling only shows your arrival time. You never know when your leaving, which makes no sense.",
"""Prep""",3.0,,,,,," Oct 1, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,they work around my hours.,"not enough hours, pay and always just me on weekends.",
"""Pizza cook""",3.0,2.0,2.0,2.0,2.0,2.0," Sep 30, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,Less than a year,"Good food, benefits, customers","Star system, mean managers, some people",
"""Decent temporary position""",3.0,2.0,4.0,4.0,3.0,4.0," Sep 26, 2017",Past,Prep Cook/Dishwasher,,No,Neutral,Neutral,Part-time,More than a year,You'll get plenty of hours to work.,Understaffed. Not respected. Expected to do the job of 3 people while servers talk and text in the kitchen.,It's not their fault. They couldn't find enough people to apply because they require citizenship.
"""Server""",2.0,3.0,1.0,4.0,2.0,1.0," Sep 23, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"Simple work, small sections, loose dress code, simple sidework","unprofessional coworkers(food not prepared correctly/food runners don't read tickets and don't run the whole ticket/bussers only halfway buss tables), circular break rotation, hosts lack knowledge (full section or no tables), relatively no training, hands-off management, and general lac of cooperation between employees.","train your people, set boundaries, fire people who drink on the job and show up high for their shift, be more hands on so people don't get lazy with no repercussions"
"""Great company with opportunity for growth""",4.0,5.0,4.0,4.0,4.0,4.0," Sep 7, 2017",Past,Server,"Nanuet, NY",Yes,Yes,Neutral,Part-time,More than a year,"Great training, lots of help provided by management. Great opportunity for growth in the industry.","Typical restaurant downfalls, inconsistent pay, unpredictable schedule, uneven work load.",Acknowledge and reward those who deserve it.
"""Bartender""",3.0,4.0,3.0,4.0,3.0,3.0," Sep 20, 2017",Past,Server/Bartender,,Neutral,Neutral,Neutral,Part-time,More than 3 years,-busy restaurant<br>-you can move up if you work hard<br>-they have lots of employees so you can get any days you need off,- frustrating<br>-they're trying to lower costs as much as possible so you run out of all the supplies you need all the time,-pay staff more so the good ones stay
"""Gold Standards""",5.0,4.0,5.0,5.0,3.0,5.0," Sep 5, 2017",Current,Server,"Teterboro, NJ",Yes,Yes,Yes,Part-time,More than a year,The management and corporate teams truly respect all other team members and would never ask another team member to do something they would not do themselves. Restaurant management is easy access and more than willing to help (within reason).,"Not necessarily a fault of BJs, but it is hard to find strong, committed employees. Many of my co-workers only do the bare minimum and the best servers often leave to find work elsewhere.",Stop playing favorites and acknowledge those who truly go above and beyond.
"""Server""",1.0,,,,,," Oct 11, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"None at all, management was awful",Worst and most unorganized management ever,Get new Management
"""It's a Job""",4.0,2.0,3.0,2.0,3.0,2.0," Aug 30, 2017",Past,Service Assistant,"Eugene, OR",No,Neutral,Neutral,Part-time,,"If you have nothing else on your plate in terms of a career it's a great place to make some decent money. In my opinion it's one of the highest paid restaurant jobs out there before you start getting into the high profile ""fancy"" restaurants.",They treat customers like cattle. 2 minute table turnover times. But that's part of why you walk home with a hefty wad of cash after you close the restaurant at 2:30 in the morning. Sometimes someone coming onto their shift has to pay for someone else not doing their job correctly as they leave their shift. Coworkers can be a hit or a miss.,Communicate with your employees more.
"""Busser""",3.0,,,,,," Sep 13, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,More than 3 years,Decent amount of money in tips especially over the weekends,It was arduous work especially during nights,
"""Lots of stress, little teamwork""",3.0,3.0,2.0,2.0,3.0,2.0," Sep 14, 2017",Past,Server,"Lake Buena Vista, FL",Yes,Yes,Yes,Full-time,More than a year,"Tips were decent, food is good, employees were friendly","No teamwork, management was unorganized, Managers got very personal and definitely had their favorites, unfair, lots of fights between management back of house and servers","give every employee the same opportunity, stop letting certain people slide and certain people write ups"
"""Amazing""",5.0,5.0,5.0,5.0,5.0,5.0," Aug 27, 2017",Past,Line Cook,"Elk Grove, CA",Neutral,Yes,Yes,Part-time,Less than a year,Store was always clean and everyone was ready to help!,busy busy but still great,
"""Server Review""",4.0,4.0,4.0,4.0,3.0,3.0," Aug 22, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Staff was mostly very friendly, managers were professional.","Some customers were difficult to deal with, which is expected and uncontrollable.",
"""Bartender""",4.0,4.0,4.0,3.0,2.0,3.0," Aug 20, 2017",Current,Bartender,"Folsom, CA",Yes,Yes,Yes,Part-time,More than 8 years,"Management cares about employees, and it is a high energy place to work.","The menu changes every 3-4 months, and the communication of new food and drinks to staff lacks.",More communication of new items and company changes
"""Service Assistant & Host""",3.0,4.0,3.0,4.0,3.0,3.0," Sep 3, 2017",Past,"Service Assistant, Host, & Finished Beer Specialist","Sacramento, CA",Yes,Neutral,Neutral,Part-time,More than a year,"Popular place, good for learning how to balance, execute, and function, in a fast paced environment. A great place to practice conversation and getting to know people you normally wouldn't.","Very rushed position, most people are either looking for , to ask you to do something, or have already found you and are asking you to something.","Pay attention to the people who are running around with their heads cut off, sometimes they may need a break."
"""It's okay""",3.0,1.0,,,,," Sep 2, 2017",Past,Server Assistant,,Yes,Neutral,Neutral,Part-time,,People are cool and friendly. Room to grow.,Mngmt needs to improve communication with employees,
"""Just another serving job""",2.0,5.0,3.0,,,," Sep 2, 2017",Past,Server,,No,Neutral,Neutral,Part-time,More than a year,"It's easy, can be good money.","Militant managers sometimes don't seem human. Very corporate, they would rather you be a robot than be yourself.",
"""Good Enough""",3.0,4.0,3.0,1.0,1.0,2.0," Aug 27, 2017",Past,Host/Food Runner/Take Out,"Cerritos, CA",Yes,Yes,Neutral,Part-time,More than 3 years,"You get free food if you are a non-tipped employee and half off if tipped,<br>You have a lot of cool coworkers,<br>You don't have a dress code except for ""black clothing"" as a host.","Micromanagement,<br>Hard work does not get rewarded but brown-nosing management does,<br>You don't know when your off time is for most positions.",
"""Great company, and great people""",5.0,4.0,5.0,5.0,5.0,5.0," Aug 10, 2017",Past,Service Assistant,"Kissimmee, FL",No,Yes,Neutral,Part-time,Less than a year,"Great Management, very helpful and willing to let you move forward. Great with schedule conflicts, and management staff valued employee opinions.",Going home at 3am sucks.,Don't be afraid to fire bad employees! New service assistants can always be hired.
"""Constantly busy, team-oriented""",4.0,3.0,4.0,1.0,2.0,4.0," Aug 8, 2017",Past,Server,,No,No,Neutral,Full-time,More than a year,"Consistently busy, strong sense of teamwork",Corporate so any advancement within restaurant takes many steps.,
"""Executive Kitchen Manager""",1.0,1.0,1.0,1.0,3.0,1.0," Sep 12, 2017",Past,Anonymous Employee,,Yes,No,Neutral,Full-time,,Not a lot of positives.,"Poor upper management, talk about culture but being nothing to the table.","Care about the team members, don't just say you do."
"""part time host""",4.0,3.0,3.0,3.0,3.0,3.0," Aug 1, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,More than 3 years,"fun, fast paced, a good place to make friends","no/weird hours, shortly staffed kitchen, open way late",
"""Working here is bad""",3.0,3.0,4.0,2.0,2.0,3.0," Aug 10, 2017",Current,Server/Waiter,"San Bruno, CA",Yes,Neutral,Neutral,Part-time,Less than a year,"I wouldn't work here forever but would definitely recommend it for someone who is a student or if your looking for something part time.<br><br>-Pretty Flexible schedule while at the same time can get the hours that you want. (If your location is as busy as San Bruno they will work you every hour you say you are available)<br><br>-Easy getting vacation (you just have to let them know a couple weeks in advance, or if it is a holiday such as Halloween you need to schedule it months in advance).<br><br>-Shifts are relatively short (4-5 hours) unless your closing. You can sometimes ask your manager though to work double shifts.<br><br>-Schedules are hosted through a site called hotschedules which also has an app. This is a place where you can find people to cover your shift.",-Sometimes Management is hard to find when you need them ( you will need them if you need them to take stuff off the bill or talk to a guest)<br><br>-Tips can fluctuate depending on the section your in ( there are some sections that are better than others because of the amount of tables they turn hourly)<br><br>-Kitchen is a lot of the times slow. (this affects the happiness of your guests because a lot of the times their entrees will come out before their appetizer or they will be waiting around 30 min for a salad),"For sure something that needs to be fixed is something in the back end of the restaurant. If anything, the size of the kitchen needs to be increased and the number of workers to accommodate a full dinner rush."
"""BJ's Restaurant & Brewhouse""",3.0,2.0,4.0,3.0,2.0,1.0," Aug 10, 2017",Current,Hostess,,No,Neutral,Neutral,Full-time,Less than a year,free meals for hosts<br>good hours,earliest to request off is a month,
"""It's an okay place for employment""",3.0,1.0,4.0,3.0,2.0,3.0," Aug 8, 2017",Current,Service Assistant,"Fort Worth, TX",Yes,Yes,Neutral,Full-time,More than 3 years,As being a restaurant your allowed free food<br>Great environment very friendly faces,Lots of employee tend to leave because being not liking the job<br>Scheduling can lead to almost no rest period,
"""Great Company""",5.0,5.0,5.0,3.0,1.0,5.0," Jul 24, 2017",Current,Server,"Denton, TX",No,No,Neutral,Part-time,More than a year,Great company with good people and great management in the restaurant!,Corporate management can be overbearing and needlessly nit picky.,
"""Average restaurant to get started in""",3.0,3.0,4.0,2.0,,," Aug 7, 2017",Past,Host,"Cerritos, CA",Yes,No,Neutral,Full-time,,"Easy to get job, lots of young people, pretty hip (as far as restaurant chains go), can transfer to different stores if you move.","Can be lots of drama (as in any restaurant), dependent on tips (as in any restaurant), open late.",
"""Server""",3.0,3.0,1.0,2.0,1.0,3.0," Aug 6, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 3 years,You can get a lot of hours a week<br>You get a discount on the food<br>Chance to become a manager,Not a steady schedule as you will be fluctuating hours all the time<br>Huge menu to learn (more than 16 pages) compared to other restaurants<br>Bare minimum labor employed per shift,You only pay servers 2.13 an hour so put more on the floor to work. I had an average of 8 tables (with at least 4 people at each). I was overwhelmed with the workload because the management was trying to keep their labor hours low.
"""This was a fun and fast paced company to work for!""",4.0,3.0,4.0,4.0,2.0,2.0," Jul 12, 2017",Past,Server,"Tucson, AZ",Yes,Neutral,Neutral,Part-time,More than 3 years,"Great co- workers, delicious food, and amazing beer!","long hours, don't make a lot of money when its slow.","Learn how to treat your employees with respect, not like slaves."
"""Food runner""",4.0,3.0,5.0,3.0,3.0,4.0," Jul 11, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"excellent training, good support, and flexible management",food running can get very boring.,
"""Waitress""",3.0,,,,,," Jul 24, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Can make a decent amount of money, your income depends on you... and business of store as well as if the managers make decent cuts.","Depends on which location you work. Also, no gratuity.",Bring back gratuity.
"""Great Job, Management micromanaged by corporate""",3.0,4.0,4.0,3.0,5.0,3.0," Jul 23, 2017",Current,Anonymous Employee,"North Little Rock, AR",Yes,Neutral,Neutral,Full-time,,almost everything<br>great hours<br>decent pay<br>fun environment<br>chill supervisors,inconsistent scheduling<br>difficult to get raises for hourly paid employees<br>often miscommunication or complete lack of communication between managers<br>New managers get hired without being fully trained<br>Employees have to train new hires with no increase in pay,Communicate more with one another.<br>Give praise where praise is due<br>stop picking favorites<br>train the new managers more thoroughly
"""Server""",3.0,4.0,,,,," Jul 21, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,- Quick cash<br>- Managers can be cool<br>- Flexible hours<br>- They use Hot schedules,- No gratuity for large parties<br>- They send out too many coupons out to customers which evidently bring sales and tips down<br>- They have secret shoppers,
"""Bj's Restaurant and brewery bartender""",5.0,3.0,4.0,4.0,,," Jul 3, 2017",Past,Anonymous Employee,"Addison, TX",Yes,Neutral,Yes,Full-time,,Management is great and the schedules are pretty consistent. Bosses work well with getting your days requested off.,Team work can get pretty weak at times.,
"""Server""",3.0,1.0,5.0,2.0,5.0,4.0," Jul 13, 2017",Past,Server,"Cary, NC",Yes,No,Yes,Full-time,More than a year,"Great pay ,<br>Consistency with schedule<br>Great benefits",Side work takes 2 hours to do .<br>Unorganized management in newer locations.,Keep your personal relationships with servers out of the workplace
"""Bjs restaurant""",3.0,1.0,5.0,3.0,2.0,2.0," Jul 9, 2017",Current,Assistant General Manager,"Eugene, OR",Yes,Neutral,Neutral,Full-time,More than 8 years,Company with a lot of heart and room for growth from internals to management. Salary is middle of the road but has yearly raise opportunity and a decent bonus structure.,Too many elements in the operations from day to day for the amount of members to a management team. Too many hours are required of each member of the management team and teams are often understaffed causing more stress than should be necessary,
