Title,Interview Date,Employee Type,Offer,Experience,Interview Type,Application,Interview,Question
Host/Hostess," Feb 21, 2017"," Anonymous Interview Candidate in  San Luis Obispo, CA",['Declined Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took a week. I interviewed at California Pizza Kitchen (San Luis Obispo, CA) in January 2017.']",['Friendly and welcoming interviewers. I went through two interviews and ended up just chatting with both managers about our personal lives. They asked very general interview questions...no curve balls.'],"[' What are your strengths? What are your weaknesses? \xa0 ', 'Answer Question']"
Host/Hostess," Nov 7, 2016", Anonymous Interview Candidate,['No Offer'],['Negative Experience'],['Average Interview'],[],['I applied online. Got a call about a week later and came in for an interview. I was sat in a booth and waited for the manager to come over. The interview was only about 10 minutes long. The manager got up to talk to other people several times during the interview.'],"[' Are you an introvert or an extrovert? \xa0 ', 'Answer Question', ' What do you think a hostess does? \xa0 ', 'Answer Question', "" Why aren't you working now? \xa0 "", 'Answer Question']"
Dishwasher," Oct 13, 2016"," Anonymous Employee in  Kapolei, HI",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 1 day. I interviewed at California Pizza Kitchen (Kapolei, HI) in October 2016.']",['really brief and straight to the point. the manager is really friendly and nice. the workplace is very roomy and doesnt feel enclosed in. the employees are really enthusiastic and they make you feel like youre part of a family. pre shift meetings look exciting.'],"[' why should we hire you? \xa0 ', '1 Answer']"
Host/Hostess," Aug 12, 2016"," Anonymous Employee in  Kapolei, HI",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 3 days. I interviewed at California Pizza Kitchen (Kapolei, HI).']","['There was a brief interview while applying, second interview with manager and third with the general manager and I enjoyed the experience. Each time it felt as if you were having a conversation rather than being interrogated.']","[' Explain hospitality? \xa0 ', 'Answer Question']"
Server," Jul 6, 2017"," Anonymous Employee in  Costa Mesa, CA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. I interviewed at California Pizza Kitchen (Costa Mesa, CA) in August 2016.']",['Multiple one on one interviews with all managers. I was called back the same day with the job offer. Process was simple and easy as long as you have serving experience.'],"[' When was a time you had to be a team player? \xa0 ', '1 Answer']"
Hostess," Jul 12, 2016"," Anonymous Interview Candidate in  Tampa, FL",['No Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. The process took 3 days. I interviewed at California Pizza Kitchen (Tampa, FL).']","['Applied online, she called and asked for my experience and then to come in for an interview, and after going out of my way for an interview, she barely had a 5 minute conversation with me, failed to get my name, and the only question she asked was ""Whats your availability"" and after telling her, she said I wasn\'t available enough in the mornings. I feel like she could have spared me the trip and time and told me that my availability wouldn\'t work OVER THE PHONE. Horrible experience, rude manager.']","["" What's your availability \xa0 "", 'Answer Question']"
Line Cook," Jul 2, 2016"," Anonymous Interview Candidate in  Santa Ana, CA",['No Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. The process took 3 days. I interviewed at California Pizza Kitchen (Santa Ana, CA) in July 2016.']","[""Sat down with the Kitchen Manager at the Main Place Mall location in Santa Ana, California. He was really honest, which was refreshing to see in an interview. He said he was going to grab his General Manager for a second on the spot interview. That went fine as well, and I was told I would be contacted the next day before 5pm to let me know. No call, therefore, negative experience. Bottom line, if you say you're going to call at or before a certain time, do it. Wasted my day sitting at home on a Saturday waiting for that call. Not everyone has a cell phone CPK. Not cool.""]","[' Why should we consider you over other candidates? \xa0 ', 'Answer Question']"
Server," Sep 19, 2017"," Anonymous Employee in  Lone Tree, CO",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. I interviewed at California Pizza Kitchen (Lone Tree, CO) in July 2016.']","['First interview with the GN, second interview with the scheduling manager. I was hired on the spot at the second interview. Overall very low stress, laid back and easy process.']","[' Describe a time you worked on a team? \xa0 ', 'Answer Question']"
Dishwasher," Jun 6, 2016"," Anonymous Interview Candidate in  Brea, CA",['Declined Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. The process took a week. I interviewed at California Pizza Kitchen (Brea, CA) in June 2016.']","['I applied online. I got called in a few days later. The interview was nice and simple, conversation-like. However, I got referred to another position and have decided to decline.']","[' When are you available? \xa0 ', 'Answer Question', ' What are your previous experiences? \xa0 ', 'Answer Question']"
Hostess," May 23, 2016"," Anonymous Employee in  Honolulu, HI",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took a week. I interviewed at California Pizza Kitchen (Honolulu, HI).']",['Fast and easy.. Asked me basic questions about my life and how I would be a good addition to the company. It really felt like we were just having a conversation and she really liked my personality and spirit'],"[' Why CPK? Why do you want to work here? \xa0 ', '1 Answer']"
Server," Apr 25, 2016"," Anonymous Employee in  Orem, UT",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. The process took 4 days. I interviewed at California Pizza Kitchen (Orem, UT).']",['Super Easy. When I interviewed they were desperate for employees and they hired me on the spot even though I never had any previous serving experience. They mostly focused on how quickly I could start working for them and if I would be able to upsell my tables to buy more food.'],"[' Why do you need sales skills to be a successful server? \xa0 ', 'Answer Question']"
Cook Position," Mar 4, 2016"," Anonymous Employee in  Honolulu, HI",['Accepted Offer'],['Negative Experience'],['Difficult Interview'],"['I applied in-person. The process took 1 day. I interviewed at California Pizza Kitchen (Honolulu, HI) in March 2016.']","['Asked me to fill out a paper application, when I did one online, then was told I was given an option to an area that suited me comfortably, then was talked to the chef Rick no last name. Then see he was very hesitant and reluctant to hire me over my culinary skills. You want me to show you, I will just tell me to go in back so I can show you my culinary skills.']","[' How many counted plates did you make? \xa0 ', '1 Answer']"
Server," Dec 12, 2017"," Anonymous Employee in  Scottsdale, AZ",['Accepted Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. The process took 1 day. I interviewed at California Pizza Kitchen (Scottsdale, AZ) in February 2016.']","[""Easy. Basic questions. The manager is super intimidating but don't let her scare you. You'll interview with all three managers, one at a time. Then you'll get a call back.""]","[' How do you deal with difficult customers? \xa0 ', '1 Answer']"
Host/Hostess," Jan 29, 2016", Anonymous Interview Candidate,['No Offer'],['Neutral Experience'],[],[],"[""Applied online, got a call, then was asked to fill out an application in the store before the interview and the interview process was laid back... Turned out to be more of a personality interview to see if you'd fit in with the company. I was asked typical interview questions (I.e. previous experiences, etc.) The store I applied to held open interviews several days a week... However, they were looking for someone who was extremely passionate and outspoken.""]","[' previous job experience?', 'Name the duties you had for previous job? \xa0 ', 'Answer Question']"
Server," Jan 8, 2016", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied in-person. I interviewed at California Pizza Kitchen.'],"['Walked in, talked to GM, asked some general questions, GM talked a lot and I just listened attentively, talked about pay, hired on the spot, the days following I trained with another employee for about a week before I was on my own. It was very easy and laid back, just sat in a booth and talked about why I wanted to work there, why I liked CPK, favorite menu item, what would I offer as an upsell on the food item I chose as my favorite, talked about upselling and the importance of it']","["" What's your favorite menu item? Why CPK? \xa0 "", 'Answer Question']"
Host/Hostess," Feb 3, 2016"," Anonymous Employee in  Las Vegas, NV",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took a week. I interviewed at California Pizza Kitchen (Las Vegas, NV) in January 2016.']","[""I had a 3 interview process. I first interviewed with the GM without knowing! Then final interview with GM again. I impressed on all 3 interviews and although I don't have much kitchen knowledge, I'm very good with customers and hospitality.""]","[' What is the difference between service and hospitality to you? \xa0 ', '1 Answer']"
Hostess," Dec 25, 2017"," Anonymous Employee in  Charlotte, NC",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 2 days. I interviewed at California Pizza Kitchen (Charlotte, NC) in January 2016.']",['The interview process was smooth and easy. The manager was very nice and professional. They go through a lot of things with you on the first interview. They tell you about what you should be expecting and what to look forward to.'],"[' Have you been a hostess before? \xa0 ', '1 Answer']"
Server," Jan 16, 2016"," Anonymous Employee in  Miami, FL",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took 5 days. I interviewed at California Pizza Kitchen (Miami, FL) in December 2015.']",['Walked in one day with no prior experience of serving (had only bussed/bar-backed & food ran before) filled out an application & talked to the manager. Manager told me to come back in 2 days as I did & got interviewed twice. Was told to come in for last interview the following day & was hired.'],"[' Favorite meal at a restaurant & to describe it \xa0 ', '1 Answer']"
Bartender," Nov 23, 2015", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied through college or university. The process took 1 day. I interviewed at California Pizza Kitchen.'],"['There were three interviews. The bar manager, the general manager, and the District manager. They really care about your passions. They want to know that who they hire are good people. They care about your past working experience, but want to be sure you know how to handle sticky situations with guests.']","[' What are you passionate about? \xa0 ', '1 Answer']"
Hostess," Nov 4, 2015", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied through an employee referral. I interviewed at California Pizza Kitchen.'],"['Friendly, easy, welcoming. The managers were nice to work with and understanding with a part-time schedule to attend school. Interview process was pretty standard for the food industry and did not take a long time.']","[' Examples of past responsibilities \xa0 ', 'Answer Question']"
Server," Dec 2, 2015"," Anonymous Employee in  Atlanta, GA",['Accepted Offer'],['Negative Experience'],['Easy Interview'],"['I applied in-person. The process took 3 days. I interviewed at California Pizza Kitchen (Atlanta, GA) in November 2015.']",['Waited about fifteen minutes and met the manager. After introductions we sat down and they asked me about my first job as a server. They asked my likes and dislikes and how I managed. Then they asked about my availability. They then asked how important is hospitality in a workplace and I gave an elaborate answer.'],"[' How important is hospitality in a workplace? \xa0 ', 'Answer Question']"
Server," Oct 20, 2015", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied in-person. I interviewed at California Pizza Kitchen.'],"['Normally they do a group interview but I was lucky and had a 1:1. The interview was really chill. I came in and spoke with one of the managers there and she asked me questions. As long as you remain smiley, have a positive vibe and can reveal that you have a good work ethic, there is nothing to be worried about.']","[' We are really believe in our values here at CPK. At your previous job, did you have a mission statement? Could you recite it for me? \xa0 ', '1 Answer']"
Host/Hostess," Sep 8, 2015"," Anonymous Employee in  Irvine, CA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied through an employee referral. The process took 2 weeks. I interviewed at California Pizza Kitchen (Irvine, CA).']","['Interview was straight forward and group-type setting. The applicants met with the manager for the first interview and filled out a short base knowledge quiz. When called back, I met with the other managers and answered some harder questions. Second interview was one-on-one. It was my first real job interview, so I was very intimidated, but looking back, it was fair.']","[' What would you bring to the work environment? \xa0 ', 'Answer Question']"
Hostess," Sep 4, 2015"," Anonymous Employee in  Brandon, FL",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 1+ week. I interviewed at California Pizza Kitchen (Brandon, FL) in August 2015.']","['It was a great interview experience, I was completely comfortable through all the questions. The questions were based more towards your personality and how it fits with the company. The managers were very easy to talk to and it felt as though you were just having a conversation.']","[' What is the difference between customer service and hospitality? \xa0 ', 'Answer Question']"
Server/Waiter," Aug 1, 2015"," Anonymous Employee in  Fresno, CA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took 1+ week. I interviewed at California Pizza Kitchen (Fresno, CA).']",['it was very relaxed you asked me why I preferred to work at California pizza kitchen Ghassan about my experience that my other jobs and he asked me when I can start in my school schedule'],"[' When can you start with what times can you work and if I had another job \xa0 ', '1 Answer']"
Human Resources Recruiter," Aug 13, 2015"," Anonymous Employee in  Los Angeles, CA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. The process took 6 days. I interviewed at California Pizza Kitchen (Los Angeles, CA) in August 2015.']",['The process went smooth and the interviewer was very pleasant. I prepared adequately and was sure to do my research which ended up paying off! The entire thing took less than two weeks and was overall painless.'],"[' To tell them my ideal working role \xa0 ', 'Answer Question']"
Server," Nov 10, 2015"," Anonymous Employee in  Wilmington, DE",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 3 days. I interviewed at California Pizza Kitchen (Wilmington, DE) in August 2015.']",['Received a phone call asking to come in for an interview. The first interview was about 15 minutes and went very well. I was asked to come back the following morning for a second interview. That interview lasted about 5-7 minutes. It was very short and to the point.'],"[' In a previous job, have you had to focus on more that 5 things at one time? How did you handle it? \xa0 ', 'Answer Question']"
Server," Nov 11, 2015"," Anonymous Employee in  Irvine, CA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. The process took 1+ week. I interviewed at California Pizza Kitchen (Irvine, CA) in August 2015.']","[""It wasn't too hard at all and pretty straight forward. We did a two week course where they taught everyone about the different pizza's and foods. They even gave us a run down of each of the drinks and salads we offer. They went into great detail explaining each food and how they want us to help run the company!""]","[' Past experiences in food industry \xa0 ', '1 Answer']"
Food Server," Nov 13, 2015"," Anonymous Employee in  Arlington, VA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 2 weeks. I interviewed at California Pizza Kitchen (Arlington, VA) in August 2015.']","[""it was casual, basic questions, very easy going. The managers asked basic questions, they're really easy going so we ended up chit chatting longer than expected. There was nothing to be nervous about really.""]","[' why should we hire you? \xa0 ', '1 Answer']"
Busser," Jul 9, 2015", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied in-person. I interviewed at California Pizza Kitchen in July 2015.'],"['fairly easy interview. The manager simply asked me simple questions like why do you want to work here, and what can contribute to our team. The manager was very laid back and the whole set up was professional on how a job interview is rightfully supposed to be.']","[' What can you contribute to our team \xa0 ', 'Answer Question']"
General Manager," Jul 11, 2015"," Anonymous Employee in  Los Angeles, CA",['Accepted Offer'],['Positive Experience'],['Difficult Interview'],"['I applied through a recruiter. The process took 5 weeks. I interviewed at California Pizza Kitchen (Los Angeles, CA) in June 2015.']","['This was quite an interesting and lengthy interview process that I do not believe is typical for this company. But, they are in the process of rebranding the company and are very concerned with placing the right people in the right situation. Everyone I encountered was pleasant and had been with CPK for 10 or more years, which is very impressive.']","[' What are you looking for in CPK? \xa0 ', 'Answer Question']"
Server," Oct 2, 2016"," Anonymous Employee in  Honouliuli, HI",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied in-person. The process took 1+ week. I interviewed at California Pizza Kitchen (Honouliuli, HI) in June 2015.']","['Applied in person, first interview on spot when turned in application. Then had two more interviews. So total of 3. Last one is with General Manager whom then offered me the job on the spot. Took a week from the time I applied to when i was scheduled for my first training shift. Total process was fairly quick.']","[' Name a situation where you went out of way to satisfy a customer? \xa0 ', 'Answer Question']"
Cook," May 31, 2015", Anonymous Interview Candidate,['No Offer'],['Positive Experience'],[],[],"['I have not been able to be in the working world for a couple of years. I had to take care of my father & father in-law they have since died. I have gone to a few interviews dealing with experience while cooking that have seen pretty good,but yet to hear anything, I have worked as a cook/chef for over 30 years and would like a chance to show you what I got.']","[' Why have you been out of work so long. \xa0 ', '1 Answer', ' How long have you have been a oook \xa0 ', '1 Answer']"
Community Brand Ambassador," Aug 5, 2016"," Anonymous Employee in  Raleigh, NC",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied through an employee referral. The process took 1 day. I interviewed at California Pizza Kitchen (Raleigh, NC) in May 2015.']","['None, I had already worked for the company so I was promoted within. My manager asked me a few general questions about the classes I was taking in college and went over the general responsibilities of the role. He saw me as fit, and offered me the job that day.']",[]
Waitress," Apr 24, 2015"," Anonymous Employee in  Hunt Valley, MD",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 4 weeks. I interviewed at California Pizza Kitchen (Hunt Valley, MD) in April 2015.']","[""I was greeted by the General Manager, we sat down and briefly went over my resume. It didn't really feel like an Interview, it was mostly conversation and going over what my job would look like, e.g salary, dress code etc. I was offered the job on the spot and can't wait to start working there.""]","[' None. \xa0 ', 'Answer Question']"
Server," Oct 26, 2016"," Anonymous Employee in  Marina del Rey, CA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took 1 day. I interviewed at California Pizza Kitchen (Marina del Rey, CA) in April 2015.']","['The process was: 3 interviews in a row, 1 with each manager. They ask almost exclusively behavioral questions, and some questions were related to my previous work experience. They were mainly trying to see if I could work with the rest of the crew, and see if I fit their culture well. The overall process was great, I received an offer at the end of the third interview (with the GM).']","[' Tell me about a time where you had a conflict between you and a co-worker. \xa0 ', 'Answer Question']"
Server," Aug 4, 2015"," Anonymous Employee in  Atlanta, GA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied through other source. The process took a week. I interviewed at California Pizza Kitchen (Atlanta, GA) in March 2015.']",['3 interviews 2 with mangers 1with GM. Cool interview process they asked questions to get to know me to see if I would fit in because at cook everyone is kinda like a family!great work environment by the way and very multicultural!!!love my job and the mangers !'],"[' Why I wanted to work there? \xa0 ', 'Answer Question']"
Server," Feb 13, 2015"," Anonymous Employee in  Torrance, CA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. I interviewed at California Pizza Kitchen (Torrance, CA).']","['Applied online and received a phone call. Scheduled an in person interview. First interview was with manager, and then interviewed with general manager after. The process was fairly smooth and easy and if I am not mistaken, I was offered the job on the spot after speaking with the general manager.']","[' best qualities, scenario questions \xa0 ', 'Answer Question']"
Hostess," Feb 6, 2015", Anonymous Interview Candidate,['No Offer'],['Neutral Experience'],['Easy Interview'],['I applied online. I interviewed at California Pizza Kitchen.'],"[""Very basic. Asked about experience and what my knowledge of food was. Interviewed with the manager. Was very friendly and the interview went well but I may have been under the age at the time I applied which is why I probably didn't get an offer. But the interview itself was very easy and painless.""]","[' What is gorgonzola? \xa0 ', '1 Answer']"
Server," Feb 23, 2015"," Anonymous Interview Candidate in  Los Angeles, CA",['No Offer'],['Negative Experience'],['Average Interview'],"['I applied online. The process took 1+ week. I interviewed at California Pizza Kitchen (Los Angeles, CA) in January 2015.']","[""The Interview process was a bit much considering you I was only applying for a server position. Usually I get hired on the spot or they check reference and then I get a phone call later. They put me through unneeded interviews. The first interview the person told me I should be a host. Only because I had not served in three years. To me still made no sense I have 8 years of experience. However I went a long with it. The next interview the GM told me I was not a host and I had to much experience not to not be a server. Waste of time. He couldn't answer my questions about shift expectations and constantly asked me questions about film. I have a film degree. I just wanted a job in a fast paced healthy environment but I felt like I was applying to a fortune 500 company. I guess I wasn't gay enough to fit in at their Brentwood restaurant location cause I didn't get the job. I don't have anything against gay men however I feel like if I was I would have gotten the job.""]","[' Why do you think you are fit to work here. \xa0 ', 'Answer Question']"
Regional Marketing Manager," Mar 13, 2017"," Anonymous Employee in  Arlington Heights, IL",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied through a recruiter. The process took a week. I interviewed at California Pizza Kitchen (Arlington Heights, IL) in January 2015.']",['Light and fair. I already knew I was up for the job. It was easy and I already had a great relationship with the recruiter. I really enjoy our People Team. They go above and beyond to ensure that we have the right people in the job.'],"[' Can you handle all the travel \xa0 ', '1 Answer']"
Host/Hostess," Jun 13, 2015"," Anonymous Employee in  Houston, TX",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took a week. I interviewed at California Pizza Kitchen (Houston, TX) in October 2014.']","[""They always look to hire during holidays when it's busiest so I had an interview within a week of filling out the application. A manager takes you to the back, asks basic questions, tries to get to know you and in like 2-3days your hired""]","[' Do you have transportation?', 'Do you know anyone who works here?', 'Why did you leave your last job? \xa0 ', 'Answer Question']"
Dsl Bartender," Jan 18, 2016"," Anonymous Employee in  Manhattan Beach, CA",['Accepted Offer'],['Positive Experience'],['Difficult Interview'],"['I applied through an employee referral. I interviewed at California Pizza Kitchen (Manhattan Beach, CA) in October 2014.']",['The interview process is professional and they allow you to do a one on one interview or a group interview. Based on need of staff. I sat with both the general manager as well as the assistant manager.'],"[' Why do you do when there is an issue with a guest that you as an employee can not handle? \xa0 ', '1 Answer']"
Server," Feb 1, 2017"," Anonymous Employee in  Aiea, HI",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied in-person. The process took 5 days. I interviewed at California Pizza Kitchen (Aiea, HI) in October 2014.']","[""One on one with each of the managers. They review your resume and ask you about yourself and your goals within the company. They ask what you would do in certain situations during a typical work day whether it's slow or busy.""]","[' What are your goals within the company? \xa0 ', '1 Answer']"
Server," Sep 29, 2015"," Anonymous Employee in  Nashville, TN",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took 2 days. I interviewed at California Pizza Kitchen (Nashville, TN) in September 2014.']","[""The interview process was fairly brief. Mostly character questions and short term goal questions were asked. Prior experience in the restaurant industry and a positive interaction with the manager who is interviewing you is all that's needed to get the job. The server position isn't a difficult job so long as you can be somewhat charismatic and extroverted with your tables. If you can show to the interviewer that you can have a fun personality then that manager will know you can be successful at the server position.""]","[' Why do you want to work for CPK? \xa0 ', '1 Answer']"
Hostess," Aug 4, 2014", Anonymous Interview Candidate,['No Offer'],[],[],['I applied in-person. I interviewed at California Pizza Kitchen.'],"['Walked in and turned in my application, the manager came out and told me to come back the next day for an interview. At the interview, he asked me questions about why I wanted to work there, what their values are as a company, and then the other store manager came in and asked me pretty similar questions. I was told to come in the next day for a second interview, this time with the hiring manager. She asked me very simple, standard questions, and then at the end told me that the job offer would depend on if one of her employees decided to take time off for school or not.']","[' If I talked to your friends, what would they say is the one thing you need to improve on in yourself? \xa0 ', 'Answer Question']"
Host/Hostess," Mar 30, 2015"," Anonymous Employee in  Ann Arbor, MI",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took a week. I interviewed at California Pizza Kitchen (Ann Arbor, MI) in August 2014.']","['Quick ""group"" interview. Questions mostly about working with others and what service and hospitality means. Then I met briefly with the hiring manager and the general manager mostly to see if there was a personality match.']","[' What does diversity mean to you \xa0 ', 'Answer Question']"
Server," May 13, 2015"," Anonymous Employee in  Long Beach, CA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied through an employee referral. The process took 1 day. I interviewed at California Pizza Kitchen (Long Beach, CA) in August 2014.']","[""Sat down with GM in restaurant during slow hours. Face to face interview with moderately difficult questions. The manager had an accent so it made the interview a bit more difficult, but I answered honestly and looked him in the eye just like he was to me. I don't remember him even writiing down my answers, but instead looking me in the eye and giving me immediate feedback. Felt like I didn't do well, but ended up getting a call about a week later saying they'd like to hire me.""]","[' What does hospitality mean to you?', 'what is your favorite dish?', 'Describe what team work means to you. \xa0 ', 'Answer Question']"
Host/Hostess," Nov 30, 2015", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied online. I interviewed at California Pizza Kitchen in August 2014.'],['Pretty easy. The manager at the time was very relaxed and knew it was my first job. The hostess sat me at a table and told me about how much she loved working there. Everyone seemed very friendly. The manager gave me time to answer some questions and helped me elaborate on some of my answers. I was offered a job on the spot after the interview.'],"[' How many Facebook friends/Instagram followers do you have? \xa0 ', 'Answer Question']"
Host," Sep 13, 2015"," Anonymous Employee in  San Diego, CA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied through an employee referral. The process took 4 days. I interviewed at California Pizza Kitchen (San Diego, CA) in May 2014.']","[""I turned in my application, talked to the GM on the spot, and came in for an interview a few days later and spoke with 2 more managers. I had previous restaurant experience so that helped. They usually don't hire people who don't have previous experience. They called me back within a few days to figure out my training schedule and there were about 15 new hires in my training class""]","[' They asked about your food knowledge of some of the items on the menu, such as jicama \xa0 ', '1 Answer']"
