Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Cook/Certified Trainer""",2.0,5.0,4.0,4.0,1.0,4.0," Dec 8, 2017",Current,Line Cook/Trainer,"Chicago, IL",Yes,Yes,Yes,Full-time,More than 3 years,The food is great,Long hours alot of Hard work,Be blessed on time and come on time
"""Server""",1.0,1.0,1.0,1.0,1.0,1.0," Dec 29, 2017",Past,Food Server,"Boston, MA",No,No,Neutral,Part-time,More than a year,The food is very tasty!,Management style - favoritism/unprofessional/bad sections to new employees<br>Odd hours/low pay (dependent upon section)<br>I could not stress enough how bad the management was at this location.<br>Sections do not rotate/based on seniority I would leave with on average 30 dollars a night because I was continually placed in low volume section<br>The tip out is 30% of pay!!! Absolutely crazy-tip our bartender/bus/food runners<br>The sidework was UNBELIEVABLE-took over an hour to complete!!<br>It was the worst job I’ve ever had in my life...but I’m happy I have quite a few horror/funny stories to tell about my experience there,Implement training programs-hopefully they restaffed<br>Rotate sections<br>Decrease % for tip out
"""Host""",3.0,2.0,4.0,5.0,3.0,3.0," Dec 5, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,"Benefits, pay is above average, great food, can make a huge career from it.","Very long hours, can be very very stressful, a lot is expected of you.",Don't overwork your employees unless you plan to recognize them for their efforts
"""Server""",4.0,4.0,5.0,5.0,3.0,4.0," Nov 19, 2017",Past,Server,"Miami, FL",Yes,Yes,Neutral,Part-time,More than 3 years,"Always busy, work is always available.",Long hours and can be extremely stressful,
"""Excellent Place to Work!""",4.0,4.0,4.0,2.0,4.0,5.0," Nov 20, 2017",Past,Waitress,"Westbury, NY",Yes,Yes,Neutral,Full-time,More than 5 years,Always busy with excellent opportunity to make money<br>Excellent and supportive management team<br>Thorough training and support to new employees,Food is often comped off the check for unnecessary reasons,
"""Good at marketing to “bigger picture” campaign to employees, bad at actually executing it.""",3.0,3.0,3.0,2.0,4.0,2.0," Nov 28, 2017",Current,Server,"Jersey City, NJ",Yes,No,Yes,Full-time,Less than a year,"Good money, coworkers can possibly become close friends. Benefits included after a few months of working there. Schedule is more flexible than most jobs out there.","Management can be a bit power-crazed. Discipline for normal human mistakes are a bit harsh, especially furst offense. Training gets sloppy torwards the end.","Pay attention to detail not only with customers, but also your employees."
"""Server-Arlington, VA""",3.0,4.0,2.0,1.0,1.0,4.0," Nov 28, 2017",Current,Server,"Arlington, VA",Yes,Yes,Neutral,Part-time,More than 5 years,It is normally fairly busy especially compared to other restaurants. There is normally a lot of flexibility to schedule around a second job.,A lot of the work environment depends on the GM and managers at the restaurant which changes fairly frequently. I have had both great and terrible at my time there.,
"""Manager""",5.0,5.0,5.0,5.0,5.0,5.0," Nov 14, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Internally promoted to manager, company really stresses about person development!","Long hours, however as expected of working in this industry.",
"""Supposed to be a dream job.""",3.0,3.0,4.0,3.0,4.0,1.0," Nov 28, 2017",Past,Food Server,"Rancho Cucamonga, CA",No,Yes,Neutral,,Less than a year,"Great company to work for, they promote from within, flexible on scheduling.",Disorganization and management issues on a company-wide basis. Extreme lack on inability to follow procedures and stick to core values,Stop overwhelming your servers and have efficient hosts - they're the first impression and arguably the most important tone-setter of the experience.
"""Server""",5.0,5.0,5.0,4.0,5.0,5.0," Nov 12, 2017",Current,Server,"Atlanta, GA",Yes,Yes,Yes,Part-time,More than 5 years,The people are great to work with. And the money is good,Nothing That I can think of,Keep up the good work
"""Restaurant Manager""",4.0,3.0,5.0,5.0,3.0,3.0," Nov 11, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Supportive, career path laid out, amazing benefits",No respect between kitchen and front of house. A great divide that causes issues. Silver spoon mentality. Lack of discipline,
"""Waitstaff""",5.0,5.0,4.0,5.0,5.0,4.0," Nov 9, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Great staff and management team. Growth for advancement.,Working holidays is always tough.,
"""Team Leader""",5.0,4.0,5.0,5.0,5.0,5.0," Nov 9, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Tremendous business model and talented, performance-focused team, built on a foundation of great values and hard work.","Outside of normal bumps in the road, there are no real cons.",
"""Kitchen mangaer""",5.0,3.0,5.0,4.0,4.0,4.0," Nov 1, 2017",Past,Kitchen Manager,"Birmingham, AL",Yes,Neutral,Yes,Full-time,More than 5 years,"Fast paced, energetic environment, challenging. A place where the faint of heart should avoid. Pay is above average.","pressure, more people more problems. A lack of competitive wages, and a need to pinch pennies even at such high profit margins is ridiculous.","the grind keeps you busy. good luck maitaining an environment precluding that critical point where profits come before people. Make sure to put people first, thats the end game."
"""dishwasher""",5.0,5.0,5.0,5.0,5.0,5.0," Nov 3, 2017",Current,Dishwasher,"Phila, PA",Yes,Yes,Yes,Full-time,More than 3 years,they all are great place to work at,none that I no of,none
"""server""",4.0,4.0,4.0,4.0,4.0,4.0," Nov 2, 2017",Current,Server,"Austin, TX",Yes,Yes,Yes,Full-time,More than a year,Some of the best people you will ever meet!,Long hours if you work a double.,
"""An alright job.""",4.0,3.0,5.0,4.0,5.0,4.0," Nov 2, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"Good pay, more than minimum wage.","Late hours, lazy co-workers, hard to get a hold of management when you need them.",Be more mindful of employees needs.
"""Server""",4.0,5.0,4.0,4.0,4.0,4.0," Nov 2, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Staff feels like family, great company events","Clientele, large menu, very corporate (obviously)",
"""Eeeehhhh""",2.0,3.0,4.0,5.0,,," Nov 15, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,Flexible<br>Not strict<br>Easy Interview<br>Food taste good,"Write ups for accidental things like inserting a larger amount of money into the POS than your suppose to, rather than bad behavior or lateness<br>Large menu to remember<br>Low tips<br>Rude customers<br>Long shifts",
"""Easy job, good benefits, terrible customers""",4.0,2.0,2.0,3.0,4.0,5.0," Nov 1, 2017",Past,Server,,Yes,Neutral,Yes,Full-time,More than a year,Always busy and most of management are competent,There is a lot of mall traffic which makes for all kinds of people.,
"""Server""",3.0,3.0,3.0,3.0,4.0,2.0," Nov 14, 2017",Past,Anonymous Employee,,No,No,Neutral,Full-time,,"Good money, large friendly staff, flexible shifts","no organization, no consistency, tolerance for rude guests",be more assertive
"""As far as restaurants go to serve in this is a better one for tips""",3.0,3.0,3.0,4.0,3.0,3.0," Nov 14, 2017",Past,Server/Bartender,"Annapolis, MD",Yes,Yes,Neutral,Full-time,More than 3 years,You get discounted food after your shift and sometimes a free meal for completing a task a manager needs. The sidework is really minimal as well and rotated based on the section you’re in,Training. Training. Training. The training is multiple weeks long. There is a menu knowledge class in the morning for 1-2 weeks where you’re not really getting paid. Menu is enormous and you have to memorize it.,Some managers I had there cared about their employees and some didn’t at all.
"""A little about Cheesecake Factory""",5.0,5.0,5.0,5.0,5.0,5.0," Oct 28, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Fast pace, interact with guest, great teammates and management was awesome",On my feet for about7-12 hours a day,Keep doing what you are doing!
"""Great place to start a career""",4.0,3.0,5.0,5.0,3.0,4.0," Oct 25, 2017",Current,Line Cook,,Yes,Yes,Neutral,Full-time,Less than a year,"The Cheesecake Factory is a melting pot for some of the best managers and chefs in the country. The atmosphere is fun, extremely fast paced, and mature. The staff will help you move forward and will take time to help you develop personally or professionally. The staff are very forgiving of mistakes, which makes learning your job much easier. If you're afraid of being harassed for a mistake, it won't make you afraid of making the mistake, but of the person.<br><br>For someone just starting out in the industry, it's well worth starting out here. With a 200+ item menu and standardized restaurant operation, it's probably one of the best places in the United States to begin working at right out of culinary school to get a good look at your textbooks at work. You will meet life-long mentors and make good friends. Just be sure to brush up on your spanish if you're on the coast.","It's sometimes difficult to hold a second job because of schedule requirements, requirements that nearly each other restaurant simultaneously requests. The Cheesecake Factory typically opens in areas that require a higher income to live within a reasonable range of work. This means that sometimes even staff without dependents can have a difficulty sustaining a necessary second job to maintain their residency. Excluding overnight jobs of course. For staff with dependents, a second job is an absolute necessity.<br><br>As with any restaurant job, maintaining a family life will be difficult.","When staff offer information, listen. You are the communication hub for the entire restaurant. If a staff member informs you about something, they aren't telling you what to do, they're making you aware. It's important to realize that on unusually busy nights, we will run out of food to serve, the dishwashers will get backed up, the prep team will be behind on delivering critical prep items, FOH staff will end up behind on side work. As long as the managers remain calm and the staff communicate with each other - ensuring that everyone is aware of 'need to know' information - the night will smooth out."
"""Don’t take care of their managers""",2.0,2.0,1.0,2.0,2.0,1.0," Nov 12, 2017",Past,Anonymous Employee,"Sawgrass, FL",No,No,Neutral,Full-time,More than 10 years,Great staff work hard but under paid,"Doesn’t take care of managers and if the Akom doesn’t like you,You will not move up.",Start taking care of your managers and moving them up in the company
"""Great place to start a career""",4.0,3.0,5.0,5.0,3.0,4.0," Oct 25, 2017",Current,Line Cook,,Yes,Yes,Neutral,Full-time,Less than a year,"The Cheesecake Factory is a melting pot for some of the best managers and chefs in the country. The atmosphere is fun, extremely fast paced, and mature. The staff will help you move forward and will take time to help you develop personally or professionally. The staff are very forgiving of mistakes, which makes learning your job much easier. If you're afraid of being harassed for a mistake, it won't make you afraid of making the mistake, but of the person.<br><br>For someone just starting out in the industry, it's well worth starting out here. With a 200+ item menu and standardized restaurant operation, it's probably one of the best places in the United States to begin working at right out of culinary school to get a good look at your textbooks at work. You will meet life-long mentors and make good friends. Just be sure to brush up on your spanish if you're on the coast.","It's sometimes difficult to hold a second job because of schedule requirements, requirements that nearly each other restaurant simultaneously requests. The Cheesecake Factory typically opens in areas that require a higher income to live within a reasonable range of work. This means that sometimes even staff without dependents can have a difficulty sustaining a necessary second job to maintain their residency. Excluding overnight jobs of course. For staff with dependents, a second job is an absolute necessity.<br><br>As with any restaurant job, maintaining a family life will be difficult.","When staff offer information, listen. You are the communication hub for the entire restaurant. If a staff member informs you about something, they aren't telling you what to do, they're making you aware. It's important to realize that on unusually busy nights, we will run out of food to serve, the dishwashers will get backed up, the prep team will be behind on delivering critical prep items, FOH staff will end up behind on side work. As long as the managers remain calm and the staff communicate with each other - ensuring that everyone is aware of 'need to know' information - the night will smooth out."
"""Food Services""",5.0,5.0,5.0,5.0,5.0,5.0," Oct 26, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Great people, great food, great money.","Hardly any, but if you don't enjoy interacting with people on a daily basis I would not recommend working there.",Keep it up!
"""Atmosphere and staff are very welcoming but very over staffed difficult to obtain full time unless you cross train.""",2.0,1.0,5.0,2.0,4.0,3.0," Nov 11, 2017",Current,Cross Trained,"Conroe, TX",No,Neutral,Neutral,Full-time,Less than a year,"The staff are very comfortable and professional to be around. If you’re serving, the tips are pretty great. Not so much otherwise.",It’s difficult to obtain hours. Sometimes people work doubles on the weekend and end up working 13+ hours a day because it’s too busy for a break.,
"""STAR Bar""",5.0,,,,,," Oct 26, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,Made lots of money there,Nothing to complain about here,
"""Server-trainer""",4.0,4.0,5.0,5.0,4.0,4.0," Oct 26, 2017",Current,trainer,"Fort Worth, TX",Yes,Yes,Yes,Full-time,,Cheesecake culture is amazing and most tips are pretty high percentages.,If you are a double...you probably wont get a lunch break.,Breaks please...
"""Great place to work!""",4.0,3.0,4.0,5.0,3.0,5.0," Oct 26, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,More than 5 years,Management is great and the money isn't bad,Clientele is not always the best,
"""Server""",3.0,3.0,5.0,3.0,5.0,4.0," Nov 9, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Great money with great environment,Unrealistic floor plans for the amount of traffic during rush hours.,Staff properly
"""Hostess""",4.0,3.0,3.0,4.0,3.0,2.0," Oct 24, 2017",Past,Hostess,"Sarasota, FL",Yes,Neutral,Yes,Part-time,Less than a year,-Some friendly employees<br>-Fast-paced<br>-I liked wearing all black haha<br>-Some managers and BOH workers were very friendly,"-Could not find managers sometimes<br>-""Clicks""<br>-Drama<br>-Didn't feel appreciated","Don't leave us up front and try and find you. When we had an angry customer, I would spend a couple of minutes trying to locate you guys and have them waiting for you to come while they were staring me down."
"""Server""",5.0,,,,,," Oct 23, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Great Pay, extremely flexible hours, able to transfer and relocate anywhere you want","low hourly wage, no included gratuity, long hours, no pay for doing sidework, some shady managers",
"""Ordinary server's experience""",2.0,3.0,3.0,2.0,3.0,2.0," Nov 6, 2017",Past,Anonymous Employee,,No,Neutral,Yes,,More than a year,Flexible schedule<br>More or less consistent,"Management doesn't care for employees or any corporate standards<br>Touching and making sexual jokes is considered ""fun""","Please remember that guests is your prerogative, not your ego"
"""Great Company - Long Hours""",4.0,4.0,5.0,3.0,3.0,3.0," Oct 23, 2017",Past,Server/Bartender,"Huntington, NY",Yes,Yes,Neutral,Full-time,,"Great people, very social, compnesasion is fair, benifits are avereage","promotions are very hard, very who you know rather then what you can provide",
"""Stable job great restaurant to work for""",4.0,3.0,5.0,3.0,4.0,5.0," Oct 20, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,good team environment<br>busy restaurant chain,stressful environment<br>not automatic gratuity<br>no breaks,add automatic gratuity
"""Server""",3.0,,,,,," Nov 4, 2017",Current,Server/Waiter,"Missouri City, TX",No,No,Neutral,,More than 3 years,"Good tips, good coworkers who push you to develop your skills","Lack of caring from management about serving team, huge infrastructure can make it difficult to navigate",
"""Cheesecake sucks!""",2.0,3.0,1.0,3.0,2.0,1.0," Nov 4, 2017",Past,Server,"Tyson's Corner, Fairfax, VA",No,Yes,Neutral,Full-time,,"You might make some good friends, you can make some decent money from time to time","The management doesn't really care about you. You are disposable in their eyes. They are selfish and will lie to you, especially if it saves them.",Take better care of your employees
"""great""",5.0,,,,,," Oct 19, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,great people to work with,there are none at this company,good work
"""Great company!""",5.0,,,,,," Oct 17, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Loved working here, flexible scheduling, great manager","Had to pay for parking, but due to downtown location was to be expected, they did validate partially",
"""Just Don't!""",2.0,1.0,1.0,2.0,1.0,1.0," Nov 1, 2017",Past,Cashier/Baker,"Birmingham, AL",No,Neutral,Neutral,Full-time,Less than a year,I started as a Baker to become a Cashier... The interview was pretty easy ...,Working non-stop...double shifts= more than 9 hours with no break .. Managers won't let you take time off when there is an emergency ! I had to quit because I felt like I was I wasn't appreciate with A FREAKING BREAK .. so busy daily which makes the time go by but your going to be a in bad mood everyday with your employees attitudes and customers...THE PAY IS NOT WORTH THE PAIN AND STRESS!,"Think about your employees physical, emotional well-being!"
"""An experience""",4.0,3.0,5.0,5.0,5.0,3.0," Oct 18, 2017",Past,Server,"Willow Grove, PA",Yes,Neutral,Yes,Part-time,,"great benefits, great coworkers. I made my lifelong friends here. You make really decent money pretty much every night and stations are pretty decent sizes.",Management. Things are done differently by EVERY manager and at diff locations. You don't make any money when you food run.,
"""Hours are inconsistent, employees underpaid and work long hours without any breaks, management changes frequently""",3.0,2.0,2.0,2.0,1.0,2.0," Oct 28, 2017",Current,Salad Line Cook,"Columbia, MD",No,No,Neutral,Part-time,,"Fun work atmosphere, some managers are good, allowed free meal each shift, medical insurance offered, friendly employees","Hours are inconsistent, shifts long with no break, minimal benefits and vacation time, low wages, little opportunity for advancement","Allow employees to take breaks, notify them before changing their schedules and cutting hours, help maintain professional atmosphere during service, ensure food ordered for employee meals is made, treat employees fairly, enforce discipline when appropriate, keep schedules consistent, offer PTO after 6 months, offer opportunities for advancement and training"
"""Server""",5.0,,,,,," Oct 12, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Part-time,More than 3 years,Flexible and great work envrionment,Not enough shifts. Twi shift options. open earlier would help.,Keep staying positive.
"""Server""",5.0,3.0,5.0,5.0,5.0,5.0," Oct 12, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,-work with passionate people<br>-highly trained for the job<br>-everyone works as a team,-table sections on the floor plan where very small,-if you allowed people who where there longer with larger sections maybe they will never leave
"""It's okay""",2.0,2.0,4.0,2.0,2.0,2.0," Oct 26, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,Less than a year,"the people/other servers, some events they host for staff, can be funny","rude clients at time, managers don't always listen, can walk out with little money if not busy which really is a waste of time","listen to your employees, when they need help don't brush them off and disregard what they're saying and communicate with other managers"
"""Senior manager""",4.0,,,,,," Oct 12, 2017",Current,Anonymous Employee,,Neutral,Neutral,Yes,Part-time,Less than a year,Training was excellent and they had great benefits.,Long hours and did not offer a great quality of life.,
"""Asst Executive Kitchen Manager""",2.0,1.0,3.0,2.0,5.0,1.0," Oct 24, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,"Paid uniforms, vacation pay, benefits","excessive hours, none consistency in scheduling, limited advancement",
"""Amazing Place to work""",5.0,5.0,5.0,4.0,4.0,5.0," Oct 6, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"strong positive culture, benefits, friendly people","none, I'd work here forever if I could",
"""Host""",3.0,3.0,3.0,2.0,2.0,3.0," Oct 24, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Fun enviornment and good experience for first time working at a restaurant.,Difficult to move up. Just a part time job,
"""Meh.""",1.0,1.0,1.0,1.0,1.0,1.0," Nov 13, 2017",Past,Server,"Austin, TX",No,Neutral,Neutral,Full-time,More than 3 years,Great serving job with lots of down time to play on your phone or surf the internet.,The food is terrible for you - expect to gain a lot of weight.,
"""Overall just an average experience""",2.0,1.0,5.0,1.0,1.0,1.0," Oct 23, 2017",Current,Anonymous Employee,,No,Yes,Neutral,Part-time,,"Love my co-workers, and atmosphere I work in","Underpaid, and managers treat you like crap.","Value your employees a little more and don't harass them to stay for hours after their scheduled shifts, and keep asking them to come days they aren't scheduled."
"""Nice company. Horrible quality of life.""",1.0,1.0,4.0,3.0,2.0,3.0," Nov 12, 2017",Current,Senior Manager,,No,Yes,Neutral,Full-time,More than 3 years,I love the culture and what the company stands for. Food is made from scratch.,Pay is horrible. You have no quality of life.,
"""Try somewhere else""",1.0,,,,,," Nov 11, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,Lots of money if you work as a server,"Long, irregular hours. Amount of effort not worth the time",
"""Very fast pace, you will almost always be doing something, whether it is in your job description or not.""",3.0,2.0,4.0,3.0,3.0,3.0," Oct 20, 2017",Past,Host/Hostess,"Novi, MI",Yes,Neutral,Yes,Full-time,,"The people are nice there, the food is very good, you get to learn about the restaurant business the host staff really appreciated me. If you work hard you have a better chance of getting paid more","I did not think the management appreciated me until the weeks before I was leaving, I gave them 2 months notice and my manager seemed very annoyed with me. The servers would seem annoyed if I gave them a table that they did not want, except that was the only place I could take them.",I feel that I should have been getting paid more for how much work I did. I took other workers shifts and worked for almost 12 hours straight without a break because it was inconvenient for management at that time to give me a break.
"""Good""",4.0,5.0,5.0,3.0,3.0,4.0," Oct 5, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Flexible Hours, good work/life balance possible.",Can be chaotic at times.,
"""Bartender""",5.0,4.0,5.0,3.0,4.0,5.0," Oct 4, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Flexible schedule, able to request as many days off.",May work late into the night.,No advice.
"""Don't apply if you're over 40""",1.0,1.0,,,,," Nov 8, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Maybe the other managers are different from the Caucasian mgr. w/ a beard, I dunno. But I certainly wouldn't want to work for someone like him.<br><br>Pro's- income potential seems ""decent"". But not enough to offset the negatives.",Caucasian mgr. w/ a beard let me know w/ subtle insults that age discrimination is very much alive and well in 2017.<br><br>Definitely killed my appetite to ever take friends to eat there.,"Hire managers who rate interviewees based on their actual ability, work ethic, etc., instead of age."
