Name,Price,Description
Turkey Burger,$9.95,All-white-meat patty | baby lettuce | red wine vinaigrette | dried cranberries | tomatoes | chargrilled red onions | Dijon mayonnaise | toasted parker house bun | mixed green salad (cal. 780).
Fire-Roasted Barbacoa Chicken,$12.75,Barbacoa-spiced chicken | brown rice | black beans | feta cheese | cilantro | Greek yogurt crema | fire-roasted tomato salsa (cal. 520).
Lemon Thyme Chicken,$13.50,Herb-roasted chicken breasts | big poppa smokers’ desert gold rub | brown rice | sautéed red onions | fire-roasted red peppers | tomatoes | roasted brussels sprouts | lemon thyme sauce (cal. 650).
Cherry Chipotle Glazed Salmon*,$14.75,"￼oven-roasted Atlantic salmon | sweet, savory cherry chipotle glaze | roasted asparagus | fire-roasted red pepper, tomato + spinach couscous (cal. 580)."
Shrimp and Arugula Pita Tacos,$10.95,All enlightened tacos are served with seasonal bistro grains. Broiled shrimp | tomatoes | arugula | parmesan cheese | cilantro lime vinaigrette | chargrilled pita (cal. 790).
New Barbacoa Cauliflower Pita Tacos,$8.95,Roasted barbacoa cauliflower | roasted red peppers | corn | jack + cheddar cheese | yellow onions | tomatoes | Greek yogurt crema | cilantro | chargrilled pita | seasonal bistro grains on the side (cal. 650).
Mediterranean Chicken Pita Tacos,$10.50,Seasoned grilled chicken | crunchy cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | Greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 670).
Vegetarian Pita Tacos with Asparagus,$8.95,Asparagus | crunchy cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | Greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 550).
Kale and Roasted Brussels Sprouts Salad,$10.25,Gluten-free item. Baby kale | herb-roasted brussels sprouts | romaine | fresh blueberries | sweet red grapes | dried cranberries | goat cheese | cucumbers | candied pecans | toasted pepitas | red onions | strawberry vinaigrette (cal. 440).
Asian Chopped Salad,$10.95,Grilled chicken | baby field greens | napa cabbage | romaine | red bell peppers | snap peas | green onions | shredded carrots | sesame seeds | crisp wonton strips | cilantro | mandarin oranges | honey ginger dressing (cal. 540).
Seared Ahi Salad*,$15.50,Sashimi grade ahi | baby field greens | napa cabbage | romaine | red bell peppers | tomatoes | avocado | pickled cucumber | cilantro | spicy wasabi | wonton strips | red + green onions | rice wine vinaigrette (cal. 580).
Santa Fe Salad,$13.50,Crisp romaine | blackened chicken breast | red onions | fire-roasted red peppers | jack + cheddar cheese | avocado | sweet corn | tomatoes | crisp corn tortilla strips | santa fe dressing (cal. 980).
Derby-Style Chicken Cobb,$12.95,Crisp romaine | slow-roasted herb Turkey breast | hard-boiled egg | applewood smoked bacon | avocado | jack + cheddar cheese | cucumbers | tomatoes | bleu cheese crumbles | housemade avocado ranch dressing (cal. 1060).
Honey-Crisp Chicken Salad,$13.50,Crisp romaine | iceberg lettuce | lightly fried chicken tenders | toasted almonds | cucumber | hard-boiled egg | sweet corn | tomatoes | honey mustard dressing (cal. 1370).
Barbeque Chicken Chopped Salad,$13.50,Crisp romaine | iceberg lettuce | sweet corn | black beans | crunchy jicama | mozzarella | tomatoes | green onions | cilantro | BBQ ranch dressing | crispy onion strings (cal. 930).
Caesar Salad,$10.50,Crisp romaine | oven-baked croutons | parmesan cheese | creamy Caesar dressing (cal. 810).
Enlightened Kale and Roasted Brussels Sprouts Salad,$10.25,Gluten-free item. Baby kale | herb-roasted brussels sprouts | romaine | fresh blueberries | sweet red grapes | dried cranberries | goat cheese | cucumbers | candied pecans | toasted pepitas | red onions | strawberry vinaigrette (cal. 440).
Enlightened Asian Chopped Salad,$10.95,Grilled chicken | baby field greens | napa cabbage | romaine | red bell peppers | snap peas | green onions | shredded carrots | sesame seeds | crisp wonton strips | cilantro | mandarin oranges | honey ginger dressing (cal. 540).
Enlightened Seared Ahi Salad,$15.50,Sashimi grade ahi | baby field greens | napa cabbage | romaine | red bell peppers | tomatoes | avocado | pickled cucumber | cilantro | spicy wasabi | wonton strips | red + green onions | rice wine vinaigrette (cal. 580).
Vegan Lentil with Ancient Grains,$6.50,Gluten-free item. Bowl. Hearty lentil soup (cal. 300).
Tuscan Tomato Bisque,$6.50,Bowl. Creamy tomato soup | croutons | fresh parsley (cal. 560).
Broccoli Cheddar,$6.50,Bowl. Creamy broccoli cheddar soup | jack + cheddar cheese | parsley (cal. 380).
Clam Chowder,$6.50,Bowl. Creamy clam chowder | fresh parsley | crackers (cal. 440).
Piranha® Pale Ale Chili,$6.95,Bowl. Piranha® pale ale chili | jack + cheddar cheese | sour cream | green onion (cal. 560).
Chicken Tortilla,$6.50,Bowl. Chicken tortilla soup | jack + cheddar cheese | avocado | cilantro | tortilla strips (cal. 280).
Soup and Salad Combo,$8.95,"Bowl of housemade soup | house, Caesar, wedge or fresh mozzarella and tomato salad (cal. 360-970)."
Shrimp and Asparagus Penne,$16.75,Sautéed garlic shrimp | asparagus | San Marzano marinara | fresh basil | parmesan cheese | toasted bread crumbs (cal. 730).
Italiano Vegetable Penne,$11.50,Sautéed bell peppers | onions | garlic | seasoned tomatoes | San Marzano marinara | parmesan cheese | fresh basil (cal. 740).
Jumbo Spaghetti and Meatballs,$15.25,Housemade meatballs | San Marzano marinara | fresh garlic | red pepper flakes | fresh basil | parmesan cheese (cal. 1460).
Deep Dish Ziti,$14.95,Housemade meatballs | Italian sausage | diced pepperoni | San Marzano marinara | creamy alfredo | Italian herbs | BJ’s signature five cheese blend | parmesan cheese | fresh basil (cal. 1400).
Grilled Chicken Alfredo,$15.25,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | parmesan cheese (cal. 1380)."
"Build Your Own Pizza (6"")",$8.50,4 slices. 140 calories per slice.
"Build Your Own Pizza (9"")",$10.75,6 slices. 210 calories per slice.
"Build Your Own Pizza (12"")",$14.75,8 slices. 270 calories per slice.
"Build Your Own Pizza (14"")",$17.25,￼10 slices. 300 calories per slice.
"BJ’s Favorite (Mini 6"")",$11.95,4 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (180 calories per slice).
"BJ’s Favorite (Small 9"")",$16.25,6 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (250 calories per slice).
"Bj’s Favorite (Medium 12"")",$21.95,8 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (310 calories per slice).
"Bj’s Favorite (Large 14"")",$26.25,10 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (360 calories per slice).
"Gourmet Five Meat (Mini 6"")",$11.95,4 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (240 calories per slice).
"Gourmet Five Meat (Small 9"")",$16.25,6 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (320 calories per slice).
"Gourmet Five Meat (Medium 12"")",$21.95,8 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (360 calories per slice).
"Gourmet Five Meat (Large 14"")",$26.25,10 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (400 calories per slice).
"Pepperoni Extreme (Mini 6"")",$11.50,"4 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (190 calories per slice)."
"Pepperoni Extreme (Small 9"")",$15.25,"6 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (260 calories per slice)."
"Pepperoni Extreme (Medium 12"")",$20.75,"8 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (340 calories per slice)."
"Pepperoni Extreme (Large 14"")",$24.75,"10 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (380 calories per slice)."
"Buffalo Chicken (Mini 6"")",$11.95,4 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (170 calories per slice).
"Buffalo Chicken (Small 9"")",$16.25,6 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (240 calories per slice).
"Buffalo Chicken (Medium 12"")",$21.95,8 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (310 calories per slice).
"Buffalo Chicken (Large 14"")",$26.25,10 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (340 calories per slice).
"Chicken Bacon Ranch (Mini 6"")",$11.95,4 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (240 calories per slice).
"Chicken Bacon Ranch (Small 9"")",$16.25,6 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (330 calories per slice).
"Chicken Bacon Ranch (Medium 12"")",$21.95,8 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (410 calories per slice).
"Chicken Bacon Ranch (Large 14"")",$26.25,10 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (470 calories per slice).
"BJ’s Classic Combo (Mini 6"")",$11.50,4 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (190 calories per slice).
"BJ’s Classic Combo (Small 9"")",$15.25,6 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (260 calories per slice).
"Bj’s Classic Combo (Medium 12"")",$20.75,8 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (330 calories per slice).
"BJ’s Classic Combo (Large 14"")",$24.75,10 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (370 calories per slice).
"Mediterranean (Mini 6"")",$11.95,4 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (220 calories per slice).
"Mediterranean (Small 9"")",$16.25,6 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (290 calories per slice).
"Mediterranean (Medium 12"")",$21.95,8 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (380 calories per slice).
"Mediterranean (Large 14"")",$26.25,10 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (430 calories per slice).
"Spicy Hawaiian Chicken (Mini 6"")",$11.95,4 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (200 calories per slice).
"Spicy Hawaiian Chicken (Small 9"")",$16.25,6 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (280 calories per slice).
"Spicy Hawaiian Chicken (Medium 12"")",$21.95,8 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (350 calories per slice).
"Spicy Hawaiian Chicken (Large 14"")",$26.25,10 slices. Grilled chicken | applewood smoked bacon | sweet pineapple | jalapeños | tomatoes (390 calories per slice).
"California Supreme (Mini 6"")",$11.50,4 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (150 calories per slice).
"California Supreme (Small 9"")",$15.25,6 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (210 calories per slice).
"California Supreme (Medium 12"")",$20.75,8 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (280 calories per slice).
"California Supreme (Large 14"")",$24.75,10 slices. Pepperoni | mushrooms | spinach | black olives | seasoned tomatoes (310 calories per slice).
"Vegetarian (Mini 6"")",$11.50,4 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (140 calories per slice).
"Vegetarian (Small 9"")",$15.25,6 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (200 calories per slice).
"Vegetarian (Medium 12"")",$20.75,8 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (260 calories per slice).
"Vegetarian (Large 14"")",$24.75,10 slices. Mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (290 calories per slice).
"Great White® (Mini 6"")",$11.95,4 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (180 calories per slice).
"Great White® (Small 9"")",$16.25,6 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (250 calories per slice).
"Great White® (Medium 12"")",$21.95,8 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (330 calories per slice).
"Great White® (Large 14"")",$26.25,10 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (370 calories per slice).
"Sweet Pig® (Mini 6"")",$10.50,4 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (150 calories per slice).
"Sweet Pig® (Small 9"")",$13.75,6 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (210 calories per slice).
"Sweet Pig® (Medium 12"")",$18.75,8 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (270 calories per slice).
"Sweet Pig® (Large 14"")",$21.75,10 slices. Oven-roasted ham | sweet pineapple | seasoned tomatoes (300 calories per slice).
"Barbeque Chicken (Mini 6"")",$11.95,4 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (170 calories per slice).
"Barbeque Chicken (Small 9"")",$16.25,6 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (240 calories per slice).
"Barbeque Chicken (Medium 12"")",$21.95,8 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (310 calories per slice).
"Barbeque Chicken (Large 14"")",$26.25,10 slices. Grilled chicken | hickory-smoked BBQ sauce | red onions | seasoned tomatoes | cilantro (340 calories per slice).
BJ’s Brewhouse Classic,$15.25,Pepperoni | mushrooms | Italian sausage | BJ’s signature five cheese blend (110 calories per slice).
Old Country Tomato Basil,$14.75,Seasoned tomatoes | fresh basil | fresh mozzarella | BJ’s signature five cheese blend | parmesan cheese (70 calories per slice).
The Spicy Pig,$14.95,Oven-roasted ham | applewood smoked bacon | sweet pineapple | jalapeños | BJ’s signature five cheese blend (90 calories per slice).
The Italian Market,$15.50,Housemade meatballs | diced pepperoni | oven-roasted ham | spicy peperoncinis | BJ’s signature five cheese blend | crushed Italian herbs (110 calories per slice).
Garlic Chicken Pesto,$15.75,Grilled chicken | basil pesto | fire-roasted red peppers | seasoned artichoke hearts | tomatoes | BJ’s signature five cheese blend | parmesan cheese | goat cheese crumbles (100 calories per slice).
Gluten-Free Thin Crust Cheese Pizza,$10.95,"Crisp, herb-infused 10-inch crust | zesty pizza sauce | BJ’s signature five cheese blend (6 slices–cal. 130/slice)."
Gluten-free Chocolate Chip Pizookie®,$6.95,Fresh-baked chocolate chip cookie | rich vanilla bean ice cream (cal. 1180).
BJ’s Brewhouse Burger*,$8.25,Lettuce | tomatoes | pickles (cal. 1000).
Black and Bleu-House*,$9.50,Chipotle | bleu cheese crumbles | applewood smoked bacon | tomatoes | roasted garlic aioli (cal. 1160).
Chicken Fried Steak Burger*,$12.25,"Our diner-style beef burger, hand breaded and fried | pepper cream gravy | pepper jack cheese | sliced avocado | tomatoes | mayonnaise | fried egg | served with fries."
Hickory Brisket and Bacon Burger*,$13.25,"Sweet, tangy BJ’s peppered BBQ sauce | smoked brisket | applewood smoked bacon | jack + cheddar cheese | red onions | mayonnaise (cal. 1610)."
Bacon Cheeseburger*,$11.50,Applewood smoked bacon | cheddar cheese | tomatoes | lettuce | pickles | mayonnaise | BJ’s signature burger sauce (cal. 1380).
Classic Burger*,$10.75,Fire-grilled beef patty | tomatoes | lettuce | pickles | premium parker house bun | mayonnaise | BJ’s signature burger sauce | served with fries (cal. 1210).
Crispy Jalapeño Burger*,$12.25,Fried jalapeños | pepper jack cheese | chipotle mayonnaise | baja sauce | red onions | tomatoes | lettuce | cilantro (cal. 1310).
Portobello Swiss Burger*,$13.25,Grilled Portobello mushroom | Swiss cheese | basil pesto | arugula | balsamic vinaigrette | caramelized onions | tomatoes | roasted garlic aioli (cal. 1430).
Bacon-Guacamole Deluxe Burger*,$12.50,Housemade guacamole | Applewood smoked bacon | pepper jack cheese | chipotle mayonnaise | red onions | tomatoes | jalapeños (cal. 1590).
Southern Comfort Crispy Chicken Sandwich,$12.25,Crispy fried chicken | sliced ham | applewood smoked bacon | creamy alfredo | Swiss cheese | Dijon mayonnaise | toasted parker house bun | served with fries.
Nashville Hot Crispy Chicken Sandwich,$11.50,Crispy fried chicken | Nashville hot sauce | dill pickles | ranch | toasted parker house bun | served with fries.
BJ's Classic Chicken Sandwich,$11.25,Crispy fried chicken | honey mustard | lettuce | tomato | dill pickles | toasted parker house bun | served with fries.
Classic Prime Rib Dip*,$14.95,"Sliced, slow-roasted prime rib | hoagie roll | au jus | creamy horseradish served on the side | served with fries (cal. 1270)."
Hand-Pulled Turkey Dip,$12.50,Slow-roasted herb Turkey breast | Swiss cheese | caramelized onions | hoagie roll | au jus | horseradish aioli | served with fries (cal. 1330).
Enlightened Mediterranean Chicken Pita Tacos,$10.50,Seasoned grilled chicken | crunchy cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | Greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 670).
Vegetarian Pita Tacos with Asparagus,$8.95,Asparagus | crunchy cucumber | tomatoes | red onions | feta cheese | cilantro | red wine vinaigrette | Greek yogurt crema | chargrilled pita | seasonal bistro grains on the side (cal. 550).
Enlightened Shrimp and Arugula Pita Tacos,$10.95,Broiled shrimp | tomatoes | arugula | parmesan cheese | cilantro lime vinaigrette | chargrilled pita | seasonal bistro grains on the side (cal. 790).
New Barbeque Pulled Pork,$11.75,Hand-pulled pork shoulder | BJ’s peppered BBQ sauce | crispy onion strings | creamy BBQ ranch dressing | toasted parker house bun | BJ’s signature coleslaw (cal. 1420).
Mahi-Mahi or Shrimp Tacos,$10.50,Choice of two tacos from below. Chipotle mayonnaise | santa fe dressing | napa cabbage | carrots | red onions | cilantro | avocado cream sauce | fire-roasted tomato salsa | tortilla chips (cal. 640-770).
New Enlightened Barbacoa Cauliflower Pita Tacos,$8.95,Roasted barbacoa cauliflower | roasted red peppers | corn | jack + cheddar cheese | yellow onions | tomatoes | Greek yogurt crema | cilantro | chargrilled pita | seasonal bistro grains on the side (cal. 650).
California Chicken Club,$11.75,Grilled chicken | applewood smoked bacon | avocado | melted Swiss cheese | lettuce | tomatoes | roasted garlic aioli | grilled sourdough bread (cal. 1280).
"6"" Deep Dish Pizza",$5.95,"Choice of 6"" cheese or pepperoni pizza | choice of kids' drink."
Chicken Tenders,$6.25,Fried chicken tenders | served with ranch.
Mac 'N' Cheese,$6.25,Hot and tasty kraft™ macaroni & cheese.
Mini Corn Dogs,$6.25,Mini corn dogs.
Grilled Cheese,$6.25,Grilled sourdough | melted cheddar cheese.
Kids' Burger,$6.25,"Burger with lettuce, tomatoes, and pickles. Served with your choice of kids' side and drink."
Spaghetti,$6.25,Spaghetti | choice of sauce.
Big Kids' Grilled Chicken,$6.25,Grilled chicken | rice pilaf | steamed veggies | choice of kids' drink.
Big Kids' Grilled Chicken Alfredo,$6.25,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | parmesan cheese | garlic parmesan knot | choice of kids' drink."
Kid's Mini Pizookies®,$2.75,A warm cookie topped with ice cream. Your choice of: chocolate chunk | white chocolate macadamia nut | cookies 'n' cream | peanut butter | salted caramel | triple chocolate | gluten - free chocolate chip.
Kid's Sundae,$1.95,Scoop of rich vanilla bean ice cream | chocolate syrup | whipped cream | cherry on top.
BJ’s Peanut Butter S’mores,$6.95,Premium flavors. Ghirardelli® triple chocolate cookie | peanut butter | marshmallow fluff | marshmallows | rich vanilla bean ice cream | available in regular size only. (cal. 1580).
