Rating,Number Of Ratings,Address
N/A,Newly Added,"6825 Houston Rd, Florence, KY 41042, USA"
Fresh Guacamole,$7.49,For The Table,"Made daily with fresh avocados, chopped cilantro, diced tomatoes, red onions & jalapenos. Served with warm tostada chips & fresh salsa."
White Spinach Queso,$8.49,For The Table,"White queso & chopped spinach topped with shredded Monterey Jack cheese, house-made pico de gallo, fresh guacamole, queso fresco & chopped cilantro. Served with warm tostada chips & fresh salsa."
Crispy Cheddar Bites,$7.49,For The Table,Lightly battered & golden fried cheese bites topped with a sprinkle of Cajun spice and chopped cilantro. Served with house-made ancho-chile ranch.
Smoked Wings,$10.99,For The Table,Bone-in wings slow smoked in house over pecan wood. Served ‭with Chili’s classic BBQ sauce.
Bowl of Soup,$4.99,"Soups, Chili & Salad",A Bowl of one of our delicious soups with garnishes served on the side.
Bowl of Telingua Chili,$5.29,"Soups, Chili & Salad","Slow cooked with beef, poblanos, jalapeños & onions. Topped with 3-cheese blend."
Soup & House Salad,$7.29,"Soups, Chili & Salad",A delicious bowl of Soup with a House Salad. Dressing served on the side.
Chili & House Salad,$7.29,"Soups, Chili & Salad",A delicious bowl of Chili with a House Salad. Dressing served on the side.
Boneless Buffalo Chicken Salad,$11.29,"Soups, Chili & Salad","Crispy chicken tossed in our spicy Buffalo sauce with applewood smoked bacon, bleu cheese crumbles, house-made pico de gallo & crispy tortilla strips, with house-made ranch dressing & a drizzle of ancho-chile sauce."
Quesadilla Explosion Salad,$11.29,"Soups, Chili & Salad","Grilled chicken breast with cheese, diced tomatoes, house-made cilantro corn relish, crispy tortilla strips, a drizzle of ancho-chile ranch sauce & citrus-balsamic dressing. Served with freshly toasted 3-cheese quesadillas."
House Salad,$4.99,"Soups, Chili & Salad","Freshly diced tomatoes, red onion, cucumbers, 3-cheese blend & garlic croutons. Served with your choice of dressing."
Caribbean Salad with Grilled Chicken,$10.99,"Soups, Chili & Salad","Fresh, hand-cut pineapple, mandarin oranges, dried cranberries, diced red bell peppers, chopped green onions, cilantro & sesame seeds with a honey-lime dressing."
Caribbean Salad with Seared Shrimp,$12.29,"Soups, Chili & Salad","Fresh, hand-cut pineapple, mandarin oranges, dried cranberries, diced red bell peppers, chopped green onions, cilantro & sesame seeds with a honey-lime dressing."
Santa Fe Chicken Salad,$11.19,"Soups, Chili & Salad","Grilled chile-rubbed chicken, house-made pico de gallo, fresh diced avocado, chopped cilantro, crispy tortilla strips with house-made ranch dressing & a drizzle of spicy Santa Fe sauce."
Fresco Salad,$4.99,"Soups, Chili & Salad",Fresh spring mix topped with queso fresco. Served with honey-lime vinaigrette.
Soup & Fresco Salad,$6.99,"Soups, Chili & Salad",A delicious bowl of Soup with a Fresco Salad. Dressing served on the side.
Chili & Fresco Salad,$6.99,"Soups, Chili & Salad",A delicious bowl of Chili with a Fresco Salad. Dressing served on the side.
Bacon Avocado Chicken Sandwich,$11.39,Handhelds,"Grilled chicken breast topped with applewood smoked bacon, provolone, sliced avocado, sauteed onions, spring mix, tomato and cilantro pesto mayo on a toasted pretzel roll (this dish contains nuts). Served with homestyle fries."
Buffalo Chicken Ranch Sandwich,$9.99,Handhelds,"Crispy chicken with our spicy Buffalo sauce, fresh sliced tomato, lettuce & house-made ranch."
Grilled Chicken Sandwich,$9.99,Handhelds,"Chicken breast with applewood smoked bacon, fresh sliced tomato, lettuce, Swiss cheese & honey-mustard."
Classic Turkey Toasted Sandwich,$9.49,Handhelds,"Thinly sliced turkey with lettuce, fresh sliced tomato, provolone cheese & mayo on wheat Texas toast."
California Turkey Club Toasted Sandwich,$9.99,Handhelds,"Thinly sliced turkey, applewood smoked bacon, fresh sliced avocado, tomato & red onion with Swiss cheese, lettuce & cilantro-mayo on wheat Texas toast."
Southern Smokehouse Burger,$11.29,Craft Burgers,"Topped with 4 slices of applewood smoked bacon, melted sharp cheddar cheese, NEW house-made garlic dill pickles, NEW spiced panko onion rings, fresh leaf lettuce, tomato & NEW Chili's Signature sauce. Served with a side of Chili's classic BBQ sauce."
Big Mouth Bites,$9.99,Craft Burgers,"Four mini burgers with applewood smoked bacon, American cheese, sauteed onions & house-made ranch."
Guacamole Burger,$10.50,Craft Burgers,"Topped with fresh guacamole, melted Monterey Jack, fire-roasted jalapeños, sauteed red & green bell peppers, caramelized onions & cumin-lime sour cream."
Classic Bacon Burger,$13.48,Craft Burgers,"Topped with applewood smoked bacon, melted sharp cheddar cheese, NEW house-made garlic dill pickles, fresh leaf lettuce, tomato, sliced red onions & NEW Chili's Signature sauce."
Oldtimer with Cheese,$9.49,Craft Burgers,"A Chili's classic - improved! Hand seasoned beef patty, seared to perfection. Topped with NEW house-made garlic dill pickles, fresh leaf lettuce, tomato, sliced red onions and mustard."
Ancho Salmon,$15.29,Lighter Choices,"Seared chile-rubbed Atlantic salmon, drizzled with spicy citrus-chile sauce & topped with chopped cilantro & queso fresco. Served with NEW citrus-chile NEW citrus-chile rice & steamed broccoli."
6 oz Classic Sirloin with Grilled Avocado,$12.29,Lighter Choices,"100% USDA Choice sirloin with southwestern spices & drizzled with spicy citrus-chile sauce, topped with grilled avocado slices, garlic roasted tomatoes & chopped cilantro. Served with fresco salad. (cal 41)"
Mango-Chile Chicken,$11.49,Lighter Choices,"Grilled chicken breast seasoned with 6-pepper blend, drizzled with spicy habanero mango glaze & topped with chopped mango, cilantro, house-made pico de gallo & fresh diced sliced avocado. Served with NEW citrus-chile rice & steamed broccoli. (cal 520)"
Mango-Chile Tilapia,$11.29,Lighter Choices,"Tilapia seasoned with 6-pepper blend, drizzled with spicy habanero mango glaze & topped with chopped mango, cilantro, house-made pico de gallo & fresh diced avocado. Served with NEW citrus-chile rice & steamed broccoli. (cal 520)"
Grilled Chicken Salad,$10.99,Lighter Choices,"Grilled chicken breast served over fresh field greens topped with fresh diced tomatoes, house-made cilantro corn relish, 3-cheese blend & honey-lime vinaigrette. (Cal 430)"
Margarita Grilled Chicken,$11.49,Lighter Choices,Margarita marinated grilled chicken breast topped with house-made pico de gallo & crispy tortilla strips. Served with NEW citrus-chile rice & black beans. (cal 580)
Mix & Match Fajita Trio,$23.99,Mix & Match Fajitas,"Served with warm flour tortillas and fresh new toppings: cheddar cheese, fresh guacamole, pickled jalapenos, cumin-lime sour cream, house-made pico de gallo and fresh salsa."
Mix & Match Fajitas (2),$21.98,Mix & Match Fajitas,"Our signature sizzling fajitas served with sliced bell peppers and caramelized onions, topped with chipotle-garlic butter and chopped cilantro."
Chipotle Shrimp Fresh Mex Bowl,$11.99,Fresh Mex Bowls,"Seared shrimp, house-made corn & black bean salsa, NEW citrus-chile rice & chipotle pesto. Topped with cheddar cheese, house-made pico de gallo, fresh field greens, chopped cilantro, crispy tortilla strips, fresh sliced avocado & a drizzle of cumin-lime sour cream."
Chipotle Chicken Fresh Mex Bowl,$11.49,Fresh Mex Bowls,"Marinated grilled chicken, house-made corn & black bean salsa, NEW citrus-chile rice & chipotle pesto. Topped with cheddar cheese, house-made pico de gallo, fresh field greens, chopped cilantro, crispy tortilla strips, fresh sliced avocado & a drizzle of cumin-lime sour cream."
Margarita Pork Carnitas Fresh Mex Bowl,$11.49,Fresh Mex Bowls,"Tender pork carnitas, house-made corn & black bean salsa, NEW citrus-chile rice & black beans. Topped with house-made pico de gallo, fresh field greens, chopped cilantro, crispy tortilla strips, fresh sliced avocado & a drizzle of margarita sauce."
Chipotle Pork Carnitas Fresh Mex Bowl,$11.49,Fresh Mex Bowls,"Tender pork carnitas, house-made corn & black bean salsa, NEW citrus-chile rice & chipotle pesto. Topped with cheddar cheese, house-made pico de gallo, fresh field greens, chopped cilantro, crispy tortilla strips, fresh sliced avocado & a drizzle of cumin-lime sour cream."
Ranchero Chicken Tacos,$10.99,New Top Shelf Tacos,"Seasoned chicken over jack cheese and topped with chimichurri sauce, house made pico de gallo, sliced avocado, chopped cilantro, and queso fresco."
Make It a Combo,$18.99,Make it a Combo,"Choose any two entrees below, served with loaded mashed potatoes and steamed broccoli."
Craft Beer BBQ Baby Back Ribs,$18.99,Baby Back Ribs,"Tender, slow smoked over pecan wood, fall-off-the bone baby back ribs basted with Rahr & Sons real beer BBQ sauce & topped with cilantro. Served with your choice of two sides."
Dr. Pepper BBQ Baby Back Ribs 1/2 Rack,$12.29,Baby Back Ribs,"Tender, slow smoked over pecan wood, fall-off-the bone baby back ribs basted with signature Dr Pepper BBQ sauce and served with your choice of one side."
Original BBQ Baby Back Ribs,$20.49,Baby Back Ribs,Smothered in Chili's classic BBQ sauce.
Original BBQ Baby Back Ribs 1/2 Rack,$13.49,Baby Back Ribs,"Tender, slow smoked over pecan wood, fall-off-the bone baby back ribs smothered in Chili's classic BBQ sauce and served with your choice of one side."
Mix & Match Baby Back Ribs,$18.99,Baby Back Ribs,Choose two half racks from all of our flavors to create your own combination. Served with your choice of two sides.
Crispy Honey-Chipotle Chicken Crispers,$11.89,Chicken,"Extra crispy hand-breaded chicken tossed in our signature honey-chipotle sauce. Served with homestyle fries, corn on the cob & house-made ranch dipping sauce."
Crispy Chicken Crispers,$11.39,Chicken,"Extra crispy hand-breaded chicken with corn on the cob, homestyle fries & your choice of black-pepper gravy, BBQ sauce, honey-mustard or house-made ranch dipping sauce."
Original Chicken Crispers,$11.39,Chicken,"Our hand-battered chicken classic, served with corn on the cob, homestyle fries & honey-mustard dipping sauce."
Cajun Chicken Pasta,$12.49,Chicken,"Smothered in Alfredo sauce with a hint of Cajun spice, topped with shredded Parmesan, diced tomatoes & chopped green onions. Served with garlic toast."
Cajun Shrimp Pasta,$12.99,Chicken,"Smothered in Alfredo sauce with a hint of Cajun spice, topped with shredded Parmesan, diced tomatoes & chopped green onions. Served with garlic toast."
Sweet Corn on the Cob,$3.00,Sides, 
Homestyle Fries,$2.50,Sides, 
Loaded Mashed Potatoes,$2.50,Sides, 
Spinach & Garlic Roasted Tomatoes,$3.90,Sides, 
Classic Nachos,$9.90,Sides, 
Steamed Broccoli,$2.50,Sides, 
Black Beans,$2.50,Sides, 
Spiced Panko Onion Rings,$7.49,Sides, 
Citrus-Chili Rice,$2.50,Sides, 
Molten Salted Caramel Cake,$7.29,Sweet Stuff, 
Cheesecake,$7.29,Sweet Stuff,A rich New York-style cheesecake with graham cracker crust. Served over a house-made strawberry puree.
32 oz Soft Drinks/Tea/Lemonade,$2.99,Beverages, 
Juice,$2.29,Beverages, 
Pepper Pals Pizza,$5.30,Kids Menu,"6"" Pizza served with choice of side and a drink."
Pepper Pals Macaroni & Cheese,$5.20,Kids Menu,Macaroni & Cheese served with choice of side and a drink.
Pepper Pals Little Chicken Crispers,$5.50,Kids Menu,Our original Chicken Crispers® served with choice of side and a drink.
Pepper Pals Grilled Cheese Sandwich,$5.20,Kids Menu,Grilled Cheese Sandwich served with choice of side and a drink.
Pepper Pals Cheese Quesadilla,$5.20,Kids Menu,Cheese Quesadilla served with choice of side and a drink.
Pepper Pals Crispy Chicken Crispers,$5.50,Kids Menu,Crispy Chicken Crispers® served with choice of side and a drink.
Pepper Pals Grilled Chicken Bites,$5.50,Kids Menu,Grilled Chicken Sandwich Bites served with choice of side and a drink.
Pepper Pals Cheese Burger Bites,$5.50,Kids Menu,Cheese Burger Bites served with choice of side and a drink.
Pepper Pals Burger Bites,$4.99,Kids Menu,Burger bites served with choice of side and a drink.
Pepper Pals Grilled Chicken Platter,$4.99,Kids Menu, 
2 Fresh Mex Pairings,$8.99,Fresh Mex Pairings, 
Mix & Match Party Platter Fajitas,$49.99,Party Platters,"We reinvented a classic! Our signature sizzling fajitas served with sliced bell peppers & caramelized onions, topped with chipotle-garlic butter & chopped cilantro."
Party Platter Enchailadas,$49.99,Party Platters,Choice of up to two varieties of our house baked enchiladas with NEW citrus-chile rice & black beans.
Mix & Match Party Platter Fajita Trio,$69.00,Party Platters,"We reinvented a classic! Our signature sizzling fajitas served with sliced bell peppers & caramelized onions, topped with chipotle-garlic butter & chopped cilantro."
Party Platter Baby Back Ribs,$64.99,Party Platters,"Tender, juicy racks of slow-smoked ribs with extra barbecue sauce. Choose from all of our favorite flavors."
Party Platter Custom Combinations,$64.99,Party Platters,Choose any two favorites on one mouth-watering platter. Served with steamed broccoli and loaded mashed potatoes.
Party Platter Boneless Buffalo WIngs,$49.99,Party Platters,Tossed in our spicy wing sauce. Served with cool bleu cheese dressing.
Party Platter Wings Over Buffalo,$54.99,Party Platters,Tossed in our spicy wing sauce. Served with cool bleu cheese dressing.
Party Platter Big Mouth Bites,$39.99,Party Platters,"Mini beef burgers topped with applewood smoked bacon, American cheese, sauteed onions, and ranch dressing on sesame seed buns. Served with ranch dressing."
Party Platter Triple Dipper,$49.99,Party Platters,Pick your three favorites! Served with dipping sauces.
Party Platter Quesadilla Explosion Salad,$35.99,Party Platters,"Grilled chicken with cheese, corn relish, cilantro, tortilla strips and citrus-balsamic dressing. Served with cheese quesadillas."
Party Platter House Salad,$15.99,Party Platters,"Grilled chicken with cheese, corn relish, cilantro, tortilla strips and citrus-balsamic dressing. Served with cheese quesadillas."
Party Platter Chips & Salsa,$7.99,Party Platters,Party size bowl of our warm and crispy tostada chips and flavorful house-made salsa.
Party Platter Boneless Honey-Chipotle Wings,$49.99,Party Platters,Tossed in our honey-chipotle sauce. Served with ranch dressing.
Party Platter Classic Turkey Toasted Sandwiches,$36.99,Party Platters,"With lettuce, tomatoes, provolone and mayo on wheat Texas toast."
Party Platter Santa Fe Salad,$35.99,Party Platters,"Grilled chile-rubbed chicken, house-made pico de gallo, fresh diced avocado, chopped cilantro, crispy tortilla strips with house-made ranch dressing & a drizzle of spicy Santa Fe sauce."
Classic Ribeye,$17.99,Steaks,100% USDA thick-cut steak marbled for maximum flavor and topped with garlic butter. Served with loaded mashed potatoes and steamed broccoli.
Classic Sirloin,$11.99,Steaks,100% USDA Choice sirloin with Chili's seasoning and topped with garlic butter. Served with loaded mashed potatoes and steamed broccoli.
Chicken Enchiladas,$11.50,Enchiladas,"3 baked enchiladas filled with seasoned chicken and Monterey Jack cheese. Topped with melted 3-cheese blend, chopped cilantro, and house-made corn and black bean salsa. With your choice of sour cream sauce or green chili sauce."
Dinner for 2,$22.00,Dinner for 2, 
Bacon Ranch Quesadillas,$11.49,Quesadillas,"Flour tortillas stuffed with chicken or beef, 3-cheese blend, southwestern spices, applewood smoked bacon and ranch dressing. Served with house-made pico de gallo, sour cream, and ancho chili ranch."
