Rating,Number Of Ratings,Address
N/A,Newly Added,"14150 Town Center Blvd, Noblesville, IN 46060, USA"
Steak Burrito,$11.49,House Specialties,"A handmade, 12” flour tortilla stuffed with sliced grilled steak & cheese, topped with spicy hatch green Chile sauce. Served with green Chile rice & charro beans."
Chicken Flautas,$9.19,House Specialties,"Home-made corn tortillas filled with freshly-roasted, hand-pulled chicken, rolled, fried and drizzled with our smoky, red chipotle sauce. Served with guacamole and sour cream."
Elvis Green Chile Fried Chicken,$10.49,House Specialties,"A chuy’s original. A tender chicken breast breaded with lay’s® potato chips, deep fried and smothered in green Chile sauce and cheddar cheese. Served with green Chile rice and re-fried beans."
#1. Comida Deluxe,$11.39,Combinations,"Cheese tex-mex enchiladas, chicken flautas, a seasoned ground sirloin crispy taco, guacamole & home-made tostada chips dipped in Chile con queso."
#2. The Elvis Presley Memorial Combo,$11.79,Combinations,"Beef tex-mex enchilada, cheese ranchero enchilada, chicken tomatillo enchilada, a seasoned ground sirloin crispy taco & home-made tostada chips dipped in Chile con queso."
#3. Taco & Enchilada,$8.99,Combinations,"Seasoned ground sirloin crispy taco, cheese tex-mex enchilada."
#4. Relleno & Enchilada,$9.99,Combinations,Your choice of Chile relleno & enchilada.
#5. Chalupa & Enchilada,$8.99,Combinations,"Chicken chalupa, a home-made corn tortilla fried and topped with re-fried beans, cheese, freshly-roasted, hand-pulled chicken, lettuce, tomatoes & jalapeños & deluxe chicken enchilada."
"#6. Enchilada, Taco & Chalupa",$10.69,Combinations,"Cheese tex-mex enchilada, seasoned ground sirloin crispy taco & chicken chalupa, a home-made corn tortilla fried and topped with re-fried beans, cheese, freshly-roasted, hand-pulled chicken, lettuce, tomatoes & jalapeños."
#7. Vegetarian Combo,$9.49,Combinations,"Meatless plate. Cheese Chile relleno with ranchero sauce & veggie enchilada, rolled in a home-made blue corn tortilla and topped with ranchero sauce."
#8. Chuy's Lite Plate,$6.99,Lite Combos,"Seasoned ground sirloin crispy taco, guacamole & Chile con queso."
#9. Chicken Combo,$8.59,Lite Combos,"Chicken chalupa, a home-made corn tortilla fried and topped with re-fried beans, cheese, freshly-roasted, hand-pulled chicken, lettuce, tomatoes & jalapeños, soft fajita chicken taco & guacamole."
