Rating,Number Of Ratings,Address
4.9/5,8 ratings,"2550 Sunrise Hwy, East Islip, NY 11730, USA"
The Classic Combo,$16.99,Appetizers,"All the classic apps you love on one plate – boneless wings, spinach and artichoke dip, chicken quesadilla and Mozzarella sticks."
Steak Quesadilla,$10.69,Appetizers,"Warm, grilled tortillas loaded with USDA choice top sirloin steak and a blend of melted Cheddar cheeses. Served with green chile sauce and our chipotle lime salsa."
Spinach & Artichoke Dip,$8.49,Appetizers,Creamy spinach and artichoke dip topped with melted Parmesan cheese. Served with freshly made white corn tortilla chips and our chipotle lime salsa.
Chicken Wonton Tacos,$8.99,Appetizers,"Applebee’s signature. A deliciously different way to taco. Tangy grilled chicken, sweet Asian chile sauce and dumpling sauce stuffed into crispy wonton shells and topped with a crunchy slaw and cilantro mix."
Mozzarella Sticks,$8.79,Appetizers,"Crispy outside with melty Mozzarella inside, this favorite is served with marinara sauce."
Chips & Salsa,$4.29,Appetizers,Freshly made white corn tortilla chips and our chipotle lime salsa.
Cheeseburger Egg Rolls,$10.99,Appetizers,"A crunchy eggroll filled with ground beef, pickles, Cheddar and onions with our signature dipping sauce."
Salad,$4.49,Appetizers, 
Sriracha Shrimp,$8.99,Appetizers,Spicy. Crispy battered shrimp tossed in a spicy sriracha chile lime sauce topped with cilantro.
Brew Pub Pretzels & Beer Cheese Dip,$7.99,Appetizers,"The perfect balance of crunchy and chewy, warm pretzel sticks are ready to dip in BLUE MOON®
(registered trademark of MillerCoors LLC) white Cheddar beer cheese and honey Dijon mustard."
Boneless Wings,$10.79,Appetizers,"Spicy. Crispy breaded pieces of tender boneless chicken tossed in your choice of: classic buffalo sauce, hot buffalo sauce, honey BBQ sauce, sweet Asian chile sauce. Served with Bleu cheese or ranch dressing."
Double Crunch Bone-In Wings,$10.99,Appetizers,"Spicy. Twice battered and fried, these crisp outside, tender inside wings are tossed in a choice of:, classic buffalo sauce, hot buffalo sauce, honey BBQ sauce, sweet Asian chile sauce. Served with Bleu cheese or ranch dressing."
Salsa Verde Beef Nachos,$11.99,Appetizers,"Spicy. A true table pleaser, tortilla chips are topped with chile verde marinated ground beef, queso blanco, Cheddar, sour cream, pico and fresh jalapeños."
Chicken Tortilla Soup,$4.49,Appetizers,Contains pork.
Tomato Basil Soup,$4.49,Appetizers, 
French Onion Soup,$5.49,Appetizers, 
Southwest Steak & Black Bean Soup,$4.99,Appetizers,Spicy. Contains pork.
Chili Soup,$4.99,Appetizers, 
Appetizer Sampler (2),$10.59,Build Your Appetizer Sampler, 
Appetizer Sampler (3),$14.49,Build Your Appetizer Sampler, 
Thai Shrimp Salad,$12.99,Salads,"400 cal, 25g protein. Lighter fare. Seasoned, grilled shrimp atop fresh Asian greens and edamame. Topped with almonds, crispy wonton strips and a drizzle of Thai peanut sauce with our own chile lime vinaigrette."
Oriental Chicken Salad,$10.99,Salads,"Applebee’s signature. A long-running favorite, crispy breaded chicken tenders top a bed of Asian greens, rice noodles and almonds tossed in our oriental vinaigrette."
Grilled Chicken Caesar Salad,$11.49,Salads,"Crisp romaine tossed in garlic Caesar dressing topped with grilled chicken, croutons and shaved Parmesan."
Fiesta Chicken Chopped Salad,$9.99,Salads,"Corn & black bean salsa, tortilla strips, white Cheddar, red pepper, onion & spicy jalapeño dressing."
Fiesta Chicken Chopped Salad,$9.99,Salads,"Corn & black bean salsa, tortilla strips, white Cheddar, red pepper, onion & spicy jalapeño dressing."
Crispy Chicken Tender Salad,$9.99,Salads,"A hearty salad with crispy chicken tenders on a bed of fresh greens topped with a blend of Cheddar cheeses, grape tomatoes and a hard-boiled egg. Served with honey Dijon mustard dressing."
Southwestern Salad,$11.99,Salads,"Grilled USDA choice top sirloin topped with chimichurri. Served with mixed greens, black bean corn salsa, a blend of Cheddar cheeses, tortilla strips and house-made cilantro ranch."
Butcher's Reserve 12 oz. Top Sirloin,$20.99,From the Grill,"Our heartiest cut, this generous 12 oz. USDA choice top sirloin is flame-grilled to order."
8 oz. Top Sirloin,$16.99,From the Grill,Lightly seasoned USDA choice top sirloin cooked to perfection and served hot off the grill.
6 oz. Top Sirloin,$14.99,From the Grill,Lightly seasoned USDA choice top sirloin cooked to perfection and served hot off the grill.
Grilled Chicken Breast,$12.99,From the Grill,Juicy chicken breast seasoned and grilled over an open flame.
Double-Glazed Baby Back Ribs (Half Rack),$15.99,From the Grill,"Slow-cooked to fall off the bone tenderness. Slathered with your choice of sauce: spicy Texas BBQ sauce, honey BBQ sauce."
Shrimp 'n Parmesan Sirloin,$19.49,Chef Selections,"A popular take on surf ‘n turf, this dish starts with a tender grilled 8 oz. USDA choice top sirloin and is topped with sautéed blackened shrimp and our creamy lemon butter Parmesan sauce."
Bourbon Street Steak,$17.99,Chef Selections,Big flavor from New Orleans. USDA choice top sirloin steak jazzed up with Cajun spices and garlic butter served sizzling on a cast iron platter with sautéed mushrooms and onions. Served with crispy red potatoes.
Cedar Salmon with Maple Mustard Glaze,$17.99,Chef Selections,6 oz. cedar-seasoned grilled salmon with garlic-steamed spinach and a maple mustard glaze.
Bourbon Street Chicken & Shrimp,$16.99,Chicken,Let the good times roll with Cajun seasoned chicken and blackened shrimp in garlic butter served sizzling on a cast iron platter with sautéed mushrooms and onions. Served with crispy red potatoes.
Fiesta Lime Chicken,$12.99,Chicken,"Applebee’s signature. Goes great with a perfect margarita. A celebration of flavor, this dish delivers on every level. Grilled chicken glazed with zesty lime sauce and drizzled with tangy mexi-ranch is smothered with a rich blend of Cheddar cheeses on a bed of crispy tortilla strips. Served with Spanish rice and house-made pico de gallo."
Chicken Tenders Platter,$9.99,Chicken,"Crispy breaded chicken tenders are a grill and bar classic. Served with honey Dijon mustard, slaw and fries."
Caprese Mozzarella Chicken,$10.99,Chicken,"700 cal, 52g protein. Lighter fare. A fun twist on caprese salad. Grilled chicken, tomato, red onion, fresh Mozzarella and chopped basil are drizzled with a balsamic glaze and served over garlic mashed potatoes."
Cedar Grilled Lemon Chicken,$13.99,Chicken,"580 cal, 42g protein. Lighter fare. Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette."
Cedar Grilled Lemon Chicken,$13.99,Lighter Fare,"580 cal, 42g protein. Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette."
Pepper-Crusted Sirloin & Whole Grains,$14.99,Lighter Fare,"380 cal, 30g protein. Grilled peppercorn-seasoned 4 oz. USDA choice top sirloin. Served with hearty grains, balsamic mushrooms, roasted grape tomatoes, onions and fresh sautéed spinach."
Caprese Mozzarella Chicken,$10.99,Lighter Fare,"700 cal, 52g protein. A fun twist on caprese salad. Grilled chicken, tomato, red onion, fresh Mozzarella and chopped basil are drizzled with a balsamic glaze and served over garlic mashed potatoes."
Thai Shrimp Salad,$12.99,Lighter Fare,"400 cal, 25g protein. Seasoned, grilled shrimp atop fresh Asian greens and edamame. Topped with almonds, crispy wonton strips and a drizzle of Thai peanut sauce with our own chile lime vinaigrette."
Shrimp Wonton Stir-Fry,$14.29,Lighter Fare,"630 cal, 25g protein. Stir-fry shrimp and veggies are tossed in a sweet and spicy dumpling sauce, served over a bed of rice and topped with wonton strips."
Spinach & Artichoke Chicken Cavatappi,$12.99,"Pasta, Seafood More","Creamy artichoke Parmesan sauce tossed with corkscrew cavatappi pasta topped with grilled chicken, grape tomatoes and crispy spinach leaves."
Firecracker Shrimp Cavatappi,$14.99,"Pasta, Seafood More","Spicy. Crispy battered shrimp and corkscrew cavatappi pasta are tossed in a Parmesan sriracha cream sauce topped with a fire-grilled zucchini, red pepper and onion relish."
Double Crunch Shrimp,$14.99,"Pasta, Seafood More","Crispy battered shrimp are fried golden brown. Served with cocktail sauce, tartar sauce, slaw and fries."
Butcher's Meat & Potatoes,$14.99,"Pasta, Seafood More","USDA choice top sirloin, tomatoes, mushrooms, stout gravy, garlic mashers and crispy onions."
Cedar Salmon with Maple Mustard Glaze,$17.99,"Pasta, Seafood More",6 oz. cedar-seasoned grilled salmon with garlic steamed spinach and a maple mustard glaze.
Four-Cheese Mac & Cheese with Honey Pepper Chicken Tenders,$14.19,"Pasta, Seafood More","Applebee’s signature. A sweet and savory take on comfort food, four-cheese mac & cheese is topped with crispy breaded chicken tenders tossed in honey pepper sauce and topped with bacon."
Three-Cheese Chicken Cavatappi,$13.49,"Pasta, Seafood More","Asiago, Parmesan and white Cheddar are mixed with corkscrew cavatappi pasta in a rich Parmesan cream sauce then topped with grilled chicken, bruschetta tomatoes and basil."
Sirloin Stir-Fry,$14.99,"Pasta, Seafood More","USDA choice top sirloin and veggies are tossed in a sweet and spicy dumpling sauce, served over a bed of rice and topped with wonton strips."
Hand-Battered Fish & Chips,$12.99,"Pasta, Seafood More","Golden, crispy-battered fish fillet with fries. Comes with our signature coleslaw, tartar sauce and a lemon wedge."
Fire Roasted Chicken Salad Wrap,$9.99,Sandwiches and More,"Spicy. Grilled diced chicken, sautéed veggies, lettuce, creamy sriracha sauce and a squeeze of lime wrapped in grilled Italian flatbread."
Bacon Cheddar Grilled Chicken Sandwich,$10.99,Sandwiches and More,"Our grilled chicken breast is topped with smoky bacon and Cheddar then finished with BBQ bacon ranch, crisp lettuce, onion, pickles and tomatoes on a brioche bun."
Chicken Fajita Rollup,$10.49,Sandwiches and More,"Juicy chipotle chicken with crisp lettuce, blend of Cheddar cheeses and house-made pico wrapped in a tortilla with our mexi-ranch dipping sauce."
BBQ Brisket Tacos,$12.29,Sandwiches and More,"Bursting with big Texas flavor, flour tortillas are filled with shredded beef brisket, spicy Texas BBQ sauce, a blend of Cheddar cheeses and pico de gallo. Topped with crispy onions, a drizzle of our mexi-ranch dressing and cilantro. Served with our signature coleslaw."
Clubhouse Grille,$10.99,Sandwiches and More,"Ham, turkey, Cheddar, jack, bacon, lettuce, tomato, mayo and honey BBQ sauce on toasted potato bread."
Grilled Chicken Bacon Wrap,$11.99,Sandwiches and More,"Cedar-seasoned grilled chicken, mixed greens, Cheddar and bacon drizzled with maple mustard wrapped in a soft, grilled Italian flatbread."
Zesty Ranch Chicken Sandwich,$9.99,Sandwiches and More,"This crispy chicken breast creation is really kickin’ with fresh iceberg lettuce, juicy tomatoes, red onion and pickles topped with the zip of classic buffalo wing sauce and cool ranch dressing. Served on a brioche bun."
Whisky Bacon Burger,$11.99,Burgers,"Spicy. Savor the rich flavor in this tasty original. Caramelized onion and bacon seared into an all-beef patty piled with Pepper Jack cheese, crispy onions, bacon and fireball® whisky steak sauce on a brioche bun."
All-Day Brunch Burger,$11.99,Burgers,"A wake up call for your taste buds, bacon and onions are seared into an all-beef patty topped with crispy hash browns, American cheese, ketchup and a fried egg on a brioche bun."
The American Standard,$11.49,Burgers,"Juicy all-beef patty with seared-in bacon, diced onions and pickles topped with melted American cheese, our signature sauce and a brioche bun."
Caprese Mozzarella Burger,$11.49,Burgers,"Juicy all-beef patty with seared-in garlic and onions topped with grilled tomatoes, red onions, fresh Mozzarella, fresh basil and balsamic aioli on a brioche bun."
Triple Bacon,$11.99,Burgers,"All-beef patty with bacon seared-in and topped with Cheddar, tangy BBQ bacon ranch and more crispy bacon slices on a brioche bun."
Classic,$8.99,Burgers,"A juicy all-beef burger classic with lettuce, tomato, onion and pickles on a brioche bun."
Quesadilla Burger,$10.99,Burgers,"Applebee’s signature. Part burger, part quesadilla, all taste. This original burger creation comes piled high with jack cheese, our signature mexi-ranch sauce, crispy bacon, fresh pico and shredded lettuce in a crisp, warm Cheddar quesadilla."
Blue Ribbon Brownie,$5.99,Desserts,Warm dark chocolate brownie with nuts. Served with vanilla ice cream and drizzled with hot fudge.
Butter Pecan Blondie,$6.59,Desserts,"A rich, nutty blondie drizzled with maple cream cheese sauce, sprinkled with candied pecans and served sizzling with vanilla ice cream."
Triple Chocolate Meltdown,$6.99,Desserts,"Applebee’s signature. Warm, rich, fudge-filled chocolate cake is drizzled with hot fudge. Served with vanilla ice cream."
Chocolate Chip Cookie Sundae,$6.59,Desserts,"Vanilla ice cream and a warm, chocolate chunk cookie topped with Oreo® crumbs and whipped cream."
Hot Fudge Sundae Shooter,$2.59,Desserts, 
Brownie Bite,$2.49,Desserts,The perfect size of a warm dark chocolate brownie with nuts served with vanilla ice cream and drizzled with hot fudge.
