Rating,Number Of Ratings,Address
4.2/5,165 ratings,"205 West 50th Street, New York, NY 10019, USA"
Whisky Bacon Burger,$18.99,Burgers,"Spicy. Savor the rich flavor in this tasty original. Caramelized onion and bacon seared into an all-beef patty piled with pepper jack cheese, crispy onions, bacon and fireball® whisky steak sauce on a brioche bun. 1240 cal."
All-Day Brunch Burger,$18.99,Burgers,"A wake up call for your taste buds, bacon and onions are seared into an all-beef patty topped with crispy hash browns, American cheese, ketchup and a fried egg on a brioche bun. 1160 cal."
The American Standard,$18.29,Burgers,"Juicy all-beef patty with seared-in bacon, diced onions and pickles topped with melted American cheese, our signature sauce and a brioche bun. 1000 cal."
Triple Bacon,$18.99,Burgers,"All-beef patty with bacon seared-in and topped with cheddar, tangy BBQ bacon ranch and more crispy bacon slices on a brioche bun. 1170 cal."
Classic,$16.59,Burgers,"A juicy all-beef burger classic with lettuce, tomato, onion and pickles on a brioche bun. 630 cal."
Cheeseburger,$17.99,Burgers, 
Bacon Cheeseburger,$19.99,Burgers,With crispy bacon.
Bourbon Street Chicken & Shrimp,$24.99,Chicken,Let the good times roll with Cajun seasoned chicken and blackened shrimp in garlic butter served sizzling on a cast iron platter with sautéed mushrooms and onions. Served with crispy red potatoes. 620 cal.
Fiesta Lime Chicken,$22.29,Chicken,"Applebee’s signature. Grilled chicken breast, tortilla strips, cilantro-lime glaze and mexi-ranch dressing topped with melted cheddar cheese. Served with Spanish rice and pico. 1150 cal."
Chicken Tenders Platter,$17.99,Chicken,Crispy breaded chicken tenders are a grill and bar classic. Served with honey Dijon mustard and fries. 1460 cal. Smaller portion with fries. 1150 cal.
Cedar Grilled Lemon Chicken,$18.89,Chicken,"Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette. 580 cal., 42 g. protein."
Caprese Mozzarella Chicken,$19.59,Chicken,"A fun twist on caprese salad. Grilled chicken, tomato, red onion, fresh mozzarella and chopped basil are drizzled with a balsamic glaze and served over garlic mashed potatoes. 700 cal., 52 g. protein."
Grilled Chicken Breast,$19.99,Chicken,Include choice of 2 sides. 190 cal.
Chicken Fried Chicken,$22.99,Chicken,"A hearty boneless chicken breast, lightly breaded in our special seasonings and golden fried. Served with garlic mashed potatoes, country gravy and broccoli. 1250 cal."
Chicken Parmesan,$22.99,Chicken,Lightly breaded chicken breast topped with marinara sauce and a layer of fresh mozzarella and parmesan cheeses. Served with cavatappi pasta marinara. 1330 cal.
Chicken + Fried Shrimp,$24.99,Create Your Own Combination,For a limited time only! Shown with steamed broccoli & garlic mashed potatoes.
USDA Steak,$19.79,From the Grill,Lightly seasoned USDA top sirloin cooked to perfection and served hot off the grill.
Grilled Chicken Breast,$19.99,From the Grill,Juicy chicken breast seasoned and grilled over an open flame. 190 cal.
Baby Back Ribs,$20.69,From the Grill,"Slow-cooked to fall-off-the-bone tenderness. Order them sauced with: spicy Texas BBQ, honey BBQ."
Cedar Grilled Lemon Chicken,$18.89,Lighter Fare,"Lighter Fare. Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette. 580 cal, 42 g. protein."
Caprese Mozzarella Chicken,$19.59,Lighter Fare,"Lighter Fare. A fun twist on caprese salad. Grilled chicken, tomato, red onion, fresh mozzarella and chopped basil are drizzled with a balsamic glaze and served over garlic mashed potatoes. 700 cal., 52 g. protein."
Thai Shrimp Salad,$20.49,Lighter Fare,"Lighter Fare. Seasoned, grilled shrimp atop fresh Asian greens and edamame. Topped with almonds, crispy wonton strips and a drizzle of Thai peanut sauce with our own Chile lime vinaigrette. 400 cal., 25 g. protein."
Shrimp Wonton Stir-Fry,$19.69,Lighter Fare,"Lighter Fare. Stir-fry shrimp and veggies are tossed in a sweet and spicy dumpling sauce, served over a bed of rice and topped with wonton strips. 630 cal., 25 g. protein."
Spinach & Artichoke Chicken Cavatappi,$20.69,"Pasta, Seafood and More",Creamy spinach and artichoke parmesan sauce tossed with corkscrew cavatappi pasta topped with grilled chicken and grape tomatoes. 1040 cal.
Firecracker Shrimp Cavatappi,$20.99,"Pasta, Seafood and More",Spicy. Crispy battered shrimp and corkscrew cavatappi pasta are tossed in a parmesan sriracha cream sauce. 1870 cal.
Double Crunch Shrimp,$23.79,"Pasta, Seafood and More","Crispy battered shrimp are fried golden brown. Served with cocktail sauce, tartar sauce, slaw and fries. 1310 cal."
Four-Cheese Mac & Cheese,$20.69,"Pasta, Seafood and More","Applebee’s Signature. With honey pepper chicken tenders. A sweet and savory take on comfort food, four-cheese mac & cheese is topped with crispy breaded chicken tenders tossed in honey pepper sauce and topped with bacon. 1460 cal."
Three-Cheese Chicken Cavatappi,$20.69,"Pasta, Seafood and More","Asiago, parmesan and white cheddar are mixed with corkscrew cavatappi pasta in a rich parmesan cream sauce then topped with grilled chicken, bruschetta tomatoes and basil. 1280 cal."
Blackened Tilapia,$20.99,"Pasta, Seafood and More",Flaky tilapia brushed with blackened Cajun spices. Served with steamed broccoli and crispy red potatoes. 510 cal.
Shrimp ‘N Parmesan Sirloin,$28.99,Chef Selections,"A popular take on surf ‘n turf, this dish starts with a tender grilled 8 oz. USDA top sirloin and is topped with sautéed blackened shrimp and our creamy parmesan sauce. 580 cal."
Bourbon Street Steak & Shrimp,$28.69,Chef Selections,Big flavor from New Orleans. USDA top sirloin steak and shrimp jazzed up with Cajun spices and garlic butter served sizzling on a cast iron platter with sautéed mushrooms and onions. Served with crispy red potatoes. 920 cal.
Cedar Grilled Salmon (6 oz.),$20.59,Chef Selections,Cedar-seasoned grilled salmon. 340 cal.
Four-Cheese Mac + Cheese,$2.99,Signature Side,440 cal.
Crunchy Onion Rings,$2.99,Signature Side,530 cal.
Sweet Potato Fries,$2.99,Signature Side,340 cal.
Blue Ribbon Brownie,$9.89,Desserts,Warm dark chocolate brownie with nuts. Served with vanilla ice cream and drizzled with hot fudge. 1560 cal.
Chocolate Chip Cookie Sundae,$9.89,Desserts,"Vanilla ice cream and a warm, chocolate chunk cookie topped with oreo® crumbs and whipped cream. 1370 cal."
Triple Chocolate Meltdown,$9.89,Desserts,"Warm, rich, fudge-filled chocolate cake is drizzled with hot fudge. Served with vanilla ice cream. 960 cal."
