Rating,Number Of Ratings,Address
4.1/5,37 ratings,"12249 Fair Lakes Promenade Dr, Fairfax, VA 22033, USA"
Buffalo Wingman's Burger,$12.49,Burger,"930 calorie. Blackened beef patty, buffalo pimento cheese spread, spicy mayo made with tabasco® chipotle pepper sauce, spicy pickles, lettuce, tomatoes and red onions. Topped off with a skewer of buffalo wings."
Turkey + Avocado BLT,$11.40,Sandwich,"760 calories. Whole turkey breast slices, Swiss cheese, lettuce, tomatoes, bacon and avocado with pesto aioli on soft focaccia bread."
Jack Daniel's Chicken Sandwich,$10.49,Sandwich,"1110 calories. Grilled all-natural chicken breast seasoned with hickory-smoked sea salt. Topped with Jack Daniel’s® glaze, hickory-smoked bacon, white cheddar, Cajun-spiced crispy onion strings, lettuce, tomato, pickles and Jack Daniel’s® mayo."
Southern Fried Chicken Sandwich,$9.40,Sandwich,"930 calories. Battered chicken breast, lettuce, tomato, pickles, avocado and jack cheese layered on a soft bun with spicy mayo made with tabasco® chipotle pepper sauce."
French Dip,$11.99,Sandwich,"800 calories. Sliced premium roast beef on a toasted artisan baguette with horseradish spread, Swiss cheese, roasted onions and au jus on the side."
Sizzling Chicken and Shrimp,$15.49,"Chicken, Seafood & Pasta","1210 calories. Garlic-marinated all-natural chicken and shrimp tossed in bruschetta marinara. Served over melted cheese with onions, peppers and creamy mashed potatoes."
Sizzling Chicken & Cheese,$13.99,"Chicken, Seafood & Pasta","1090 calories. Garlic-marinated all-natural chicken breasts served over melted cheese with onions, peppers and creamy mashed potatoes."
Parmesan-Crusted Chicken,$11.99,"Chicken, Seafood & Pasta",1060 calories. All-natural chicken served with cheddar mac and cheese and a side of fresh tomato mozzarella salad.
Crispy Chicken Fingers,$12.49,"Chicken, Seafood & Pasta","930 calories. Golden brown on the outside, tender and juicy inside. Served with seasoned fries and honey mustard dressing."
Bourbon Barrel Chicken,$13.49,"Chicken, Seafood & Pasta",690 calories. All-natural chicken breast seasoned with hickory-smoked sea salt and fire-grilled over a bourbon-soaked plank to bring out a smoky vanilla sweetness. Served with mashed potatoes and lemon-butter broccoli.
Jack Daniel's Chicken,$14.99,"Chicken, Seafood & Pasta",930 calories. Two all-natural chicken breasts. Served with mashed potatoes and lemon butter broccoli.
Bourbon Barrel Salmon,$18.99,"Chicken, Seafood & Pasta",930 calories. Seasoned with hickory-smoked sea salt and fire-grilled over a bourbon-soaked plank for a smoky vanilla flavor. Served with jasmine rice pilaf and steamed spinach.
Fried Shrimp,$14.49,"Chicken, Seafood & Pasta","810 calories. A dozen crispy, golden brown shrimp. Served with seasoned fries and cocktail sauce."
Fish & Chips,$14.49,"Chicken, Seafood & Pasta","880 calories. Crisp, tender and golden cod fillets served with seasoned fries, coleslaw and tartar sauce."
Grilled Salmon,$15.49,"Chicken, Seafood & Pasta",920 calories. Seasoned with hickory-smoked sea salt and topped with parmesan butter. Served with jasmine rice pilaf and steamed spinach.
Cajun Shrimp & Chicken Pasta,$14.99,"Chicken, Seafood & Pasta","1430 calories. Sauteed all-natural chicken, shrimp and red bell peppers tossed with fettuccine in a spicy Cajun alfredo sauce."
Bruschetta Chicken Pasta,$14.49,"Chicken, Seafood & Pasta","860 calories. Fettuccine tossed in garlic, basil and tomato marinara. Topped with strips of garlic-marinated all-natural chicken breast. Finished with balsamic glaze and parmesan shavings."
Jack Daniel's Sirloin,$15.99,Steak & Ribs,10 ounces of flavorful top sirloin topped with Jack Daniel’s® glaze. Served with mashed potatoes and lemon-butter broccoli.
Jack Daniel's Rib-Eye,$21.49,Steak & Ribs,690 calories. 10 ounces of our most tender cut with generous marbling topped with Jack Daniel’s® glaze. Served with mashed potatoes and lemon-butter broccoli.
Jack Daniel's Flat Iron,$15.99,Steak & Ribs,500 calories. 8-ounce top blade steak with rich flavor topped with Jack Daniel’s® glaze. Served with mashed potatoes and lemon-butter broccoli.
Jack Daniel's Ribs,$21.99,Steak & Ribs,"1600 calories. Full rack of slow-cooked, fall-off-the-bone tender big back pork ribs basted with Jack Daniel’s® glaze. Served with seasoned fries and coleslaw."
BBQ Ribs,$14.99,Steak & Ribs,"1260 calories. Slow-cooked, fall-off-the-bone tender big back pork ribs basted in BBQ sauce then fire-grilled. Served with seasoned fries and coleslaw."
Bacon Crusted Ribs,$13.00,Steak & Ribs,1430 calories. Full rack big back pork ribs basted with bourbon barbecue sauce and covered with applewood-smoked bacon. Served with seasoned fries and coleslaw.
Memphis Ribs,$12.99,Steak & Ribs,1430 calories. Full rack big back pork ribs with bourbon seasoning and Memphis barbecue sauce. Served with seasoned fries and coleslaw.
Flat Iron Steak,$14.99,Steak & Ribs,780 calories. 8-ounce top blade steak with rich flavor. Served with mashed potatoes and lemon-butter broccoli.
10 oz. Sirloin,$17.49,Steak & Ribs,990 calories. 10 ounces of flavorful top sirloin topped with parmesan butter. Served with mashed potatoes and lemon-butter broccoli.
Rib-Eye,$20.49,Steak & Ribs,960 calories. 10 ounces of our most tender cut with generous marbling. Served with mashed potatoes and lemon-butter broccoli.
Half Rack BBQ Ribs,$13.49,Steak & Ribs,"870 calories. Slow-cooked, fall-off-the-bone tender big back pork ribs basted in BBQ sauce then fire-grilled. Served with seasoned fries and coleslaw."
Half Rack Jack Daniel's Ribs,$14.99,Steak & Ribs,"1070 calories. Half rack of slow-cooked, fall-off-the-bone tender big back pork ribs basted with jack daniel’s® glaze. Served with seasoned fries and coleslaw."
Wing Me Combo Platter,$30.00,Party Platters,1490 calories. Traditional & boneless wings with your choice of sauce.
Fridays™ Classic App Platter,$15.00,Party Platters,"1480 calories. Choice of wings, loaded potato skins, mozzarella sticks & pan-seared pot stickers."
Traditional Wing Me Platter,$30.00,Party Platters,1360 calories. Traditional wings with your choice of sauce.
Boneless Wing Me Platter,$25.00,Party Platters,1490 calories. Boneless wings with your choice of sauce.
The Bones Platter,$30.00,Party Platters,1060 calories. Traditional & boneless wings with jack daniel’s ® & BBQ ribs.
Fridays™ Ribs Platter,$30.00,Party Platters,"2070 calories. Slow-cooked, fall-off-the-bone tender big back Jack Daniel’s® and BBQ pork ribs."
"Meatballs, Meatballs, Meatballs Platter",$15.00,Party Platters,"2190 calories. Italian style meatballs in marinara sauce topped with bruschetta and parmesan cheese. Served with toasted baguette crostinis. All of our platters are made to order. For large orders, you will be prompted to contact the restaurant for your pick up time."
Spinach & Queso Dip Platter,$15.00,Party Platters,"1320 calories. Fresh spinach, white cheddar queso, parmesan and bread crumbs. Served with tortilla chips and celery sticks."
Loaded Potato Skins Platter,$15.00,Party Platters,"2660 calories. Crispy potato halves, melted cheddar and bacon. Served with ranch sour cream and green onions."
Mozzarella Sticks Platter,$15.00,Party Platters,1660 calories. Golden mozzarella blended with Asiago. Topped with parmesan and romano cheeses. Served with marinara sauce.
Jack™ Sliders (10-Pack),$25.00,Party Platters,"3120 calories. 10 fresh USDA choice beef burgers topped with Jack Daniel’s® glaze, cola onions, white cheddar cheese and spicy mayo made with tabasco® chipotle pepper sauce."
Desserts Platter,$15.00,Party Platters,"Toffee cake with pecans, fudge brownie with pecans & chocolate chip cookies."
Kids Sliders,$5.49,Kids Menu,480 calories. Fresh USDA choice beef burgers on soft mini buns.
Kids Pasta with Marinara,$5.49,Kids Menu,240 calories. Penne pasta in tomato marinara sauce.
Kids Chicken Sandwich,$5.99,Kids Menu,310 calories. Grilled all-natural chicken breast on a soft challah bun. Served with kids choice side.
Kids Chicken Fingers,$5.99,Kids Menu,"440 calories. Crispy and golden brown on the outside, tender and juicy inside. Served with honey mustard dressing and kids side choice."
Kids Macaroni & Cheese,$5.49,Kids Menu,440 calories. Elbow macaroni in a creamy cheese sauce.
House Salad,$4.49,Sides,"210 calories. Freshly chopped romaine, red cabbage, grape tomato, cucumber, mixed cheese and focaccia croutons with choice of dressing on the side and a hot garlic breadstick."
Jasmine Rice Pilaf,$2.00,Sides,"420 calories. Jasmine rice with onions, garlic and diced red peppers."
Lemon Butter Broccoli,$3.00,Sides,150 calories. Fresh steamed broccoli with parmesan butter and lemon.
Onion Rings,$3.00,Sides,510 calories. Battered and served with BBQ ranch.
Coleslaw,$2.00,Sides,"100 calories. Slaw mix of red and green cabbage, shredded carrots and fresh spinach tossed in creamy coleslaw dressing."
Mashed Potatoes,$2.00,Sides,"250 Calories. Creamy mashed potatoes blended with cheddar cheese, sour cream and real butter."
Tomato Mozzarella Salad,$3.00,Sides,"90 calories. Grape tomatoes with mozzarella cheese, red onion and basil in balsamic vinaigrette."
Sweet Potato Fries,$2.00,Sides,"390 calories. Crispy, seasoned, and fried to perfection."
Cheddar Mac & Cheese,$3.00,Sides,610 calories. Penne pasta in alfredo asiago cheddar cheese sauce with parmesan cheese crust.
Caesar Salad,$4.49,Sides,"440 calories. Romaine and kale topped with parmesan and Romano cheeses, asiago croutons and parmesan crisps. Served with grilled lemon and a hot garlic breadstick. Caesar dressing on the side."
Steamed Spinach,$3.00,Sides,160 calories. Fresh steamed spinach topped with parmesan.
Brussels Sprouts,$3.00,Sides,"350 calories. Tossed in lemon soy vinaigrette and topped with roasted onions, crispy croutons and cotija cheese."
Seasoned Fries,$2.00,Sides,"320 calories. Crispy, seasoned, and fried to perfection."
Basket of Fries,$2.99,Sides,"Shareable size of crispy, seasoned fries."
Vanilla Bean Cheesecake,$6.99,Dessert,"920 calories. Silky white chocolate mousse, graham cracker crust, white chocolate shavings."
Tennessee Whiskey Cake,$7.99,Dessert,"1110 calories. Toffee cake, glazed pecans, vanilla ice cream, butterscotch Jack Daniel’s® whiskey sauce."
Brownie Obsession,$6.99,Dessert,"1200 calories. A warm fudge brownie, vanilla ice cream, ghirardelli® caramel sauce and pecans."
Oreo™ Madness,$6.99,Dessert,"500 calories. Cookies and cream ice cream, oreo™ cookie crust, ghirardelli® chocolate sauce."
Signature Slushes,$3.49,Drinks,"260 calories. Cherry limeade: cherries, pomegranate, fresh lime, fresh agave sour, lemonade strawberry lemonade: strawberry, lemonade. Mango peach lemonade: mango, peach, lemonade, sprite® blue raspberry: blue raspberry, lemonade, sprite®."
Signature Smoothies,$4.19,Drinks,"330 calories. Triple berry smoothie: fresh strawberry, raspberry, blackberry, cranberry, coco real, fresh agave sour. Green with passion smoothie: mango, passion fruit, fresh kale, coco real, fresh agave sour."
Freshly Brewed Gold Peak Black Iced Tea,$2.69,Drinks, 
Strawberry Passion Fruit Tea,$3.49,Drinks,"130 calories. Freshly brewed gold peak® black iced tea, fresh strawberries, passion fruit, fresh agave sour."
Tropical Raspberry Tea,$3.49,Drinks,"50 calories. Freshly brewed gold peak® black iced tea, raspberries, guava, fresh agave sour."
Coke™,$2.69,Drinks, 
Dr. Pepper,$2.69,Drinks,"150 calories, fountain soda."
Sprite,$2.69,Drinks,160 calories.
Diet Coke™,$2.69,Drinks, 
Minute Maid Lemonade,$2.69,Drinks,150 calories.
Perrier,$2.49,Drinks, 
Red Bull - Yellow,$4.59,Drinks,110 calories.
Red Bull - Sugar Free,$4.59,Drinks,10 calories.
Red Bull,$4.59,Drinks,110 calories.
Dasani,$2.69,Drinks, 
Vitamin Water,$2.69,Drinks,80 calories.
