Rating,Number Of Ratings,Address
4.6/5,19 ratings,"40 N Research Pl, Central Islip, NY 11722, USA"
Crispy Chicken Fingers,$13.49,Sizzling & Main Entrees,"Crispy and golden brown on the outside, tender and juicy inside. Served with Honey Mustard dressing and seasoned fries."
Parmesan-Crusted Chicken,$12.99,Sizzling & Main Entrees,All-natural chicken served with cheddar mac & cheese and a side of fresh tomato & mozzarella salad.
Sizzling Chicken & Cheese,$16.99,Sizzling & Main Entrees,"Garlic-marinated all-natural chicken breast served over melted cheese with onions, peppers and creamy mashed potatoes. (gluten sensitive)"
Sizzling Chicken & Shrimp,$18.50,Sizzling & Main Entrees,"Garlic-marinated all-natural chicken and shrimp tossed in bruschetta marinara. Served over melted cheese with onions, peppers and creamy mashed potatoes. (gluten sensitive)"
Bruschetta Shrimp Pasta,$17.98,Sizzling & Main Entrees,"Fettuccine tossed in garlic, basil and Roma tomato marinara.  Topped with shrimp.  Finished with Balsamic glaze and parmesan shavings"
Bruschetta Salmon Pasta,$18.48,Sizzling & Main Entrees,"Fettuccine tossed in garlic, basil and Roma tomato marinara.  Topped with salmon.  Finished with Balsamic glaze and parmesan shavings"
Classic Cheeseburger,$11.50,Handcrafted Burgers,Classic fire-grilled burger topped with melted American cheese.  (gluten sensitive)
Jack Daniel's Burger,$12.49,Handcrafted Burgers,"Signature Jack Daniel's® sauce, applewood-smoked bacon and melted provolone cheese."
Sedona Black Bean Burger,$10.99,Handcrafted Burgers,"Spicy black bean patty topped with chipotle mayo, melted Monterey Jack and cheddar, balsamic-glazed onions and sliced avocado."
Turkey Burger,$11.49,Handcrafted Burgers,Seasoned ground all-natural turkey patty topped with classic garnishes. (gluten sensitive)
Brownie Obsession,$7.50,Desserts,"A warm chocolate-fudge brownie topped with vanilla ice cream, Ghirardelli® caramel sauce and pecans."
Oreo Madness,$6.99,Desserts,"Hand-crumbled crust and premium Ghirardelli® sauce will drive you crazy. 
Cookies and Cream ice cream sandwiched between layers of Oreo® cookie crust. Garnished with Ghirardelli® chocolate sauce."
Tennessee Whiskey Cake,$7.99,Desserts,Warm toffee cake topped with glazed pecans and vanilla ice cream. Served with butterscotch Jack Daniel's® Whiskey sauce.
Vanilla Bean Cheesecake,$7.79,Desserts,"Made with real vanilla beans, layered with white chocolate mousse and baked in a graham cracker crust. Topped with white chocolate shavings."
French Dip,$12.49,Handhelds,"Sliced Prime Rib in a mushroom stout sauce on a freshly baked toasted baguette with horseradish spread, Swiss cheese, balsamic onions and au jus on the side."
Jack Daniel's Chicken Sandwich,$11.78,Handhelds,"Grilled all-natural chicken breast seasoned with hickory-smoked sea salt. Topped with Jack Daniel's® glaze, applewood-smoked bacon, mixed cheese, Cajun-spiced fried onion strings, lettuce, vine-ripened tomato, pickles and Jack Daniel's® mayo. Served on a freshly baked bun."
