Rating,Number Of Ratings,Address
4.5/5,103 ratings,"7656 Cox Ln, West Chester Township, OH 45069, USA"
Bucket of Bbq Ribs,$2.50,Steak & Ribs,"2 racks of slow-cooked, fall-off-the-bone tender baby back pork ribs basted in Tennessee bbq sauce then fire-grilled."
Half Rack Jack Daniel's Ribs,$13.99,Steak & Ribs,"Half rack of slow-cooked, fall-off-the-bone tender baby back pork ribs basted with jack daniel’s® glaze. Served with seasoned fries and coleslaw. 1070 cal."
BBQ Ribs,$18.99,Steak & Ribs,"Slow-cooked, fall-off-the-bone tender baby back pork ribs basted in BBQ sauce then fire-grilled. Served with seasoned fries and coleslaw. 1260 cal."
Jack Daniel's Ribs,$21.49,Steak & Ribs,"Full rack of slow-cooked, fall-off-the-bone tender baby back pork ribs basted with jack daniel’s® glaze. Served with seasoned fries and coleslaw. 1600 cal."
Rib-Eye,$19.99,Steak & Ribs,10 ounces of our most tender cut with generous marbling. Served with mashed potatoes and lemon-butter broccoli. 960 cal.
10 Oz Sirloin,$17.49,Steak & Ribs,10 ounces of flavorful top sirloin topped with parmesan butter. Served with mashed potatoes and lemon-butter broccoli. 990 cal.
Kids Sliders,$5.49,Kids Menu,Fresh USDA choice beef burgers on soft mini buns. 480 cal.
Kids Pasta with Marinara,$5.49,Kids Menu,Penne pasta in tomato marinara sauce. 240 cal.
Kids Chicken Sandwich,$5.49,Kids Menu,Grilled all-natural chicken breast on a soft challah bun. Served with kids choice side. 310 cal.
Kids Macaroni & Cheese,$5.49,Kids Menu,Elbow macaroni in a creamy cheese sauce. 440 cal.
Kids Chicken Fingers,$5.49,Kids Menu,"Crispy and golden brown on the outside, tender and juicy inside. Served with honey mustard dressing and kids side choice. 4740 cal."
House Salad,$4.99,Sides,"Freshly chopped romaine, red cabbage, grape tomato, cucumber, mixed cheese and focaccia croutons with choice of dressing on the side and a hot garlic breadstick. 210 cal."
Jasmine Rice Pilaf,$2.00,Sides,"Jasmine rice with onions, garlic and diced red peppers. 420 cal."
Seasoned Fries,$2.00,Sides,"Crispy, seasoned, and fried to perfection. 320 cal."
Lemon-Butter Broccoli,$3.00,Sides,Fresh steamed broccoli with parmesan butter and lemon. 150 cal.
Coleslaw,$2.00,Sides,"Slaw mix of red and green cabbage, shredded carrots and fresh spinach tossed in creamy coleslaw dressing. 100 cal."
Tomato Mozzarella Salad,$3.00,Sides,"Grape tomatoes with mozzarella cheese, red onion and basil in balsamic vinaigrette. 90 cal."
Sweet Potato Fries,$3.00,Sides,"Crispy, seasoned, and fried to perfection. 390 cal."
Cheddar Mac & Cheese,$3.00,Sides,Penne pasta in alfredo asiago cheddar cheese sauce with parmesan cheese crust. 610 cal.
Caesar Salad,$4.99,Sides,"Romaine and kale topped with parmesan and romano cheeses, asiago croutons and parmesan crisps. Served with grilled  lemon and a hot garlic breadstick. Caesar dressing on the side. 440 cal."
Steamed Spinach,$3.00,Sides,Fresh steamed spinach topped with parmesan. 160 cal.
Mashed Potatoes,$4.00,Sides,"Creamy mashed potatoes blended with cheddar cheese, sour cream and real butter. 250 cal."
Basket Of Fries,$2.99,Sides,"Shareable size of crispy, seasoned fries."
Vanilla Bean Cheesecake,$6.99,Dessert,"Silky white chocolate mousse, graham cracker crust, white chocolate shavings. 920 cal."
Oreo Madness,$6.99,Dessert,"Cookies and cream ice cream, oreo® cookie crust, ghirardelli® chocolate sauce. 500 cal."
Tennessee Whiskey Cake,$7.99,Dessert,"Toffee cake, glazed pecans, vanilla ice cream, butterscotch jack daniel’s® whiskey sauce."
Brownie Obsession,$6.99,Dessert,"A warm fudge brownie, vanilla ice cream, ghirardelli® caramel sauce and pecans. 1200 cal."
Coke,$2.59,Drinks,Fountain soda. 150 cal.
Ultimate Long Island Tea,$5.00,Drinks,"Everything but the booze a fridays original favorite with our famous fridays™ sweet & sour and coke®. At home, follow the instructions on the bag and add smirnoff vodka, bacardi rum, bombay gin, dekuyper triple sec, and brandy. 240 cal."
Barbados Rum Punch,$5.00,Drinks,"Everything but the booze a delicious blend of mango, passion fruit, strawberry and fresh citrus. When you add mount gay eclipse rum and a dash of angostura bitters, you’ll think someone dropped your house on a tropical island. 520 cal."
The Best Fridays Margarita,$5.00,Drinks,Everything but the booze we give you a blend of fresh citrus juices and organic agave syrup. You add the patron silver tequila and grand marnier. Fiesta time. 310 cal.
Signature Slushes,$3.39,Drinks, 
Perrier,$2.29,Drinks, 
Strawberry Passion Fruit Tea,$3.39,Drinks,"Freshly brewed gold peak black iced tea, fresh strawberry, passion fruit, fresh agave sour. 130 cal."
Red Bull - Yellow,$4.69,Drinks,Red bull - yellow. 110 cal.
Red Bull - Sugarfree,$4.69,Drinks,10 cal.
Dr Pepper,$2.59,Drinks,Fountain soda. 150 cal.
Sprite,$2.59,Drinks,Fountain soda. 160 cal.
Signature Smoothies,$3.79,Drinks,330 cal.
Tropical Raspberry Tea,$3.39,Drinks,"Freshly brewed gold peak black iced tea, raspberries, guava, fresh agave sour. 110 cal."
Red Bull,$4.69,Drinks,110 cal.
Vitaminwater,$2.59,Drinks,Vitamin water. 80 cal.
Diet Coke,$2.59,Drinks,Fountain soda.
Minute Maid Lemonade,$2.59,Drinks,Minute maid lemonade. 150 cal.
Freshly Brewed Gold Peak Black Iced Tea,$2.59,Drinks, 
