Rating,Number Of Ratings,Address
4.5/5,19 ratings,"6577 Grand Ave, Gurnee, IL 60031, USA"
Friday's House Salad,$5.09,Salads,"Romaine, red cabbage, grape tomato, cucumber, mixed cheese and focaccia croutons with choice of dressing and a hot garlic breadstick."
Grilled Chicken Cobb Salad,$11.79,Salads,"Grilled balsamic-marinated all-natural chicken breast served over freshly chopped romaine with sliced avocado, grape tomatoes, hard-boiled egg, applewood-smoked bacon and crumbled bleu cheese with your choice of dressing."
Pecan-Crusted Chicken Salad,$11.60,Salads,"Warm, crispy pecan-crusted chicken breast served over mixed greens tossed in Balsamic Vinaigrette with dried cranberries, mandarin oranges, sweetened pecans and bleu cheese."
New Grilled Norwegian Salmon Cobb Salad,$15.39,Salads,"Norwegian salmon served o, grape tomatoes, hard boiled egg, Applewood-smoked bacon, and crumbled bleu cheese with your choice of dressing.  Drizzled with balsamic glaze."
New Flat Iron 4 Oz. Steak Cobb Salad,$14.79,Salads,"Flat iron steak served over freshly chopped romaine with sliced avocado, grape tomatoes, hard boiled egg, Applewood-smoked bacon, and crumbled bleu cheese with your choice of dressing.  Drizzled with balsamic glaze."
Jack Daniel's Chicken Sandwich,$11.89,Sandwiches,"Grilled chicken breast basted in jack Daniel's glaze and topped with bacon, mixed cheese, Cajun onion straws lettuce, tomatoes, pickles, and Jack Daniel's mayo on a bun."
Sizzling Chicken & Cheese,$13.89,Sizzling,"Garlic-marinated all-natural chicken breast served over melted cheese with onions, peppers and creamy mashed potatoes."
Sizzling Chicken & Shrimp,$16.00,Sizzling,"Garlic-marinated all-natural chicken and shrimp tossed in bruschetta marinara. Served over melted cheese with onions, peppers and creamy mashed potatoes."
White Cheddar Broccoli Cheese Soup,$6.29,Soups,A creamy blend of white cheddar cheeses with broccoli.
French Onion Soup,$6.29,Soups, 
Baby Back Ribs,$13.89,Ribs,"Slow cooked baby back pork ribs basted in Tennessee BBQ sauce, then fire-grilled.  Served with seasoned fries and ginger lime slaw."
10 Oz. New York Strip & Memphis-Rubbed Ribs,$29.69,Fresh Steaks,"The quintessential American cut, lightly marbled and exceptionally tender.  Paired with a half rack of Memphis-rubbed ribs."
Rib-Eye Steak and Half-Rack Ribs,$27.49,Fresh Steaks,10 oz. black angus rib-eye fire grilled to order and half rack of baby back ribs.  Served with 2 sides.
Flat Iron Steak,$27.49,Fresh Steaks,A hand trimmed 8 oz. top blade steak with deep rich flavor.  Served with 2 sides.
Bourbon Barrel Chicken,$13.80,Chicken & Pastas,Fresh all-natural chicken breast seasoned with hickory smoked sea salt fire grilled over bourbon soaked planks to bring out a smoky vanilla sweetness.  Served with 2 sides.
Bruschetta Chicken Pasta,$15.29,Chicken & Pastas,"Multi grain angel hair pasta tossed in garlic, basil, and Roma tomato marinara.  Topped with strips of fire grilled all natural chicken breast.  Finished with balsamic glaze and parmesan shavings."
Cajun Shrimp & Chicken Pasta,$15.99,Chicken & Pastas,"Sautéed all natural chicken, shrimp, and red bell peppers tossed with fettucine ribbons in a spicy Cajun Alfredo sauce."
Crispy Chicken Fingers,$12.89,Chicken & Pastas,"Crispy and golden brown on the outside, tender and juicy inside.  Served with honey mustard dressing and seasoned fries."
Parmesan Crusted Chicken,$12.79,Chicken & Pastas,all natural chicken served with cheddar and mac and cheese and a side of fresh tomato mozzarella salad.
Friday's Shrimp,$15.39,Chicken & Pastas,"A dozen crispy, golden brown shrimp.  Served with seasoned fries and cocktail sauce."
Mashed Potatoes,$3.29,Sides, 
Cheddar Mac Cheese,$3.69,Sides, 
Fresh Spinach,$3.29,Sides, 
Broccoli,$3.29,Sides, 
Sweet Potato Fries,$3.29,Sides, 
Classic Fries,$3.29,Sides, 
Jasmine Rice Pilaf,$3.29,Sides, 
Tomato Mozzarella Salad,$3.29,Sides, 
