Rating,Number Of Ratings,Address
4.1/5,30 ratings,"7221 Carson Blvd, Long Beach, CA 90808, USA"
Mediterranean Shrimp Naan,$12.00,Sandwiches,"470 cal. Grilled and chilled shrimp drizzled with balsamic glaze and served on naan bread with cucumber yogurt sauce, cotija cheese, mixed greens and garlic, basil and tomato bruschetta."
Jack Daniel's Burger,$13.50,Burgers,"1100 cal. White cheddar, lettuce, red onion, tomatoes, pickles, hickory-smoked bacon and Jack Daniel's glaze."
Buffalo Wingman's Burger,$13.75,Burgers,"930 cal. Blacked beef patty, buffalo pimento cheese spread, spicy mayo made with tabasco chipotle pepper sauce, spicy pickles, lettuce, tomatoes and red onions. Topped off with a skewer of buffalo wings."
Bacon Cheeseburger,$12.25,Burgers,"840 cal. White cheddar, aged all-natural cheddar spread, lettuce, tomatoes, red onion, pickles, hickory-smoked bacon and Friday's sauce."
Turkey Burger,$11.00,Burgers,"520 cal. A seasoned all-natural turkey patty topped with lettuce, tomatoes, red onions and pickles."
Black Bean and Avocado Burger,$11.00,Burgers,"830 cal. Spicy black bean patty topped with avocado, spicy mayo made with tabasco chipotle pepper sauce, monterrey jack, white cheddar and cola onions."
BBQ'n Burger,$12.75,Burgers,"1160 cal. Classic and white barbecue sauces, spicy jack cheese, lettuce, tomatoes, pickles, red onion, hickory-smoked bacon and cajun-spiced crispy onion rings."
Really Good Cheeseburger,$11.50,Burgers,"Lettuce, tomatoes, red onion, pickles and Friday's sauce (cal. 620). Served with seasoned fries (cal. 320)."
Steak & Lobster,$25.00,Premium Seafood Entrees,665-710 cal. Fresh 6 oz USDA choice sirloin steak and either a steamed or fire grilled 4 oz lobster tail. Served with two sides.
Sirloin & Salmon,$24.00,Premium Seafood Entrees,680 cal. Fresh 6 oz USDA choice sirloin with a fire-grilled Norwegian salmon filet topped with parmesan butter. Served with two sides.
Bourbon Barell Salmon,$20.00,Premium Seafood Entrees,"930 cal. Wild caught, seasoned with hickory-smoked sea salt fire-grilled over a bourbon-soaked plank for a smoky vanilla flavor. Served with jasmine rice pilaf and steamed spinach."
Half Rack Baby Back Ribs & Shrimp,$20.25,Premium Seafood Entrees,1375 cal. Half rack of fire-grilled baby back pork ribs glazed with BBQ sauce and topped with onion rings. Served with seasoned fries and crispy shrimp.
Lobster Tails,$26.50,Premium Seafood Entrees,840-920 cal. Two 4 oz lobster tails steamed or fire-grilled with lemon and butter. Served with a choice of two sides.
Grilled Salmon,$18.00,Premium Seafood Entrees,1230 cal. Seasoned with hickory-smoked sea salt and topped with parmesan butter. Served with jasmine rice pilaf and steamed spinach.
Jack Daniel's Salmon,$18.75,Premium Seafood Entrees,1350 cal. Grilled Norwegian salmon glazed in Jack Daniel's sauce. Served with jasmine rice pilaf and steamed spinach.
Half Rack Of Ribs & Lobster,$25.50,Premium Seafood Entrees,2060 cal. A half rack of fire-grilled baby back pork ribs topped with onion rings and paired with either a steamed or fire-grilled 4 oz lobster tail. Served with coleslaw and seasoned fries.
Rib Eye & Lobster Tail,$30.00,Premium Seafood Entrees,10 oz fresh USDA choice rib-eye fire-grilled or glazed with Jack Daniel's sauce paired with a steamed or fire-grilled lobster tail. Served with two choice sides.
Fish and Chips,$13.25,Premium Seafood Entrees,"880 cal. Crisp, tender and golden cod fillets served with seasoned fries, coleslaw and tartar sauce."
Fried Shrimp,$17.00,Premium Seafood Entrees,"810 cal. A dozen crispy, golden brown shrimp. Served with seasoned fries and cocktail sauce."
BBQ Ribs / Jack Daniel's Ribs,$23.25,Mains,"Slow-cooked, fall-off-the-bone tender baby back pork ribs fire-grilled and served with seasoned fries and coleslaw."
Rib-Eye,$24.25,Mains,10-ounces of our most tender cut with generous marbling. Served with mashed potatoes and lemon-butter broccoli.
Flat Iron,$17.25,Mains,8-ounce top blade steak with rich flavor. Served with mashed potatoes and lemon butter broccoli.
Sirloin,$18.75,Mains,Flavorful top sirloin available in a 6 or 10 oz cut. Served with mashed potatoes and lemon-butter broccoli.
Sizzling Chicken and Shrimp,$18.50,Mains,"1210 cal. Garlic-marinated all natural chicken and shrimp tossed in a bruschetta marinara. Served over melted cheese with onions, peppers and creamy mashed potatoes."
Sizzling Chicken and Cheese,$17.50,Mains,"1090 cal. Garlic marinated all natural chicken breast served over melted cheese with onions, peppers and creamy mashed potatoes."
Bourbon Barrel Chicken,$15.00,Mains,690 cal. All-natural chicken breast seasoned with hickory-smoked sea salt and fire-grilled over bourbon-soaked plank to bring out a smoky vanilla sweetness. Served with mashed potatoes and lemon-butter broccoli.
Parmesan-Crusted Chicken,$14.25,Mains,1060 cal. All natural chicken breast served with cheddar mac and cheese and fresh tomato mozzarella salad.
Crispy Chicken Fingers,$13.75,Mains,"Golden brown on the outside, tender and juicy inside. Served with seasoned fries and honey mustard dressing."
Jack Daniel's Chicken,$19.50,Mains,930 cal. Two all-natural chicken breasts. Served with mashed potatoes and lemon-butter broccoli.
Bruschetta Chicken Pasta,$16.75,Mains,"970 cal. Fettuccine tossed in garlic, basil and tomato marinara. Topped with strips of garlic-marinated all natural chicken breast. Finished with balsamic glaze and parmesan shavings."
Cajun Shrimp & Chicken Pasta,$17.25,Mains,"1430 cal. Sauteed all natural chicken, shrimp and red bell peppers tossed with fettuccine in a spicy cajun alfredo sauce."
Oreo Madness,$7.25,Delicious Desserts,"500 cal. Cookies & cream ice cream, oreo cookie crust and ghirardelli chocolate sauce."
Tennessee Whiskey Cake,$7.50,Delicious Desserts,"1100 cal. Toffee cake, candied pecans, vanilla ice cream, butterscotch Jack Daniel's whiskey sauce."
Vanilla Bean Cheesecake,$7.25,Delicious Desserts,"920 cal. Silky white chocolate mousse, graham cracker crust and white chocolate shavings."
Brownie Obsession,$7.75,Delicious Desserts,"1200 cal. A warm fudge brownie, vanilla ice cream, covered in ghirardelli caramel sauce and pecans."
Fridays Sundae,$7.25,Delicious Desserts,"1410 cal. Ghirardelli chocolate sauce drizzled over vanilla ice cream, topped with chopped pecans, whipped cream and a cherry."
