Rating,Number Of Ratings,Address
4.6/5,2331 ratings,"2133 Green Hills Village Dr, Nashville, TN 37215, USA"
Four Cheese Pasta,$15.95,Most Popular,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Adam's Peanut Butter Cup Fudge Ripple,$7.95,Most Popular,"Creamy Cheesecake Swirled with Caramel, Peanut Butter, Butterfingers® and Reese’s® Peanut Butter Cups."
Stuffed Mushrooms,$6.95,Small Plates & Snacks,"Fontina and Parmesan Cheese, Garlic and Herbs in a Wine Sauce."
Greek Salad,$6.95,Small Plates & Snacks,"Feta Cheese, Tomato, Cucumber, Kalamata Olives, Red Onions and Vinaigrette."
Little House Salad,$4.95,Small Plates & Snacks,Tossed in Our Vinaigrette.
Korean Fried Cauliflower,$6.50,Small Plates & Snacks,"Crispy Cauliflower Tossed with Sweet and Spicy Sauce, Toasted Sesame Seeds and Green Onion."
Beets with Goat Cheese,$6.95,Small Plates & Snacks,"Fresh Beets, Apples, Baby Arugula, Pecans and Vinaigrette."
Chicken Samosas,$6.95,Small Plates & Snacks,Crispy Wrappers Filled with Spiced Chicken. Served with Cilantro Dipping Sauce.
Fried Zucchini,$6.50,Small Plates & Snacks,Lightly Breaded and Topped with Parmesan Cheese. Served with Ranch Dressing.
Crispy Fried Cheese,$6.50,Small Plates & Snacks,Mozzarella and Fontina Cheeses with Marinara Sauce.
Edamame,$5.95,Small Plates & Snacks,Soy Beans Steamed in Their Pods.
Dynamite Shrimp,$7.95,Small Plates & Snacks,Crispy Tempura Shrimp with Our Spicy Dynamite Sauce.
Crispy Crab Bites,$7.95,Small Plates & Snacks,Bite-Sized Little Crab Cakes. Served with Mustard Sauce.
"Fresh Basil, Tomato and Cheese Flatbread",$7.50,Small Plates & Snacks,"With Mozzarella, Fontina and Parmesan."
Roasted Pear and Blue Cheese Flatbread,$7.50,Small Plates & Snacks,"Pecans, Arugula and Caramelized Onion."
Parmesan-Garlic Cheese Bread,$9.95,Appetizers,"Warm Artisan Bread with Garlic Butter, Mozzarella, Parmesan and Romano Cheese.  Served with Parmesan Salsa and Marinara Sauce for Dipping."
Roadside Sliders,$9.95,Appetizers,"Bite-Sized Burgers on Mini-Buns Served with Grilled Onions, Pickles and Ketchup."
Roadside Sliders With French Fries,$11.50,Appetizers,"Bite-Sized Burgers on Mini-Buns Served with Grilled Onions, Pickles and Ketchup."
Chicken Pot Stickers,$10.95,Appetizers,Asian Dumplings Pan-Fried in the Classic Tradition. Served with Our Soy-Ginger Sesame Sauce.
Avocado Eggrolls,$11.95,Appetizers,"Avocado, Sun-Dried Tomato, Red Onion and Cilantro Fried in a Crisp Wrapper. Served with a Tamarind-Cashew Dipping Sauce."
Quesadilla,$10.95,Appetizers,"Grilled Flour Tortilla Filled with Melted Cheese, Green Onions and Chiles. Garnished with Guacamole, Salsa and Sour Cream."
Quesadilla with Chicken,$12.95,Appetizers,"Grilled Flour Tortilla Filled with Melted Cheese, Green Onions and Chiles. Garnished with Guacamole, Salsa and Sour Cream."
Fried Macaroni and Cheese,$11.95,Appetizers,Crispy Crumb Coated Macaroni and Cheese Balls. Served over a Creamy Marinara Sauce.
Southern Fried Chicken Sliders,$10.95,Appetizers,"Crispy Fried Chicken Breast on Mini-Buns Served with Lettuce, Tomato and Pickles."
Southern Fried Chicken Sliders With French Fries,$12.50,Appetizers,"Crispy Fried Chicken Breast on Mini-Buns Served with Lettuce, Tomato and Pickles."
Hot Spinach and Cheese Dip,$12.50,Appetizers,"Spinach, Artichoke Hearts, Shallots, Garlic and a Mixture of Cheeses Served Bubbly Hot with Tortilla Chips and Salsa. Enough for Two."
Tex Mex Eggrolls,$10.95,Appetizers,"Spicy Chicken, Corn, Black Beans, Peppers, Onions and Melted Cheese. Served with Avocado Cream and Salsa."
Fried Calamari,$12.95,Appetizers,Fried Light and Crisp. Served with Garlic Dip and Cocktail Sauce.
Buffalo Blasts,$12.95,Appetizers,"Chicken, Cheese and Our Spicy Buffalo Sauce all Stuffed in a Spiced Wrapper and Fried until Crisp. Served with Celery Sticks and Blue Cheese Dressing."
Warm Crab & Artichoke Dip,$12.50,Appetizers,"A Delicious Blend of Crab, Artichokes and Cheese Served Warm with Grilled Bread."
Sweet Corn Tamale Cakes,$10.95,Appetizers,"Topped with Sour Cream, Salsa, Cilantro, Avocado and Salsa Verde."
Eggroll Sampler,$11.95,Appetizers,"A Variety of All of Our Eggrolls with Avocado, Tex Mex, Crispy Cuban and Cheeseburger Spring Rolls."
Thai Lettuce Wraps,$14.50,Appetizers,"Create Your Own Thai Lettuce Rolls! Satay Chicken Strips, Carrots, Bean Sprouts, Coconut Curry Noodles and Lettuce Leaves with Three Delicious Spicy Thai Sauces – Peanut, Sweet Red Chili and Tamarind-Cashew."
Cup of Soup,$5.95,Appetizers,Monday - Caramelized Onion; Tuesday - Chile Lime Chicken Tortilla; Wednesday - Wild Mushroom; Thursday - Mexican Chicken and Vegetable; Friday - Clam Chowder; Saturday - Baked Potato; Sunday - Cream of Chicken with Artichoke Hearts and Mushrooms.
Bowl of Soup,$7.95,Appetizers, 
Factory Nachos,$12.95,Appetizers,"Crisp Tortilla Chips Covered with Melted Cheeses, Guacamole, Red Chile Sauce, Sour Cream, Jalapeños, Green Onions and Salsa."
Factory Nachos with Spicy Chicken,$14.95,Appetizers,"Crisp Tortilla Chips Covered with Melted Cheeses, Guacamole, Red Chile Sauce, Sour Cream, Jalapeños, Green Onions and Salsa."
Guacamole and Chips (Mild Spice),$12.50,Appetizers,"Avocado, Onion, Tomato, Chiles, Cilantro and Fresh Lime. Served with Tortilla Chips, Salsa and Sour Cream."
Guacamole and Chips (Medium Spice),$12.50,Appetizers, 
Guacamole and Chips (Spicy),$12.50,Appetizers, 
Buffalo Wings,$12.95,Appetizers,Fried Wings Covered in Hot Sauce and Served with Blue Cheese Dressing and Celery Sticks.
Buffalo Wings With French Fries,$14.50,Appetizers,Fried Wings Covered in Hot Sauce and Served with Blue Cheese Dressing and Celery Sticks.
Buffalo Chicken Strips,$9.95,Appetizers,Fried Chicken Strips Covered in Hot Sauce and Served with Blue Cheese Dressing and Celery Sticks.
Buffalo Chicken Strips With French Fries,$11.50,Appetizers,Fried Chicken Strips Covered in Hot Sauce and Served with Blue Cheese Dressing and Celery Sticks.
Firecracker Salmon,$12.95,Appetizers,Spiced Fresh Salmon Rolled in Spinach and Fried in a Crisp Wrapper. Served with a Sweet Hot Chili Sauce.
Vietnamese Shrimp Summer Rolls,$11.95,Appetizers,"Delicate Rice Paper Rolled Around Asparagus, Shiitake Mushrooms, Carrots, Rice Noodles, Green Onion, Cilantro and Shrimp. Served Chilled with Spicy Chili and Peanut Dipping Sauces."
Tossed Green Salad,$6.95,Appetizer Salads,"Mixed Greens, Assorted Vegetables, Tomato and Croutons with Your Choice of Dressing."
Caesar Salad,$10.95,Appetizer Salads,"The Almost Traditional Recipe with Croutons, Parmesan Cheese and Our Special Caesar Dressing."
French Country Salad,$10.95,Appetizer Salads,"Mixed Greens, Grilled Asparagus, Fresh Beets, Goat Cheese, Candied Pecans and Vinaigrette."
Fresh Vegetable Salad,$10.95,Appetizer Salads,"Asparagus, Green Beans, Tomato, Cucumber, Roasted Beets, Apple, Edamame, Radicchio, Romaine and White Cheddar All Chopped with Pomegranate Vinaigrette."
Factory Chopped Salad,$12.95,Appetizer Salads,"A Delicious Blend of Julienne Romaine, Grilled Chicken, Tomato, Avocado, Corn, Bacon, Blue Cheese and Apple with Our Vinaigrette."
Cheese Pizza,$12.50,Pizzas, 
Pepperoni Pizza,$13.95,Pizzas, 
Margherita Pizza,$13.50,Pizzas,"Fresh Mozzarella, Basil and Tomato Sauce."
BBQ Chicken Pizza,$13.95,Pizzas,"Mozzarella, Fontina, Red Onion and Cilantro."
The Everything Pizza,$14.95,Pizzas,"Pepperoni, Sausage, Peppers, Onions, Mushrooms, Mozzarella and Tomato Sauce. Kalamata Olives on Request."
Avocado Toast,$9.50,"""Super"" Foods","Grilled Artisan Bread Topped with Fresh Avocado, Marinated Tomato, Watercress, Radish and Red Onion. Drizzled with Extra Virgin Olive Oil and Lemon."
California Guacamole Salad,$11.50,"""Super"" Foods","Mixed Greens, Avocado, Tomato, Corn, Black Beans, Onion, Radish, Crispy Tortillas, Feta Cheese and Cilantro Tossed with Mildly Spicy Avocado Dressing."
Super Antioxidant Salad,$11.50,"""Super"" Foods","A Delicious Blend of Salad Greens, Spinach, Kale, Avocado, Broccoli, Grapes, Roasted Pear, Blueberries, Onion, Sunflower Seeds and Almonds with Lemon-Blueberry Vinaigrette."
Kale and Quinoa Salad,$11.50,"""Super"" Foods","Lots of Tender Kale, Quinoa, Grapes, Sweet Red Pepper, Sunflower Seeds and Parmesan Cheese. Tossed with Our Lemon Vinaigrette."
Vegan Cobb Salad,$12.50,"""Super"" Foods","Crisp Lettuce Topped with Grilled Asparagus, Green Beans, Roasted Beets, Avocado, Cucumber, Tomato, Garbanzo Beans, Quinoa, Farro, Almonds and Sunflower Seeds with House Vinaigrette."
Almond-Crusted Salmon Salad,$15.95,"""Super"" Foods","Pan Seared and Served Over Kale, Shaved Brussels Sprouts, Arugula, Avocado, Quinoa, Cranberries and Radishes. Tossed with Our Vinaigrette."
Caesar Salad,$13.95,Salads,"The Almost Traditional Recipe with Croutons, Parmesan Cheese and Our Special Caesar Dressing."
Sheila's Chicken and Avocado Salad,$14.95,Salads,"Grilled Chicken, Fresh Avocado, Mixed Greens, Crisp Tortilla Strips, Carrots, Cilantro and Cashews Tossed in a Citrus-Honey-Peanut Vinaigrette."
Chinese Chicken Salad,$15.50,Salads,"Chicken Breast, Rice Noodles, Lettuce, Green Onions, Almonds, Crisp Wontons, Bean Sprouts, Orange and Sesame Seeds. Tossed in Our Special Chinese Plum Dressing."
"Chicken, Mango, and Avocado Salad",$15.95,Salads,"Mixed Greens, Fresh Pineapple, Tomato, Cucumber, Red Peppers, Onion, Crispy Wontons and Almonds. Tossed with Vinaigrette."
Barbeque Ranch Chicken Salad,$15.95,Salads,"Avocado, Tomato, Grilled Corn, Black Beans, Cucumber and Romaine All Tossed with Our Barbeque Ranch Dressing. Topped with Lots of Crispy Fried Onion Strings for Crunch."
Santa Fe Salad,$15.95,Salads,"Marinated Chicken, Fresh Corn, Black Beans, Cheese, Tortilla Strips, Tomato and Romaine with a Spicy Peanut-Cilantro Vinaigrette."
Cobb Salad,$15.95,Salads,"Chicken Breast, Avocado, Blue Cheese, Bacon, Tomato, Egg and Mixed Greens Tossed in Our Vinaigrette."
Chicken Taquitos,$4.95,New Menu Items,"Crispy Corn Tortillas Filled with Grilled Chicken, Green Chile, Corn, Onion, Cilantro and Cheese. Served with Avocado Cream and Salsa Verde."
"""Nashville Hot"" Chicken Nuggets",$4.95,New Menu Items,Hand Battered and Fried Crisp with Our Very Spicy Nashville Hot Sauce. Served with Ranch Dressing.
Truffle-Bacon Grilled Cheese Sticks,$5.95,New Menu Items,"Grilled Artisan Bread with Creamy Melted Cheese, Truffle Oil and Bacon."
Pasta Napoletana,$13.95,New Menu Items,"Italian Sausage, Pepperoni, Housemade Meatball, Mushrooms, Peppers, Bacon, Onions and Garlic in a Rich Tomato Sauce. Served Over Parmesan Cream Pasta."
Chicken Riesling,$13.95,New Menu Items,"Chicken Breast, Mushrooms, Bacon, Onions and Garlic in a White Wine Riesling Cream Sauce Served with Buttered Parmesan Pasta."
Thai Coconut-Lime Chicken,$12.95,New Menu Items,"Tender Pieces of Chicken, Snow Peas, Shiitake Mushrooms, Onions and Garlic in a Thai Coconut-Curry Sauce with Cashews and Mango. Served with White Rice."
Crispy Pineapple Chicken and Shrimp,$13.50,New Menu Items,"Crispy Chicken and Shrimp with Snow Peas, Mushrooms, Onions, Garlic, Peppers and Cilantro in a Sweet and Spicy Sauce. Served with White Rice."
Carne Asada Steak Medallions,$14.95,New Menu Items,"Covered with Sauteed Peppers, Onions and Cilantro.  Served with Creamy Ranchero Sauce, Fresh Corn and White Rice."
"Chicken Parmesan ""Pizza Style""",$14.50,New Menu Items,"Chopped Chicken Breast Coated with Breadcrumbs, Covered with Marinara Sauce and Lots of Melted Cheese. Topped with Angel Hair Pasta in an Alfredo Cream Sauce."
Old Fashioned Burger,$11.95,Glamburgers® & Sandwiches,"Charbroiled on a Toasted Brioche Bun with Lettuce, Tomato, Onion, Pickles and Mayonnaise."
Factory Burger,$12.95,Glamburgers® & Sandwiches,"Charbroiled with Cheddar Cheese, Tomato and Grilled Onions on Sourdough French or Wheat Loaf."
Classic Burger,$13.50,Glamburgers® & Sandwiches,"A Gigantic Chop House Hamburger. Served with a Slice of Grilled Onion, Lettuce and Tomato."
Smokehouse BBQ Burger,$13.95,Glamburgers® & Sandwiches,Smoked Bacon and Melted Cheddar with Crispy Onion Strings and BBQ Ranch Sauce.
Mushroom Burger,$13.95,Glamburgers® & Sandwiches,"Our Charbroiled Burger Covered with Sautéed Mushrooms, Onions, Melted Swiss, Fontina Cheese and Mayo."
Americana Cheeseburger,$13.95,Glamburgers® & Sandwiches,"American and Cheddar Cheese, Crunchy Potato Crisps, Lettuce, Tomato, Grilled Onions, Pickles and Secret Sauce."
Macaroni and Cheese Burger,$13.95,Glamburgers® & Sandwiches,"Charbroiled and Topped with Our Creamy Fried Macaroni and Cheese Balls and Cheddar Cheese Sauce. Served with Lettuce, Tomato, Pickles and Onion."
Bacon-Bacon Cheeseburger,$14.95,Glamburgers® & Sandwiches,"Charbroiled and Covered with Melted Cheddar and American Cheese, Crispy Bacon, Thick-Cut Slow Roasted Smoked Bacon and Secret Sauce."
Veggie Burger,$13.95,Glamburgers® & Sandwiches,"A Delicious ""Burger"" Made with Brown Rice, Farro, Mushrooms, Black Beans and Onion. Served on a Toasted Wheat Brioche Bun with Melted Fontina Cheese, Lettuce, Tomato, Pickles and Mayo."
Spicy Chipotle Mayo Crispy Chicken Sandwich,$13.95,Glamburgers® & Sandwiches,Crispy Chicken Breast with Cheese and Your Choice of Spicy Buffalo Sauce or Chipotle Mayo. Served on a Brioche Bun.
Spicy Buffalo Sauce Crispy Chicken Sandwich,$13.95,Glamburgers® & Sandwiches, 
Grilled Turkey Burger,$13.95,Glamburgers® & Sandwiches,"Combined with Fresh Mushrooms, Garlic and Spices. Served with Grilled Onions, Lettuce and Tomato on a Wheat Brioche Bun."
Renee's Special,$12.95,Glamburgers® & Sandwiches,"One-Half of a Fresh Turkey Sandwich or Chicken-Almond Salad Sandwich, a Cup of Our Soup and a Small Green Salad."
Chicken Salad Sandwich,$12.95,Glamburgers® & Sandwiches,"Housemade with Roasted Almonds, Lettuce, Tomato and Mayonnaise. Served on Grilled Brioche Bread."
Grilled Chicken and Avocado Club,$14.50,Glamburgers® & Sandwiches,"Grilled Chicken Breast with Avocado, Bacon, Tomato, Melted Swiss and Herb Mayonnaise."
The Club,$14.50,Glamburgers® & Sandwiches,"Freshly Roasted Turkey Breast, Bacon, Lettuce, Tomato and Mayonnaise on White Toast."
Cuban Sandwich,$13.95,Glamburgers® & Sandwiches,"Slow Roasted Pork, Ham, Swiss Cheese, Pickles, Mustard and Mayonnaise on a Grilled and Pressed Roll."
Chicken Parmesan Sandwich,$13.95,Glamburgers® & Sandwiches,"Tender Chicken Lightly Coated in Parmesan Breadcrumbs, Roasted Peppers, Tomato Sauce and Melted Cheese on a Freshly Grilled French Roll."
Southwest Chicken Sandwich,$13.95,Glamburgers® & Sandwiches,"Grilled Chicken Breast, Crushed Avocado, Tomato, Onion, Cilantro, Jalapeño Peppers and Chipotle Mayo on a Toasted French Baguette."
California Cheesesteak,$13.95,Glamburgers® & Sandwiches,"Thinly Sliced Grilled Steak Covered with Sautéed Mushrooms, Onions, Peppers and Cheese on a Toasted Roll."
Tomato Basil Pasta,$15.95,Pastas,"Grilled Chicken, Fresh Mozzarella, a Touch of Garlic and Penne Pasta. Light and Fresh."
Fettuccini Alfredo,$16.95,Pastas,A Rich Parmesan Cream Sauce.
Pasta Carbonara,$16.95,Pastas,"Spaghettini with Smoked Bacon, Green Peas and a Garlic-Parmesan Cream Sauce."
Four Cheese Pasta,$15.95,Pastas,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Spaghetti and Meatballs,$16.95,Pastas,"Housemade Meatballs Made with Beef, Italian Sausage and Parmesan with Our Tomato Sauce and Basil."
Evelyn's Favorite Pasta,$15.95,Pastas,"Rigatoni Tossed with Broccoli, Oven-Dried Tomato, Zucchini, Roasted Eggplant, Peppers, Artichoke, Kalamata Olives, Onion, Garlic and Pine Nuts."
Louisiana Chicken Pasta,$17.95,Pastas,"Parmesan Crusted Chicken Served Over Pasta with Mushrooms, Peppers and Onions in a Spicy New Orleans Sauce."
Pasta da Vinci,$17.50,Pastas,"Sautéed Chicken, Mushrooms and Onions in a Delicious Madeira Wine Sauce Tossed with Penne Pasta."
Pasta with Shrimp and Sausage,$18.50,Pastas,"Rigatoni with Shrimp, Italian Sausage, Onions and Mildly Spicy Peppers Tossed with Marinara Sauce and Fresh Basil."
Farfalle with Chicken and Roasted Garlic,$17.50,Pastas,"Bow-Tie Pasta, Chicken, Mushrooms, Tomato, Pancetta, Peas and Caramelized Onions in a Roasted Garlic-Parmesan Cream Sauce."
Spicy Chicken Chipotle Pasta,$17.95,Pastas,"Penne Pasta, Honey Glazed Chicken, Asparagus, Red and Yellow Peppers, Peas, Garlic and Onion in a Spicy Chipotle Parmesan Cream Sauce."
Bistro Shrimp Pasta,$19.50,Pastas,"Crispy Battered Shrimp, Fresh Mushrooms, Tomato and Arugula Tossed with Spaghettini and a Basil-Garlic-Lemon Cream Sauce."
Shrimp with Angel Hair,$19.50,Pastas,"Large Shrimp Sautéed with Tomatoes, Lemon, Garlic, Herbs and Fresh Basil on Top of Angel Hair Pasta with a Touch of Marinara Sauce."
Cajun Jambalaya Pasta,$19.50,Pastas,"Shrimp and Chicken Sautéed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini."
Truffle-Honey Chicken,$16.95,Specialties,"Fried Chicken Breast with Truffle-Honey, Asparagus and Mashed Potatoes."
Chicken Bellagio,$16.50,Specialties,Crispy Coated Chicken Breast over Basil Pasta and Parmesan Cream Sauce Topped with Prosciutto and Arugula Salad.
Eggplant Parmesan,$15.50,Specialties,"Eggplant Lightly Coated with Parmesan Breadcrumbs and Cooked Crisp. Covered with Mozzarella Cheese, Fontina Cheese and Marinara Sauce. Served with Pesto Pasta."
White Chicken Chili,$14.50,Specialties,"A Generous Bowl of Chicken, White Beans, Roasted Green Chiles, Onions and Garlic with a Touch of Cream. Garnished with Steamed White Rice and Fresh Salsa."
Chicken Enchiladas,$14.95,Specialties,"Covered with Our Red Chile Sauce and Melted Cheese. Served with Black Beans, Cilantro Rice and Corn Salsa."
Stuffed Chicken Tortillas,$14.95,Specialties,"Corn Tortillas Stuffed with Spicy Chicken, Covered with Melted Cheese, Green Onion, Tomatillo Sauce and Cilantro. Served with Grilled Corn Cakes, Black Beans, Salsa and Sour Cream."
"Cajun Chicken ""Littles""",$15.95,Specialties,"Boneless Breast of Chicken Pieces, Spiced, Breaded and Fried Crisp. Served with Mashed Potatoes and Fresh Corn Succotash."
Shepherd's Pie,$15.95,Specialties,"Ground Beef, Carrots, Peas, Zucchini and Onions in a Delicious Mushroom Gravy Covered with a Mashed Potato-Parmesan Cheese Crust."
Baja Chicken Tacos,$14.50,Specialties,"Soft Corn Tortillas Filled with Spicy Chicken, Cheese, Tomato, Avocado, Onion, Chipotle and Cilantro. Served with Rice and Beans."
Crispy Beer Battered Fish Tacos,$15.50,Specialties,"Soft Corn Tortillas Filled with Avocado, Tomato, Chipotle Sauce, Marinated Onions and Cilantro.  Served with Rice and Beans."
Grilled Fish Tacos,$15.50,Specialties,"Soft Corn Tortillas Filled with Avocado, Tomato, Chipotle Sauce, Marinated Onions and Cilantro.  Served with Rice and Beans"
Grilled Steak Tacos,$15.95,Specialties,"Soft Corn Tortillas, Chargrilled Steak, Avocado, Tomato, Chipotle Sauce, Crispy Onions and Cilantro. Served with Rice and Beans."
Factory Burrito Grande,$15.50,Specialties,"A Monster Burrito with Chicken, Cheese, Rice, Onions and Peppers.  Served with Guacamole, Cilantro, Sour Cream, Salsa and Black Beans."
Famous Factory Meatloaf,$17.95,Specialties,"Served with Mashed Potatoes, Mushroom Gravy, Grilled Onions and Corn Succotash."
Chicken Madeira,$18.95,Specialties,Our most popular chicken dish! Sautéed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes.
Chicken & Biscuits,$17.95,Specialties,"A Cheesecake Factory “Comfort Classic.” Sauteed Chicken Breasts Covered with a Rich Pan Gravy, Served with Our Mashed Potatoes, Mushrooms, Vegetables and Buttermilk Biscuits."
Crusted Chicken Romano,$17.50,Specialties,Breast of Chicken Coated with a Romano-Parmesan Cheese Crust. Served with Pasta in a Light Tomato Sauce.
Orange Chicken,$16.95,Specialties,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Parmesan-Herb Crusted Chicken,$17.95,Specialties,Sautéed Chicken Breasts Coated with Parmesan-Garlic Breadcrumbs and Herbs. Served with Mashed Potatoes and Green Beans.
Crispy Chicken Costoletta,$17.95,Specialties,"Chicken Breast Lightly Breaded and Sautéed to a Crisp Golden Brown. Served with Lemon Sauce, Mashed Potatoes and Fresh Asparagus."
Chicken Piccata,$17.95,Specialties,"Sautéed Chicken Breast with Lemon Sauce, Mushrooms and Capers. Served with Angel Hair Pasta."
Spicy Cashew Chicken,$16.95,Specialties,A Very Spicy Mandarin-Style Dish with Green Onions and Roasted Cashews. Served over Rice.
Lemon-Herb Roasted Chicken,$18.95,Specialties,"Fresh All Natural Half Chicken Served with Mashed Potatoes, Carrots and Watercress. Topped with a Light Lemon Garlic-Herb Sauce."
Teriyaki Chicken,$17.50,Specialties,Chicken Breast Charbroiled with Teriyaki Sauce. Served with Steamed Rice.
Chicken Marsala and Mushrooms,$19.50,Specialties,Chicken Breast Sautéed with Fresh Mushrooms in a Rich Marsala Wine Sauce. Served over Bow-Tie Pasta.
Bang-Bang Chicken and Shrimp,$19.95,Specialties,"A Spicy Thai Dish with the Flavors of Curry, Peanut, Chile and Coconut. Sautéed with Vegetables and Served over Steamed White Rice."
Fish & Chips,$17.95,Fish & Seafood,"Hand Battered and Fried Crisp. Served with Cole Slaw, French Fries and Tartar Sauce."
Fried Shrimp Platter,$17.95,Fish & Seafood,Lightly Breaded and Fried Crisp with French Fries and Cole Slaw.
Southern Fried Catfish,$17.95,Fish & Seafood,"Farm Raised, Lightly Breaded and Fried Crisp. Served with Mashed Potatoes, Green Beans, Buttered Corn and Rémoulade Sauce."
Shrimp and Chicken Gumbo,$17.95,Fish & Seafood,"Shrimp, Chicken, Andouille Sausage, Tomatoes, Peppers, Onions and Garlic Simmered in a Spicy Cajun Style Broth with Cream. Topped with Steamed White Rice."
Shrimp Scampi,$19.95,Fish & Seafood,"Paris Bistro-Style! Sautéed with Whole Cloves of Garlic, White Wine, Fresh Basil and Tomato. Served with Angel Hair Pasta."
Seared Ahi Tuna,$20.95,Fish & Seafood,"Chilled and Served Over White Rice with Sriracha Aioli, Stir-Fried Vegetables and Wasabi Butter Sauce."
Jamaican Black Pepper Shrimp,$19.95,Fish & Seafood,"Sautéed Shrimp with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Jamaican Black Pepper Chicken,$17.95,Fish & Seafood,"Sautéed Shrimp, Chicken or Chicken and Shrimp with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Jamaican Black Pepper Chicken & Shrimp,$19.95,Fish & Seafood,"Sautéed Shrimp & Chicken with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Fresh Grilled Salmon,$19.95,Fish & Seafood,Served with Mashed Potatoes and Broccoli.
Herb Crusted Filet of Salmon,$20.95,Fish & Seafood,"Fresh Salmon with a Delicious Lemon Sauce, Asparagus and Mashed Potatoes."
Miso Salmon,$20.95,Fish & Seafood,"Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Shrimp Scampi and Steak Diane,$22.95,Factory Combinations, 
Chicken Madeira and Steak Diane,$22.95,Factory Combinations, 
Steak Diane and Herb Crusted Salmon,$22.95,Factory Combinations, 
Chargrilled Bone-In New York Steak,$19.95,Steaks & Chops,Served with Mashed Potatoes and Vegetable.
Grilled Pork Chop,$19.95,Steaks & Chops,"A Thick Center-Cut Chop Served with Housemade Apple Sauce, Mashed Potatoes and Vegetable."
Steak Diane,$20.50,Steaks & Chops,Medallions of Steak Covered with Black Peppercorns and a Rich Mushroom Wine Sauce. Served with Mashed Potatoes and Grilled Onions.
Hibachi Steak,$20.95,Steaks & Chops,"Certified Angus Beef® Hanger Steak with Shiitake Mushrooms, Onions, Bean Sprouts, Wasabi Mashed Potatoes and Tempura Asparagus."
Grilled Rib-Eye Steak,$28.50,Steaks & Chops,Served with Mashed Potatoes and Vegetable.
