Rating,Number Of Ratings,Address
4.5/5,12543 ratings,"42 The Shops Blvd, Mission Viejo, CA"
Factory Nachos with Spicy Chicken,$14.95,Appetizers,"Crisp Tortilla Chips Covered with Melted Cheeses, Guacamole, Red Chile Sauce, Sour Cream, Jalapeños, Green Onions and Salsa."
Guacamole and Chips (Mild Spice),$12.95,Appetizers,"Avocado, Onion, Tomato, Chiles, Cilantro and Fresh Lime. Served with Tortilla Chips, Salsa and Sour Cream."
Guacamole and Chips (Medium Spice),$12.95,Appetizers,"Avocado, Onion, Tomato, Chiles, Cilantro and Fresh Lime. Served with Tortilla Chips, Salsa and Sour Cream."
Guacamole and Chips (Spicy),$12.95,Appetizers,"Avocado, Onion, Tomato, Chiles, Cilantro and Fresh Lime. Served with Tortilla Chips, Salsa and Sour Cream."
Buffalo Wings,$13.50,Appetizers,Fried Wings Covered in Hot Sauce and Served with Blue Cheese Dressing and Celery Sticks.
Buffalo Wings With French Fries,$15.00,Appetizers, 
Buffalo Chicken Strips,$10.50,Appetizers,Fried Chicken Strips Covered in Hot Sauce and Served with Blue Cheese Dressing and Celery Sticks.
Buffalo Chicken Strips With French Fries,$12.00,Appetizers, 
Firecracker Salmon,$12.95,Appetizers,Spiced Fresh Salmon Rolled in Spinach and Fried in a Crisp Wrapper. Served with a Sweet Hot Chili Sauce.
Firecracker Salmon,$12.95,Appetizer Salads,Spiced Fresh Salmon Rolled in Spinach and Fried in a Crisp Wrapper. Served with a Sweet Hot Chili Sauce
Tossed Green Salad,$7.50,Appetizer Salads,"Mixed Greens, Assorted Vegetables, Tomato and Croutons with Your Choice of Dressing."
Caesar Salad,$10.95,Appetizer Salads,"The Almost Traditional Recipe with Croutons, Parmesan Cheese and Our Special Caesar Dressing."
Caesar Salad with Chicken,$14.95,Appetizer Salads, 
French Country Salad,$11.50,Appetizer Salads,"Mixed Greens, Grilled Asparagus, Fresh Beets, Goat Cheese, Candied Pecans and Vinaigrette."
Fresh Vegetable Salad,$11.50,Appetizer Salads,"Asparagus, Green Beans, Tomato, Cucumber, Roasted Beets, Apple, Edamame, Radicchio, Romaine and White Cheddar All Chopped with Pomegranate Vinaigrette."
Fresh Vegetable Salad with Chicken,$15.50,Appetizer Salads, 
Factory Chopped Salad,$13.95,Appetizer Salads,"A Delicious Blend of Julienne Romaine, Grilled Chicken, Tomato, Avocado, Corn, Bacon, Blue Cheese and Apple with Our Vinaigrette."
Cheese Pizza,$12.95,Pizzas, 
Pepperoni Pizza,$14.50,Pizzas, 
Margherita Pizza,$13.95,Pizzas,"Fresh Mozzarella, Basil and Tomato Sauce."
BBQ Chicken Pizza,$14.50,Pizzas,"Mozzarella, Fontina, Red Onion and Cilantro."
The Everything Pizza,$15.50,Pizzas,"Pepperoni, Sausage, Peppers, Onions, Mushrooms, Mozzarella and Tomato Sauce."
Avocado Toast,$9.95,"""Super"" Foods","Grilled Artisan Bread Topped with Fresh Avocado, Marinated Tomato, Watercress, Radish and Red Onion. Drizzled with Extra Virgin Olive Oil and Lemon."
California Guacamole Salad,$11.95,"""Super"" Foods","Mixed Greens, Avocado, Tomato, Corn, Black Beans, Onion, Radish, Crispy Tortillas, Feta Cheese and Cilantro Tossed with Mildly Spicy Avocado Dressing."
Wellness Salad,$11.95,"""Super"" Foods","A Delicious Blend of Salad Greens, Spinach, Kale, Avocado, Broccoli, Grapes, Roasted Pear, Wild Blueberries, Onion, Sunflower Seeds and Almonds with Lemon-Blueberry Vinaigrette"
Kale and Quinoa Salad,$11.95,"""Super"" Foods","Lots of Tender Kale, Quinoa, Grapes, Sweet Red Pepper, Sunflower Seeds and Parmesan Cheese. Tossed with Our Lemon Vinaigrette."
Vegan Cobb Salad,$12.95,"""Super"" Foods","Crisp Lettuce Topped with Grilled Asparagus, Green Beans, Roasted Beets, Avocado, Cucumber, Tomato, Garbanzo Beans, Quinoa, Farro, Almonds and Sunflower Seeds with House Vinaigrette."
Almond-Crusted Salmon Salad,$15.95,"""Super"" Foods","Pan Seared and Served Over Kale, Shaved Brussels Sprouts, Arugula, Avocado, Quinoa, Cranberries and Radishes. Tossed with Our Vinaigrette."
Old Fashioned Burger,$12.50,Glamburgers® & Sandwiches,"Charbroiled on a Toasted Brioche Bun with Lettuce, Tomato, Onion, Pickles and Mayonnaise."
Stuffed Cheddar Burger,$13.50,Glamburgers® & Sandwiches,"Our Charbroiled Burger Stuffed with Cheddar and American Cheese with Grilled Onions and Special Sauce.  Cooked Medium-Well and Served on a Toasted Brioche Bun with Lettuce, Tomato and Pickles"
Classic Burger,$13.95,Glamburgers® & Sandwiches,"A Gigantic Chop House Hamburger. Served with a Slice of Grilled Onion, Lettuce and Tomato."
Factory Burger,$13.50,Glamburgers® & Sandwiches,"Charbroiled with Cheddar Cheese, Tomato, Grilled Onions and Mayonnaise on a Sourdough French Loaf."
Smokehouse BBQ Burger,$13.95,Glamburgers® & Sandwiches,Smoked Bacon and Melted Cheddar with Crispy Onion Strings and BBQ Ranch Sauce.
Mushroom Burger,$13.95,Glamburgers® & Sandwiches,"Our Charbroiled Burger Covered with Sautéed Mushrooms, Onions, Melted Swiss, Fontina Cheese and Mayo."
Americana Cheeseburger,$13.95,Glamburgers® & Sandwiches,"American and Cheddar Cheese, Crunchy Potato Crisps, Lettuce, Tomato, Grilled Onions, Pickles and Secret Sauce."
Macaroni and Cheese Burger,$13.95,Glamburgers® & Sandwiches,"Charbroiled and Topped with Our Creamy Fried Macaroni and Cheese Balls and Cheddar Cheese Sauce. Served with Lettuce, Tomato, Pickles and Onion."
Bacon-Bacon Cheeseburger,$14.95,Glamburgers® & Sandwiches,"Charbroiled and Covered with Melted Cheddar and American Cheese, Crispy Bacon, Thick-Cut Slow Roasted Smoked Bacon and Secret Sauce."
Spicy Chipotle Mayo Crispy Chicken Sandwich,$13.95,Glamburgers® & Sandwiches,Crispy Chicken Breast with Cheese Served on a Brioche Bun.
Spicy Buffalo Sauce Crispy Chicken Sandwich,$13.95,Glamburgers® & Sandwiches,Crispy Chicken Breast with Cheese Served on a Brioche Bun.
Grilled Turkey Burger,$13.95,Glamburgers® & Sandwiches,"Combined with Fresh Mushrooms, Garlic and Spices. Served with Grilled Onions, Lettuce and Tomato on a Wheat Brioche Bun."
Veggie Burger,$13.95,Glamburgers® & Sandwiches,"A Delicious ""Burger"" Made with Brown Rice, Farro, Mushrooms, Black Beans and Onion. Served on a Toasted Wheat Brioche Bun with Melted Fontina Cheese, Lettuce, Tomato, Pickles and Mayo."
Renee's Fresh Turkey Sandwich Special,$12.95,Glamburgers® & Sandwiches,"One-Half of a Fresh Turkey Sandwich or Chicken-Almond Salad Sandwich, a Cup of Our Soup and a Small Green Salad."
Renee's Special Chicken-Almond Salad Sandwich,$12.95,Glamburgers® & Sandwiches,"One-Half of a Chicken-Almond Salad Sandwich, a Cup of Our Soup and a Small Green Salad."
Chicken Salad Sandwich,$12.95,Glamburgers® & Sandwiches,"Housemade with Roasted Almonds, Lettuce, Tomato and Mayonnaise. Served on Grilled Brioche Bread."
The Club,$14.95,Glamburgers® & Sandwiches,"Freshly Roasted Turkey Breast, Bacon, Lettuce, Tomato and Mayonnaise on White Toast."
Grilled Chicken and Avocado Club,$14.95,Glamburgers® & Sandwiches,"Grilled Chicken Breast with Avocado, Bacon, Tomato, Melted Swiss and Herb Mayonnaise."
Cuban Sandwich,$13.95,Glamburgers® & Sandwiches,"Slow Roasted Pork, Ham, Swiss Cheese, Pickles, Mustard and Mayonnaise on a Grilled and Pressed Roll."
Chicken Parmesan Sandwich,$13.95,Glamburgers® & Sandwiches,"Tender Chicken Lightly Coated in Parmesan Breadcrumbs, Roasted Peppers, Tomato Sauce and Melted Cheese on a Freshly Grilled French Roll."
Southwest Chicken Sandwich,$13.95,Glamburgers® & Sandwiches,"Grilled Chicken Breast, Crushed Avocado, Tomato, Onion, Cilantro, Jalapeño Peppers and Chipotle Mayo on a Toasted French Baguette."
California Cheesesteak,$14.50,Glamburgers® & Sandwiches,"Thinly Sliced Grilled Steak Covered with Sautéed Mushrooms, Onions, Peppers and Cheese on a Toasted Roll."
Thai Coconut-Lime Chicken,$13.50,Specialties,"Tender Pieces of Chicken, Snow Peas, Shiitake Mushrooms, Onions and Garlic in a Thai Coconut-Curry Sauce with Cashews and Mango. Served with White Rice."
Crispy Pineapple Chicken and Shrimp,$13.95,Specialties,"Crispy Chicken and Shrimp with Snow Peas, Mushrooms, Onions, Garlic, Peppers and Cilantro in a Sweet and Spicy Sauce. Served with White Rice."
Chicken Riesling,$14.50,Specialties,"Chicken Breast, Mushrooms, Bacon, Onions and Garlic in a White Wine Riesling Cream Sauce Served with Buttered Parmesan Pasta."
Truffle-Honey Chicken,$16.95,Specialties,"Fried Chicken Breast with Truffle-Honey, Asparagus and Mashed Potatoes."
Chicken Parmesan “Pizza Style”,$14.95,Specialties,"Chopped Chicken Breast Coated with Breadcrumbs, Covered with Marinara Sauce and Lots of Melted Cheese. Topped with Angel Hair Pasta in an Alfredo Cream Sauce."
Eggplant Parmesan,$15.95,Specialties,"Eggplant Lightly Coated with Parmesan Breadcrumbs and Cooked Crisp. Covered with Mozzarella Cheese, Fontina Cheese and Marinara Sauce. Served with Pesto Pasta."
White Chicken Chili,$14.95,Specialties,"A Generous Bowl of Chicken, White Beans, Roasted Green Chiles, Onions and Garlic with a Touch of Cream. Garnished with Steamed White Rice and Fresh Salsa."
"Cajun Chicken ""Littles""",$16.95,Specialties,"Boneless Breast of Chicken Pieces, Spiced, Breaded and Fried Crisp. Served with Mashed Potatoes and Fresh Corn Succotash."
Shepherd's Pie,$15.95,Specialties,"Ground Beef, Carrots, Peas, Zucchini and Onions in a Delicious Mushroom Gravy Covered with a Mashed Potato-Parmesan Cheese Crust."
Baja Chicken Tacos,$14.50,Specialties,"Soft Corn Tortillas Filled with Spicy Chicken, Cheese, Tomato, Avocado, Onion, Chipotle and Cilantro. Served with Rice and Beans."
Crispy Beer Battered Fish Tacos,$15.50,Specialties,"Soft Corn Tortillas Filled with Avocado, Tomato, Chipotle Sauce, Marinated Onions and Cilantro.  Served with Rice and Beans."
Grilled Fish Tacos,$15.50,Specialties,"Soft Corn Tortillas Filled with Avocado, Tomato, Chipotle Sauce, Marinated Onions and Cilantro.  Served with Rice and Beans"
Grilled Steak Tacos,$16.50,Specialties,"Soft Corn Tortillas, Chargrilled Steak, Avocado, Tomato, Chipotle Sauce, Crispy Onions and Cilantro. Served with Rice and Beans."
Factory Burrito Grande,$15.95,Specialties,"A Monster Burrito with Chicken, Cheese, Rice, Onions and Peppers.  Served with Guacamole, Cilantro, Sour Cream, Salsa and Black Beans."
Famous Factory Meatloaf,$17.95,Specialties,"Served with Mashed Potatoes, Mushroom Gravy, Grilled Onions and Corn Succotash."
Chicken Madeira,$19.50,Specialties,Our most popular chicken dish! Sautéed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes.
Chicken Bellagio,$16.95,Specialties,Crispy Coated Chicken Breast over Basil Pasta and Parmesan Cream Sauce Topped with Prosciutto and Arugula Salad.
Chicken & Biscuits,$17.95,Specialties,"A Cheesecake Factory “Comfort Classic.” Sauteed Chicken Breasts Covered with a Rich Pan Gravy, Served with Our Mashed Potatoes, Mushrooms, Vegetables and Buttermilk Biscuits."
Crusted Chicken Romano,$17.95,Specialties,Breast of Chicken Coated with a Romano-Parmesan Cheese Crust. Served with Pasta in a Light Tomato Sauce.
Orange Chicken,$16.95,Specialties,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Chicken Enchiladas,$14.95,Specialties,"Covered with Our Red Chile Sauce and Melted Cheese. Served with Black Beans, Cilantro Rice and Corn Salsa."
Parmesan-Herb Crusted Chicken,$17.95,Specialties,Sautéed Chicken Breasts Coated with Parmesan-Garlic Breadcrumbs and Herbs. Served with Mashed Potatoes and Green Beans.
Crispy Chicken Costoletta,$17.95,Specialties,"Chicken Breast Lightly Breaded and Sautéed to a Crisp Golden Brown. Served with Lemon Sauce, Mashed Potatoes and Fresh Asparagus."
Chicken Piccata,$18.50,Specialties,"Sautéed Chicken Breast with Lemon Sauce, Mushrooms and Capers. Served with Angel Hair Pasta."
Spicy Cashew Chicken,$16.95,Specialties,A Very Spicy Mandarin-Style Dish with Green Onions and Roasted Cashews. Served over Rice.
Teriyaki Chicken,$17.95,Specialties,Charbroiled with Teriyaki Sauce. Served with Steamed Rice
Lemon-Herb Roasted Chicken,$18.95,Specialties,"Fresh All Natural Half Chicken Served with Mashed Potatoes, Carrots and Arugula. Topped with a Light Lemon Garlic-Herb Sauce"
Chicken Marsala and Mushrooms,$19.95,Specialties,Chicken Breast Sautéed with Fresh Mushrooms in a Rich Marsala Wine Sauce. Served over Bow-Tie Pasta.
Bang-Bang Chicken and Shrimp,$19.95,Specialties,"A Spicy Thai Dish with the Flavors of Curry, Peanut, Chile and Coconut. Sautéed with Vegetables and Served over Steamed White Rice."
Lasagna Verde,$14.50,Pastas,"Layers of Fresh Spinach Pasta, Mozzarella, Fontina and Parmesan Cheese Covered with Our Housemade Tomato-Mushroom and Marinara Sauces (Full-size portion only)"
Pasta Napoletana,$14.50,Pastas,"Italian Sausage, Pepperoni, Housemade Meatball, Mushrooms, Peppers, Bacon, Onions and Garlic in a Rich Tomato Sauce. Served Over Parmesan Cream Pasta (Full-size portion only)"
Tomato Basil Pasta,$15.95,Pastas,"Grilled Chicken, Fresh Mozzarella, a Touch of Garlic and Penne Pasta. Light and Fresh (Full-size portion only)"
Fettuccini Alfredo,$16.95,Pastas,A Rich Parmesan Cream Sauce.
Fettuccini Alfredo with Chicken,$20.95,Pastas, 
Pasta Carbonara,$16.95,Pastas,"Spaghetti with Smoked Bacon, Green Peas and a Garlic-Parmesan Cream Sauce"
Pasta Carbonara with Chicken,$20.95,Pastas, 
Four Cheese Pasta,$16.50,Pastas,"Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Four Cheese Pasta with Chicken,$20.50,Pastas, 
Spicy Shanghai Noodles,$16.50,Pastas,"Spaghetti with Chicken, Mushrooms, Snow Peas, Bean Sprouts, Onions and Garlic in a Sweet-Hot Sesame Ginger Sauce"
Spaghetti and Meatballs,$16.95,Pastas,"Housemade Meatballs Made with Beef, Italian Sausage and Parmesan with Our Tomato Sauce and Basil."
Evelyn's Favorite Pasta,$16.50,Pastas,"Rigatoni Tossed with Broccoli, Oven-Dried Tomato, Zucchini, Roasted Eggplant, Peppers, Artichoke, Kalamata Olives, Onion, Garlic and Pine Nuts."
Louisiana Chicken Pasta,$17.95,Pastas,"Parmesan Crusted Chicken Served Over Pasta with Mushrooms, Peppers and Onions in a Spicy New Orleans Sauce."
Pasta da Vinci,$17.95,Pastas,"Sautéed Chicken, Mushrooms and Onions in a Delicious Madeira Wine Sauce Tossed with Penne Pasta."
Farfalle with Chicken and Roasted Garlic,$17.95,Pastas,"Bow-Tie Pasta, Chicken, Mushrooms, Tomato, Pancetta, Peas and Caramelized Onions in a Roasted Garlic-Parmesan Cream Sauce."
Spicy Chicken Chipotle Pasta,$17.95,Pastas,"Penne Pasta, Honey Glazed Chicken, Asparagus, Red and Yellow Peppers, Peas, Garlic and Onion in a Spicy Chipotle Parmesan Cream Sauce."
Bistro Shrimp Pasta,$19.95,Pastas,"Crispy Battered Shrimp, Fresh Mushrooms, Tomato and Arugula Tossed with Spaghetti and a Basil-Garlic-Lemon Cream Sauce."
Shrimp with Angel Hair,$19.95,Pastas,"Large Shrimp Sautéed with Tomatoes, Lemon, Garlic, Herbs and Fresh Basil on Top of Angel Hair Pasta with a Touch of Marinara Sauce."
Cajun Jambalaya Pasta,$19.95,Pastas,"""Shrimp and Chicken Sauteed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini (Full-size portion only)"""
Fish & Chips,$17.95,Fish & Seafood,"Hand Battered and Fried Crisp. Served with Cole Slaw, French Fries and Tartar Sauce."
Fried Shrimp Platter,$18.95,Fish & Seafood,Lightly Breaded and Fried Crisp with French Fries and Cole Slaw.
Shrimp and Chicken Gumbo,$18.95,Fish & Seafood,"Shrimp, Chicken, Andouille Sausage, Tomatoes, Peppers, Onions and Garlic Simmered in a Spicy Cajun Style Broth with Cream. Topped with Steamed White Rice."
Shrimp Scampi,$20.95,Fish & Seafood,"Paris Bistro-Style! Sautéed with Whole Cloves of Garlic, White Wine, Fresh Basil and Tomato. Served with Angel Hair Pasta."
Seared Ahi Tuna,$20.95,Fish & Seafood,"Chilled and Served Over White Rice with Sriracha Aioli, Stir-Fried Vegetables and Wasabi Butter Sauce"
Jamaican Black Pepper Shrimp,$19.95,Fish & Seafood,"Sautéed Shrimp with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Jamaican Black Pepper Chicken,$17.95,Fish & Seafood,"Chicken with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Jamaican Black Pepper Chicken & Shrimp,$19.95,Fish & Seafood,"Sautéed Shrimp & Chicken with a Very Spicy Jamaican Black Pepper Sauce. Served with Rice, Black Beans, Plantains and Marinated Pineapple."
Fresh Grilled Salmon,$20.50,Fish & Seafood,Served with Mashed Potatoes and Broccoli.
Herb Crusted Filet of Salmon,$21.50,Fish & Seafood,"Fresh Salmon with a Delicious Lemon Sauce, Asparagus and Mashed Potatoes."
Miso Salmon,$21.50,Fish & Seafood,"Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Chargrilled Bone-In New York Steak,$21.50,Steaks & Chops,Served with Mashed Potatoes and Green Beans
Grilled Pork Chop,$20.95,Steaks & Chops,"A Thick Center-Cut Chop Served with Housemade Apple Sauce, Mashed Potatoes and Vegetable."
Steak Diane,$20.95,Steaks & Chops,Medallions of Steak Covered with Black Peppercorns and a Rich Mushroom Wine Sauce. Served with Mashed Potatoes and Grilled Onions.
Hibachi Steak,$21.50,Steaks & Chops,"Certified Angus Beef® Hanger Steak with Shiitake Mushrooms, Onions, Bean Sprouts, Wasabi Mashed Potatoes and Tempura Asparagus."
Grilled Rib-Eye Steak,$28.95,Steaks & Chops,Served with mashed potatoes and green beans.
Filet Mignon,$30.95,Steaks & Chops,Our Most Tender Steak. Served with Mashed Potatoes and Green Beans.
Carne Asada Steak Medallions,$15.50,Steaks & Chops,"Covered with Sauteed Peppers, Onions and Cilantro.  Served with Creamy Ranchero Sauce, Fresh Corn and White Rice"
French Fries,$4.95,Side Dishes, 
Green Beans,$5.95,Side Dishes, 
Sweet Potato Fries,$5.95,Side Dishes, 
Corn Succotash,$5.95,Side Dishes, 
Mashed Potatoes,$4.95,Side Dishes, 
Sautéed Spinach,$5.95,Side Dishes, 
Macaroni & Cheese,$6.95,Side Dishes, 
Oven Roasted Broccoli,$5.95,Side Dishes, 
Grilled Asparagus,$6.95,Side Dishes, 
Caesar Salad,$13.95,Salads,"The Almost Traditional Recipe with Croutons, Parmesan Cheese and Our Special Caesar Dressing."
